# Mass = 0.0361615 Mev*(hbarc)^2/2 
# R = 2.00013 fm 
# a = 0.644174 fm 
# V0 = 76.8412 MeV 
# RSO = 1.90409 fm 
# aSO = 0.644174 fm 
# VSO = 51.7507 MeV fm^2
# n = 0 
# l = 0 
# two_j = 1 
# two_t = -1 
# Energy = -27.9664 MeV
# r          u            Phi          u/r          
0.1          0.0888076    0.12318      0.888076     
0.10238      0.0909208    0.123131     0.888072     
0.10476      0.0930332    0.123082     0.88806      
0.10714      0.0951447    0.123031     0.888041     
0.10952      0.0972553    0.12298      0.888014     
0.1119       0.099365     0.122927     0.887981     
0.11428      0.101474     0.122873     0.887941     
0.11666      0.103582     0.122818     0.887894     
0.11904      0.105689     0.122762     0.887842     
0.12142      0.107795     0.122704     0.887783     
0.1238       0.1099       0.122646     0.887719     
0.12618      0.112004     0.122587     0.887649     
0.12856      0.114106     0.122526     0.887574     
0.13094      0.116208     0.122464     0.887493     
0.13332      0.118309     0.122401     0.887408     
0.1357       0.120409     0.122338     0.887317     
0.13808      0.122508     0.122273     0.887221     
0.14046      0.124605     0.122206     0.887121     
0.14284      0.126701     0.122139     0.887016     
0.14522      0.128797     0.122071     0.886906     
0.1476       0.130891     0.122002     0.886792     
0.14998      0.132983     0.121931     0.886674     
0.15236      0.135075     0.121859     0.886551     
0.15474      0.137165     0.121787     0.886424     
0.15712      0.139254     0.121713     0.886293     
0.1595       0.141342     0.121638     0.886158     
0.16188      0.143429     0.121562     0.886019     
0.16426      0.145514     0.121485     0.885875     
0.16664      0.147598     0.121407     0.885728     
0.16902      0.14968      0.121328     0.885577     
0.1714       0.151761     0.121247     0.885423     
0.17378      0.153841     0.121166     0.885264     
0.17616      0.15592      0.121083     0.885102     
0.17854      0.157997     0.121        0.884936     
0.18092      0.160072     0.120915     0.884767     
0.1833       0.162146     0.12083      0.884594     
0.18568      0.164219     0.120743     0.884417     
0.18806      0.16629      0.120655     0.884237     
0.19044      0.168359     0.120566     0.884054     
0.19282      0.170427     0.120476     0.883867     
0.1952       0.172494     0.120385     0.883677     
0.19758      0.174559     0.120293     0.883483     
0.19996      0.176622     0.1202       0.883286     
0.20234      0.178684     0.120105     0.883085     
0.20472      0.180744     0.12001      0.882882     
0.2071       0.182802     0.119914     0.882675     
0.20948      0.184859     0.119816     0.882465     
0.21186      0.186914     0.119718     0.882251     
0.21424      0.188967     0.119618     0.882035     
0.21662      0.191019     0.119518     0.881815     
0.219        0.193069     0.119416     0.881592     
0.22138      0.195117     0.119313     0.881366     
0.22376      0.197163     0.11921      0.881137     
0.22614      0.199208     0.119105     0.880905     
0.22852      0.201251     0.118999     0.88067      
0.2309       0.203292     0.118892     0.880432     
0.23328      0.205331     0.118784     0.88019      
0.23566      0.207368     0.118676     0.879946     
0.23804      0.209403     0.118566     0.879699     
0.24042      0.211437     0.118455     0.879448     
0.2428       0.213469     0.118343     0.879195     
0.24518      0.215498     0.11823      0.878939     
0.24756      0.217526     0.118115     0.87868      
0.24994      0.219552     0.118        0.878417     
0.25232      0.221575     0.117884     0.878152     
0.2547       0.223597     0.117767     0.877884     
0.25708      0.225617     0.117649     0.877614     
0.25946      0.227635     0.11753      0.87734      
0.26184      0.22965      0.11741      0.877063     
0.26422      0.231664     0.117288     0.876784     
0.2666       0.233675     0.117166     0.876502     
0.26898      0.235685     0.117043     0.876216     
0.27136      0.237692     0.116919     0.875928     
0.27374      0.239697     0.116793     0.875638     
0.27612      0.2417       0.116667     0.875344     
0.2785       0.243701     0.11654      0.875048     
0.28088      0.245699     0.116412     0.874749     
0.28326      0.247696     0.116282     0.874447     
0.28564      0.24969      0.116152     0.874142     
0.28802      0.251682     0.116021     0.873835     
0.2904       0.253671     0.115889     0.873524     
0.29278      0.255659     0.115756     0.873212     
0.29516      0.257644     0.115621     0.872896     
0.29754      0.259627     0.115486     0.872578     
0.29992      0.261607     0.11535      0.872257     
0.3023       0.263585     0.115213     0.871933     
0.30468      0.265561     0.115075     0.871606     
0.30706      0.267534     0.114936     0.871277     
0.30944      0.269505     0.114796     0.870945     
0.31182      0.271474     0.114655     0.870611     
0.3142       0.27344      0.114513     0.870274     
0.31658      0.275404     0.11437      0.869934     
0.31896      0.277365     0.114226     0.869592     
0.32134      0.279324     0.114081     0.869246     
0.32372      0.28128      0.113935     0.868899     
0.3261       0.283234     0.113788     0.868548     
0.32848      0.285185     0.113641     0.868196     
0.33086      0.287134     0.113492     0.86784      
0.33324      0.28908      0.113342     0.867482     
0.33562      0.291023     0.113192     0.867121     
0.338        0.292964     0.11304      0.866758     
0.34038      0.294902     0.112888     0.866392     
0.34276      0.296838     0.112734     0.866023     
0.34514      0.298771     0.11258      0.865652     
0.34752      0.300702     0.112425     0.865279     
0.3499       0.302629     0.112268     0.864902     
0.35228      0.304554     0.112111     0.864524     
0.35466      0.306477     0.111953     0.864142     
0.35704      0.308396     0.111794     0.863759     
0.35942      0.310313     0.111634     0.863372     
0.3618       0.312227     0.111473     0.862983     
0.36418      0.314139     0.111312     0.862592     
0.36656      0.316047     0.111149     0.862198     
0.36894      0.317953     0.110985     0.861802     
0.37132      0.319856     0.110821     0.861403     
0.3737       0.321756     0.110656     0.861002     
0.37608      0.323654     0.110489     0.860598     
0.37846      0.325548     0.110322     0.860191     
0.38084      0.32744      0.110154     0.859783     
0.38322      0.329328     0.109985     0.859371     
0.3856       0.331214     0.109815     0.858957     
0.38798      0.333097     0.109644     0.858541     
0.39036      0.334977     0.109473     0.858123     
0.39274      0.336854     0.1093       0.857701     
0.39512      0.338728     0.109127     0.857278     
0.3975       0.340599     0.108952     0.856852     
0.39988      0.342467     0.108777     0.856424     
0.40226      0.344332     0.108601     0.855993     
0.40464      0.346194     0.108424     0.855559     
0.40702      0.348052     0.108246     0.855124     
0.4094       0.349908     0.108068     0.854686     
0.41178      0.351761     0.107888     0.854245     
0.41416      0.353611     0.107708     0.853802     
0.41654      0.355457     0.107526     0.853357     
0.41892      0.357301     0.107344     0.85291      
0.4213       0.359141     0.107161     0.85246      
0.42368      0.360978     0.106978     0.852007     
0.42606      0.362812     0.106793     0.851552     
0.42844      0.364643     0.106607     0.851095     
0.43082      0.366471     0.106421     0.850636     
0.4332       0.368295     0.106234     0.850174     
0.43558      0.370117     0.106046     0.84971      
0.43796      0.371935     0.105857     0.849243     
0.44034      0.373749     0.105667     0.848775     
0.44272      0.375561     0.105477     0.848303     
0.4451       0.377369     0.105285     0.84783      
0.44748      0.379174     0.105093     0.847354     
0.44986      0.380976     0.1049       0.846876     
0.45224      0.382774     0.104707     0.846396     
0.45462      0.384569     0.104512     0.845913     
0.457        0.386361     0.104317     0.845428     
0.45938      0.388149     0.10412      0.844941     
0.46176      0.389934     0.103923     0.844451     
0.46414      0.391715     0.103725     0.843959     
0.46652      0.393493     0.103527     0.843465     
0.4689       0.395268     0.103327     0.842969     
0.47128      0.397039     0.103127     0.84247      
0.47366      0.398807     0.102926     0.841969     
0.47604      0.400572     0.102724     0.841466     
0.47842      0.402332     0.102522     0.840961     
0.4808       0.40409      0.102318     0.840453     
0.48318      0.405844     0.102114     0.839943     
0.48556      0.407594     0.101909     0.839431     
0.48794      0.409341     0.101704     0.838917     
0.49032      0.411084     0.101497     0.8384       
0.4927       0.412824     0.10129      0.837881     
0.49508      0.41456      0.101082     0.83736      
0.49746      0.416293     0.100873     0.836837     
0.49984      0.418022     0.100664     0.836312     
0.50222      0.419748     0.100454     0.835784     
0.5046       0.42147      0.100243     0.835255     
0.50698      0.423188     0.100031     0.834723     
0.50936      0.424902     0.0998185    0.834189     
0.51174      0.426613     0.0996053    0.833652     
0.51412      0.428321     0.0993913    0.833114     
0.5165       0.430024     0.0991766    0.832573     
0.51888      0.431724     0.0989612    0.832031     
0.52126      0.43342      0.0987451    0.831486     
0.52364      0.435113     0.0985282    0.830939     
0.52602      0.436802     0.0983106    0.83039      
0.5284       0.438487     0.0980923    0.829838     
0.53078      0.440168     0.0978733    0.829285     
0.53316      0.441845     0.0976535    0.828729     
0.53554      0.443519     0.0974331    0.828172     
0.53792      0.445189     0.097212     0.827612     
0.5403       0.446855     0.0969901    0.82705      
0.54268      0.448517     0.0967676    0.826486     
0.54506      0.450176     0.0965443    0.82592      
0.54744      0.451831     0.0963204    0.825352     
0.54982      0.453481     0.0960958    0.824782     
0.5522       0.455128     0.0958704    0.824209     
0.55458      0.456772     0.0956444    0.823635     
0.55696      0.458411     0.0954178    0.823059     
0.55934      0.460046     0.0951904    0.82248      
0.56172      0.461677     0.0949624    0.8219       
0.5641       0.463305     0.0947337    0.821317     
0.56648      0.464928     0.0945044    0.820732     
0.56886      0.466548     0.0942743    0.820146     
0.57124      0.468164     0.0940437    0.819557     
0.57362      0.469775     0.0938123    0.818966     
0.576        0.471383     0.0935804    0.818374     
0.57838      0.472987     0.0933477    0.817779     
0.58076      0.474587     0.0931144    0.817182     
0.58314      0.476182     0.0928805    0.816583     
0.58552      0.477774     0.092646     0.815983     
0.5879       0.479362     0.0924108    0.81538      
0.59028      0.480945     0.0921749    0.814775     
0.59266      0.482525     0.0919385    0.814168     
0.59504      0.484101     0.0917014    0.81356      
0.59742      0.485672     0.0914637    0.812949     
0.5998       0.487239     0.0912254    0.812336     
0.60218      0.488803     0.0909864    0.811722     
0.60456      0.490362     0.0907469    0.811105     
0.60694      0.491917     0.0905067    0.810487     
0.60932      0.493468     0.0902659    0.809866     
0.6117       0.495015     0.0900246    0.809244     
0.61408      0.496557     0.0897826    0.80862      
0.61646      0.498096     0.0895401    0.807994     
0.61884      0.49963      0.0892969    0.807365     
0.62122      0.50116      0.0890532    0.806735     
0.6236       0.502686     0.0888089    0.806103     
0.62598      0.504208     0.088564     0.80547      
0.62836      0.505725     0.0883185    0.804834     
0.63074      0.507239     0.0880724    0.804196     
0.63312      0.508748     0.0878258    0.803557     
0.6355       0.510253     0.0875786    0.802915     
0.63788      0.511753     0.0873309    0.802272     
0.64026      0.51325      0.0870825    0.801627     
0.64264      0.514742     0.0868337    0.80098      
0.64502      0.51623      0.0865843    0.800331     
0.6474       0.517713     0.0863343    0.799681     
0.64978      0.519192     0.0860838    0.799028     
0.65216      0.520667     0.0858327    0.798374     
0.65454      0.522138     0.0855811    0.797718     
0.65692      0.523604     0.085329     0.79706      
0.6593       0.525066     0.0850763    0.7964       
0.66168      0.526524     0.0848231    0.795738     
0.66406      0.527977     0.0845694    0.795075     
0.66644      0.529426     0.0843152    0.794409     
0.66882      0.530871     0.0840604    0.793742     
0.6712       0.532311     0.0838052    0.793074     
0.67358      0.533747     0.0835494    0.792403     
0.67596      0.535178     0.0832931    0.791731     
0.67834      0.536605     0.0830363    0.791056     
0.68072      0.538028     0.082779     0.79038      
0.6831       0.539446     0.0825213    0.789703     
0.68548      0.54086      0.082263     0.789023     
0.68786      0.542269     0.0820042    0.788342     
0.69024      0.543674     0.081745     0.787659     
0.69262      0.545074     0.0814853    0.786975     
0.695        0.54647      0.0812251    0.786288     
0.69738      0.547862     0.0809644    0.7856       
0.69976      0.549249     0.0807033    0.78491      
0.70214      0.550631     0.0804416    0.784219     
0.70452      0.552009     0.0801796    0.783525     
0.7069       0.553383     0.079917     0.782831     
0.70928      0.554752     0.0796541    0.782134     
0.71166      0.556116     0.0793906    0.781436     
0.71404      0.557476     0.0791267    0.780736     
