# Mass = 0.0442061 Mev*(hbarc)^2/2 
# R = 2.88468 fm 
# a = 0.662 fm 
# V0 = 60.3766 MeV 
# RSO = 2.65574 fm 
# aSO = 0.662 fm 
# VSO = 32.9772 MeV fm^2
# l = 0 
# two_j = 1 
# two_t = -1 
# Energy = -34.3604 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	-59.6015
0.012398 	-59.5987
0.014796 	-59.5959
0.017194 	-59.5931
0.019592 	-59.5903
0.02199 	-59.5875
0.024388 	-59.5847
0.026786 	-59.5818
0.029184 	-59.579
0.031582 	-59.5761
0.03398 	-59.5733
0.036378 	-59.5704
0.038776 	-59.5675
0.041174 	-59.5646
0.043572 	-59.5617
0.04597 	-59.5588
0.048368 	-59.5558
0.050766 	-59.5529
0.053164 	-59.55
0.055562 	-59.547
0.05796 	-59.544
0.060358 	-59.541
0.062756 	-59.5381
0.065154 	-59.5351
0.067552 	-59.532
0.06995 	-59.529
0.072348 	-59.526
0.074746 	-59.5229
0.077144 	-59.5199
0.079542 	-59.5168
0.08194 	-59.5138
0.084338 	-59.5107
0.086736 	-59.5076
0.089134 	-59.5045
0.091532 	-59.5013
0.09393 	-59.4982
0.096328 	-59.4951
0.098726 	-59.4919
0.101124 	-59.4888
0.103522 	-59.4856
0.10592 	-59.4824
0.108318 	-59.4792
0.110716 	-59.476
0.113114 	-59.4728
0.115512 	-59.4695
0.11791 	-59.4663
0.120308 	-59.463
0.122706 	-59.4598
0.125104 	-59.4565
0.127502 	-59.4532
0.1299 	-59.4499
0.132298 	-59.4466
0.134696 	-59.4433
0.137094 	-59.44
0.139492 	-59.4366
0.14189 	-59.4332
0.144288 	-59.4299
0.146686 	-59.4265
0.149084 	-59.4231
0.151482 	-59.4197
0.15388 	-59.4163
0.156278 	-59.4129
0.158676 	-59.4094
0.161074 	-59.406
0.163472 	-59.4025
0.16587 	-59.399
0.168268 	-59.3955
0.170666 	-59.392
0.173064 	-59.3885
0.175462 	-59.385
0.17786 	-59.3814
0.180258 	-59.3779
0.182656 	-59.3743
0.185054 	-59.3708
0.187452 	-59.3672
0.18985 	-59.3636
0.192248 	-59.3599
0.194646 	-59.3563
0.197044 	-59.3527
0.199442 	-59.349
0.20184 	-59.3454
0.204238 	-59.3417
0.206636 	-59.338
0.209034 	-59.3343
0.211432 	-59.3306
0.21383 	-59.3268
0.216228 	-59.3231
0.218626 	-59.3193
0.221024 	-59.3156
0.223422 	-59.3118
0.22582 	-59.308
0.228218 	-59.3042
0.230616 	-59.3004
0.233014 	-59.2965
0.235412 	-59.2927
0.23781 	-59.2888
0.240208 	-59.2849
0.242606 	-59.2811
0.245004 	-59.2771
0.247402 	-59.2732
0.2498 	-59.2693
0.252198 	-59.2654
0.254596 	-59.2614
0.256994 	-59.2574
0.259392 	-59.2534
0.26179 	-59.2494
0.264188 	-59.2454
0.266586 	-59.2414
0.268984 	-59.2374
0.271382 	-59.2333
0.27378 	-59.2292
0.276178 	-59.2251
0.278576 	-59.221
0.280974 	-59.2169
0.283372 	-59.2128
0.28577 	-59.2087
0.288168 	-59.2045
0.290566 	-59.2003
0.292964 	-59.1962
0.295362 	-59.192
0.29776 	-59.1877
0.300158 	-59.1835
0.302556 	-59.1793
0.304954 	-59.175
0.307352 	-59.1707
0.30975 	-59.1664
0.312148 	-59.1621
0.314546 	-59.1578
0.316944 	-59.1535
0.319342 	-59.1491
0.32174 	-59.1448
0.324138 	-59.1404
0.326536 	-59.136
0.328934 	-59.1316
0.331332 	-59.1272
0.33373 	-59.1227
0.336128 	-59.1183
0.338526 	-59.1138
0.340924 	-59.1093
0.343322 	-59.1048
0.34572 	-59.1003
0.348118 	-59.0958
0.350516 	-59.0912
0.352914 	-59.0867
0.355312 	-59.0821
0.35771 	-59.0775
0.360108 	-59.0729
0.362506 	-59.0682
0.364904 	-59.0636
0.367302 	-59.0589
0.3697 	-59.0543
0.372098 	-59.0496
0.374496 	-59.0449
0.376894 	-59.0401
0.379292 	-59.0354
0.38169 	-59.0306
0.384088 	-59.0259
0.386486 	-59.0211
0.388884 	-59.0163
0.391282 	-59.0114
