# Mass = 0.0473905 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 50.2779 MeV 
# RSO = 4.438 fm 
# aSO = 0.662 fm 
# VSO = 28.6942 MeV fm^2
# l = 2 
# two_j = 3 
# two_t = -1 
# Energy = -18.8878 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	1.26603e+06
0.012398 	823632
0.014796 	578279
0.017194 	428213
0.019592 	329793
0.02199 	261777
0.024388 	212820
0.026786 	176412
0.029184 	148604
0.031582 	126887
0.03398 	109603
0.036378 	95623.4
0.038776 	84156.1
0.041174 	74633.4
0.043572 	66639.2
0.04597 	59863.2
0.048368 	54069.7
0.050766 	49077.7
0.053164 	44745.8
0.055562 	40962.6
0.05796 	37639.2
0.060358 	34704
0.062756 	32098.8
0.065154 	29775.9
0.067552 	27696
0.06995 	25826.2
0.072348 	24139.3
0.074746 	22612.2
0.077144 	21225.2
0.079542 	19961.8
0.08194 	18807.6
0.084338 	17750.5
0.086736 	16779.9
0.089134 	15886.5
0.091532 	15062.5
0.09393 	14300.7
0.096328 	13595.1
0.098726 	12940.3
0.101124 	12331.5
0.103522 	11764.6
0.10592 	11235.7
0.108318 	10741.5
0.110716 	10279.1
0.113114 	9845.85
0.115512 	9439.25
0.11791 	9057.21
0.120308 	8697.79
0.122706 	8359.23
0.125104 	8039.95
0.127502 	7738.51
0.1299 	7453.62
0.132298 	7184.07
0.134696 	6928.8
0.137094 	6686.8
0.139492 	6457.17
0.14189 	6239.09
0.144288 	6031.79
0.146686 	5834.57
0.149084 	5646.79
0.151482 	5467.86
0.15388 	5297.23
0.156278 	5134.4
0.158676 	4978.89
0.161074 	4830.27
0.163472 	4688.15
0.16587 	4552.14
0.168268 	4421.91
0.170666 	4297.13
0.173064 	4177.5
0.175462 	4062.74
0.17786 	3952.59
0.180258 	3846.81
0.182656 	3745.16
0.185054 	3647.45
0.187452 	3553.46
0.18985 	3463
0.192248 	3375.91
0.194646 	3292.02
0.197044 	3211.18
0.199442 	3133.23
0.20184 	3058.05
0.204238 	2985.49
0.206636 	2915.45
0.209034 	2847.81
0.211432 	2782.45
0.21383 	2719.28
0.216228 	2658.2
0.218626 	2599.12
0.221024 	2541.95
0.223422 	2486.61
0.22582 	2433.03
0.228218 	2381.12
0.230616 	2330.83
0.233014 	2282.08
0.235412 	2234.81
0.23781 	2188.97
0.240208 	2144.49
0.242606 	2101.32
0.245004 	2059.42
0.247402 	2018.73
0.2498 	1979.2
0.252198 	1940.8
0.254596 	1903.47
0.256994 	1867.19
0.259392 	1831.91
0.26179 	1797.59
0.264188 	1764.21
0.266586 	1731.72
0.268984 	1700.09
0.271382 	1669.3
0.27378 	1639.32
0.276178 	1610.11
0.278576 	1581.65
0.280974 	1553.92
0.283372 	1526.89
0.28577 	1500.54
0.288168 	1474.84
0.290566 	1449.78
0.292964 	1425.33
0.295362 	1401.47
0.29776 	1378.19
0.300158 	1355.46
0.302556 	1333.27
0.304954 	1311.61
0.307352 	1290.44
0.30975 	1269.77
0.312148 	1249.57
0.314546 	1229.83
0.316944 	1210.54
0.319342 	1191.68
0.32174 	1173.24
0.324138 	1155.21
0.326536 	1137.58
0.328934 	1120.33
0.331332 	1103.45
0.33373 	1086.93
0.336128 	1070.77
0.338526 	1054.95
0.340924 	1039.46
0.343322 	1024.3
0.34572 	1009.45
0.348118 	994.902
0.350516 	980.655
0.352914 	966.698
0.355312 	953.022
0.35771 	939.62
0.360108 	926.485
0.362506 	913.61
0.364904 	900.988
0.367302 	888.613
0.3697 	876.477
0.372098 	864.575
0.374496 	852.901
0.376894 	841.45
0.379292 	830.214
0.38169 	819.19
0.384088 	808.372
0.386486 	797.754
0.388884 	787.333
0.391282 	777.102
0.39368 	767.057
0.396078 	757.195
0.398476 	747.51
0.400874 	737.999
0.403272 	728.656
0.40567 	719.479
0.408068 	710.463
0.410466 	701.604
0.412864 	692.9
0.415262 	684.346
0.41766 	675.939
0.420058 	667.675
0.422456 	659.552
0.424854 	651.566
0.427252 	643.714
0.42965 	635.993
0.432048 	628.4
0.434446 	620.933
0.436844 	613.588
0.439242 	606.363
0.44164 	599.256
0.444038 	592.264
0.446436 	585.384
0.448834 	578.613
0.451232 	571.951
0.45363 	565.394
0.456028 	558.94
0.458426 	552.587
0.460824 	546.333
0.463222 	540.176
0.46562 	534.114
0.468018 	528.145
0.470416 	522.266
0.472814 	516.477
0.475212 	510.776
0.47761 	505.16
0.480008 	499.628
0.482406 	494.179
0.484804 	488.81
0.487202 	483.52
0.4896 	478.307
0.491998 	473.171
0.494396 	468.11
0.496794 	463.121
0.499192 	458.204
0.50159 	453.358
0.503988 	448.58
0.506386 	443.87
0.508784 	439.227
0.511182 	434.649
0.51358 	430.135
0.515978 	425.684
0.518376 	421.294
0.520774 	416.965
0.523172 	412.695
0.52557 	408.483
0.527968 	404.329
0.530366 	400.231
0.532764 	396.189
0.535162 	392.2
0.53756 	388.265
0.539958 	384.382
0.542356 	380.55
0.544754 	376.769
0.547152 	373.038
0.54955 	369.355
0.551948 	365.72
0.554346 	362.133
0.556744 	358.591
0.559142 	355.095
0.56154 	351.644
0.563938 	348.237
0.566336 	344.873
0.568734 	341.551
0.571132 	338.271
0.57353 	335.032
0.575928 	331.834
0.578326 	328.675
0.580724 	325.555
0.583122 	322.474
0.58552 	319.431
0.587918 	316.424
0.590316 	313.455
0.592714 	310.521
0.595112 	307.623
0.59751 	304.759
0.599908 	301.93
0.602306 	299.134
0.604704 	296.372
0.607102 	293.643
0.6095 	290.945
0.611898 	288.279
0.614296 	285.645
0.616694 	283.041
0.619092 	280.467
0.62149 	277.923
0.623888 	275.408
0.626286 	272.922
0.628684 	270.465
0.631082 	268.035
0.63348 	265.633
0.635878 	263.259
0.638276 	260.911
0.640674 	258.589
0.643072 	256.293
0.64547 	254.023
0.647868 	251.778
0.650266 	249.557
0.652664 	247.361
0.655062 	245.19
0.65746 	243.042
0.659858 	240.917
0.662256 	238.815
0.664654 	236.736
0.667052 	234.68
0.66945 	232.645
0.671848 	230.633
0.674246 	228.641
0.676644 	226.671
0.679042 	224.722
0.68144 	222.793
0.683838 	220.885
0.686236 	218.996
0.688634 	217.128
0.691032 	215.278
0.69343 	213.448
0.695828 	211.637
0.698226 	209.844
0.700624 	208.07
0.703022 	206.314
0.70542 	204.575
0.707818 	202.855
0.710216 	201.152
0.712614 	199.466
0.715012 	197.797
0.71741 	196.144
0.719808 	194.508
0.722206 	192.889
0.724604 	191.285
0.727002 	189.698
0.7294 	188.126
0.731798 	186.569
0.734196 	185.028
0.736594 	183.501
0.738992 	181.99
0.74139 	180.493
0.743788 	179.011
0.746186 	177.543
0.748584 	176.089
0.750982 	174.649
0.75338 	173.222
0.755778 	171.81
0.758176 	170.41
0.760574 	169.024
0.762972 	167.651
0.76537 	166.291
0.767768 	164.944
0.770166 	163.609
0.772564 	162.286
0.774962 	160.976
0.77736 	159.678
0.779758 	158.392
0.782156 	157.118
0.784554 	155.855
0.786952 	154.604
0.78935 	153.364
0.791748 	152.136
0.794146 	150.919
0.796544 	149.712
0.798942 	148.517
0.80134 	147.332
0.803738 	146.158
0.806136 	144.994
0.808534 	143.841
0.810932 	142.698
0.81333 	141.565
0.815728 	140.442
0.818126 	139.329
0.820524 	138.226
0.822922 	137.132
0.82532 	136.048
0.827718 	134.973
0.830116 	133.907
0.832514 	132.851
0.834912 	131.804
0.83731 	130.766
0.839708 	129.737
0.842106 	128.716
0.844504 	127.704
0.846902 	126.701
0.8493 	125.706
0.851698 	124.72
0.854096 	123.742
0.856494 	122.772
0.858892 	121.811
0.86129 	120.857
0.863688 	119.911
0.866086 	118.974
0.868484 	118.044
0.870882 	117.121
0.87328 	116.206
0.875678 	115.299
0.878076 	114.399
0.880474 	113.507
0.882872 	112.622
0.88527 	111.744
0.887668 	110.873
0.890066 	110.009
0.892464 	109.152
0.894862 	108.302
0.89726 	107.459
0.899658 	106.622
0.902056 	105.793
0.904454 	104.97
0.906852 	104.153
0.90925 	103.343
0.911648 	102.539
0.914046 	101.742
0.916444 	100.95
0.918842 	100.165
0.92124 	99.3865
0.923638 	98.6138
0.926036 	97.847
0.928434 	97.0862
0.930832 	96.3312
0.93323 	95.5821
0.935628 	94.8387
0.938026 	94.1011
0.940424 	93.3691
0.942822 	92.6427
0.94522 	91.9218
0.947618 	91.2064
0.950016 	90.4964
0.952414 	89.7918
0.954812 	89.0925
0.95721 	88.3984
0.959608 	87.7096
0.962006 	87.0259
0.964404 	86.3474
0.966802 	85.6738
0.9692 	85.0053
0.971598 	84.3418
0.973996 	83.6831
0.976394 	83.0293
0.978792 	82.3803
0.98119 	81.7361
0.983588 	81.0966
0.985986 	80.4618
0.988384 	79.8316
0.990782 	79.206
0.99318 	78.5849
0.995578 	77.9683
0.997976 	77.3561
1.00037 	76.7484
1.00277 	76.145
1.00517 	75.546
1.00757 	74.9512
1.00997 	74.3607
1.01236 	73.7744
1.01476 	73.1923
1.01716 	72.6143
1.01956 	72.0403
1.02196 	71.4704
1.02435 	70.9045
1.02675 	70.3426
1.02915 	69.7847
1.03155 	69.2306
1.03395 	68.6804
1.03634 	68.134
1.03874 	67.5914
1.04114 	67.0526
1.04354 	66.5174
1.04594 	65.986
1.04833 	65.4582
1.05073 	64.9341
1.05313 	64.4135
1.05553 	63.8965
1.05793 	63.383
1.06032 	62.873
1.06272 	62.3665
1.06512 	61.8634
1.06752 	61.3637
1.06992 	60.8674
1.07231 	60.3744
1.07471 	59.8847
1.07711 	59.3983
1.07951 	58.9151
1.08191 	58.4352
1.0843 	57.9585
1.0867 	57.4849
1.0891 	57.0144
1.0915 	56.5471
1.0939 	56.0829
1.09629 	55.6217
1.09869 	55.1635
1.10109 	54.7083
1.10349 	54.2562
1.10589 	53.8069
1.10828 	53.3606
1.11068 	52.9172
1.11308 	52.4767
1.11548 	52.039
1.11788 	51.6041
1.12027 	51.1721
1.12267 	50.7428
1.12507 	50.3163
1.12747 	49.8925
1.12987 	49.4714
1.13226 	49.053
1.13466 	48.6373
1.13706 	48.2242
1.13946 	47.8137
1.14186 	47.4058
1.14425 	47.0005
1.14665 	46.5978
1.14905 	46.1976
1.15145 	45.7999
1.15385 	45.4046
1.15624 	45.0119
1.15864 	44.6216
1.16104 	44.2337
1.16344 	43.8483
1.16584 	43.4652
1.16823 	43.0845
1.17063 	42.7061
1.17303 	42.3301
1.17543 	41.9564
1.17783 	41.585
1.18022 	41.2159
1.18262 	40.849
1.18502 	40.4843
1.18742 	40.1219
1.18982 	39.7617
1.19221 	39.4037
1.19461 	39.0478
1.19701 	38.6941
1.19941 	38.3425
1.20181 	37.993
1.2042 	37.6456
1.2066 	37.3003
1.209 	36.9571
1.2114 	36.616
1.2138 	36.2768
1.21619 	35.9397
1.21859 	35.6046
1.22099 	35.2714
1.22339 	34.9403
1.22579 	34.6111
1.22818 	34.2838
1.23058 	33.9585
1.23298 	33.635
1.23538 	33.3135
1.23778 	32.9938
1.24017 	32.6761
1.24257 	32.3601
1.24497 	32.046
1.24737 	31.7337
1.24977 	31.4233
1.25216 	31.1146
1.25456 	30.8077
1.25696 	30.5026
1.25936 	30.1993
1.26176 	29.8976
1.26415 	29.5977
1.26655 	29.2996
1.26895 	29.0031
1.27135 	28.7083
1.27375 	28.4152
1.27614 	28.1238
1.27854 	27.834
1.28094 	27.5458
1.28334 	27.2593
1.28574 	26.9744
1.28813 	26.6911
1.29053 	26.4094
1.29293 	26.1293
1.29533 	25.8508
1.29773 	25.5738
1.30012 	25.2983
1.30252 	25.0244
1.30492 	24.752
1.30732 	24.4811
1.30972 	24.2117
1.31211 	23.9439
1.31451 	23.6774
1.31691 	23.4125
1.31931 	23.149
1.32171 	22.887
1.3241 	22.6264
1.3265 	22.3672
1.3289 	22.1095
1.3313 	21.8531
1.3337 	21.5982
1.33609 	21.3446
1.33849 	21.0924
1.34089 	20.8416
1.34329 	20.5921
1.34569 	20.344
1.34808 	20.0973
1.35048 	19.8518
1.35288 	19.6077
1.35528 	19.3649
1.35768 	19.1234
1.36007 	18.8831
1.36247 	18.6442
1.36487 	18.4065
1.36727 	18.1701
1.36967 	17.935
1.37206 	17.7011
1.37446 	17.4684
1.37686 	17.237
1.37926 	17.0068
1.38166 	16.7778
1.38405 	16.55
1.38645 	16.3234
1.38885 	16.098
1.39125 	15.8738
1.39365 	15.6507
1.39604 	15.4288
1.39844 	15.2081
1.40084 	14.9885
1.40324 	14.7701
1.40564 	14.5528
1.40803 	14.3366
1.41043 	14.1215
1.41283 	13.9076
1.41523 	13.6947
1.41763 	13.483
1.42002 	13.2723
1.42242 	13.0627
1.42482 	12.8542
1.42722 	12.6467
1.42962 	12.4404
1.43201 	12.235
1.43441 	12.0307
1.43681 	11.8275
1.43921 	11.6253
1.44161 	11.4241
1.444 	11.2239
1.4464 	11.0247
1.4488 	10.8266
1.4512 	10.6294
1.4536 	10.4332
1.45599 	10.2381
1.45839 	10.0439
1.46079 	9.85062
1.46319 	9.65836
1.46559 	9.46705
1.46798 	9.2767
1.47038 	9.0873
1.47278 	8.89883
1.47518 	8.71131
1.47758 	8.52471
1.47997 	8.33903
1.48237 	8.15428
1.48477 	7.97043
1.48717 	7.78749
1.48957 	7.60545
1.49196 	7.42431
1.49436 	7.24405
1.49676 	7.06468
1.49916 	6.88619
1.50156 	6.70856
1.50395 	6.53181
1.50635 	6.35591
1.50875 	6.18087
1.51115 	6.00669
1.51355 	5.83334
1.51594 	5.66084
1.51834 	5.48917
1.52074 	5.31833
1.52314 	5.14831
1.52554 	4.97912
1.52793 	4.81073
1.53033 	4.64316
1.53273 	4.47639
1.53513 	4.31042
1.53753 	4.14524
1.53992 	3.98085
1.54232 	3.81725
1.54472 	3.65443
1.54712 	3.49238
1.54952 	3.3311
1.55191 	3.17059
1.55431 	3.01084
1.55671 	2.85184
1.55911 	2.6936
1.56151 	2.5361
1.5639 	2.37935
1.5663 	2.22333
1.5687 	2.06805
1.5711 	1.91349
1.5735 	1.75966
1.57589 	1.60656
1.57829 	1.45416
1.58069 	1.30248
1.58309 	1.15151
1.58549 	1.00124
1.58788 	0.851675
1.59028 	0.702801
1.59268 	0.554618
1.59508 	0.407122
1.59748 	0.260309
1.59987 	0.114174
1.60227 	-0.0312848
1.60467 	-0.176073
