# Mass = 0.0473265 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 56.2183 MeV 
# RSO = 4.438 fm 
# aSO = 0.662 fm 
# VSO = 28.772 MeV fm^2
# l = 2 
# two_j = 3 
# two_t = 1 
# Energy = -14.6081 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	1.26775e+06
0.012398 	824753
0.014796 	579067
0.017194 	428798
0.019592 	330245
0.02199 	262137
0.024388 	213113
0.026786 	176656
0.029184 	148811
0.031582 	127064
0.03398 	109757
0.036378 	95758.2
0.038776 	84275.4
0.041174 	74739.8
0.043572 	66734.8
0.04597 	59949.6
0.048368 	54148.3
0.050766 	49149.5
0.053164 	44811.8
0.055562 	41023.4
0.05796 	37695.5
0.060358 	34756.3
0.062756 	32147.6
0.065154 	29821.5
0.067552 	27738.8
0.06995 	25866.5
0.072348 	24177.4
0.074746 	22648.1
0.077144 	21259.3
0.079542 	19994.1
0.08194 	18838.4
0.084338 	17779.9
0.086736 	16807.9
0.089134 	15913.4
0.091532 	15088.2
0.09393 	14325.4
0.096328 	13618.8
0.098726 	12963.2
0.101124 	12353.6
0.103522 	11785.8
0.10592 	11256.2
0.108318 	10761.4
0.110716 	10298.4
0.113114 	9864.5
0.115512 	9457.35
0.11791 	9074.79
0.120308 	8714.88
0.122706 	8375.86
0.125104 	8056.15
0.127502 	7754.31
0.1299 	7469.03
0.132298 	7199.12
0.134696 	6943.5
0.137094 	6701.17
0.139492 	6471.23
0.14189 	6252.85
0.144288 	6045.27
0.146686 	5847.79
0.149084 	5659.76
0.151482 	5480.58
0.15388 	5309.72
0.156278 	5146.67
0.158676 	4990.94
0.161074 	4842.13
0.163472 	4699.81
0.16587 	4563.62
0.168268 	4433.21
0.170666 	4308.26
0.173064 	4188.47
0.175462 	4073.56
0.17786 	3963.26
0.180258 	3857.33
0.182656 	3755.55
0.185054 	3657.7
0.187452 	3563.58
0.18985 	3473.01
0.192248 	3385.8
0.194646 	3301.8
0.197044 	3220.84
0.199442 	3142.79
0.20184 	3067.5
0.204238 	2994.85
0.206636 	2924.71
0.209034 	2856.98
0.211432 	2791.53
0.21383 	2728.27
0.216228 	2667.11
0.218626 	2607.95
0.221024 	2550.7
0.223422 	2495.29
0.22582 	2441.63
0.228218 	2389.66
0.230616 	2339.3
0.233014 	2290.48
0.235412 	2243.15
0.23781 	2197.24
0.240208 	2152.7
0.242606 	2109.48
0.245004 	2067.52
0.247402 	2026.77
0.2498 	1987.19
0.252198 	1948.74
0.254596 	1911.36
0.256994 	1875.03
0.259392 	1839.7
0.26179 	1805.34
0.264188 	1771.9
0.266586 	1739.37
0.268984 	1707.7
0.271382 	1676.87
0.27378 	1646.84
0.276178 	1617.6
0.278576 	1589.1
0.280974 	1561.33
0.283372 	1534.27
0.28577 	1507.88
0.288168 	1482.15
0.290566 	1457.05
0.292964 	1432.57
0.295362 	1408.68
0.29776 	1385.36
0.300158 	1362.6
0.302556 	1340.39
0.304954 	1318.69
0.307352 	1297.5
0.30975 	1276.8
0.312148 	1256.57
0.314546 	1236.8
0.316944 	1217.49
0.319342 	1198.6
0.32174 	1180.14
0.324138 	1162.08
0.326536 	1144.42
0.328934 	1127.15
0.331332 	1110.25
0.33373 	1093.71
0.336128 	1077.52
0.338526 	1061.68
0.340924 	1046.17
0.343322 	1030.99
0.34572 	1016.12
0.348118 	1001.55
0.350516 	987.285
0.352914 	973.308
0.355312 	959.614
0.35771 	946.194
0.360108 	933.041
0.362506 	920.148
0.364904 	907.508
0.367302 	895.116
0.3697 	882.963
0.372098 	871.045
0.374496 	859.355
0.376894 	847.888
0.379292 	836.637
0.38169 	825.598
0.384088 	814.764
0.386486 	804.132
0.388884 	793.696
0.391282 	783.451
0.39368 	773.393
0.396078 	763.517
0.398476 	753.819
0.400874 	744.294
0.403272 	734.938
0.40567 	725.748
0.408068 	716.72
0.410466 	707.849
0.412864 	699.133
0.415262 	690.567
0.41766 	682.148
0.420058 	673.873
0.422456 	665.738
0.424854 	657.741
0.427252 	649.878
0.42965 	642.146
0.432048 	634.543
0.434446 	627.065
0.436844 	619.711
0.439242 	612.476
0.44164 	605.358
0.444038 	598.356
0.446436 	591.466
0.448834 	584.687
0.451232 	578.015
0.45363 	571.449
0.456028 	564.986
0.458426 	558.624
0.460824 	552.361
0.463222 	546.195
0.46562 	540.125
0.468018 	534.147
0.470416 	528.261
0.472814 	522.463
0.475212 	516.754
0.47761 	511.13
0.480008 	505.59
0.482406 	500.133
0.484804 	494.756
0.487202 	489.459
0.4896 	484.239
0.491998 	479.096
0.494396 	474.027
0.496794 	469.031
0.499192 	464.107
0.50159 	459.254
0.503988 	454.47
0.506386 	449.753
0.508784 	445.103
0.511182 	440.519
0.51358 	435.998
0.515978 	431.54
0.518376 	427.144
0.520774 	422.809
0.523172 	418.533
0.52557 	414.315
0.527968 	410.155
0.530366 	406.051
0.532764 	402.003
0.535162 	398.008
0.53756 	394.067
0.539958 	390.179
0.542356 	386.342
0.544754 	382.555
0.547152 	378.818
0.54955 	375.13
0.551948 	371.49
0.554346 	367.897
0.556744 	364.351
0.559142 	360.85
0.56154 	357.393
0.563938 	353.981
0.566336 	350.612
0.568734 	347.285
0.571132 	344.001
0.57353 	340.757
0.575928 	337.554
0.578326 	334.39
0.580724 	331.266
0.583122 	328.18
0.58552 	325.132
0.587918 	322.121
0.590316 	319.147
0.592714 	316.209
0.595112 	313.307
0.59751 	310.439
0.599908 	307.605
0.602306 	304.806
0.604704 	302.039
0.607102 	299.305
0.6095 	296.604
0.611898 	293.934
0.614296 	291.295
0.616694 	288.687
0.619092 	286.11
0.62149 	283.562
0.623888 	281.043
0.626286 	278.554
0.628684 	276.092
0.631082 	273.659
0.63348 	271.253
