# Mass = 0.0480256 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 45.1828 MeV 
# RSO = 6.87299 fm 
# aSO = 0.662 fm 
# VSO = 27.9403 MeV fm^2
# l = 1 
# two_j = 3 
# two_t = -1 
# Energy = -37.1982 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	416399
0.012398 	270883
0.014796 	190180
0.017194 	140820
0.019592 	108447
0.02199 	86075.3
0.024388 	69971.9
0.026786 	57996.6
0.029184 	48850.1
0.031582 	41706.8
0.03398 	36021.8
0.036378 	31423.5
0.038776 	27651.7
0.041174 	24519.5
0.043572 	21890
0.04597 	19661.2
0.048368 	17755.6
0.050766 	16113.7
0.053164 	14688.8
0.055562 	13444.5
0.05796 	12351.3
0.060358 	11385.9
0.062756 	10529
0.065154 	9764.93
0.067552 	9080.81
0.06995 	8465.82
0.072348 	7910.97
0.074746 	7408.66
0.077144 	6952.46
0.079542 	6536.9
0.08194 	6157.28
0.084338 	5809.58
0.086736 	5490.32
0.089134 	5196.48
0.091532 	4925.43
0.09393 	4674.88
0.096328 	4442.8
0.098726 	4227.42
0.101124 	4027.19
0.103522 	3840.71
0.10592 	3666.75
0.108318 	3504.22
0.110716 	3352.13
0.113114 	3209.61
0.115512 	3075.87
0.11791 	2950.22
0.120308 	2832
0.122706 	2720.64
0.125104 	2615.62
0.127502 	2516.48
0.1299 	2422.77
0.132298 	2334.12
0.134696 	2250.15
0.137094 	2170.56
0.139492 	2095.03
0.14189 	2023.3
0.144288 	1955.12
0.146686 	1890.25
0.149084 	1828.49
0.151482 	1769.64
0.15388 	1713.52
0.156278 	1659.96
0.158676 	1608.81
0.161074 	1559.93
0.163472 	1513.18
0.16587 	1468.45
0.168268 	1425.61
0.170666 	1384.57
0.173064 	1345.22
0.175462 	1307.48
0.17786 	1271.25
0.180258 	1236.46
0.182656 	1203.03
0.185054 	1170.89
0.187452 	1139.97
0.18985 	1110.22
0.192248 	1081.58
0.194646 	1053.99
0.197044 	1027.4
0.199442 	1001.76
0.20184 	977.029
0.204238 	953.166
0.206636 	930.129
0.209034 	907.88
0.211432 	886.383
0.21383 	865.606
0.216228 	845.517
0.218626 	826.085
0.221024 	807.282
0.223422 	789.081
0.22582 	771.456
0.228218 	754.385
0.230616 	737.843
0.233014 	721.809
0.235412 	706.263
0.23781 	691.185
0.240208 	676.556
0.242606 	662.359
0.245004 	648.576
0.247402 	635.192
0.2498 	622.192
0.252198 	609.561
0.254596 	597.285
0.256994 	585.352
0.259392 	573.747
0.26179 	562.46
0.264188 	551.479
0.266586 	540.793
0.268984 	530.392
0.271382 	520.265
0.27378 	510.403
0.276178 	500.797
0.278576 	491.438
0.280974 	482.317
0.283372 	473.427
0.28577 	464.76
0.288168 	456.308
0.290566 	448.065
0.292964 	440.023
0.295362 	432.176
0.29776 	424.518
0.300158 	417.043
0.302556 	409.745
0.304954 	402.619
0.307352 	395.658
0.30975 	388.859
0.312148 	382.216
0.314546 	375.724
0.316944 	369.379
0.319342 	363.176
0.32174 	357.112
0.324138 	351.181
0.326536 	345.381
0.328934 	339.707
0.331332 	334.156
0.33373 	328.724
0.336128 	323.408
0.338526 	318.205
0.340924 	313.111
0.343322 	308.123
0.34572 	303.239
0.348118 	298.455
0.350516 	293.769
0.352914 	289.179
0.355312 	284.681
0.35771 	280.273
0.360108 	275.953
0.362506 	271.718
0.364904 	267.567
0.367302 	263.496
0.3697 	259.505
0.372098 	255.59
0.374496 	251.751
0.376894 	247.984
0.379292 	244.289
0.38169 	240.663
0.384088 	237.105
0.386486 	233.613
0.388884 	230.185
0.391282 	226.82
0.39368 	223.517
0.396078 	220.273
0.398476 	217.088
0.400874 	213.959
0.403272 	210.886
0.40567 	207.868
0.408068 	204.903
0.410466 	201.989
0.412864 	199.126
0.415262 	196.313
0.41766 	193.548
0.420058 	190.83
0.422456 	188.158
0.424854 	185.531
0.427252 	182.949
0.42965 	180.409
0.432048 	177.912
0.434446 	175.456
0.436844 	173.04
0.439242 	170.664
0.44164 	168.326
0.444038 	166.026
0.446436 	163.764
0.448834 	161.537
0.451232 	159.345
0.45363 	157.189
0.456028 	155.066
0.458426 	152.977
0.460824 	150.92
0.463222 	148.894
0.46562 	146.901
0.468018 	144.937
0.470416 	143.004
0.472814 	141.1
0.475212 	139.224
0.47761 	137.377
0.480008 	135.558
0.482406 	133.765
0.484804 	132
0.487202 	130.26
0.4896 	128.545
0.491998 	126.856
0.494396 	125.191
0.496794 	123.55
0.499192 	121.933
0.50159 	120.339
0.503988 	118.768
0.506386 	117.218
0.508784 	115.691
0.511182 	114.185
0.51358 	112.701
0.515978 	111.236
0.518376 	109.793
0.520774 	108.369
0.523172 	106.964
0.52557 	105.579
0.527968 	104.213
0.530366 	102.865
0.532764 	101.535
0.535162 	100.223
0.53756 	98.9286
0.539958 	97.6515
0.542356 	96.3912
0.544754 	95.1475
0.547152 	93.9201
0.54955 	92.7088
0.551948 	91.5132
0.554346 	90.3331
0.556744 	89.1683
0.559142 	88.0184
0.56154 	86.8831
0.563938 	85.7624
0.566336 	84.6558
0.568734 	83.5632
0.571132 	82.4843
0.57353 	81.419
0.575928 	80.3669
0.578326 	79.3279
0.580724 	78.3017
0.583122 	77.2882
0.58552 	76.2871
0.587918 	75.2982
0.590316 	74.3213
0.592714 	73.3563
0.595112 	72.4029
0.59751 	71.461
0.599908 	70.5303
0.602306 	69.6108
0.604704 	68.7021
0.607102 	67.8042
0.6095 	66.9169
0.611898 	66.04
0.614296 	65.1733
0.616694 	64.3168
0.619092 	63.4701
0.62149 	62.6333
0.623888 	61.806
0.626286 	60.9883
0.628684 	60.1799
0.631082 	59.3807
0.63348 	58.5906
0.635878 	57.8093
0.638276 	57.0369
0.640674 	56.2731
0.643072 	55.5179
0.64547 	54.771
0.647868 	54.0325
0.650266 	53.3021
0.652664 	52.5797
0.655062 	51.8652
0.65746 	51.1586
0.659858 	50.4596
0.662256 	49.7682
0.664654 	49.0843
0.667052 	48.4078
0.66945 	47.7385
0.671848 	47.0763
0.674246 	46.4213
0.676644 	45.7731
0.679042 	45.1318
0.68144 	44.4973
0.683838 	43.8695
0.686236 	43.2482
0.688634 	42.6334
0.691032 	42.025
0.69343 	41.4228
0.695828 	40.8269
0.698226 	40.2372
0.700624 	39.6534
0.703022 	39.0757
0.70542 	38.5038
0.707818 	37.9377
0.710216 	37.3773
0.712614 	36.8226
0.715012 	36.2735
0.71741 	35.7299
0.719808 	35.1916
0.722206 	34.6588
0.724604 	34.1312
0.727002 	33.6088
0.7294 	33.0916
0.731798 	32.5795
0.734196 	32.0723
0.736594 	31.5701
0.738992 	31.0728
0.74139 	30.5803
0.743788 	30.0926
0.746186 	29.6095
0.748584 	29.1311
0.750982 	28.6573
0.75338 	28.188
0.755778 	27.7231
0.758176 	27.2627
0.760574 	26.8065
0.762972 	26.3547
0.76537 	25.9072
0.767768 	25.4638
0.770166 	25.0245
0.772564 	24.5894
0.774962 	24.1582
0.77736 	23.7311
0.779758 	23.3079
0.782156 	22.8886
0.784554 	22.4731
0.786952 	22.0614
0.78935 	21.6534
0.791748 	21.2492
0.794146 	20.8486
0.796544 	20.4516
0.798942 	20.0582
0.80134 	19.6683
0.803738 	19.2819
0.806136 	18.899
0.808534 	18.5194
0.810932 	18.1432
0.81333 	17.7704
0.815728 	17.4008
0.818126 	17.0344
0.820524 	16.6713
0.822922 	16.3114
0.82532 	15.9545
0.827718 	15.6008
0.830116 	15.2501
0.832514 	14.9025
0.834912 	14.5578
0.83731 	14.2161
0.839708 	13.8774
0.842106 	13.5415
0.844504 	13.2085
0.846902 	12.8783
0.8493 	12.5509
0.851698 	12.2262
0.854096 	11.9043
0.856494 	11.5851
0.858892 	11.2685
0.86129 	10.9546
0.863688 	10.6433
0.866086 	10.3346
0.868484 	10.0285
0.870882 	9.72483
0.87328 	9.4237
0.875678 	9.12504
0.878076 	8.82882
0.880474 	8.53502
0.882872 	8.2436
0.88527 	7.95456
0.887668 	7.66785
0.890066 	7.38346
0.892464 	7.10135
0.894862 	6.82151
0.89726 	6.54392
0.899658 	6.26853
0.902056 	5.99535
0.904454 	5.72433
0.906852 	5.45546
0.90925 	5.18871
0.911648 	4.92407
0.914046 	4.6615
0.916444 	4.401
0.918842 	4.14253
0.92124 	3.88608
0.923638 	3.63162
0.926036 	3.37914
0.928434 	3.12861
0.930832 	2.88001
0.93323 	2.63333
0.935628 	2.38854
0.938026 	2.14563
0.940424 	1.90458
0.942822 	1.66536
0.94522 	1.42796
0.947618 	1.19235
0.950016 	0.958536
0.952414 	0.726481
0.954812 	0.496172
0.95721 	0.267592
0.959608 	0.0407237
0.962006 	-0.18445
0.964404 	-0.407947
0.966802 	-0.629782
0.9692 	-0.849972
0.971598 	-1.06853
0.973996 	-1.28548
0.976394 	-1.50084
0.978792 	-1.71461
