# Mass = 0.0479598 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 59.5769 MeV 
# RSO = 6.87299 fm 
# aSO = 0.662 fm 
# VSO = 28.0171 MeV fm^2
# l = 3 
# two_j = 5 
# two_t = 1 
# Energy = -18.9057 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	2.50206e+06
0.012398 	1.62776e+06
0.014796 	1.14288e+06
0.017194 	846314
0.019592 	651812
0.02199 	517396
0.024388 	420643
0.026786 	348693
0.029184 	293738
0.031582 	250820
0.03398 	216663
0.036378 	189035
0.038776 	166373
0.041174 	147554
0.043572 	131756
0.04597 	118365
0.048368 	106916
0.050766 	97050.2
0.053164 	88489.4
0.055562 	81012.9
0.05796 	74445.1
0.060358 	68644.5
0.062756 	63496
0.065154 	58905.4
0.067552 	54795
0.06995 	51100
0.072348 	47766.4
0.074746 	44748.4
0.077144 	42007.4
0.079542 	39510.6
0.08194 	37229.8
0.084338 	35140.7
0.086736 	33222.5
0.089134 	31457.1
0.091532 	29828.5
0.09393 	28323.1
0.096328 	26928.7
0.098726 	25634.7
0.101124 	24431.7
0.103522 	23311.2
0.10592 	22266.1
0.108318 	21289.5
0.110716 	20375.7
0.113114 	19519.4
0.115512 	18715.9
0.11791 	17960.9
0.120308 	17250.7
0.122706 	16581.6
0.125104 	15950.6
0.127502 	15355
0.1299 	14791.9
0.132298 	14259.3
0.134696 	13754.8
0.137094 	13276.6
0.139492 	12822.8
0.14189 	12391.8
0.144288 	11982.2
0.146686 	11592.4
0.149084 	11221.3
0.151482 	10867.7
0.15388 	10530.5
0.156278 	10208.8
0.158676 	9901.44
0.161074 	9607.75
0.163472 	9326.88
0.16587 	9058.12
0.168268 	8800.76
0.170666 	8554.17
0.173064 	8317.76
0.175462 	8090.98
0.17786 	7873.31
0.180258 	7664.26
0.182656 	7463.4
0.185054 	7270.3
0.187452 	7084.55
0.18985 	6905.81
0.192248 	6733.71
0.194646 	6567.93
0.197044 	6408.16
0.199442 	6254.13
0.20184 	6105.55
0.204238 	5962.17
0.206636 	5823.76
0.209034 	5690.08
0.211432 	5560.93
0.21383 	5436.09
0.216228 	5315.39
0.218626 	5198.64
0.221024 	5085.66
0.223422 	4976.31
0.22582 	4870.42
0.228218 	4767.85
0.230616 	4668.46
0.233014 	4572.12
0.235412 	4478.72
0.23781 	4388.12
0.240208 	4300.23
0.242606 	4214.93
0.245004 	4132.12
0.247402 	4051.71
0.2498 	3973.6
0.252198 	3897.71
0.254596 	3823.95
0.256994 	3752.25
0.259392 	3682.53
0.26179 	3614.71
0.264188 	3548.74
0.266586 	3484.53
0.268984 	3422.04
0.271382 	3361.19
0.27378 	3301.94
0.276178 	3244.22
0.278576 	3187.99
0.280974 	3133.19
0.283372 	3079.78
0.28577 	3027.7
0.288168 	2976.92
0.290566 	2927.39
0.292964 	2879.07
0.295362 	2831.93
0.29776 	2785.92
0.300158 	2741.01
0.302556 	2697.16
0.304954 	2654.34
0.307352 	2612.52
0.30975 	2571.67
0.312148 	2531.75
0.314546 	2492.75
0.316944 	2454.62
0.319342 	2417.36
0.32174 	2380.92
0.324138 	2345.29
0.326536 	2310.44
0.328934 	2276.35
0.331332 	2243
0.33373 	2210.36
0.336128 	2178.42
0.338526 	2147.16
0.340924 	2116.55
0.343322 	2086.58
0.34572 	2057.23
0.348118 	2028.49
0.350516 	2000.34
0.352914 	1972.76
0.355312 	1945.73
0.35771 	1919.25
0.360108 	1893.29
0.362506 	1867.85
0.364904 	1842.91
0.367302 	1818.45
0.3697 	1794.47
0.372098 	1770.95
0.374496 	1747.88
0.376894 	1725.25
0.379292 	1703.05
