# Mass = 0.0463958 Mev*(hbarc)^2/2 
# R = 3.78 fm 
# a = 0.662 fm 
# V0 = 56.9883 MeV 
# RSO = 3.48 fm 
# aSO = 0.662 fm 
# VSO = 29.9379 MeV fm^2
# Rc = 3.78 fm
# Zc = 12
# n = 0 
# l = 1 
# two_j = 1 
# two_t = 1 
# Energy = -19.5332 MeV
# r          u            Phi          u/r          
0.01         2.73878e-05  0.00043634   0.00273878   
0.012398     4.20978e-05  0.000540972  0.00339553   
0.014796     5.99575e-05  0.0006456    0.00405228   
0.017194     8.09668e-05  0.000750224  0.00470902   
0.019592     0.000105126  0.000854843  0.00536574   
0.02199      0.000132434  0.000959456  0.00602244   
0.024388     0.000162891  0.00106406   0.00667913   
0.026786     0.000196496  0.00116866   0.00733579   
0.029184     0.000233251  0.00127325   0.00799242   
0.031582     0.000273154  0.00137782   0.00864903   
0.03398      0.000316204  0.00148239   0.0093056    
0.036378     0.000362402  0.00158695   0.00996213   
0.038776     0.000411748  0.00169149   0.0106186    
0.041174     0.00046424   0.00179601   0.0112751    
0.043572     0.000519879  0.00190053   0.0119315    
0.04597      0.000578663  0.00200502   0.0125878    
0.048368     0.000640593  0.0021095    0.0132442    
0.050766     0.000705668  0.00221396   0.0139004    
0.053164     0.000773887  0.0023184    0.0145566    
0.055562     0.00084525   0.00242282   0.0152127    
0.05796      0.000919755  0.00252722   0.0158688    
0.060358     0.000997404  0.0026316    0.0165248    
0.062756     0.00107819   0.00273595   0.0171807    
0.065154     0.00116212   0.00284028   0.0178366    
0.067552     0.0012492    0.00294459   0.0184924    
0.06995      0.00133941   0.00304886   0.0191481    
0.072348     0.00143276   0.00315311   0.0198037    
0.074746     0.00152924   0.00325734   0.0204592    
0.077144     0.00162887   0.00336153   0.0211146    
0.079542     0.00173163   0.00346569   0.02177      
0.08194      0.00183752   0.00356982   0.0224252    
0.084338     0.00194655   0.00367392   0.0230804    
0.086736     0.00205871   0.00377799   0.0237354    
0.089134     0.00217401   0.00388202   0.0243904    
0.091532     0.00229244   0.00398602   0.0250452    
0.09393      0.00241399   0.00408998   0.0256999    
0.096328     0.00253868   0.0041939    0.0263545    
0.098726     0.00266649   0.00429779   0.027009     
0.101124     0.00279743   0.00440163   0.0276634    
0.103522     0.00293149   0.00450544   0.0283176    
0.10592      0.00306868   0.0046092    0.0289717    
0.108318     0.003209     0.00471292   0.0296257    
0.110716     0.00335243   0.0048166    0.0302795    
0.113114     0.00349898   0.00492024   0.0309333    
0.115512     0.00364866   0.00502383   0.0315868    
0.11791      0.00380145   0.00512737   0.0322403    
0.120308     0.00395736   0.00523087   0.0328935    
0.122706     0.00411638   0.00533431   0.0335467    
0.125104     0.00427851   0.00543771   0.0341997    
0.127502     0.00444376   0.00554106   0.0348525    
0.1299       0.00461212   0.00564436   0.0355052    
0.132298     0.00478359   0.0057476    0.0361577    
0.134696     0.00495816   0.00585079   0.03681      
0.137094     0.00513584   0.00595393   0.0374622    
0.139492     0.00531662   0.00605701   0.0381142    
0.14189      0.00550051   0.00616004   0.038766     
0.144288     0.00568749   0.00626301   0.0394176    
0.146686     0.00587758   0.00636592   0.0400691    
0.149084     0.00607076   0.00646877   0.0407204    
