# Mass = 0.0464574 Mev*(hbarc)^2/2 
# R = 3.78 fm 
# a = 0.662 fm 
# V0 = 52.06 MeV 
# RSO = 3.48 fm 
# aSO = 0.662 fm 
# VSO = 29.8586 MeV fm^2
# Rc = 3.78 fm
# Zc = 0
# n = 0 
# l = 2 
# two_j = 5 
# two_t = -1 
# Energy = -13.2507 MeV
# r          u            Phi          u/r          
0.01         9.28448e-08  2.76375e-06  9.28448e-06  
0.012398     1.76934e-07  4.24809e-06  1.42711e-05  
0.014796     3.00735e-07  6.0502e-06   2.03254e-05  
0.017194     4.71928e-07  8.17005e-06  2.74472e-05  
0.019592     6.98191e-07  1.06076e-05  3.56365e-05  
0.02199      9.87202e-07  1.33628e-05  4.48932e-05  
0.024388     1.34664e-06  1.64357e-05  5.52172e-05  
0.026786     1.78417e-06  1.98261e-05  6.66084e-05  
0.029184     2.30748e-06  2.3534e-05   7.90667e-05  
0.031582     2.92424e-06  2.75594e-05  9.2592e-05   
0.03398      3.64211e-06  3.19021e-05  0.000107184  
0.036378     4.46877e-06  3.65622e-05  0.000122843  
0.038776     5.41189e-06  4.15395e-05  0.000139568  
0.041174     6.47913e-06  4.6834e-05   0.00015736   
0.043572     7.67815e-06  5.24455e-05  0.000176218  
0.04597      9.01662e-06  5.8374e-05   0.000196141  
0.048368     1.05022e-05  6.46194e-05  0.000217131  
0.050766     1.21425e-05  7.11817e-05  0.000239186  
0.053164     1.39453e-05  7.80606e-05  0.000262307  
0.055562     1.59181e-05  8.5256e-05   0.000286493  
0.05796      1.80687e-05  9.2768e-05   0.000311744  
0.060358     2.04046e-05  0.000100596  0.000338059  
0.062756     2.29335e-05  0.000108741  0.000365439  
0.065154     2.56631e-05  0.000117201  0.000393883  
0.067552     2.86009e-05  0.000125978  0.000423391  
0.06995      3.17547e-05  0.000135071  0.000453963  
0.072348     3.51321e-05  0.000144479  0.000485598  
0.074746     3.87406e-05  0.000154202  0.000518297  
0.077144     4.25879e-05  0.000164242  0.000552058  
0.079542     4.66817e-05  0.000174596  0.000586881  
0.08194      5.10295e-05  0.000185265  0.000622767  
0.084338     5.5639e-05   0.00019625   0.000659714  
0.086736     6.05177e-05  0.000207549  0.000697723  
0.089134     6.56733e-05  0.000219162  0.000736793  
0.091532     7.11134e-05  0.000231091  0.000776924  
0.09393      7.68455e-05  0.000243333  0.000818115  
0.096328     8.28773e-05  0.000255889  0.000860366  
0.098726     8.92164e-05  0.000268759  0.000903677  
0.101124     9.58702e-05  0.000281943  0.000948046  
0.103522     0.000102847  0.00029544   0.000993475  
0.10592      0.000110153  0.000309251  0.00103996   
0.108318     0.000117797  0.000323374  0.00108751   
0.110716     0.000125785  0.000337811  0.00113611   
0.113114     0.000134127  0.00035256   0.00118577   
0.115512     0.000142829  0.000367621  0.00123649   
0.11791      0.000151898  0.000382994  0.00128826   
0.120308     0.000161343  0.000398679  0.00134109   
0.122706     0.000171171  0.000414676  0.00139497   
0.125104     0.000181389  0.000430985  0.00144991   
0.127502     0.000192005  0.000447604  0.0015059    
0.1299       0.000203026  0.000464535  0.00156294   
0.132298     0.000214461  0.000481776  0.00162104   
0.134696     0.000226315  0.000499327  0.00168019   
0.137094     0.000238598  0.000517189  0.0017404    
0.139492     0.000251316  0.00053536   0.00180165   
0.14189      0.000264477  0.000553841  0.00186396   
0.144288     0.000278088  0.000572632  0.00192731   
0.146686     0.000292157  0.000591731  0.00199172   
0.149084     0.000306692  0.000611139  0.00205717   
0.151482     0.000321699  0.000630855  0.00212368   
0.15388      0.000337186  0.00065088   0.00219123   
0.156278     0.000353162  0.000671212  0.00225983   
0.158676     0.000369632  0.000691852  0.00232948   
0.161074     0.000386605  0.000712799  0.00240017   
0.163472     0.000404087  0.000734053  0.0024719    
0.16587      0.000422087  0.000755614  0.00254469   
0.168268     0.000440612  0.000777481  0.00261851   
0.170666     0.000459669  0.000799654  0.00269338   
0.173064     0.000479265  0.000822132  0.0027693    
0.175462     0.000499409  0.000844915  0.00284625   
0.17786      0.000520107  0.000868004  0.00292425   
0.180258     0.000541366  0.000891397  0.00300328   
0.182656     0.000563194  0.000915094  0.00308336   
0.185054     0.000585599  0.000939095  0.00316448   
0.187452     0.000608588  0.000963399  0.00324663   
0.18985      0.000632167  0.000988006  0.00332982   
0.192248     0.000656345  0.00101292   0.00341405   
0.194646     0.000681129  0.00103813   0.00349932   
0.197044     0.000706525  0.00106364   0.00358562   
0.199442     0.000732542  0.00108946   0.00367296   
0.20184      0.000759186  0.00111558   0.00376133   
0.204238     0.000786465  0.00114199   0.00385073   
0.206636     0.000814387  0.00116871   0.00394117   
0.209034     0.000842957  0.00119573   0.00403263   
0.211432     0.000872184  0.00122305   0.00412513   
0.21383      0.000902075  0.00125067   0.00421866   
0.216228     0.000932637  0.00127858   0.00431321   
0.218626     0.000963878  0.0013068    0.0044088    
0.221024     0.000995803  0.00133531   0.00450541   
0.223422     0.00102842   0.00136412   0.00460305   
0.22582      0.00106174   0.00139322   0.00470171   
0.228218     0.00109577   0.00142263   0.0048014    
0.230616     0.0011305    0.00145233   0.00490211   
0.233014     0.00116597   0.00148232   0.00500384   
0.235412     0.00120215   0.00151261   0.0051066    
0.23781      0.00123908   0.0015432    0.00521037   
0.240208     0.00127675   0.00157408   0.00531517   
0.242606     0.00131516   0.00160525   0.00542099   
0.245004     0.00135434   0.00163672   0.00552782   
0.247402     0.00139428   0.00166848   0.00563567   
0.2498       0.00143499   0.00170053   0.00574454   
