# Mass = 0.0473265 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 56.2183 MeV 
# RSO = 4.438 fm 
# aSO = 0.662 fm 
# VSO = 28.772 MeV fm^2
# Rc = 4.82059 fm
# Zc = 25
# n = 0 
# l = 1 
# two_j = 1 
# two_t = 1 
# Energy = -25.6405 MeV
# r          u            Phi          u/r          
0.01         1.81298e-05  9.54253e-05  0.00181298   
0.012398     2.78673e-05  0.000118307  0.00224772   
0.014796     3.96898e-05  0.000141189  0.00268247   
0.017194     5.35971e-05  0.000164069  0.0031172    
0.019592     6.95893e-05  0.000186949  0.00355192   
0.02199      8.76662e-05  0.000209827  0.00398664   
0.024388     0.000107828  0.000232705  0.00442134   
0.026786     0.000130074  0.000255581  0.00485603   
0.029184     0.000154404  0.000278455  0.00529071   
0.031582     0.000180819  0.000301328  0.00572537   
0.03398      0.000209317  0.000324199  0.00616002   
0.036378     0.0002399    0.000347069  0.00659464   
0.038776     0.000272566  0.000369936  0.00702925   
0.041174     0.000307316  0.0003928    0.00746384   
0.043572     0.000344149  0.000415663  0.0078984    
0.04597      0.000383065  0.000438523  0.00833294   
0.048368     0.000424064  0.00046138   0.00876746   
0.050766     0.000467146  0.000484235  0.00920195   
0.053164     0.00051231   0.000507086  0.00963641   
0.055562     0.000559556  0.000529935  0.0100708    
0.05796      0.000608884  0.00055278   0.0105052    
0.060358     0.000660293  0.000575622  0.0109396    
0.062756     0.000713784  0.00059846   0.011374     
0.065154     0.000769355  0.000621295  0.0118083    
0.067552     0.000827007  0.000644126  0.0122425    
0.06995      0.000886739  0.000666953  0.0126768    
0.072348     0.00094855   0.000689776  0.0131109    
0.074746     0.00101244   0.000712594  0.0135451    
0.077144     0.00107841   0.000735409  0.0139792    
0.079542     0.00114646   0.000758218  0.0144133    
0.08194      0.00121659   0.000781023  0.0148473    
0.084338     0.00128879   0.000803824  0.0152813    
0.086736     0.00136307   0.000826619  0.0157152    
0.089134     0.00143943   0.000849409  0.0161491    
0.091532     0.00151787   0.000872194  0.0165829    
0.09393      0.00159838   0.000894974  0.0170167    
0.096328     0.00168097   0.000917748  0.0174504    
0.098726     0.00176563   0.000940516  0.0178841    
