# Mass = 0.0473905 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 50.2779 MeV 
# RSO = 4.438 fm 
# aSO = 0.662 fm 
# VSO = 28.6942 MeV fm^2
# Rc = 4.82059 fm
# Zc = 0
# n = 0 
# l = 2 
# two_j = 3 
# two_t = -1 
# Energy = -18.8878 MeV
# r          u            Phi          u/r          
0.01         6.45979e-08  5.23291e-07  6.45979e-06  
0.012398     1.23104e-07  8.04346e-07  9.92934e-06  
0.014796     2.09242e-07  1.14558e-06  1.41418e-05  
0.017194     3.28355e-07  1.54698e-06  1.9097e-05   
0.019592     4.85786e-07  2.00855e-06  2.47951e-05  
0.02199      6.8688e-07   2.53028e-06  3.1236e-05   
0.024388     9.36977e-07  3.11216e-06  3.84196e-05  
0.026786     1.24142e-06  3.7542e-06   4.63459e-05  
0.029184     1.60555e-06  4.45637e-06  5.50148e-05  
0.031582     2.03471e-06  5.21868e-06  6.44263e-05  
0.03398      2.53424e-06  6.04112e-06  7.45803e-05  
0.036378     3.10947e-06  6.92367e-06  8.54768e-05  
0.038776     3.76575e-06  7.86632e-06  9.71156e-05  
0.041174     4.50841e-06  8.86906e-06  0.000109497  
0.043572     5.34279e-06  9.93189e-06  0.00012262   
0.04597      6.27423e-06  1.10548e-05  0.000136485  
0.048368     7.30805e-06  1.22377e-05  0.000151093  
0.050766     8.44959e-06  1.34807e-05  0.000166442  
0.053164     9.70418e-06  1.47838e-05  0.000182533  
0.055562     1.10772e-05  1.61468e-05  0.000199366  
0.05796      1.25738e-05  1.75698e-05  0.00021694   
0.060358     1.41996e-05  1.90528e-05  0.000235256  
0.062756     1.59596e-05  2.05958e-05  0.000254313  
0.065154     1.78594e-05  2.21987e-05  0.000274111  
0.067552     1.99042e-05  2.38615e-05  0.00029465   
0.06995      2.20993e-05  2.55843e-05  0.00031593   
0.072348     2.44501e-05  2.73669e-05  0.000337951  
0.074746     2.69618e-05  2.92094e-05  0.000360712  
0.077144     2.96398e-05  3.11117e-05  0.000384214  
0.079542     3.24894e-05  3.30738e-05  0.000408456  
0.08194      3.55159e-05  3.50957e-05  0.000433438  
0.084338     3.87247e-05  3.71774e-05  0.00045916   
0.086736     4.21209e-05  3.93189e-05  0.000485622  
0.089134     4.571e-05    4.152e-05    0.000512823  
0.091532     4.94972e-05  4.37809e-05  0.000540764  
0.09393      5.34878e-05  4.61014e-05  0.000569443  
0.096328     5.76872e-05  4.84815e-05  0.000598862  
0.098726     6.21005e-05  5.09213e-05  0.000629019  
0.101124     6.67332e-05  5.34206e-05  0.000659915  
0.103522     7.15905e-05  5.59795e-05  0.000691549  
0.10592      7.66777e-05  5.85979e-05  0.000723921  
0.108318     8.2e-05      6.12758e-05  0.000757031  
0.110716     8.75628e-05  6.40132e-05  0.000790878  
0.113114     9.33714e-05  6.68099e-05  0.000825463  
0.115512     9.94309e-05  6.96661e-05  0.000860784  
0.11791      0.000105747  7.25816e-05  0.000896843  
0.120308     0.000112324  7.55564e-05  0.000933638  
0.122706     0.000119168  7.85906e-05  0.00097117   
0.125104     0.000126285  8.16839e-05  0.00100944   
0.127502     0.000133678  8.48365e-05  0.00104844   
0.1299       0.000141354  8.80482e-05  0.00108818   
0.132298     0.000149318  9.13191e-05  0.00112865   
0.134696     0.000157576  9.4649e-05   0.00116986   
0.137094     0.000166131  9.80381e-05  0.0012118    
0.139492     0.00017499   0.000101486  0.00125448   
0.14189      0.000184158  0.000104993  0.00129789   
0.144288     0.00019364   0.000108559  0.00134204   
0.146686     0.000203441  0.000112184  0.00138692   
0.149084     0.000213567  0.000115867  0.00143253   
0.151482     0.000224023  0.00011961   0.00147887   
0.15388      0.000234813  0.000123411  0.00152595   
0.156278     0.000245944  0.000127271  0.00157376   
0.158676     0.00025742   0.00013119   0.0016223    
0.161074     0.000269247  0.000135167  0.00167157   
0.163472     0.000281429  0.000139203  0.00172157   
0.16587      0.000293973  0.000143297  0.00177231   
0.168268     0.000306882  0.000147449  0.00182377   
0.170666     0.000320163  0.000151661  0.00187596   
0.173064     0.000333821  0.00015593   0.00192889   
0.175462     0.00034786   0.000160258  0.00198254   
0.17786      0.000362287  0.000164644  0.00203692   
0.180258     0.000377105  0.000169088  0.00209203   
0.182656     0.000392321  0.000173591  0.00214787   
0.185054     0.000407939  0.000178151  0.00220443   
0.187452     0.000423964  0.00018277   0.00226172   
0.18985      0.000440403  0.000187446  0.00231974   
0.192248     0.000457259  0.000192181  0.00237849   
0.194646     0.000474538  0.000196973  0.00243796   
0.197044     0.000492246  0.000201823  0.00249815   
