# Mass = 0.0451606 Mev*(hbarc)^2/2 
# R = 3.175 fm 
# a = 0.662 fm 
# V0 = 58.2974 MeV 
# RSO = 2.92302 fm 
# aSO = 0.662 fm 
# VSO = 31.598 MeV fm^2
# Rc = 3.175 fm
# Zc = 7
# n = 0 
# l = 0 
# two_j = 1 
# two_t = 1 
# Energy = -32.0985 MeV
# r          u            Phi          u/r          
0.01         0.00666049   0.0353226    0.666049     
0.012398     0.00825766   0.0353217    0.666048     
0.014796     0.00985478   0.0353206    0.666043     
0.017194     0.0114518    0.0353193    0.666037     
0.019592     0.0130489    0.0353178    0.66603      
0.02199      0.0146458    0.0353161    0.66602      
0.024388     0.0162426    0.0353143    0.66601      
0.026786     0.0178394    0.0353122    0.665997     
0.029184     0.0194361    0.03531      0.665984     
0.031582     0.0210326    0.0353076    0.665969     
0.03398      0.0226291    0.0353049    0.665953     
0.036378     0.0242254    0.0353021    0.665936     
0.038776     0.0258216    0.0352991    0.665917     
0.041174     0.0274177    0.0352959    0.665898     
0.043572     0.0290136    0.0352925    0.665876     
0.04597      0.0306093    0.0352889    0.665854     
0.048368     0.0322049    0.0352852    0.665831     
0.050766     0.0338003    0.0352812    0.665806     
0.053164     0.0353955    0.035277     0.66578      
0.055562     0.0369906    0.0352727    0.665753     
0.05796      0.0385854    0.0352681    0.665724     
0.060358     0.04018      0.0352634    0.665695     
0.062756     0.0417744    0.0352585    0.665664     
0.065154     0.0433686    0.0352534    0.665632     
0.067552     0.0449625    0.0352481    0.665599     
0.06995      0.0465562    0.0352426    0.665564     
0.072348     0.0481497    0.0352369    0.665528     
0.074746     0.0497428    0.035231     0.665492     
0.077144     0.0513357    0.0352249    0.665453     
0.079542     0.0529284    0.0352187    0.665414     
0.08194      0.0545207    0.0352122    0.665374     
0.084338     0.0561128    0.0352056    0.665332     
0.086736     0.0577045    0.0351988    0.665289     
0.089134     0.0592959    0.0351917    0.665245     
0.091532     0.060887     0.0351845    0.6652       
0.09393      0.0624778    0.0351771    0.665153     
0.096328     0.0640683    0.0351695    0.665105     
0.098726     0.0656584    0.0351617    0.665056     
0.101124     0.0672481    0.0351538    0.665006     
0.103522     0.0688375    0.0351456    0.664955     
0.10592      0.0704265    0.0351373    0.664902     
0.108318     0.0720151    0.0351287    0.664849     
0.110716     0.0736033    0.03512      0.664794     
0.113114     0.0751911    0.0351111    0.664737     
0.115512     0.0767785    0.0351019    0.66468      
0.11791      0.0783655    0.0350926    0.664622     
0.120308     0.0799521    0.0350832    0.664562     
0.122706     0.0815383    0.0350735    0.664501     
0.125104     0.083124     0.0350636    0.664439     
0.127502     0.0847092    0.0350535    0.664375     
0.1299       0.086294     0.0350433    0.664311     
0.132298     0.0878783    0.0350329    0.664245     
0.134696     0.0894622    0.0350222    0.664178     
0.137094     0.0910455    0.0350114    0.66411      
0.139492     0.0926284    0.0350004    0.664041     
0.14189      0.0942108    0.0349892    0.66397      
0.144288     0.0957926    0.0349779    0.663899     
0.146686     0.097374     0.0349663    0.663826     
0.149084     0.0989548    0.0349545    0.663752     
0.151482     0.100535     0.0349426    0.663677     
0.15388      0.102115     0.0349305    0.6636       
0.156278     0.103694     0.0349181    0.663522     
0.158676     0.105273     0.0349056    0.663444     
0.161074     0.106851     0.0348929    0.663364     
0.163472     0.108428     0.0348801    0.663282     
0.16587      0.110005     0.034867     0.6632       
0.168268     0.111581     0.0348537    0.663116     
0.170666     0.113157     0.0348403    0.663032     
0.173064     0.114732     0.0348267    0.662946     
0.175462     0.116306     0.0348128    0.662858     
0.17786      0.11788      0.0347988    0.66277      
0.180258     0.119453     0.0347846    0.662681     
0.182656     0.121026     0.0347703    0.66259      
0.185054     0.122598     0.0347557    0.662498     
0.187452     0.124169     0.0347409    0.662405     
0.18985      0.12574      0.034726     0.662311     
0.192248     0.12731      0.0347109    0.662215     
0.194646     0.128879     0.0346956    0.662119     
0.197044     0.130447     0.0346801    0.662021     
0.199442     0.132015     0.0346644    0.661922     
0.20184      0.133582     0.0346485    0.661822     
0.204238     0.135148     0.0346325    0.66172      
0.206636     0.136714     0.0346162    0.661618     
0.209034     0.138279     0.0345998    0.661514     
0.211432     0.139843     0.0345832    0.661409     
0.21383      0.141406     0.0345664    0.661303     
0.216228     0.142969     0.0345494    0.661196     
0.218626     0.144531     0.0345323    0.661087     
0.221024     0.146092     0.0345149    0.660978     
0.223422     0.147652     0.0344974    0.660867     
0.22582      0.149212     0.0344797    0.660755     
0.228218     0.15077      0.0344618    0.660642     
0.230616     0.152328     0.0344437    0.660527     
0.233014     0.153885     0.0344254    0.660412     
0.235412     0.155441     0.034407     0.660295     
0.23781      0.156997     0.0343883    0.660177     
0.240208     0.158551     0.0343695    0.660058     
0.242606     0.160105     0.0343505    0.659938     
0.245004     0.161658     0.0343313    0.659817     
0.247402     0.16321      0.0343119    0.659694     
0.2498       0.164761     0.0342924    0.659571     
0.252198     0.166311     0.0342727    0.659446     
0.254596     0.16786      0.0342527    0.65932      
0.256994     0.169409     0.0342326    0.659192     
0.259392     0.170956     0.0342124    0.659064     
0.26179      0.172502     0.0341919    0.658935     
0.264188     0.174048     0.0341712    0.658804     
0.266586     0.175593     0.0341504    0.658672     
0.268984     0.177136     0.0341294    0.658539     
0.271382     0.178679     0.0341082    0.658405     
0.27378      0.180221     0.0340868    0.658269     
0.276178     0.181762     0.0340653    0.658133     
0.278576     0.183302     0.0340436    0.657995     
0.280974     0.184841     0.0340216    0.657856     
0.283372     0.186378     0.0339995    0.657716     
0.28577      0.187915     0.0339773    0.657575     
0.288168     0.189451     0.0339548    0.657433     
0.290566     0.190986     0.0339322    0.657289     
0.292964     0.19252      0.0339094    0.657145     
0.295362     0.194052     0.0338864    0.656999     
0.29776      0.195584     0.0338632    0.656852     
0.300158     0.197115     0.0338398    0.656704     
0.302556     0.198644     0.0338163    0.656554     
0.304954     0.200173     0.0337926    0.656404     
0.307352     0.2017       0.0337687    0.656252     
0.30975      0.203227     0.0337446    0.6561       
0.312148     0.204752     0.0337204    0.655946     
0.314546     0.206276     0.0336959    0.655791     
0.316944     0.207799     0.0336713    0.655635     
0.319342     0.209321     0.0336466    0.655477     
0.32174      0.210842     0.0336216    0.655319     
0.324138     0.212362     0.0335965    0.655159     
