# Mass = 0.0479598 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 59.5769 MeV 
# RSO = 6.87299 fm 
# aSO = 0.662 fm 
# VSO = 28.0171 MeV fm^2
# Rc = 7.46549 fm
# Zc = 81
# n = 0 
# l = 1 
# two_j = 3 
# two_t = 1 
# Energy = -30.631 MeV
# r          u            Phi          u/r          
0.01         5.57106e-06  1.74433e-06  0.000557106  
0.012398     8.56329e-06  2.16261e-06  0.0006907    
0.014796     1.21962e-05  2.58089e-06  0.000824292  
0.017194     1.64699e-05  2.99917e-06  0.000957884  
0.019592     2.13842e-05  3.41744e-06  0.00109148   
0.02199      2.69392e-05  3.8357e-06   0.00122507   
0.024388     3.31349e-05  4.25396e-06  0.00135865   
0.026786     3.99712e-05  4.67221e-06  0.00149224   
0.029184     4.74482e-05  5.09045e-06  0.00162583   
0.031582     5.55658e-05  5.50868e-06  0.00175941   
0.03398      6.4324e-05   5.9269e-06   0.001893     
0.036378     7.37228e-05  6.34511e-06  0.00202658   
0.038776     8.37622e-05  6.7633e-06   0.00216016   
0.041174     9.44422e-05  7.18149e-06  0.00229373   
0.043572     0.000105763  7.59966e-06  0.00242731   
0.04597      0.000117724  8.01782e-06  0.00256088   
0.048368     0.000130325  8.43596e-06  0.00269445   
0.050766     0.000143567  8.85409e-06  0.00282802   
0.053164     0.00015745   9.2722e-06   0.00296159   
0.055562     0.000171973  9.6903e-06   0.00309515   
0.05796      0.000187136  1.01084e-05  0.00322871   
0.060358     0.00020294   1.05264e-05  0.00336227   
0.062756     0.000219384  1.09445e-05  0.00349582   
0.065154     0.000236468  1.13625e-05  0.00362937   
0.067552     0.000254193  1.17805e-05  0.00376292   
0.06995      0.000272558  1.21985e-05  0.00389646   
0.072348     0.000291563  1.26164e-05  0.00403001   
0.074746     0.000311208  1.30343e-05  0.00416354   
0.077144     0.000331494  1.34523e-05  0.00429708   
0.079542     0.000352419  1.38701e-05  0.0044306    
0.08194      0.000373985  1.4288e-05   0.00456413   
0.084338     0.00039619   1.47058e-05  0.00469765   
0.086736     0.000419036  1.51236e-05  0.00483117   
0.089134     0.000442522  1.55414e-05  0.00496468   
0.091532     0.000466647  1.59592e-05  0.00509819   
0.09393      0.000491413  1.63769e-05  0.00523169   
0.096328     0.000516818  1.67946e-05  0.00536519   
0.098726     0.000542863  1.72122e-05  0.00549868   
0.101124     0.000569547  1.76298e-05  0.00563217   
0.103522     0.000596872  1.80474e-05  0.00576565   
0.10592      0.000624836  1.8465e-05   0.00589913   
0.108318     0.000653439  1.88825e-05  0.0060326    
0.110716     0.000682682  1.93e-05     0.00616607   
0.113114     0.000712565  1.97175e-05  0.00629953   
0.115512     0.000743087  2.01349e-05  0.00643298   
0.11791      0.000774248  2.05523e-05  0.00656643   
0.120308     0.000806049  2.09696e-05  0.00669988   
