# Mass = 0.0480256 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 45.1828 MeV 
# RSO = 6.87299 fm 
# aSO = 0.662 fm 
# VSO = 27.9403 MeV fm^2
# Rc = 7.46549 fm
# Zc = 0
# n = 0 
# l = 3 
# two_j = 5 
# two_t = -1 
# Energy = -25.1191 MeV
# r          u            Phi          u/r          
0.01         4.4395e-11   2.15774e-11  4.4395e-09   
0.012398     1.04891e-10  4.11198e-11  8.46034e-09  
0.014796     2.12769e-10  6.98919e-11  1.43802e-08  
0.017194     3.88005e-10  1.09679e-10  2.25663e-08  
0.019592     6.54098e-10  1.62265e-10  3.3386e-08   
0.02199      1.03807e-09  2.29435e-10  4.72065e-08  
0.024388     1.57046e-09  3.12975e-10  6.43949e-08  
0.026786     2.28534e-09  4.14668e-10  8.53186e-08  
0.029184     3.2203e-09   5.36298e-10  1.10345e-07  
0.031582     4.41644e-09  6.79651e-10  1.3984e-07   
0.03398      5.91839e-09  8.46509e-10  1.74173e-07  
0.036378     7.7743e-09   1.03866e-09  2.13709e-07  
0.038776     1.00358e-08  1.25788e-09  2.58816e-07  
0.041174     1.27582e-08  1.50595e-09  3.09861e-07  
0.043572     1.60001e-08  1.78467e-09  3.67211e-07  
0.04597      1.98238e-08  2.09581e-09  4.31233e-07  
0.048368     2.42949e-08  2.44115e-09  5.02293e-07  
0.050766     2.94828e-08  2.82248e-09  5.80759e-07  
0.053164     3.54603e-08  3.24158e-09  6.66998e-07  
0.055562     4.23036e-08  3.70022e-09  7.61376e-07  
0.05796      5.00925e-08  4.2002e-09   8.6426e-07   
0.060358     5.89104e-08  4.74329e-09  9.76016e-07  
0.062756     6.88441e-08  5.33126e-09  1.09701e-06  
0.065154     7.9984e-08   5.96592e-09  1.22761e-06  
0.067552     9.24238e-08  6.64902e-09  1.36819e-06  
0.06995      1.06261e-07  7.38235e-09  1.5191e-06   
0.072348     1.21597e-07  8.16768e-09  1.68072e-06  
0.074746     1.38535e-07  9.00681e-09  1.85341e-06  
0.077144     1.57184e-07  9.9015e-09   2.03754e-06  
0.079542     1.77655e-07  1.08535e-08  2.23347e-06  
0.08194      2.00062e-07  1.18647e-08  2.44157e-06  
0.084338     2.24525e-07  1.29367e-08  2.66221e-06  
0.086736     2.51166e-07  1.40714e-08  2.89575e-06  
0.089134     2.80109e-07  1.52706e-08  3.14256e-06  
0.091532     3.11483e-07  1.65359e-08  3.403e-06    
0.09393      3.45422e-07  1.78693e-08  3.67744e-06  
0.096328     3.8206e-07   1.92724e-08  3.96624e-06  
0.098726     4.21538e-07  2.07471e-08  4.26978e-06  
0.101124     4.63999e-07  2.2295e-08   4.58841e-06  
0.103522     5.09588e-07  2.39181e-08  4.92251e-06  
0.10592      5.58456e-07  2.5618e-08   5.27243e-06  
0.108318     6.10755e-07  2.73965e-08  5.63854e-06  
0.110716     6.66644e-07  2.92554e-08  6.02121e-06  
0.113114     7.26283e-07  3.11964e-08  6.4208e-06   
0.115512     7.89834e-07  3.32214e-08  6.83768e-06  
0.11791      8.57466e-07  3.53321e-08  7.27221e-06  
0.120308     9.2935e-07   3.75302e-08  7.72475e-06  
0.122706     1.00566e-06  3.98176e-08  8.19568e-06  
0.125104     1.08657e-06  4.21959e-08  8.68535e-06  
0.127502     1.17227e-06  4.4667e-08   9.19413e-06  
0.1299       1.26294e-06  4.72326e-08  9.72239e-06  
0.132298     1.35876e-06  4.98944e-08  1.02705e-05  
0.134696     1.45994e-06  5.26543e-08  1.08388e-05  
0.137094     1.56666e-06  5.5514e-08   1.14276e-05  
0.139492     1.67912e-06  5.84752e-08  1.20374e-05  
0.14189      1.79753e-06  6.15398e-08  1.26685e-05  
0.144288     1.92209e-06  6.47094e-08  1.33212e-05  
0.146686     2.05302e-06  6.79858e-08  1.3996e-05   
0.149084     2.19051e-06  7.13708e-08  1.46931e-05  
0.151482     2.33479e-06  7.48661e-08  1.5413e-05   
0.15388      2.48609e-06  7.84736e-08  1.6156e-05   
0.156278     2.64461e-06  8.21948e-08  1.69225e-05  
0.158676     2.81059e-06  8.60317e-08  1.77128e-05  
0.161074     2.98426e-06  8.99858e-08  1.85273e-05  
0.163472     3.16585e-06  9.40591e-08  1.93663e-05  
0.16587      3.3556e-06   9.82532e-08  2.02303e-05  
0.168268     3.55374e-06  1.0257e-07   2.11195e-05  
0.170666     3.76053e-06  1.07011e-07  2.20344e-05  
0.173064     3.9762e-06   1.11578e-07  2.29753e-05  
0.175462     4.20102e-06  1.16273e-07  2.39426e-05  
0.17786      4.43523e-06  1.21097e-07  2.49366e-05  
0.180258     4.67908e-06  1.26053e-07  2.59577e-05  
0.182656     4.93285e-06  1.31142e-07  2.70062e-05  
0.185054     5.1968e-06   1.36365e-07  2.80826e-05  
0.187452     5.47119e-06  1.41725e-07  2.91871e-05  
0.18985      5.75629e-06  1.47224e-07  3.03202e-05  
0.192248     6.05238e-06  1.52862e-07  3.14822e-05  
0.194646     6.35974e-06  1.58642e-07  3.26734e-05  
0.197044     6.67865e-06  1.64565e-07  3.38942e-05  
0.199442     7.00938e-06  1.70634e-07  3.5145e-05   
0.20184      7.35225e-06  1.76849e-07  3.64261e-05  
0.204238     7.70752e-06  1.83214e-07  3.77379e-05  
0.206636     8.0755e-06   1.89728e-07  3.90808e-05  
0.209034     8.45649e-06  1.96395e-07  4.04551e-05  
0.211432     8.85079e-06  2.03215e-07  4.18611e-05  
0.21383      9.2587e-06   2.10191e-07  4.32993e-05  
0.216228     9.68053e-06  2.17324e-07  4.477e-05    
0.218626     1.01166e-05  2.24616e-07  4.62735e-05  
0.221024     1.05672e-05  2.32069e-07  4.78102e-05  
0.223422     1.10327e-05  2.39684e-07  4.93805e-05  
0.22582      1.15134e-05  2.47464e-07  5.09847e-05  
0.228218     1.20096e-05  2.55409e-07  5.26232e-05  
0.230616     1.25216e-05  2.63522e-07  5.42963e-05  
0.233014     1.30498e-05  2.71804e-07  5.60044e-05  
0.235412     1.35945e-05  2.80257e-07  5.77478e-05  
0.23781      1.41561e-05  2.88882e-07  5.9527e-05   
0.240208     1.47349e-05  2.97682e-07  6.13422e-05  
0.242606     1.53312e-05  3.06658e-07  6.31938e-05  
0.245004     1.59454e-05  3.15812e-07  6.50822e-05  
0.247402     1.65779e-05  3.25145e-07  6.70077e-05  
0.2498       1.72289e-05  3.3466e-07   6.89708e-05  
0.252198     1.78989e-05  3.44357e-07  7.09716e-05  
0.254596     1.85882e-05  3.54239e-07  7.30106e-05  
0.256994     1.92972e-05  3.64308e-07  7.50882e-05  
0.259392     2.00263e-05  3.74564e-07  7.72047e-05  
0.26179      2.07758e-05  3.8501e-07   7.93605e-05  
0.264188     2.15461e-05  3.95647e-07  8.15558e-05  
0.266586     2.23376e-05  4.06477e-07  8.37912e-05  
0.268984     2.31506e-05  4.17502e-07  8.60668e-05  
0.271382     2.39856e-05  4.28723e-07  8.83831e-05  
0.27378      2.48429e-05  4.40143e-07  9.07405e-05  
0.276178     2.5723e-05   4.51762e-07  9.31392e-05  
0.278576     2.66262e-05  4.63582e-07  9.55796e-05  
0.280974     2.75529e-05  4.75606e-07  9.80622e-05  
0.283372     2.85036e-05  4.87834e-07  0.000100587  
0.28577      2.94786e-05  5.00269e-07  0.000103155  
0.288168     3.04783e-05  5.12912e-07  0.000105766  
0.290566     3.15032e-05  5.25765e-07  0.00010842   
0.292964     3.25537e-05  5.3883e-07   0.000111118  
0.295362     3.36301e-05  5.52107e-07  0.000113861  
0.29776      3.4733e-05   5.65599e-07  0.000116648  
0.300158     3.58627e-05  5.79308e-07  0.00011948   
0.302556     3.70197e-05  5.93235e-07  0.000122357  
0.304954     3.82044e-05  6.07381e-07  0.000125279  
0.307352     3.94173e-05  6.21749e-07  0.000128248  
0.30975      4.06587e-05  6.3634e-07   0.000131263  
0.312148     4.19291e-05  6.51156e-07  0.000134324  
0.314546     4.3229e-05   6.66198e-07  0.000137433  
0.316944     4.45588e-05  6.81468e-07  0.000140589  
0.319342     4.59189e-05  6.96968e-07  0.000143792  
0.32174      4.73099e-05  7.12699e-07  0.000147044  
0.324138     4.87321e-05  7.28663e-07  0.000150344  
0.326536     5.01861e-05  7.44862e-07  0.000153693  
0.328934     5.16723e-05  7.61296e-07  0.00015709   
0.331332     5.31912e-05  7.77969e-07  0.000160537  
0.33373      5.47432e-05  7.94881e-07  0.000164034  
0.336128     5.63288e-05  8.12034e-07  0.000167581  
0.338526     5.79485e-05  8.2943e-07   0.000171179  
0.340924     5.96028e-05  8.47071e-07  0.000174827  
0.343322     6.12921e-05  8.64957e-07  0.000178527  
0.34572      6.3017e-05   8.83091e-07  0.000182277  
0.348118     6.47779e-05  9.01474e-07  0.00018608   
0.350516     6.65753e-05  9.20108e-07  0.000189935  
0.352914     6.84098e-05  9.38994e-07  0.000193843  
0.355312     7.02818e-05  9.58134e-07  0.000197803  
0.35771      7.21918e-05  9.77531e-07  0.000201816  
0.360108     7.41403e-05  9.97184e-07  0.000205884  
0.362506     7.61279e-05  1.0171e-06   0.000210005  
0.364904     7.8155e-05   1.03727e-06  0.00021418   
0.367302     8.02222e-05  1.0577e-06   0.000218409  
0.3697       8.233e-05    1.0784e-06   0.000222694  
0.372098     8.44789e-05  1.09937e-06  0.000227034  
0.374496     8.66695e-05  1.1206e-06   0.00023143   
0.376894     8.89022e-05  1.14209e-06  0.000235881  
0.379292     9.11776e-05  1.16386e-06  0.000240389  
0.38169      9.34962e-05  1.1859e-06   0.000244953  
0.384088     9.58586e-05  1.20822e-06  0.000249575  
0.386486     9.82653e-05  1.23081e-06  0.000254253  
0.388884     0.000100717  1.25367e-06  0.000258989  
0.391282     0.000103214  1.27681e-06  0.000263784  
0.39368      0.000105757  1.30024e-06  0.000268636  
0.396078     0.000108346  1.32394e-06  0.000273547  
0.398476     0.000110983  1.34793e-06  0.000278518  
0.400874     0.000113667  1.3722e-06   0.000283547  
0.403272     0.000116399  1.39675e-06  0.000288636  
0.40567      0.00011918   1.42159e-06  0.000293785  
0.408068     0.00012201   1.44673e-06  0.000298995  
0.410466     0.00012489   1.47215e-06  0.000304265  
0.412864     0.000127821  1.49786e-06  0.000309596  
0.415262     0.000130803  1.52387e-06  0.000314989  
0.41766      0.000133836  1.55017e-06  0.000320443  
0.420058     0.000136922  1.57677e-06  0.000325959  
0.422456     0.00014006   1.60367e-06  0.000331537  
0.424854     0.000143252  1.63087e-06  0.000337179  
0.427252     0.000146497  1.65837e-06  0.000342883  
0.42965      0.000149798  1.68617e-06  0.00034865   
0.432048     0.000153153  1.71427e-06  0.000354481  
0.434446     0.000156564  1.74268e-06  0.000360376  
0.436844     0.000160032  1.7714e-06   0.000366336  
0.439242     0.000163556  1.80043e-06  0.00037236   
0.44164      0.000167138  1.82977e-06  0.000378449  
0.444038     0.000170779  1.85942e-06  0.000384603  
0.446436     0.000174478  1.88938e-06  0.000390824  
0.448834     0.000178236  1.91966e-06  0.00039711   
0.451232     0.000182055  1.95025e-06  0.000403462  
0.45363      0.000185934  1.98116e-06  0.000409881  
0.456028     0.000189875  2.01239e-06  0.000416367  
0.458426     0.000193878  2.04395e-06  0.00042292   
0.460824     0.000197943  2.07582e-06  0.000429541  
0.463222     0.000202071  2.10802e-06  0.00043623   
0.46562      0.000206263  2.14054e-06  0.000442987  
0.468018     0.00021052   2.17339e-06  0.000449812  
0.470416     0.000214842  2.20657e-06  0.000456707  
0.472814     0.00021923   2.24008e-06  0.000463671  
0.475212     0.000223684  2.27392e-06  0.000470704  
0.47761      0.000228205  2.30809e-06  0.000477807  
0.480008     0.000232795  2.3426e-06   0.000484981  
0.482406     0.000237452  2.37744e-06  0.000492225  
0.484804     0.000242179  2.41262e-06  0.000499539  
0.487202     0.000246975  2.44814e-06  0.000506925  
0.4896       0.000251842  2.484e-06    0.000514383  
0.491998     0.00025678   2.5202e-06   0.000521912  
0.494396     0.00026179   2.55674e-06  0.000529514  
0.496794     0.000266872  2.59362e-06  0.000537188  
0.499192     0.000272027  2.63086e-06  0.000544935  
0.50159      0.000277256  2.66844e-06  0.000552754  
0.503988     0.00028256   2.70636e-06  0.000560648  
0.506386     0.000287939  2.74464e-06  0.000568615  
0.508784     0.000293393  2.78327e-06  0.000576656  
0.511182     0.000298925  2.82226e-06  0.000584771  
0.51358      0.000304533  2.86159e-06  0.000592961  
0.515978     0.00031022   2.90129e-06  0.000601226  
0.518376     0.000315985  2.94134e-06  0.000609567  
0.520774     0.00032183   2.98175e-06  0.000617983  
0.523172     0.000327754  3.02251e-06  0.000626475  
0.52557      0.00033376   3.06365e-06  0.000635044  
0.527968     0.000339847  3.10514e-06  0.000643689  
0.530366     0.000346016  3.147e-06    0.00065241   
0.532764     0.000352269  3.18922e-06  0.000661209  
0.535162     0.000358605  3.23181e-06  0.000670086  
0.53756      0.000365025  3.27477e-06  0.00067904   
0.539958     0.000371531  3.3181e-06   0.000688073  
0.542356     0.000378122  3.3618e-06   0.000697184  
0.544754     0.0003848    3.40587e-06  0.000706374  
0.547152     0.000391565  3.45031e-06  0.000715643  
0.54955      0.000398419  3.49514e-06  0.000724991  
0.551948     0.000405361  3.54033e-06  0.000734419  
0.554346     0.000412393  3.58591e-06  0.000743927  
0.556744     0.000419515  3.63187e-06  0.000753516  
0.559142     0.000426729  3.6782e-06   0.000763185  
0.56154      0.000434034  3.72492e-06  0.000772935  
0.563938     0.000441431  3.77202e-06  0.000782766  
0.566336     0.000448922  3.81951e-06  0.000792679  
0.568734     0.000456508  3.86738e-06  0.000802673  
0.571132     0.000464187  3.91564e-06  0.00081275   
0.57353      0.000471963  3.96429e-06  0.000822909  
0.575928     0.000479835  4.01333e-06  0.000833151  
0.578326     0.000487804  4.06276e-06  0.000843476  
0.580724     0.000495871  4.11259e-06  0.000853885  
0.583122     0.000504037  4.16281e-06  0.000864377  
0.58552      0.000512302  4.21342e-06  0.000874953  
0.587918     0.000520668  4.26443e-06  0.000885613  
0.590316     0.000529135  4.31584e-06  0.000896358  
0.592714     0.000537703  4.36764e-06  0.000907188  
0.595112     0.000546374  4.41985e-06  0.000918103  
0.59751      0.000555149  4.47246e-06  0.000929104  
0.599908     0.000564028  4.52548e-06  0.00094019   
0.602306     0.000573012  4.57889e-06  0.000951363  
0.604704     0.000582101  4.63272e-06  0.000962622  
0.607102     0.000591298  4.68695e-06  0.000973967  
0.6095       0.000600601  4.74159e-06  0.0009854    
0.611898     0.000610013  4.79664e-06  0.00099692   
0.614296     0.000619534  4.8521e-06   0.00100853   
0.616694     0.000629165  4.90797e-06  0.00102022   
0.619092     0.000638907  4.96426e-06  0.00103201   
0.62149      0.00064876   5.02096e-06  0.00104388   
0.623888     0.000658725  5.07807e-06  0.00105584   
0.626286     0.000668803  5.13561e-06  0.00106789   
0.628684     0.000678996  5.19356e-06  0.00108003   
0.631082     0.000689303  5.25193e-06  0.00109226   
0.63348      0.000699726  5.31072e-06  0.00110457   
0.635878     0.000710265  5.36994e-06  0.00111698   
0.638276     0.000720922  5.42958e-06  0.00112948   
0.640674     0.000731696  5.48964e-06  0.00114207   
0.643072     0.00074259   5.55013e-06  0.00115475   
0.64547      0.000753603  5.61105e-06  0.00116753   
0.647868     0.000764737  5.67239e-06  0.00118039   
0.650266     0.000775993  5.73417e-06  0.00119335   
0.652664     0.000787371  5.79637e-06  0.0012064    
0.655062     0.000798872  5.85901e-06  0.00121954   
0.65746      0.000810497  5.92208e-06  0.00123277   
0.659858     0.000822247  5.98558e-06  0.0012461    
0.662256     0.000834123  6.04952e-06  0.00125952   
