9Be(3/2-) -- AV18+UX -- 01-Nov-13

VMC 25k samples using 200 gauss points in r out to 20.00 fm

K = momentum in fm**-1
RHOK_SxTy = S=x,T=y pair momentum distribution in fm**3
DRHOK_SxTy = Monte Carlo error bar (1 sigma)

4*PI*TOTINT(RHOK_S1T1*K**2:K)/(2*PI)**3 =  14.438
4*PI*TOTINT(RHOK_S0T1*K**2:K)/(2*PI)**3 =  9.5609
4*PI*TOTINT(RHOK_S1T0*K**2:K)/(2*PI)**3 =  10.483
4*PI*TOTINT(RHOK_S0T0*K**2:K)/(2*PI)**3 =  1.517
 
   K   RHOK_S1T1  DRHOK_S1T1  RHOK_S0T1  DRHOK_S0T1  RHOK_S1T0  DRHOK_S1T0  RHOK_S0T0 DRHOK_S0T0
 **** *********** ********** *********** ********** *********** ********** ********** **********
  0     14.57     44.02      4716        19.65      4801        19.89        1.937     4.976
   .1  379.3      39.1       4388        17.73      4469        17.96       43.52      4.42
   .2 1194        27.1       3556        13.08      3625        13.26      136         3.065
   .3 1887        14.24      2553         8.064     2609         8.19      213.5       1.61
   .4 2075         6.419     1671         4.53      1716         4.606     233.1        .7217
   .5 1777         5.005     1034         2.625     1069         2.67      197.7        .5622
   .6 1254         4.191      625         1.466      652.2       1.497     137.8        .4752
   .7  759.4       2.606      374.4        .6446     395.9        .6692     81.85       .2985
   .8  411.3       1.299      221.1        .366      238          .3762     43.01       .1488
   .9  211.3        .8695     126.9        .4713     140.1        .4719     21.05       .09641
  1    111.5        .8466      70.61       .491       80.83       .4904     10.42       .09372
  1.1   65.22       .7513      38.69       .4308      46.62       .4302      5.729      .08355
  1.2   43.11       .5915      21.71       .3477      27.89       .3471      3.667      .0656
  1.3   31.08       .4296      13.06       .2667      17.95       .2665      2.639      .04726
  1.4   23.39       .2927       8.661      .1936      12.56       .1944      2.012      .0319
  1.5   17.89       .1885       6.264      .1315       9.403      .1336      1.563      .02031
  1.6   13.72       .1195       4.789      .08383      7.332      .08694     1.217      .01265
  1.7   10.49       .0824       3.76       .05149      5.828      .0551       .9432     .008553
  1.8    7.972      .06435      2.979      .03231      4.666      .03567      .7262     .006661
  1.9    6.023      .0526       2.359      .02259      3.739      .0249       .5555     .005491
  2      4.526      .04302      1.859      .01817      2.99       .01918      .4225     .004523
  2.1    3.384      .03555      1.456      .01567      2.384      .01578      .3197     .003744
  2.2    2.518      .02971      1.132      .01342      1.895      .01316      .2405     .003127
  2.3    1.861      .02449       .8765     .01105      1.503      .01078      .1795     .002577
  2.4    1.365      .01946       .6762     .008775     1.192      .008659     .1327     .002048
  2.5     .992      .0148        .5207     .006842      .9459     .006937     .09689    .001555
  2.6     .7147     .01086       .4006     .005357      .7514     .005645     .06998    .001137
  2.7     .512      .007782      .3082     .004264      .5982     .004686     .05014   8.105E-4
  2.8     .366      .005554      .2376     .003454      .4777     .003941     .03578   5.746E-4
  2.9     .2616     .004031      .1843     .002836      .3833     .003329     .02547   4.14E-4
  3       .1869     .003009      .1441     .002341      .3093     .002803     .01809   3.063E-4
  3.1     .1335     .002283      .1141     .001926      .2512     .002342     .0128    2.301E-4
  3.2     .09523    .001733      .09147    .001577      .2054     .001947     .009016  1.726E-4
  3.3     .06796    .001313      .07432    .001293      .169      .001625     .006323  1.29E-4
  3.4     .04864    .001006      .0611     .001073      .1398     .001376     .004425  9.721E-5
  3.5     .03509   7.951E-4      .05074   9.112E-4      .1161     .00119      .003104  7.563E-5
  3.6     .02566   6.541E-4      .04248   7.954E-4      .09678    .001054     .002197  6.178E-5
  3.7     .01909   5.515E-4      .0358    7.124E-4      .08087   9.506E-4     .001578  5.204E-5
  3.8     .01444   4.637E-4      .03034   6.494E-4      .0677    8.682E-4     .001152  4.363E-5
  3.9     .01108   3.817E-4      .02582   5.969E-4      .05672   7.973E-4    8.541E-4  3.556E-5
  4       .008598  3.056E-4      .02203   5.494E-4      .04753   7.32E-4     6.41E-4   2.799E-5
  4.1     .006742  2.381E-4      .01879   5.039E-4      .03979   6.69E-4     4.872E-4  2.13E-5
  4.2     .005342  1.814E-4      .01599   4.586E-4      .03325   6.068E-4    3.757E-4  1.581E-5
  4.3     .004273  1.368E-4      .01355   4.135E-4      .0277    5.454E-4    2.94E-4   1.166E-5
  4.4     .003443  1.034E-4      .01143   3.697E-4      .02301   4.854E-4    2.329E-4  8.725E-6
  4.5     .002789  7.857E-5      .00961   3.277E-4      .01906   4.279E-4    1.861E-4  6.637E-6
  4.6     .002268  5.993E-5      .008061  2.88E-4       .01574   3.737E-4    1.494E-4  5.079E-6
  4.7     .00185   4.66E-5       .006758  2.51E-4       .01297   3.234E-4    1.203E-4  3.99E-6
  4.8     .001514  3.76E-5       .005663  2.17E-4       .01067   2.773E-4    9.711E-5  3.284E-6
  4.9     .001244  3.175E-5      .004741  1.854E-4      .008767  2.354E-4    7.893E-5  2.826E-6
  5       .001026  2.86E-5       .00396   1.563E-4      .007184  1.977E-4    6.473E-5  2.6E-6
