# r= r1-r2
# r 	 cluster 	 pieper 	 GFMC 		 GD
0 	0.80496 	0.7359 		0.605515 	0.99994
0.02 	0.811407 	0.7353 		0.610708 	1.00096
0.04 	0.815827 	0.7333 		0.61329 	1.00073
0.06 	0.818238 	0.73 		0.613446 	0.999957
0.08 	0.818665 	0.7254 		0.611352 	0.999012
0.1 	0.817141 	0.7194 		0.607182 	0.998001
0.12 	0.813709 	0.7121 		0.601099 	0.996826
0.14 	0.80842 	0.7034 		0.593263 	0.995241
0.16 	0.80133 	0.6935 		0.583825 	0.992908
0.18 	0.792507 	0.6821 		0.572932 	0.989435
0.2 	0.782022 	0.6695 		0.560723 	0.984415
0.22 	0.769954 	0.6556 		0.547333 	0.977454
0.24 	0.756386 	0.6404 		0.53289 	0.968196
0.26 	0.741409 	0.6239 		0.517517 	0.956339
0.28 	0.725115 	0.6063 		0.501331 	0.94165
0.3 	0.707603 	0.5876 		0.484443 	0.923968
0.32 	0.688973 	0.5677 		0.46696 	0.903214
0.34 	0.669327 	0.547 		0.448982 	0.879386
0.36 	0.648772 	0.5253 		0.430604 	0.852559
0.38 	0.627412 	0.5028 		0.411919 	0.822879
0.4 	0.605353 	0.4797 		0.39301 	0.790555
0.42 	0.582701 	0.456 		0.37396 	0.755849
0.44 	0.559561 	0.432 		0.354844 	0.719068
0.46 	0.536037 	0.4076 		0.335733 	0.680553
0.48 	0.512228 	0.3831 		0.316695 	0.640669
0.5 	0.488233 	0.3586 		0.297792 	0.599791
0.52 	0.464147 	0.3342 		0.279082 	0.558297
0.54 	0.440062 	0.31 		0.260619 	0.51656
0.56 	0.416065 	0.2862 		0.242453 	0.474933
0.58 	0.392238 	0.263 		0.22463 	0.43375
0.6 	0.368659 	0.2403 		0.207193 	0.393314
0.62 	0.345402 	0.2183 		0.190179 	0.353894
0.64 	0.322534 	0.1972 		0.173623 	0.315724
0.66 	0.300117 	0.1768 		0.157557 	0.278998
0.68 	0.278208 	0.1575 		0.142007 	0.243871
0.7 	0.256858 	0.139 		0.126999 	0.210459
0.72 	0.236113 	0.1216 		0.112553 	0.178844
0.74 	0.216012 	0.1052 		0.0986879 	0.149071
0.76 	0.19659 	0.0899 		0.0854181 	0.121157
0.78 	0.177876 	0.0756 		0.0727561 	0.0950954
0.8 	0.159893 	0.0623 		0.060711 	0.0708552
0.82 	0.142661 	0.05 		0.0492897 	0.0483917
0.84 	0.126192 	0.0387 		0.0384961 	0.0276482
0.86 	0.110496 	0.0283 		0.028332 	0.00856142
0.88 	0.0955775 	0.0189 		0.0187966 	-0.00893468
0.9 	0.0814371 	0.0103 		0.00988707 	-0.024906
0.92 	0.0680712 	0.00260001 		0.00159823 	-0.0394156
0.94 	0.0554731 	-0.00399995 		-0.00607698 	-0.0525227
0.96 	0.0436324 	-0.011 		-0.0131476 	-0.064282
0.98 	0.032536 	-0.016 		-0.0196244 	-0.0747447
1 	0.022168 	-0.021 		-0.02552 	-0.08396
1.02 	0.0125102 	-0.025 		-0.0308485 	-0.0919776
1.04 	0.00354237 	-0.029 		-0.0356254 	-0.0988505
1.06 	-0.00475753 	-0.0319999 		-0.0398678 	-0.104638
1.08 	-0.0124131 	-0.035 		-0.0435938 	-0.109409
1.1 	-0.019449 	-0.038 		-0.046823 	-0.113241
1.12 	-0.025891 	-0.04 		-0.0495757 	-0.116223
1.14 	-0.0317655 	-0.041 		-0.0518733 	-0.118449
