# p= (p1- p2)/2 
# f(p) = \sqrt(2/pi) \int dr r^2 j_2 (k*r) f(r)
# p 	 pieper
0	-0.0389358
0.02	-0.0389305
0.04	-0.0389147
0.06	-0.0388883
0.08	-0.0388515
0.1	-0.0388041
0.12	-0.0387462
0.14	-0.038678
0.16	-0.0385993
0.18	-0.0385103
0.2	-0.0384111
0.22	-0.0383016
0.24	-0.0381819
0.26	-0.0380522
0.28	-0.0379125
0.3	-0.037763
0.32	-0.0376036
0.34	-0.0374345
0.36	-0.0372558
0.38	-0.0370676
0.4	-0.03687
0.42	-0.0366632
0.44	-0.0364473
0.46	-0.0362224
0.48	-0.0359887
0.5	-0.0357463
0.52	-0.0354953
0.54	-0.035236
0.56	-0.0349684
0.58	-0.0346928
0.6	-0.0344092
0.62	-0.034118
0.64	-0.0338192
0.66	-0.033513
0.68	-0.0331997
0.7	-0.0328794
0.72	-0.0325523
0.74	-0.0322186
0.76	-0.0318785
0.78	-0.0315323
0.8	-0.03118
0.82	-0.030822
0.84	-0.0304584
0.86	-0.0300894
0.88	-0.0297153
0.9	-0.0293363
0.92	-0.0289526
0.94	-0.0285644
0.96	-0.0281719
0.98	-0.0277755
1	-0.0273752
1.02	-0.0269713
1.04	-0.026564
1.06	-0.0261537
1.08	-0.0257404
1.1	-0.0253245
1.12	-0.0249061
1.14	-0.0244854
1.16	-0.0240628
1.18	-0.0236384
1.2	-0.0232125
1.22	-0.0227852
1.24	-0.0223569
1.26	-0.0219276
1.28	-0.0214977
1.3	-0.0210674
1.32	-0.0206369
1.34	-0.0202063
1.36	-0.019776
1.38	-0.019346
1.4	-0.0189167
1.42	-0.0184883
1.44	-0.0180608
1.46	-0.0176346
1.48	-0.0172098
1.5	-0.0167867
1.52	-0.0163654
1.54	-0.015946
1.56	-0.0155289
1.58	-0.0151141
1.6	-0.0147019
1.62	-0.0142924
1.64	-0.0138858
1.66	-0.0134822
1.68	-0.0130819
1.7	-0.0126849
1.72	-0.0122915
1.74	-0.0119017
1.76	-0.0115157
1.78	-0.0111337
1.8	-0.0107558
1.82	-0.0103821
1.84	-0.0100128
1.86	-0.00964789
1.88	-0.00928759
1.9	-0.00893199
1.92	-0.00858118
1.94	-0.00823528
1.96	-0.00789437
1.98	-0.00755855
2	-0.00722791
2.02	-0.00690253
2.04	-0.00658248
2.06	-0.00626784
2.08	-0.00595867
2.1	-0.00565504
2.12	-0.005357
2.14	-0.00506461
2.16	-0.00477791
2.18	-0.00449695
2.2	-0.00422176
2.22	-0.00395238
2.24	-0.00368883
2.26	-0.00343114
2.28	-0.00317933
2.3	-0.00293341
2.32	-0.00269339
2.34	-0.00245928
2.36	-0.00223108
2.38	-0.00200878
2.4	-0.00179238
2.42	-0.00158186
2.44	-0.00137722
2.46	-0.00117842
2.48	-0.000985449
2.5	-0.000798277
2.52	-0.000616872
2.54	-0.000441199
2.56	-0.000271218
2.58	-0.000106889
2.6	5.1835e-05
2.62	0.000205003
2.64	0.000352666
2.66	0.000494879
2.68	0.000631702
2.7	0.000763194
2.72	0.00088942
2.74	0.00101045
2.76	0.00112634
2.78	0.00123717
2.8	0.00134302
2.82	0.00144396
2.84	0.00154007
2.86	0.00163142
2.88	0.0017181
2.9	0.0018002
2.92	0.00187779
2.94	0.00195097
2.96	0.00201982
2.98	0.00208443
3	0.0021449
3.02	0.00220131
3.04	0.00225376
3.06	0.00230234
3.08	0.00234715
3.1	0.00238827
3.12	0.00242582
3.14	0.00245987
3.16	0.00249053
3.18	0.0025179
3.2	0.00254207
3.22	0.00256314
3.24	0.0025812
3.26	0.00259635
3.28	0.00260869
3.3	0.00261831
3.32	0.00262531
3.34	0.00262979
3.36	0.00263183
3.38	0.00263153
3.4	0.00262899
3.42	0.00262429
3.44	0.00261754
3.46	0.00260881
3.48	0.00259819
3.5	0.00258579
3.52	0.00257167
3.54	0.00255593
3.56	0.00253865
3.58	0.00251992
3.6	0.00249982
3.62	0.00247842
3.64	0.00245581
3.66	0.00243206
3.68	0.00240724
3.7	0.00238144
3.72	0.00235473
3.74	0.00232716
3.76	0.00229883
3.78	0.00226978
3.8	0.00224009
3.82	0.00220981
3.84	0.00217902
3.86	0.00214777
3.88	0.00211612
3.9	0.00208413
3.92	0.00205185
3.94	0.00201932
3.96	0.00198662
3.98	0.00195377
4	0.00192083
4.02	0.00188785
4.04	0.00185486
4.06	0.00182191
4.08	0.00178904
4.1	0.00175628
4.12	0.00172368
4.14	0.00169126
4.16	0.00165906
4.18	0.0016271
4.2	0.00159543
4.22	0.00156405
4.24	0.00153301
4.26	0.00150231
4.28	0.001472
4.3	0.00144207
4.32	0.00141256
4.34	0.00138349
4.36	0.00135485
4.38	0.00132668
4.4	0.00129899
4.42	0.00127178
4.44	0.00124506
4.46	0.00121885
4.48	0.00119315
4.5	0.00116797
4.52	0.00114331
4.54	0.00111917
4.56	0.00109557
4.58	0.00107249
4.6	0.00104995
4.62	0.00102794
4.64	0.00100646
4.66	0.000985501
4.68	0.000965069
4.7	0.000945156
4.72	0.000925757
4.74	0.000906868
4.76	0.000888481
4.78	0.000870589
4.8	0.000853186
4.82	0.000836262
4.84	0.00081981
4.86	0.000803819
4.88	0.00078828
4.9	0.000773182
4.92	0.000758517
4.94	0.000744271
4.96	0.000730435
4.98	0.000716996
5	0.000703944
5.02	0.000691265
5.04	0.000678949
5.06	0.000666983
5.08	0.000655354
5.1	0.00064405
5.12	0.000633059
5.14	0.000622368
5.16	0.000611965
5.18	0.000601837
5.2	0.000591973
5.22	0.000582359
5.24	0.000572984
5.26	0.000563836
5.28	0.000554903
5.3	0.000546174
5.32	0.000537636
5.34	0.000529279
5.36	0.000521093
5.38	0.000513065
5.4	0.000505186
5.42	0.000497446
5.44	0.000489835
5.46	0.000482343
5.48	0.000474961
5.5	0.000467681
5.52	0.000460493
5.54	0.00045339
5.56	0.000446363
5.58	0.000439406
5.6	0.000432511
5.62	0.000425671
5.64	0.000418881
5.66	0.000412134
5.68	0.000405424
5.7	0.000398747
5.72	0.000392097
5.74	0.00038547
5.76	0.000378862
5.78	0.00037227
5.8	0.000365689
5.82	0.000359117
5.84	0.000352551
5.86	0.000345988
5.88	0.000339428
5.9	0.000332868
5.92	0.000326306
5.94	0.000319743
5.96	0.000313177
5.98	0.000306607
6	0.000300035
6.02	0.000293459
6.04	0.000286881
6.06	0.0002803
6.08	0.000273719
6.1	0.000267138
6.12	0.000260559
6.14	0.000253983
6.16	0.000247412
6.18	0.000240848
6.2	0.000234294
6.22	0.000227752
6.24	0.000221223
6.26	0.000214712
6.28	0.000208221
6.3	0.000201752
6.32	0.000195309
6.34	0.000188895
6.36	0.000182513
6.38	0.000176166
6.4	0.000169858
6.42	0.000163591
6.44	0.00015737
6.46	0.000151198
6.48	0.000145077
6.5	0.000139013
6.52	0.000133007
6.54	0.000127063
6.56	0.000121185
6.58	0.000115376
6.6	0.00010964
6.62	0.000103979
6.64	9.83962e-05
6.66	9.28953e-05
6.68	8.7479e-05
6.7	8.21502e-05
6.72	7.69117e-05
6.74	7.17662e-05
6.76	6.67162e-05
6.78	6.17642e-05
6.8	5.69125e-05
6.82	5.21633e-05
6.84	4.75187e-05
6.86	4.29806e-05
6.88	3.85509e-05
6.9	3.42311e-05
6.92	3.00229e-05
6.94	2.59274e-05
6.96	2.1946e-05
6.98	1.80797e-05
7	1.43294e-05
7.02	1.06958e-05
7.04	7.17955e-06
7.06	3.78109e-06
7.08	5.00676e-07
7.1	-2.66156e-06
7.12	-5.70564e-06
7.14	-8.63174e-06
7.16	-1.14402e-05
7.18	-1.41315e-05
7.2	-1.67062e-05
7.22	-1.91652e-05
7.24	-2.15092e-05
7.26	-2.37395e-05
7.28	-2.58571e-05
7.3	-2.78633e-05
7.32	-2.97596e-05
7.34	-3.15476e-05
7.36	-3.32289e-05
