# Mass = 0.0361615 Mev*(hbarc)^2/2 
# R = 2.00013 fm 
# a = 0.644174 fm 
# V0 = 76.8412 MeV 
# RSO = 1.90409 fm 
# aSO = 0.644174 fm 
# VSO = 51.7507 MeV fm^2
# l = 0 
# two_j = 1 
# two_t = -1 
# Energy = -27.9664 MeV
# r 	 V_eff [2m/hbar/hbar]
0.1 	-73.0184
0.10238 	-73.0049
0.10476 	-72.9914
0.10714 	-72.9779
0.10952 	-72.9643
0.1119 	-72.9507
0.11428 	-72.937
0.11666 	-72.9233
0.11904 	-72.9095
0.12142 	-72.8957
0.1238 	-72.8819
0.12618 	-72.868
0.12856 	-72.854
0.13094 	-72.8401
0.13332 	-72.826
0.1357 	-72.8119
0.13808 	-72.7978
0.14046 	-72.7836
0.14284 	-72.7694
0.14522 	-72.7551
0.1476 	-72.7408
0.14998 	-72.7265
0.15236 	-72.712
0.15474 	-72.6976
0.15712 	-72.6831
0.1595 	-72.6685
0.16188 	-72.6539
0.16426 	-72.6393
0.16664 	-72.6246
0.16902 	-72.6098
0.1714 	-72.595
0.17378 	-72.5802
0.17616 	-72.5653
0.17854 	-72.5503
0.18092 	-72.5353
0.1833 	-72.5203
0.18568 	-72.5052
0.18806 	-72.4901
0.19044 	-72.4749
0.19282 	-72.4596
0.1952 	-72.4443
0.19758 	-72.429
0.19996 	-72.4136
0.20234 	-72.3982
0.20472 	-72.3827
0.2071 	-72.3671
0.20948 	-72.3515
0.21186 	-72.3359
0.21424 	-72.3202
0.21662 	-72.3045
0.219 	-72.2887
0.22138 	-72.2728
0.22376 	-72.2569
0.22614 	-72.241
0.22852 	-72.225
0.2309 	-72.2089
0.23328 	-72.1928
0.23566 	-72.1766
0.23804 	-72.1604
0.24042 	-72.1441
0.2428 	-72.1278
0.24518 	-72.1115
0.24756 	-72.095
0.24994 	-72.0785
0.25232 	-72.062
0.2547 	-72.0454
0.25708 	-72.0288
0.25946 	-72.0121
0.26184 	-71.9954
0.26422 	-71.9785
0.2666 	-71.9617
0.26898 	-71.9448
0.27136 	-71.9278
0.27374 	-71.9108
0.27612 	-71.8937
0.2785 	-71.8766
0.28088 	-71.8594
0.28326 	-71.8422
0.28564 	-71.8249
0.28802 	-71.8075
0.2904 	-71.7901
0.29278 	-71.7726
0.29516 	-71.7551
0.29754 	-71.7376
0.29992 	-71.7199
0.3023 	-71.7022
0.30468 	-71.6845
0.30706 	-71.6667
0.30944 	-71.6488
0.31182 	-71.6309
0.3142 	-71.6129
0.31658 	-71.5949
0.31896 	-71.5768
0.32134 	-71.5587
0.32372 	-71.5405
0.3261 	-71.5222
0.32848 	-71.5039
0.33086 	-71.4855
0.33324 	-71.4671
0.33562 	-71.4486
0.338 	-71.43
0.34038 	-71.4114
0.34276 	-71.3927
0.34514 	-71.374
0.34752 	-71.3552
0.3499 	-71.3364
0.35228 	-71.3174
0.35466 	-71.2985
0.35704 	-71.2794
0.35942 	-71.2603
0.3618 	-71.2412
0.36418 	-71.222
0.36656 	-71.2027
0.36894 	-71.1834
0.37132 	-71.164
0.3737 	-71.1445
0.37608 	-71.125
0.37846 	-71.1054
0.38084 	-71.0858
0.38322 	-71.0661
0.3856 	-71.0463
0.38798 	-71.0265
0.39036 	-71.0066
0.39274 	-70.9867
0.39512 	-70.9666
0.3975 	-70.9466
0.39988 	-70.9264
0.40226 	-70.9062
0.40464 	-70.886
0.40702 	-70.8656
0.4094 	-70.8452
0.41178 	-70.8248
0.41416 	-70.8043
0.41654 	-70.7837
0.41892 	-70.763
0.4213 	-70.7423
0.42368 	-70.7215
0.42606 	-70.7007
0.42844 	-70.6798
0.43082 	-70.6588
0.4332 	-70.6378
0.43558 	-70.6167
0.43796 	-70.5955
0.44034 	-70.5743
0.44272 	-70.553
0.4451 	-70.5316
0.44748 	-70.5102
0.44986 	-70.4887
0.45224 	-70.4671
0.45462 	-70.4455
0.457 	-70.4238
0.45938 	-70.402
0.46176 	-70.3802
0.46414 	-70.3583
0.46652 	-70.3363
0.4689 	-70.3143
0.47128 	-70.2922
0.47366 	-70.27
0.47604 	-70.2478
0.47842 	-70.2255
0.4808 	-70.2031
0.48318 	-70.1807
0.48556 	-70.1582
0.48794 	-70.1356
0.49032 	-70.1129
0.4927 	-70.0902
0.49508 	-70.0674
0.49746 	-70.0446
0.49984 	-70.0217
0.50222 	-69.9987
0.5046 	-69.9756
0.50698 	-69.9525
0.50936 	-69.9293
0.51174 	-69.906
0.51412 	-69.8826
0.5165 	-69.8592
0.51888 	-69.8357
0.52126 	-69.8122
0.52364 	-69.7886
0.52602 	-69.7649
0.5284 	-69.7411
0.53078 	-69.7172
0.53316 	-69.6933
0.53554 	-69.6693
0.53792 	-69.6453
0.5403 	-69.6211
0.54268 	-69.5969
0.54506 	-69.5727
0.54744 	-69.5483
0.54982 	-69.5239
0.5522 	-69.4994
0.55458 	-69.4748
0.55696 	-69.4502
0.55934 	-69.4254
