# Mass = 0.0361102 Mev*(hbarc)^2/2 
# R = 2.00013 fm 
# a = 0.644174 fm 
# V0 = 76.8412 MeV 
# RSO = 1.90409 fm 
# aSO = 0.644174 fm 
# VSO = 51.8575 MeV fm^2
# n = 0 
# l = 0 
# two_j = 1 
# two_t = 1 
# Energy = -27.9394 MeV
# r          u            Phi          u/r          
0.1          0.0887458    0.123406     0.887458     
0.10238      0.0908576    0.123358     0.887454     
0.10476      0.0929685    0.123308     0.887443     
0.10714      0.0950785    0.123258     0.887423     
0.10952      0.0971877    0.123206     0.887397     
0.1119       0.099296     0.123153     0.887364     
0.11428      0.101403     0.123099     0.887324     
0.11666      0.10351      0.123044     0.887277     
0.11904      0.105615     0.122988     0.887225     
0.12142      0.10772      0.12293      0.887166     
0.1238       0.109823     0.122872     0.887102     
0.12618      0.111926     0.122812     0.887032     
0.12856      0.114027     0.122752     0.886957     
0.13094      0.116128     0.12269      0.886877     
0.13332      0.118227     0.122627     0.886791     
0.1357       0.120325     0.122563     0.886701     
0.13808      0.122422     0.122498     0.886605     
0.14046      0.124519     0.122432     0.886505     
0.14284      0.126613     0.122365     0.8864       
0.14522      0.128707     0.122296     0.886291     
0.1476       0.1308       0.122227     0.886177     
0.14998      0.132891     0.122156     0.886059     
0.15236      0.134981     0.122085     0.885936     
0.15474      0.13707      0.122012     0.885809     
0.15712      0.139158     0.121938     0.885678     
0.1595       0.141244     0.121863     0.885543     
0.16188      0.143329     0.121787     0.885404     
0.16426      0.145413     0.12171      0.885261     
0.16664      0.147495     0.121632     0.885115     
0.16902      0.149577     0.121552     0.884964     
0.1714       0.151656     0.121472     0.884809     
0.17378      0.153735     0.12139      0.884651     
0.17616      0.155812     0.121308     0.884489     
0.17854      0.157887     0.121224     0.884324     
0.18092      0.159961     0.121139     0.884155     
0.1833       0.162034     0.121054     0.883982     
0.18568      0.164105     0.120967     0.883806     
0.18806      0.166175     0.120879     0.883626     
0.19044      0.168243     0.12079      0.883443     
0.19282      0.170309     0.1207       0.883256     
0.1952       0.172374     0.120609     0.883066     
0.19758      0.174438     0.120516     0.882872     
0.19996      0.1765       0.120423     0.882676     
0.20234      0.17856      0.120329     0.882476     
0.20472      0.180619     0.120233     0.882272     
0.2071       0.182676     0.120137     0.882066     
0.20948      0.184731     0.120039     0.881856     
0.21186      0.186785     0.119941     0.881643     
0.21424      0.188837     0.119841     0.881427     
0.21662      0.190887     0.119741     0.881207     
0.219        0.192936     0.119639     0.880985     
0.22138      0.194982     0.119536     0.880759     
0.22376      0.197028     0.119432     0.88053      
0.22614      0.199071     0.119327     0.880299     
0.22852      0.201112     0.119221     0.880064     
0.2309       0.203152     0.119114     0.879826     
0.23328      0.20519      0.119006     0.879585     
0.23566      0.207225     0.118897     0.879341     
0.23804      0.20926      0.118787     0.879094     
0.24042      0.211292     0.118676     0.878844     
0.2428       0.213322     0.118564     0.878591     
0.24518      0.21535      0.118451     0.878335     
0.24756      0.217377     0.118337     0.878076     
0.24994      0.219401     0.118222     0.877815     
0.25232      0.221423     0.118105     0.87755      
0.2547       0.223444     0.117988     0.877282     
0.25708      0.225462     0.11787      0.877012     
0.25946      0.227479     0.11775      0.876739     
0.26184      0.229493     0.11763      0.876463     
0.26422      0.231505     0.117509     0.876184     
0.2666       0.233515     0.117386     0.875902     
0.26898      0.235523     0.117263     0.875617     
0.27136      0.237529     0.117139     0.875329     
0.27374      0.239533     0.117013     0.875039     
0.27612      0.241535     0.116887     0.874746     
0.2785       0.243534     0.11676      0.87445      
0.28088      0.245532     0.116631     0.874151     
0.28326      0.247527     0.116502     0.87385      
0.28564      0.24952      0.116371     0.873546     
0.28802      0.25151      0.11624      0.873239     
0.2904       0.253499     0.116108     0.872929     
0.29278      0.255485     0.115974     0.872617     
0.29516      0.257468     0.11584      0.872301     
0.29754      0.25945      0.115705     0.871984     
0.29992      0.261429     0.115568     0.871663     
0.3023       0.263406     0.115431     0.87134      
0.30468      0.26538      0.115293     0.871014     
0.30706      0.267353     0.115154     0.870685     
0.30944      0.269322     0.115014     0.870354     
0.31182      0.27129      0.114872     0.87002      
0.3142       0.273254     0.11473      0.869683     
0.31658      0.275217     0.114587     0.869344     
0.31896      0.277177     0.114443     0.869002     
0.32134      0.279134     0.114298     0.868657     
0.32372      0.281089     0.114152     0.86831      
0.3261       0.283042     0.114005     0.86796      
0.32848      0.284992     0.113857     0.867608     
0.33086      0.286939     0.113708     0.867253     
0.33324      0.288884     0.113559     0.866895     
0.33562      0.290827     0.113408     0.866535     
0.338        0.292766     0.113256     0.866172     
0.34038      0.294703     0.113103     0.865807     
0.34276      0.296638     0.11295      0.865439     
0.34514      0.29857      0.112795     0.865069     
0.34752      0.300499     0.11264      0.864696     
0.3499       0.302426     0.112484     0.86432      
0.35228      0.304349     0.112326     0.863942     
0.35466      0.306271     0.112168     0.863561     
0.35704      0.308189     0.112009     0.863178     
0.35942      0.310105     0.111849     0.862792     
0.3618       0.312018     0.111688     0.862404     
0.36418      0.313928     0.111526     0.862013     
0.36656      0.315835     0.111363     0.86162      
0.36894      0.31774      0.111199     0.861224     
0.37132      0.319642     0.111035     0.860826     
0.3737       0.321541     0.110869     0.860425     
0.37608      0.323437     0.110703     0.860022     
0.37846      0.32533      0.110535     0.859616     
0.38084      0.327221     0.110367     0.859208     
0.38322      0.329108     0.110198     0.858797     
0.3856       0.330993     0.110028     0.858384     
0.38798      0.332874     0.109857     0.857968     
0.39036      0.334753     0.109685     0.85755      
0.39274      0.336629     0.109512     0.85713      
0.39512      0.338502     0.109338     0.856707     
0.3975       0.340372     0.109164     0.856281     
0.39988      0.342239     0.108989     0.855854     
0.40226      0.344103     0.108812     0.855423     
0.40464      0.345963     0.108635     0.854991     
0.40702      0.347821     0.108457     0.854556     
0.4094       0.349676     0.108278     0.854118     
0.41178      0.351528     0.108099     0.853679     
0.41416      0.353376     0.107918     0.853236     
0.41654      0.355222     0.107737     0.852792     
0.41892      0.357064     0.107554     0.852345     
0.4213       0.358904     0.107371     0.851895     
0.42368      0.36074      0.107187     0.851444     
0.42606      0.362573     0.107002     0.85099      
