# Mass = 0.0441503 Mev*(hbarc)^2/2 
# R = 2.88468 fm 
# a = 0.662 fm 
# V0 = 60.3766 MeV 
# RSO = 2.65574 fm 
# aSO = 0.662 fm 
# VSO = 33.0606 MeV fm^2
# l = 0 
# two_j = 1 
# two_t = 1 
# Energy = -31.1769 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	-55.8629
0.012398 	-55.8601
0.014796 	-55.8573
0.017194 	-55.8545
0.019592 	-55.8518
0.02199 	-55.849
0.024388 	-55.8461
0.026786 	-55.8433
0.029184 	-55.8405
0.031582 	-55.8377
0.03398 	-55.8348
0.036378 	-55.832
0.038776 	-55.8291
0.041174 	-55.8262
0.043572 	-55.8234
0.04597 	-55.8205
0.048368 	-55.8176
0.050766 	-55.8147
0.053164 	-55.8118
0.055562 	-55.8089
0.05796 	-55.8059
0.060358 	-55.803
0.062756 	-55.8
0.065154 	-55.7971
0.067552 	-55.7941
0.06995 	-55.7912
0.072348 	-55.7882
0.074746 	-55.7852
0.077144 	-55.7822
0.079542 	-55.7792
0.08194 	-55.7762
0.084338 	-55.7731
0.086736 	-55.7701
0.089134 	-55.7671
0.091532 	-55.764
0.09393 	-55.7609
0.096328 	-55.7579
0.098726 	-55.7548
0.101124 	-55.7517
0.103522 	-55.7486
0.10592 	-55.7455
0.108318 	-55.7424
0.110716 	-55.7392
0.113114 	-55.7361
0.115512 	-55.7329
0.11791 	-55.7298
0.120308 	-55.7266
0.122706 	-55.7234
0.125104 	-55.7202
0.127502 	-55.7171
0.1299 	-55.7138
0.132298 	-55.7106
0.134696 	-55.7074
0.137094 	-55.7042
0.139492 	-55.7009
0.14189 	-55.6977
0.144288 	-55.6944
0.146686 	-55.6911
0.149084 	-55.6878
0.151482 	-55.6845
0.15388 	-55.6812
0.156278 	-55.6779
0.158676 	-55.6746
0.161074 	-55.6712
0.163472 	-55.6679
0.16587 	-55.6645
0.168268 	-55.6612
0.170666 	-55.6578
0.173064 	-55.6544
0.175462 	-55.651
0.17786 	-55.6476
0.180258 	-55.6442
0.182656 	-55.6407
0.185054 	-55.6373
0.187452 	-55.6338
0.18985 	-55.6304
0.192248 	-55.6269
0.194646 	-55.6234
0.197044 	-55.6199
0.199442 	-55.6164
0.20184 	-55.6129
0.204238 	-55.6093
0.206636 	-55.6058
0.209034 	-55.6022
0.211432 	-55.5987
0.21383 	-55.5951
0.216228 	-55.5915
0.218626 	-55.5879
0.221024 	-55.5843
0.223422 	-55.5807
0.22582 	-55.577
0.228218 	-55.5734
0.230616 	-55.5697
0.233014 	-55.5661
0.235412 	-55.5624
0.23781 	-55.5587
0.240208 	-55.555
0.242606 	-55.5513
0.245004 	-55.5475
0.247402 	-55.5438
0.2498 	-55.54
0.252198 	-55.5363
0.254596 	-55.5325
0.256994 	-55.5287
0.259392 	-55.5249
0.26179 	-55.5211
0.264188 	-55.5173
0.266586 	-55.5134
0.268984 	-55.5096
0.271382 	-55.5057
0.27378 	-55.5019
0.276178 	-55.498
0.278576 	-55.4941
0.280974 	-55.4902
0.283372 	-55.4862
0.28577 	-55.4823
0.288168 	-55.4783
0.290566 	-55.4744
0.292964 	-55.4704
0.295362 	-55.4664
0.29776 	-55.4624
0.300158 	-55.4584
0.302556 	-55.4544
0.304954 	-55.4503
0.307352 	-55.4463
0.30975 	-55.4422
0.312148 	-55.4381
0.314546 	-55.434
0.316944 	-55.4299
0.319342 	-55.4258
0.32174 	-55.4217
0.324138 	-55.4175
0.326536 	-55.4134
0.328934 	-55.4092
0.331332 	-55.405
0.33373 	-55.4008
0.336128 	-55.3966
0.338526 	-55.3924
0.340924 	-55.3881
0.343322 	-55.3839
0.34572 	-55.3796
0.348118 	-55.3753
0.350516 	-55.371
0.352914 	-55.3667
0.355312 	-55.3624
0.35771 	-55.358
0.360108 	-55.3537
0.362506 	-55.3493
0.364904 	-55.3449
0.367302 	-55.3405
0.3697 	-55.3361
0.372098 	-55.3317
0.374496 	-55.3273
0.376894 	-55.3228
0.379292 	-55.3183
0.38169 	-55.3138
0.384088 	-55.3093
0.386486 	-55.3048
0.388884 	-55.3003
0.391282 	-55.2958
0.39368 	-55.2912
0.396078 	-55.2866
0.398476 	-55.282
0.400874 	-55.2774
0.403272 	-55.2728
0.40567 	-55.2682
0.408068 	-55.2635
0.410466 	-55.2589
0.412864 	-55.2542
0.415262 	-55.2495
0.41766 	-55.2448
0.420058 	-55.24
0.422456 	-55.2353
0.424854 	-55.2305
0.427252 	-55.2258
0.42965 	-55.221
0.432048 	-55.2162
0.434446 	-55.2113
0.436844 	-55.2065
0.439242 	-55.2016
0.44164 	-55.1968
0.444038 	-55.1919
0.446436 	-55.187
0.448834 	-55.1821
0.451232 	-55.1771
0.45363 	-55.1722
0.456028 	-55.1672
0.458426 	-55.1622
0.460824 	-55.1572
0.463222 	-55.1522
0.46562 	-55.1472
0.468018 	-55.1421
0.470416 	-55.137
0.472814 	-55.1319
0.475212 	-55.1268
0.47761 	-55.1217
0.480008 	-55.1166
0.482406 	-55.1114
0.484804 	-55.1063
0.487202 	-55.1011
0.4896 	-55.0959
0.491998 	-55.0906
0.494396 	-55.0854
0.496794 	-55.0801
0.499192 	-55.0749
0.50159 	-55.0696
0.503988 	-55.0643
0.506386 	-55.0589
0.508784 	-55.0536
0.511182 	-55.0482
0.51358 	-55.0428
0.515978 	-55.0374
0.518376 	-55.032
0.520774 	-55.0266
