# Mass = 0.0442061 Mev*(hbarc)^2/2 
# R = 2.88468 fm 
# a = 0.662 fm 
# V0 = 60.3766 MeV 
# RSO = 2.65574 fm 
# aSO = 0.662 fm 
# VSO = 32.9772 MeV fm^2
# l = 1 
# two_j = 3 
# two_t = -1 
# Energy = -18.877 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	452323
0.012398 	294241
0.014796 	206572
0.017194 	152951
0.019592 	117784
0.02199 	93481.5
0.024388 	75988.8
0.026786 	62980.4
0.029184 	53044.9
0.031582 	45285.5
0.03398 	39110.3
0.036378 	34115.5
0.038776 	30018.5
0.041174 	26616.3
0.043572 	23760.3
0.04597 	21339.4
0.048368 	19269.7
0.050766 	17486.3
0.053164 	15938.7
0.055562 	14587.2
0.05796 	13399.9
0.060358 	12351.3
0.062756 	11420.7
0.065154 	10590.9
0.067552 	9847.88
0.06995 	9179.98
0.072348 	8577.4
0.074746 	8031.88
0.077144 	7536.45
0.079542 	7085.15
0.08194 	6672.89
0.084338 	6295.3
0.086736 	5948.6
0.089134 	5629.51
0.091532 	5335.17
0.09393 	5063.09
0.096328 	4811.08
0.098726 	4577.2
0.101124 	4359.78
0.103522 	4157.28
0.10592 	3968.39
0.108318 	3791.91
0.110716 	3626.77
0.113114 	3472.02
0.115512 	3326.81
0.11791 	3190.37
0.120308 	3062.01
0.122706 	2941.11
0.125104 	2827.09
0.127502 	2719.45
0.1299 	2617.71
0.132298 	2521.45
0.134696 	2430.3
0.137094 	2343.88
0.139492 	2261.89
0.14189 	2184.01
0.144288 	2109.99
0.146686 	2039.57
0.149084 	1972.52
0.151482 	1908.63
0.15388 	1847.71
0.156278 	1789.57
0.158676 	1734.05
0.161074 	1680.98
0.163472 	1630.24
0.16587 	1581.68
0.168268 	1535.19
0.170666 	1490.64
0.173064 	1447.93
0.175462 	1406.96
0.17786 	1367.64
0.180258 	1329.87
0.182656 	1293.59
0.185054 	1258.7
0.187452 	1225.15
0.18985 	1192.86
0.192248 	1161.77
0.194646 	1131.83
0.197044 	1102.97
0.199442 	1075.14
0.20184 	1048.31
0.204238 	1022.41
0.206636 	997.408
0.209034 	973.263
0.211432 	949.936
0.21383 	927.389
0.216228 	905.589
0.218626 	884.502
0.221024 	864.098
0.223422 	844.348
0.22582 	825.224
0.228218 	806.7
0.230616 	788.752
0.233014 	771.355
0.235412 	754.487
0.23781 	738.127
0.240208 	722.255
0.242606 	706.851
0.245004 	691.898
0.247402 	677.377
0.2498 	663.274
0.252198 	649.57
0.254596 	636.253
0.256994 	623.306
0.259392 	610.718
0.26179 	598.474
0.264188 	586.562
0.266586 	574.97
0.268984 	563.687
0.271382 	552.702
0.27378 	542.004
0.276178 	531.585
0.278576 	521.433
0.280974 	511.541
0.283372 	501.898
0.28577 	492.498
0.288168 	483.331
0.290566 	474.391
0.292964 	465.669
