# Mass = 0.0473265 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 56.2183 MeV 
# RSO = 4.438 fm 
# aSO = 0.662 fm 
# VSO = 28.772 MeV fm^2
# l = 1 
# two_j = 1 
# two_t = 1 
# Energy = -25.6405 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	422557
0.012398 	274890
0.014796 	192994
0.017194 	142904
0.019592 	110053
0.02199 	87350.3
0.024388 	71008.8
0.026786 	58856.4
0.029184 	49574.6
0.031582 	42325.6
0.03398 	36556.5
0.036378 	31890.2
0.038776 	28062.5
0.041174 	24884
0.043572 	22215.6
0.04597 	19953.8
0.048368 	18020
0.050766 	16353.7
0.053164 	14907.8
0.055562 	13645
0.05796 	12535.7
0.060358 	11555.9
0.062756 	10686.3
0.065154 	9910.97
0.067552 	9216.7
0.06995 	8592.61
0.072348 	8029.54
0.074746 	7519.78
0.077144 	7056.82
0.079542 	6635.1
0.08194 	6249.85
0.084338 	5897
0.086736 	5573
0.089134 	5274.81
0.091532 	4999.74
0.09393 	4745.46
0.096328 	4509.94
0.098726 	4291.37
0.101124 	4088.17
0.103522 	3898.92
0.10592 	3722.38
0.108318 	3557.43
0.110716 	3403.09
0.113114 	3258.45
0.115512 	3122.73
0.11791 	2995.21
0.120308 	2875.23
0.122706 	2762.22
0.125104 	2655.65
0.127502 	2555.03
0.1299 	2459.93
0.132298 	2369.96
0.134696 	2284.75
0.137094 	2203.97
0.139492 	2127.32
0.14189 	2054.52
0.144288 	1985.33
0.146686 	1919.5
0.149084 	1856.82
0.151482 	1797.09
0.15388 	1740.13
0.156278 	1685.78
0.158676 	1633.87
0.161074 	1584.26
0.163472 	1536.82
0.16587 	1491.42
0.168268 	1447.95
0.170666 	1406.3
0.173064 	1366.36
0.175462 	1328.06
0.17786 	1291.29
0.180258 	1255.98
0.182656 	1222.05
0.185054 	1189.43
0.187452 	1158.06
0.18985 	1127.86
0.192248 	1098.79
0.194646 	1070.79
0.197044 	1043.8
0.199442 	1017.79
0.20184 	992.688
0.204238 	968.469
0.206636 	945.089
0.209034 	922.508
0.211432 	900.692
0.21383 	879.605
0.216228 	859.216
0.218626 	839.495
0.221024 	820.411
0.223422 	801.939
0.22582 	784.052
0.228218 	766.726
0.230616 	749.938
0.233014 	733.665
0.235412 	717.887
0.23781 	702.584
0.240208 	687.736
0.242606 	673.327
0.245004 	659.339
0.247402 	645.756
0.2498 	632.562
0.252198 	619.742
0.254596 	607.283
0.256994 	595.172
0.259392 	583.394
0.26179 	571.939
0.264188 	560.794
0.266586 	549.948
0.268984 	539.392
0.271382 	529.113
0.27378 	519.104
0.276178 	509.355
0.278576 	499.856
0.280974 	490.599
0.283372 	481.576
0.28577 	472.779
0.288168 	464.201
0.290566 	455.835
0.292964 	447.673
0.295362 	439.709
0.29776 	431.937
0.300158 	424.35
0.302556 	416.943
0.304954 	409.71
0.307352 	402.646
0.30975 	395.745
0.312148 	389.002
0.314546 	382.413
0.316944 	375.973
0.319342 	369.678
0.32174 	363.523
0.324138 	357.503
0.326536 	351.616
0.328934 	345.858
0.331332 	340.224
0.33373 	334.711
0.336128 	329.315
0.338526 	324.034
0.340924 	318.863
0.343322 	313.801
0.34572 	308.844
0.348118 	303.989
0.350516 	299.233
0.352914 	294.573
0.355312 	290.008
0.35771 	285.534
0.360108 	281.149
0.362506 	276.851
0.364904 	272.638
0.367302 	268.507
0.3697 	264.455
0.372098 	260.482
0.374496 	256.585
0.376894 	252.762
0.379292 	249.012
0.38169 	245.332
0.384088 	241.72
0.386486 	238.176
0.388884 	234.697
0.391282 	231.281
0.39368 	227.928
0.396078 	224.636
0.398476 	221.403
0.400874 	218.228
0.403272 	215.109
0.40567 	212.045
0.408068 	209.035
0.410466 	206.078
0.412864 	203.172
0.415262 	200.317
0.41766 	197.51
0.420058 	194.752
0.422456 	192.04
0.424854 	189.374
0.427252 	186.752
0.42965 	184.175
0.432048 	181.64
0.434446 	179.147
0.436844 	176.696
0.439242 	174.284
0.44164 	171.911
0.444038 	169.577
0.446436 	167.28
0.448834 	165.02
0.451232 	162.795
0.45363 	160.606
0.456028 	158.452
0.458426 	156.331
0.460824 	154.243
0.463222 	152.188
0.46562 	150.164
0.468018 	148.171
0.470416 	146.209
0.472814 	144.276
