# Mass = 0.0452189 Mev*(hbarc)^2/2 
# R = 3.175 fm 
# a = 0.662 fm 
# V0 = 58.2974 MeV 
# RSO = 2.92302 fm 
# aSO = 0.662 fm 
# VSO = 31.5165 MeV fm^2
# l = 0 
# two_j = 1 
# two_t = -1 
# Energy = -36.2119 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	-57.8125
0.012398 	-57.8108
0.014796 	-57.809
0.017194 	-57.8073
0.019592 	-57.8055
0.02199 	-57.8037
0.024388 	-57.802
0.026786 	-57.8002
0.029184 	-57.7984
0.031582 	-57.7966
0.03398 	-57.7948
0.036378 	-57.793
0.038776 	-57.7912
0.041174 	-57.7893
0.043572 	-57.7875
0.04597 	-57.7857
0.048368 	-57.7838
0.050766 	-57.782
0.053164 	-57.7801
0.055562 	-57.7783
0.05796 	-57.7764
0.060358 	-57.7745
0.062756 	-57.7727
0.065154 	-57.7708
0.067552 	-57.7689
0.06995 	-57.767
0.072348 	-57.7651
0.074746 	-57.7631
0.077144 	-57.7612
0.079542 	-57.7593
0.08194 	-57.7574
0.084338 	-57.7554
0.086736 	-57.7535
0.089134 	-57.7515
0.091532 	-57.7496
0.09393 	-57.7476
0.096328 	-57.7456
0.098726 	-57.7436
0.101124 	-57.7416
0.103522 	-57.7396
0.10592 	-57.7376
0.108318 	-57.7356
0.110716 	-57.7336
0.113114 	-57.7316
0.115512 	-57.7295
0.11791 	-57.7275
0.120308 	-57.7255
0.122706 	-57.7234
0.125104 	-57.7213
0.127502 	-57.7193
0.1299 	-57.7172
0.132298 	-57.7151
0.134696 	-57.713
0.137094 	-57.7109
0.139492 	-57.7088
0.14189 	-57.7067
0.144288 	-57.7046
0.146686 	-57.7024
0.149084 	-57.7003
0.151482 	-57.6982
0.15388 	-57.696
0.156278 	-57.6938
0.158676 	-57.6917
0.161074 	-57.6895
0.163472 	-57.6873
0.16587 	-57.6851
0.168268 	-57.6829
0.170666 	-57.6807
0.173064 	-57.6785
0.175462 	-57.6763
0.17786 	-57.6741
0.180258 	-57.6718
0.182656 	-57.6696
0.185054 	-57.6673
0.187452 	-57.6651
0.18985 	-57.6628
0.192248 	-57.6605
0.194646 	-57.6582
0.197044 	-57.6559
0.199442 	-57.6536
