# Mass = 0.0451606 Mev*(hbarc)^2/2 
# R = 3.175 fm 
# a = 0.662 fm 
# V0 = 58.2974 MeV 
# RSO = 2.92302 fm 
# aSO = 0.662 fm 
# VSO = 31.598 MeV fm^2
# l = 0 
# two_j = 1 
# two_t = 1 
# Energy = -32.0985 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	-53.0571
0.012398 	-53.0553
0.014796 	-53.0536
0.017194 	-53.0519
0.019592 	-53.0501
0.02199 	-53.0484
0.024388 	-53.0466
0.026786 	-53.0448
0.029184 	-53.0431
0.031582 	-53.0413
0.03398 	-53.0395
0.036378 	-53.0377
0.038776 	-53.036
0.041174 	-53.0342
0.043572 	-53.0324
0.04597 	-53.0306
0.048368 	-53.0288
0.050766 	-53.0269
0.053164 	-53.0251
0.055562 	-53.0233
0.05796 	-53.0215
0.060358 	-53.0197
0.062756 	-53.0178
0.065154 	-53.016
0.067552 	-53.0141
0.06995 	-53.0123
0.072348 	-53.0104
0.074746 	-53.0086
0.077144 	-53.0067
0.079542 	-53.0048
0.08194 	-53.003
0.084338 	-53.0011
0.086736 	-52.9992
0.089134 	-52.9973
0.091532 	-52.9954
0.09393 	-52.9935
0.096328 	-52.9916
0.098726 	-52.9897
0.101124 	-52.9878
0.103522 	-52.9859
0.10592 	-52.984
0.108318 	-52.982
0.110716 	-52.9801
0.113114 	-52.9781
0.115512 	-52.9762
0.11791 	-52.9742
0.120308 	-52.9723
0.122706 	-52.9703
0.125104 	-52.9684
0.127502 	-52.9664
0.1299 	-52.9644
0.132298 	-52.9624
0.134696 	-52.9604
0.137094 	-52.9584
0.139492 	-52.9564
0.14189 	-52.9544
0.144288 	-52.9524
0.146686 	-52.9504
0.149084 	-52.9484
0.151482 	-52.9463
0.15388 	-52.9443
0.156278 	-52.9422
0.158676 	-52.9402
0.161074 	-52.9381
0.163472 	-52.9361
0.16587 	-52.934
0.168268 	-52.9319
0.170666 	-52.9299
0.173064 	-52.9278
0.175462 	-52.9257
0.17786 	-52.9236
0.180258 	-52.9215
0.182656 	-52.9194
0.185054 	-52.9173
0.187452 	-52.9151
0.18985 	-52.913
0.192248 	-52.9109
0.194646 	-52.9087
0.197044 	-52.9066
0.199442 	-52.9044
0.20184 	-52.9023
0.204238 	-52.9001
0.206636 	-52.8979
0.209034 	-52.8958
0.211432 	-52.8936
0.21383 	-52.8914
0.216228 	-52.8892
0.218626 	-52.887
0.221024 	-52.8848
0.223422 	-52.8826
0.22582 	-52.8803
0.228218 	-52.8781
0.230616 	-52.8759
0.233014 	-52.8736
0.235412 	-52.8714
0.23781 	-52.8691
0.240208 	-52.8668
0.242606 	-52.8646
0.245004 	-52.8623
0.247402 	-52.86
0.2498 	-52.8577
0.252198 	-52.8554
0.254596 	-52.8531
0.256994 	-52.8508
0.259392 	-52.8485
0.26179 	-52.8461
0.264188 	-52.8438
0.266586 	-52.8415
0.268984 	-52.8391
0.271382 	-52.8368
0.27378 	-52.8344
0.276178 	-52.832
0.278576 	-52.8297
0.280974 	-52.8273
0.283372 	-52.8249
0.28577 	-52.8225
0.288168 	-52.8201
0.290566 	-52.8177
0.292964 	-52.8152
0.295362 	-52.8128
0.29776 	-52.8104
0.300158 	-52.8079
0.302556 	-52.8055
0.304954 	-52.803
0.307352 	-52.8005
0.30975 	-52.7981
0.312148 	-52.7956
0.314546 	-52.7931
0.316944 	-52.7906
0.319342 	-52.7881
0.32174 	-52.7856
0.324138 	-52.783
0.326536 	-52.7805
0.328934 	-52.778
0.331332 	-52.7754
0.33373 	-52.7729
0.336128 	-52.7703
0.338526 	-52.7677
0.340924 	-52.7651
0.343322 	-52.7626
0.34572 	-52.76
0.348118 	-52.7574
0.350516 	-52.7547
0.352914 	-52.7521
0.355312 	-52.7495
0.35771 	-52.7469
0.360108 	-52.7442
0.362506 	-52.7416
0.364904 	-52.7389
0.367302 	-52.7362
0.3697 	-52.7335
0.372098 	-52.7309
0.374496 	-52.7282
0.376894 	-52.7254
0.379292 	-52.7227
0.38169 	-52.72
0.384088 	-52.7173
0.386486 	-52.7145
0.388884 	-52.7118
0.391282 	-52.709
0.39368 	-52.7063
0.396078 	-52.7035
0.398476 	-52.7007
0.400874 	-52.6979
0.403272 	-52.6951
0.40567 	-52.6923
0.408068 	-52.6895
0.410466 	-52.6866
0.412864 	-52.6838
0.415262 	-52.6809
0.41766 	-52.6781
0.420058 	-52.6752
0.422456 	-52.6723
0.424854 	-52.6694
0.427252 	-52.6665
0.42965 	-52.6636
0.432048 	-52.6607
0.434446 	-52.6578
0.436844 	-52.6549
0.439242 	-52.6519
0.44164 	-52.649
0.444038 	-52.646
0.446436 	-52.643
