# Mass = 0.0479598 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 59.5769 MeV 
# RSO = 6.87299 fm 
# aSO = 0.662 fm 
# VSO = 28.0171 MeV fm^2
# l = 4 
# two_j = 7 
# two_t = 1 
# Energy = -12.0197 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	4.17012e+06
0.012398 	2.71296e+06
0.014796 	1.90483e+06
0.017194 	1.41055e+06
0.019592 	1.08638e+06
0.02199 	862351
0.024388 	701096
0.026786 	581179
0.029184 	489588
0.031582 	418057
0.03398 	361129
0.036378 	315083
0.038776 	277313
0.041174 	245948
0.043572 	219617
0.04597 	197299
0.048368 	178217
0.050766 	161774
0.053164 	147506
0.055562 	135046
0.05796 	124099
0.060358 	114432
0.062756 	105851
0.065154 	98199.8
0.067552 	91349.1
0.06995 	85190.8
0.072348 	79634.7
0.074746 	74604.7
0.077144 	70036.5
0.079542 	65875.1
0.08194 	62073.7
0.084338 	58592
0.086736 	55395
0.089134 	52452.5
0.091532 	49738.3
0.09393 	47229.3
0.096328 	44905.3
0.098726 	42748.7
0.101124 	40743.6
0.103522 	38876.2
0.10592 	37134.2
0.108318 	35506.6
0.110716 	33983.7
0.113114 	32556.5
0.115512 	31217.3
0.11791 	29959
0.120308 	28775.2
0.122706 	27660.1
0.125104 	26608.5
0.127502 	25615.7
0.1299 	24677.3
0.132298 	23789.6
0.134696 	22948.8
0.137094 	22151.7
0.139492 	21395.4
0.14189 	20677.1
0.144288 	19994.4
0.146686 	19344.8
0.149084 	18726.3
0.151482 	18137
0.15388 	17575
0.156278 	17038.7
0.158676 	16526.5
0.161074 	16037
0.163472 	15568.9
0.16587 	15121
0.168268 	14692
0.170666 	14281.1
0.173064 	13887
0.175462 	13509.1
0.17786 	13146.3
0.180258 	12797.9
0.182656 	12463.1
0.185054 	12141.3
0.187452 	11831.7
0.18985 	11533.8
0.192248 	11247
0.194646 	10970.7
0.197044 	10704.4
0.199442 	10447.7
0.20184 	10200
0.204238 	9961.07
0.206636 	9730.38
0.209034 	9507.58
0.211432 	9292.32
0.21383 	9084.27
0.216228 	8883.1
0.218626 	8688.51
0.221024 	8500.22
0.223422 	8317.96
0.22582 	8141.47
0.228218 	7970.52
0.230616 	7804.88
0.233014 	7644.32
0.235412 	7488.64
0.23781 	7337.65
0.240208 	7191.16
0.242606 	7048.99
0.245004 	6910.98
0.247402 	6776.96
0.2498 	6646.78
0.252198 	6520.29
0.254596 	6397.37
0.256994 	6277.86
0.259392 	6161.66
0.26179 	6048.64
0.264188 	5938.68
0.266586 	5831.67
0.268984 	5727.51
0.271382 	5626.1
0.27378 	5527.35
0.276178 	5431.15
0.278576 	5337.43
0.280974 	5246.1
0.283372 	5157.08
0.28577 	5070.28
0.288168 	4985.65
0.290566 	4903.1
0.292964 	4822.58
0.295362 	4744
0.29776 	4667.32
0.300158 	4592.46
0.302556 	4519.38
0.304954 	4448.02
0.307352 	4378.32
0.30975 	4310.23
0.312148 	4243.71
0.314546 	4178.7
0.316944 	4115.16
0.319342 	4053.05
0.32174 	3992.32
0.324138 	3932.93
0.326536 	3874.85
0.328934 	3818.03
0.331332 	3762.45
0.33373 	3708.05
0.336128 	3654.82
0.338526 	3602.71
0.340924 	3551.7
0.343322 	3501.76
0.34572 	3452.85
0.348118 	3404.94
0.350516 	3358.02
0.352914 	3312.05
0.355312 	3267.01
0.35771 	3222.87
0.360108 	3179.61
0.362506 	3137.2
0.364904 	3095.63
0.367302 	3054.87
0.3697 	3014.9
0.372098 	2975.7
0.374496 	2937.26
0.376894 	2899.54
0.379292 	2862.53
0.38169 	2826.23
0.384088 	2790.59
0.386486 	2755.63
0.388884 	2721.3
0.391282 	2687.61
0.39368 	2654.52
0.396078 	2622.04
0.398476 	2590.14
0.400874 	2558.82
0.403272 	2528.05
0.40567 	2497.82
0.408068 	2468.12
0.410466 	2438.95
0.412864 	2410.28
0.415262 	2382.11
0.41766 	2354.42
0.420058 	2327.2
0.422456 	2300.44
0.424854 	2274.14
0.427252 	2248.28
0.42965 	2222.85
0.432048 	2197.84
0.434446 	2173.25
0.436844 	2149.06
0.439242 	2125.26
0.44164 	2101.85
0.444038 	2078.82
0.446436 	2056.16
0.448834 	2033.86
0.451232 	2011.92
0.45363 	1990.32
0.456028 	1969.07
0.458426 	1948.14
0.460824 	1927.54
0.463222 	1907.26
0.46562 	1887.3
0.468018 	1867.64
0.470416 	1848.28
0.472814 	1829.21
0.475212 	1810.43
0.47761 	1791.93
0.480008 	1773.71
0.482406 	1755.76
0.484804 	1738.08
0.487202 	1720.66
0.4896 	1703.49
0.491998 	1686.57
0.494396 	1669.9
0.496794 	1653.47
0.499192 	1637.27
0.50159 	1621.31
0.503988 	1605.57
0.506386 	1590.06
0.508784 	1574.77
0.511182 	1559.69
0.51358 	1544.82
0.515978 	1530.16
0.518376 	1515.7
0.520774 	1501.44
0.523172 	1487.38
0.52557 	1473.5
0.527968 	1459.82
0.530366 	1446.32
0.532764 	1433.01
0.535162 	1419.87
0.53756 	1406.91
0.539958 	1394.12
0.542356 	1381.5
0.544754 	1369.04
0.547152 	1356.75
0.54955 	1344.62
0.551948 	1332.65
0.554346 	1320.83
0.556744 	1309.17
0.559142 	1297.65
0.56154 	1286.28
0.563938 	1275.06
0.566336 	1263.98
0.568734 	1253.04
0.571132 	1242.23
0.57353 	1231.56
0.575928 	1221.03
0.578326 	1210.62
0.580724 	1200.35
0.583122 	1190.2
0.58552 	1180.17
0.587918 	1170.27
0.590316 	1160.49
0.592714 	1150.82
0.595112 	1141.28
0.59751 	1131.84
0.599908 	1122.52
0.602306 	1113.31
0.604704 	1104.21
0.607102 	1095.22
0.6095 	1086.34
0.611898 	1077.56
0.614296 	1068.88
0.616694 	1060.3
0.619092 	1051.82
0.62149 	1043.44
0.623888 	1035.16
0.626286 	1026.97
0.628684 	1018.87
0.631082 	1010.87
0.63348 	1002.96
0.635878 	995.132
0.638276 	987.396
0.640674 	979.748
0.643072 	972.184
0.64547 	964.705
0.647868 	957.309
0.650266 	949.994
0.652664 	942.76
0.655062 	935.605
0.65746 	928.528
0.659858 	921.529
0.662256 	914.605
0.664654 	907.756
0.667052 	900.981
0.66945 	894.278
0.671848 	887.647
0.674246 	881.087
0.676644 	874.596
0.679042 	868.174
0.68144 	861.819
0.683838 	855.532
0.686236 	849.31
0.688634 	843.153
0.691032 	837.06
0.69343 	831.03
0.695828 	825.062
0.698226 	819.156
0.700624 	813.31
0.703022 	807.524
0.70542 	801.797
0.707818 	796.127
0.710216 	790.516
0.712614 	784.96
0.715012 	779.461
0.71741 	774.017
0.719808 	768.627
0.722206 	763.29
0.724604 	758.007
0.727002 	752.775
0.7294 	747.595
0.731798 	742.466
0.734196 	737.387
0.736594 	732.358
0.738992 	727.377
0.74139 	722.445
0.743788 	717.561
0.746186 	712.723
0.748584 	707.932
0.750982 	703.186
0.75338 	698.486
0.755778 	693.831
0.758176 	689.219
0.760574 	684.651
0.762972 	680.127
0.76537 	675.644
0.767768 	671.204
0.770166 	666.805
0.772564 	662.447
0.774962 	658.129
0.77736 	653.851
0.779758 	649.612
0.782156 	645.413
0.784554 	641.252
0.786952 	637.129
0.78935 	633.043
0.791748 	628.994
0.794146 	624.982
0.796544 	621.007
0.798942 	617.067
0.80134 	613.162
0.803738 	609.292
0.806136 	605.457
0.808534 	601.655
0.810932 	597.888
0.81333 	594.153
0.815728 	590.452
0.818126 	586.783
0.820524 	583.146
0.822922 	579.541
0.82532 	575.967
0.827718 	572.424
0.830116 	568.912
0.832514 	565.43
0.834912 	561.979
0.83731 	558.556
0.839708 	555.163
0.842106 	551.799
0.844504 	548.464
0.846902 	545.157
0.8493 	541.878
0.851698 	538.626
0.854096 	535.402
0.856494 	532.205
0.858892 	529.034
0.86129 	525.89
0.863688 	522.773
0.866086 	519.681
0.868484 	516.614
0.870882 	513.573
0.87328 	510.557
0.875678 	507.566
0.878076 	504.599
0.880474 	501.656
0.882872 	498.737
0.88527 	495.842
0.887668 	492.971
0.890066 	490.122
0.892464 	487.297
0.894862 	484.494
0.89726 	481.713
0.899658 	478.955
0.902056 	476.219
0.904454 	473.504
0.906852 	470.811
0.90925 	468.14
0.911648 	465.489
0.914046 	462.859
0.916444 	460.25
0.918842 	457.661
0.92124 	455.092
0.923638 	452.544
0.926036 	450.015
0.928434 	447.505
0.930832 	445.015
0.93323 	442.544
0.935628 	440.092
0.938026 	437.659
0.940424 	435.245
0.942822 	432.849
0.94522 	430.471
0.947618 	428.111
0.950016 	425.769
0.952414 	423.444
0.954812 	421.137
0.95721 	418.848
0.959608 	416.575
0.962006 	414.32
0.964404 	412.081
0.966802 	409.859
0.9692 	407.653
0.971598 	405.464
0.973996 	403.291
0.976394 	401.134
0.978792 	398.992
0.98119 	396.867
0.983588 	394.757
0.985986 	392.662
0.988384 	390.582
0.990782 	388.518
0.99318 	386.468
0.995578 	384.434
0.997976 	382.413
1.00037 	380.408
1.00277 	378.417
1.00517 	376.44
1.00757 	374.477
1.00997 	372.528
1.01236 	370.593
1.01476 	368.671
1.01716 	366.763
1.01956 	364.869
1.02196 	362.988
1.02435 	361.12
1.02675 	359.265
1.02915 	357.423
1.03155 	355.594
1.03395 	353.777
1.03634 	351.974
1.03874 	350.182
1.04114 	348.403
1.04354 	346.637
1.04594 	344.882
1.04833 	343.139
1.05073 	341.409
1.05313 	339.69
1.05553 	337.983
1.05793 	336.287
1.06032 	334.603
1.06272 	332.93
1.06512 	331.269
1.06752 	329.619
1.06992 	327.98
1.07231 	326.351
1.07471 	324.734
1.07711 	323.128
1.07951 	321.532
1.08191 	319.946
1.0843 	318.372
1.0867 	316.807
1.0891 	315.253
1.0915 	313.709
1.0939 	312.176
1.09629 	310.652
1.09869 	309.139
1.10109 	307.635
1.10349 	306.141
1.10589 	304.656
1.10828 	303.182
1.11068 	301.717
1.11308 	300.261
1.11548 	298.815
1.11788 	297.378
1.12027 	295.95
1.12267 	294.531
1.12507 	293.121
1.12747 	291.721
1.12987 	290.329
1.13226 	288.946
1.13466 	287.572
1.13706 	286.207
1.13946 	284.85
1.14186 	283.501
1.14425 	282.161
1.14665 	280.83
1.14905 	279.507
1.15145 	278.192
1.15385 	276.885
1.15624 	275.586
1.15864 	274.296
1.16104 	273.013
1.16344 	271.739
1.16584 	270.472
1.16823 	269.213
1.17063 	267.961
1.17303 	266.718
1.17543 	265.482
1.17783 	264.253
1.18022 	263.032
1.18262 	261.819
1.18502 	260.612
1.18742 	259.413
1.18982 	258.222
1.19221 	257.037
1.19461 	255.86
1.19701 	254.689
1.19941 	253.526
1.20181 	252.369
1.2042 	251.22
1.2066 	250.077
1.209 	248.941
1.2114 	247.812
1.2138 	246.69
1.21619 	245.574
1.21859 	244.465
1.22099 	243.362
1.22339 	242.265
1.22579 	241.176
1.22818 	240.092
1.23058 	239.015
1.23298 	237.944
1.23538 	236.879
1.23778 	235.821
1.24017 	234.769
1.24257 	233.722
1.24497 	232.682
1.24737 	231.648
1.24977 	230.619
1.25216 	229.597
1.25456 	228.58
1.25696 	227.57
1.25936 	226.565
1.26176 	225.565
1.26415 	224.572
1.26655 	223.584
1.26895 	222.601
1.27135 	221.624
1.27375 	220.653
1.27614 	219.687
1.27854 	218.727
1.28094 	217.772
1.28334 	216.822
1.28574 	215.878
1.28813 	214.938
1.29053 	214.004
1.29293 	213.076
1.29533 	212.152
1.29773 	211.234
1.30012 	210.32
1.30252 	209.412
1.30492 	208.508
1.30732 	207.61
1.30972 	206.717
1.31211 	205.828
1.31451 	204.944
1.31691 	204.065
1.31931 	203.191
1.32171 	202.322
1.3241 	201.457
1.3265 	200.597
1.3289 	199.742
1.3313 	198.891
1.3337 	198.045
1.33609 	197.203
1.33849 	196.366
1.34089 	195.533
1.34329 	194.705
1.34569 	193.881
1.34808 	193.062
1.35048 	192.247
1.35288 	191.436
1.35528 	190.63
1.35768 	189.827
1.36007 	189.03
1.36247 	188.236
1.36487 	187.446
1.36727 	186.661
1.36967 	185.88
1.37206 	185.102
1.37446 	184.329
1.37686 	183.56
1.37926 	182.795
1.38166 	182.034
1.38405 	181.277
1.38645 	180.523
1.38885 	179.774
1.39125 	179.029
1.39365 	178.287
1.39604 	177.549
1.39844 	176.815
1.40084 	176.085
1.40324 	175.358
1.40564 	174.635
1.40803 	173.916
1.41043 	173.201
1.41283 	172.489
1.41523 	171.78
1.41763 	171.076
1.42002 	170.375
1.42242 	169.677
1.42482 	168.983
1.42722 	168.292
1.42962 	167.605
1.43201 	166.922
1.43441 	166.241
1.43681 	165.564
1.43921 	164.891
1.44161 	164.221
1.444 	163.554
1.4464 	162.89
1.4488 	162.23
1.4512 	161.573
1.4536 	160.92
1.45599 	160.269
1.45839 	159.622
1.46079 	158.978
1.46319 	158.337
1.46559 	157.699
1.46798 	157.064
1.47038 	156.433
1.47278 	155.804
1.47518 	155.179
1.47758 	154.556
1.47997 	153.937
1.48237 	153.32
1.48477 	152.707
1.48717 	152.097
1.48957 	151.489
1.49196 	150.884
1.49436 	150.283
1.49676 	149.684
1.49916 	149.088
1.50156 	148.495
1.50395 	147.905
1.50635 	147.317
1.50875 	146.732
1.51115 	146.151
1.51355 	145.571
1.51594 	144.995
1.51834 	144.421
1.52074 	143.85
1.52314 	143.282
1.52554 	142.716
1.52793 	142.153
1.53033 	141.593
1.53273 	141.035
1.53513 	140.48
1.53753 	139.928
1.53992 	139.378
1.54232 	138.831
1.54472 	138.286
1.54712 	137.743
1.54952 	137.204
1.55191 	136.666
1.55431 	136.131
1.55671 	135.599
1.55911 	135.069
1.56151 	134.542
1.5639 	134.017
1.5663 	133.494
1.5687 	132.974
1.5711 	132.456
1.5735 	131.94
1.57589 	131.427
1.57829 	130.916
1.58069 	130.408
1.58309 	129.902
1.58549 	129.398
1.58788 	128.896
1.59028 	128.397
1.59268 	127.899
1.59508 	127.404
1.59748 	126.912
1.59987 	126.421
1.60227 	125.933
1.60467 	125.447
1.60707 	124.963
1.60947 	124.481
1.61186 	124.001
1.61426 	123.524
1.61666 	123.049
1.61906 	122.575
1.62146 	122.104
1.62385 	121.635
1.62625 	121.168
1.62865 	120.703
1.63105 	120.24
1.63345 	119.779
1.63584 	119.32
1.63824 	118.863
1.64064 	118.408
1.64304 	117.955
1.64544 	117.504
1.64783 	117.055
1.65023 	116.608
1.65263 	116.163
1.65503 	115.72
1.65743 	115.279
1.65982 	114.84
1.66222 	114.402
1.66462 	113.967
1.66702 	113.533
1.66942 	113.101
1.67181 	112.671
1.67421 	112.243
1.67661 	111.817
1.67901 	111.392
1.68141 	110.969
1.6838 	110.549
1.6862 	110.129
1.6886 	109.712
1.691 	109.297
1.6934 	108.883
1.69579 	108.471
1.69819 	108.06
1.70059 	107.652
1.70299 	107.245
1.70539 	106.84
1.70778 	106.436
1.71018 	106.035
1.71258 	105.635
1.71498 	105.236
1.71738 	104.839
1.71977 	104.444
1.72217 	104.051
1.72457 	103.659
1.72697 	103.269
1.72937 	102.88
1.73176 	102.493
1.73416 	102.108
1.73656 	101.724
1.73896 	101.342
1.74136 	100.961
1.74375 	100.582
1.74615 	100.205
1.74855 	99.8289
1.75095 	99.4545
1.75335 	99.0816
1.75574 	98.7102
1.75814 	98.3404
1.76054 	97.972
1.76294 	97.6052
1.76534 	97.2398
1.76773 	96.8759
1.77013 	96.5135
1.77253 	96.1526
1.77493 	95.7931
1.77733 	95.435
1.77972 	95.0784
1.78212 	94.7233
1.78452 	94.3695
1.78692 	94.0172
1.78932 	93.6663
1.79171 	93.3168
1.79411 	92.9687
1.79651 	92.6219
1.79891 	92.2766
1.80131 	91.9326
1.8037 	91.59
1.8061 	91.2487
1.8085 	90.9088
1.8109 	90.5702
1.8133 	90.233
1.81569 	89.8971
1.81809 	89.5626
1.82049 	89.2293
1.82289 	88.8974
1.82529 	88.5667
1.82768 	88.2374
1.83008 	87.9093
1.83248 	87.5825
1.83488 	87.257
1.83728 	86.9328
1.83967 	86.6098
1.84207 	86.2881
1.84447 	85.9676
1.84687 	85.6484
1.84927 	85.3304
1.85166 	85.0136
1.85406 	84.698
1.85646 	84.3837
1.85886 	84.0706
1.86126 	83.7587
1.86365 	83.448
1.86605 	83.1384
1.86845 	82.8301
1.87085 	82.5229
1.87325 	82.2169
1.87564 	81.9121
1.87804 	81.6085
1.88044 	81.306
1.88284 	81.0046
1.88524 	80.7044
1.88763 	80.4053
1.89003 	80.1074
1.89243 	79.8106
1.89483 	79.5149
1.89723 	79.2203
1.89962 	78.9268
1.90202 	78.6345
1.90442 	78.3432
1.90682 	78.053
1.90922 	77.7639
1.91161 	77.4759
1.91401 	77.189
1.91641 	76.9031
1.91881 	76.6183
1.92121 	76.3346
1.9236 	76.0519
1.926 	75.7703
1.9284 	75.4897
1.9308 	75.2102
1.9332 	74.9316
1.93559 	74.6542
1.93799 	74.3777
1.94039 	74.1023
1.94279 	73.8278
1.94519 	73.5544
1.94758 	73.282
1.94998 	73.0106
1.95238 	72.7402
1.95478 	72.4707
1.95718 	72.2023
1.95957 	71.9348
1.96197 	71.6683
1.96437 	71.4028
1.96677 	71.1382
1.96917 	70.8746
1.97156 	70.612
1.97396 	70.3503
1.97636 	70.0896
1.97876 	69.8298
1.98116 	69.5709
1.98355 	69.313
1.98595 	69.056
1.98835 	68.7999
1.99075 	68.5447
1.99315 	68.2905
1.99554 	68.0371
1.99794 	67.7847
2.00034 	67.5332
2.00274 	67.2825
2.00514 	67.0328
2.00753 	66.7839
2.00993 	66.536
2.01233 	66.2889
2.01473 	66.0427
2.01713 	65.7974
2.01952 	65.5529
2.02192 	65.3093
2.02432 	65.0665
2.02672 	64.8247
2.02912 	64.5836
2.03151 	64.3434
2.03391 	64.1041
2.03631 	63.8656
2.03871 	63.6279
2.04111 	63.3911
2.0435 	63.1551
2.0459 	62.9199
2.0483 	62.6855
2.0507 	62.452
2.0531 	62.2192
2.05549 	61.9873
2.05789 	61.7562
2.06029 	61.5258
2.06269 	61.2963
2.06509 	61.0676
2.06748 	60.8396
2.06988 	60.6125
2.07228 	60.3861
2.07468 	60.1605
2.07708 	59.9357
2.07947 	59.7117
2.08187 	59.4884
2.08427 	59.2659
2.08667 	59.0441
2.08907 	58.8231
2.09146 	58.6029
2.09386 	58.3834
2.09626 	58.1646
2.09866 	57.9467
2.10106 	57.7294
2.10345 	57.5129
2.10585 	57.2971
2.10825 	57.082
2.11065 	56.8677
2.11305 	56.6541
2.11544 	56.4412
2.11784 	56.2291
2.12024 	56.0176
2.12264 	55.8069
2.12504 	55.5968
2.12743 	55.3875
2.12983 	55.1789
2.13223 	54.9709
2.13463 	54.7637
2.13703 	54.5572
2.13942 	54.3513
2.14182 	54.1461
2.14422 	53.9417
2.14662 	53.7378
2.14902 	53.5347
2.15141 	53.3323
2.15381 	53.1305
2.15621 	52.9294
2.15861 	52.7289
2.16101 	52.5291
2.1634 	52.33
2.1658 	52.1315
2.1682 	51.9337
2.1706 	51.7365
2.173 	51.54
2.17539 	51.3441
2.17779 	51.1489
2.18019 	50.9543
2.18259 	50.7603
2.18499 	50.567
2.18738 	50.3742
2.18978 	50.1822
2.19218 	49.9907
2.19458 	49.7999
2.19698 	49.6097
