# Mass = 0.0480256 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 45.1828 MeV 
# RSO = 6.87299 fm 
# aSO = 0.662 fm 
# VSO = 27.9403 MeV fm^2
# l = 4 
# two_j = 9 
# two_t = -1 
# Energy = -22.0083 MeV
# r 	 V_eff [2m/hbar/hbar]
0.01 	4.1644e+06
0.012398 	2.70923e+06
0.014796 	1.90221e+06
0.017194 	1.4086e+06
0.019592 	1.08488e+06
0.02199 	861159
0.024388 	700126
0.026786 	580373
0.029184 	488908
0.031582 	417475
0.03398 	360625
0.036378 	314642
0.038776 	276924
0.041174 	245601
0.043572 	219307
0.04597 	197019
0.048368 	177963
0.050766 	161543
0.053164 	147295
0.055562 	134851
0.05796 	123920
0.060358 	114266
0.062756 	105696
0.065154 	98056
0.067552 	91214.8
0.06995 	85064.9
0.072348 	79516.4
0.074746 	74493.3
0.077144 	69931.3
0.079542 	65775.7
0.08194 	61979.5
0.084338 	58502.5
0.086736 	55309.9
0.089134 	52371.5
0.091532 	49661
0.09393 	47155.5
0.096328 	44834.7
0.098726 	42680.9
0.101124 	40678.6
0.103522 	38813.8
0.10592 	37074.2
0.108318 	35448.8
0.110716 	33928
0.113114 	32502.8
0.115512 	31165.4
0.11791 	29908.8
0.120308 	28726.6
0.122706 	27613.1
0.125104 	26562.9
0.127502 	25571.5
0.1299 	24634.4
0.132298 	23747.9
0.134696 	22908.2
0.137094 	22112.3
0.139492 	21357
0.14189 	20639.7
0.144288 	19957.9
0.146686 	19309.2
0.149084 	18691.6
0.151482 	18103
0.15388 	17541.8
0.156278 	17006.2
0.158676 	16494.8
0.161074 	16005.9
0.163472 	15538.5
0.16587 	15091.1
0.168268 	14662.8
0.170666 	14252.4
0.173064 	13858.9
0.175462 	13481.5
0.17786 	13119.2
0.180258 	12771.2
0.182656 	12436.9
0.185054 	12115.5
0.187452 	11806.4
0.18985 	11508.9
0.192248 	11222.4
0.194646 	10946.5
0.197044 	10680.6
0.199442 	10424.2
0.20184 	10177
0.204238 	9938.32
0.206636 	9707.95
0.209034 	9485.46
0.211432 	9270.5
0.21383 	9062.73
0.216228 	8861.83
0.218626 	8667.51
0.221024 	8479.48
0.223422 	8297.47
0.22582 	8121.23
0.228218 	7950.51
0.230616 	7785.09
0.233014 	7624.76
0.235412 	7469.29
0.23781 	7318.51
0.240208 	7172.22
0.242606 	7030.25
0.245004 	6892.42
0.247402 	6758.58
0.2498 	6628.58
0.252198 	6502.27
0.254596 	6379.51
0.256994 	6260.18
0.259392 	6144.13
0.26179 	6031.26
0.264188 	5921.45
0.266586 	5814.59
0.268984 	5710.58
0.271382 	5609.31
0.27378 	5510.69
0.276178 	5414.63
0.278576 	5321.04
0.280974 	5229.83
0.283372 	5140.93
0.28577 	5054.26
0.288168 	4969.74
0.290566 	4887.31
0.292964 	4806.89
0.295362 	4728.42
0.29776 	4651.84
0.300158 	4577.09
0.302556 	4504.11
0.304954 	4432.85
0.307352 	4363.24
0.30975 	4295.25
0.312148 	4228.82
0.314546 	4163.9
0.316944 	4100.45
0.319342 	4038.42
0.32174 	3977.77
0.324138 	3918.47
0.326536 	3860.47
0.328934 	3803.73
0.331332 	3748.22
0.33373 	3693.9
0.336128 	3640.74
0.338526 	3588.7
0.340924 	3537.76
0.343322 	3487.89
0.34572 	3439.04
0.348118 	3391.21
0.350516 	3344.35
0.352914 	3298.44
0.355312 	3253.46
0.35771 	3209.38
0.360108 	3166.18
0.362506 	3123.84
0.364904 	3082.32
0.367302 	3041.62
0.3697 	3001.7
0.372098 	2962.56
0.374496 	2924.16
0.376894 	2886.5
0.379292 	2849.55
0.38169 	2813.29
0.384088 	2777.71
0.386486 	2742.78
0.388884 	2708.51
0.391282 	2674.86
0.39368 	2641.82
0.396078 	2609.38
0.398476 	2577.53
0.400874 	2546.25
0.403272 	2515.52
0.40567 	2485.33
0.408068 	2455.68
0.410466 	2426.54
0.412864 	2397.92
0.415262 	2369.78
0.41766 	2342.13
0.420058 	2314.95
0.422456 	2288.23
0.424854 	2261.96
0.427252 	2236.14
0.42965 	2210.74
0.432048 	2185.77
0.434446 	2161.21
0.436844 	2137.05
0.439242 	2113.29
0.44164 	2089.92
0.444038 	2066.92
0.446436 	2044.29
0.448834 	2022.02
0.451232 	2000.11
0.45363 	1978.54
0.456028 	1957.31
0.458426 	1936.42
0.460824 	1915.85
0.463222 	1895.6
0.46562 	1875.66
0.468018 	1856.02
0.470416 	1836.69
0.472814 	1817.65
0.475212 	1798.9
0.47761 	1780.43
0.480008 	1762.23
0.482406 	1744.31
0.484804 	1726.65
0.487202 	1709.25
0.4896 	1692.1
0.491998 	1675.21
0.494396 	1658.56
0.496794 	1642.15
0.499192 	1625.98
0.50159 	1610.04
0.503988 	1594.33
0.506386 	1578.84
0.508784 	1563.56
0.511182 	1548.5
0.51358 	1533.66
0.515978 	1519.02
0.518376 	1504.58
