# Mass = 0.0464574 Mev*(hbarc)^2/2 
# R = 3.78 fm 
# a = 0.662 fm 
# V0 = 52.06 MeV 
# RSO = 3.48 fm 
# aSO = 0.662 fm 
# VSO = 29.8586 MeV fm^2
# Rc = 3.78 fm
# Zc = 0
# n = 0 
# l = 0 
# two_j = 1 
# two_t = -1 
# Energy = -36.2616 MeV
# r          u            Phi          u/r          
0.01         0.0056364    0.0112445    0.56364      
0.012398     0.006988     0.0112443    0.563639     
0.014796     0.00833957   0.011244     0.563637     
0.017194     0.0096911    0.0112437    0.563633     
0.019592     0.0110426    0.0112433    0.563628     
0.02199      0.012394     0.0112429    0.563622     
0.024388     0.0137454    0.0112425    0.563615     
0.026786     0.0150968    0.011242     0.563607     
0.029184     0.0164481    0.0112414    0.563598     
0.031582     0.0177993    0.0112408    0.563589     
0.03398      0.0191504    0.0112402    0.563578     
0.036378     0.0205014    0.0112395    0.563567     
0.038776     0.0218524    0.0112387    0.563555     
0.041174     0.0232033    0.011238     0.563542     
0.043572     0.0245541    0.0112371    0.563528     
0.04597      0.0259047    0.0112363    0.563514     
0.048368     0.0272553    0.0112353    0.563499     
0.050766     0.0286058    0.0112344    0.563483     
0.053164     0.0299561    0.0112334    0.563466     
0.055562     0.0313063    0.0112323    0.563448     
0.05796      0.0326564    0.0112312    0.56343      
0.060358     0.0340063    0.01123      0.56341      
0.062756     0.0353561    0.0112288    0.56339      
0.065154     0.0367058    0.0112276    0.56337      
0.067552     0.0380553    0.0112263    0.563348     
0.06995      0.0394046    0.0112249    0.563326     
0.072348     0.0407538    0.0112235    0.563302     
0.074746     0.0421028    0.0112221    0.563278     
0.077144     0.0434516    0.0112206    0.563254     
0.079542     0.0448003    0.0112191    0.563228     
0.08194      0.0461488    0.0112175    0.563202     
0.084338     0.047497     0.0112159    0.563175     
0.086736     0.0488451    0.0112142    0.563147     
0.089134     0.050193     0.0112125    0.563118     
0.091532     0.0515406    0.0112107    0.563089     
0.09393      0.0528881    0.0112089    0.563058     
0.096328     0.0542353    0.0112071    0.563027     
0.098726     0.0555823    0.0112052    0.562996     
0.101124     0.0569291    0.0112032    0.562963     
0.103522     0.0582756    0.0112012    0.56293      
0.10592      0.0596219    0.0111992    0.562896     
0.108318     0.0609679    0.0111971    0.562861     
0.110716     0.0623137    0.0111949    0.562825     
0.113114     0.0636592    0.0111928    0.562788     
0.115512     0.0650045    0.0111905    0.562751     
0.11791      0.0663495    0.0111883    0.562713     
0.120308     0.0676942    0.0111859    0.562674     
0.122706     0.0690386    0.0111836    0.562635     
0.125104     0.0703828    0.0111812    0.562594     
0.127502     0.0717266    0.0111787    0.562553     
0.1299       0.0730702    0.0111762    0.562511     
0.132298     0.0744134    0.0111736    0.562468     
0.134696     0.0757564    0.011171     0.562425     
0.137094     0.077099     0.0111684    0.562381     
0.139492     0.0784413    0.0111657    0.562336     
0.14189      0.0797833    0.0111629    0.56229      
0.144288     0.0811249    0.0111602    0.562243     
0.146686     0.0824662    0.0111573    0.562196     
0.149084     0.0838072    0.0111544    0.562147     
0.151482     0.0851478    0.0111515    0.562098     
0.15388      0.0864881    0.0111485    0.562049     
0.156278     0.087828     0.0111455    0.561998     
0.158676     0.0891675    0.0111425    0.561947     
0.161074     0.0905067    0.0111394    0.561895     
0.163472     0.0918454    0.0111362    0.561842     
0.16587      0.0931838    0.011133     0.561788     
0.168268     0.0945219    0.0111297    0.561734     
0.170666     0.0958595    0.0111264    0.561679     
0.173064     0.0971967    0.0111231    0.561623     
0.175462     0.0985335    0.0111197    0.561566     
0.17786      0.0998699    0.0111163    0.561509     
0.180258     0.101206     0.0111128    0.56145      
0.182656     0.102541     0.0111093    0.561391     
0.185054     0.103877     0.0111057    0.561332     
0.187452     0.105211     0.0111021    0.561271     
0.18985      0.106546     0.0110984    0.56121      
0.192248     0.107879     0.0110947    0.561147     
0.194646     0.109213     0.011091     0.561084     
0.197044     0.110546     0.0110872    0.561021     
0.199442     0.111878     0.0110833    0.560956     
0.20184      0.11321      0.0110794    0.560891     
0.204238     0.114542     0.0110755    0.560825     
0.206636     0.115873     0.0110715    0.560758     
0.209034     0.117203     0.0110675    0.560691     
0.211432     0.118534     0.0110634    0.560622     
0.21383      0.119863     0.0110593    0.560553     
0.216228     0.121192     0.0110551    0.560483     
0.218626     0.122521     0.0110509    0.560413     
0.221024     0.123849     0.0110466    0.560341     
0.223422     0.125176     0.0110423    0.560269     
0.22582      0.126503     0.011038     0.560196     
0.228218     0.12783      0.0110336    0.560122     
0.230616     0.129156     0.0110291    0.560048     
0.233014     0.130481     0.0110246    0.559973     
0.235412     0.131806     0.0110201    0.559897     
0.23781      0.133131     0.0110155    0.55982      
0.240208     0.134455     0.0110109    0.559742     
0.242606     0.135778     0.0110062    0.559664     
0.245004     0.137101     0.0110015    0.559585     
0.247402     0.138423     0.0109968    0.559505     
0.2498       0.139744     0.0109919    0.559424     
0.252198     0.141065     0.0109871    0.559343     
0.254596     0.142386     0.0109822    0.559261     
0.256994     0.143705     0.0109773    0.559178     
0.259392     0.145024     0.0109723    0.559094     
0.26179      0.146343     0.0109672    0.559009     
0.264188     0.147661     0.0109622    0.558924     
0.266586     0.148978     0.010957     0.558838     
0.268984     0.150295     0.0109519    0.558751     
0.271382     0.151611     0.0109467    0.558664     
0.27378      0.152927     0.0109414    0.558575     
0.276178     0.154242     0.0109361    0.558486     
0.278576     0.155556     0.0109307    0.558397     
0.280974     0.156869     0.0109253    0.558306     
0.283372     0.158182     0.0109199    0.558215     
0.28577      0.159495     0.0109144    0.558122     
0.288168     0.160806     0.0109089    0.55803      
0.290566     0.162117     0.0109033    0.557936     
0.292964     0.163427     0.0108977    0.557841     
0.295362     0.164737     0.010892     0.557746     
0.29776      0.166046     0.0108863    0.55765      
0.300158     0.167354     0.0108806    0.557554     
0.302556     0.168662     0.0108748    0.557456     
0.304954     0.169969     0.0108689    0.557358     
0.307352     0.171275     0.010863     0.557259     
0.30975      0.17258      0.0108571    0.557159     
0.312148     0.173885     0.0108511    0.557059     
0.314546     0.175189     0.0108451    0.556957     
0.316944     0.176492     0.0108391    0.556855     
0.319342     0.177794     0.0108329    0.556752     
0.32174      0.179096     0.0108268    0.556649     
0.324138     0.180397     0.0108206    0.556545     
0.326536     0.181698     0.0108143    0.556439     
0.328934     0.182997     0.0108081    0.556334     
0.331332     0.184296     0.0108017    0.556227     
0.33373      0.185594     0.0107953    0.55612      
0.336128     0.186891     0.0107889    0.556012     
0.338526     0.188188     0.0107825    0.555903     
0.340924     0.189483     0.0107759    0.555793     
0.343322     0.190778     0.0107694    0.555683     
0.34572      0.192072     0.0107628    0.555572     
0.348118     0.193366     0.0107561    0.55546      
0.350516     0.194658     0.0107495    0.555347     
0.352914     0.19595      0.0107427    0.555234     
0.355312     0.197241     0.010736     0.55512      
0.35771      0.198531     0.0107291    0.555005     
0.360108     0.19982      0.0107223    0.554889     
0.362506     0.201108     0.0107154    0.554773     
0.364904     0.202396     0.0107084    0.554655     
0.367302     0.203683     0.0107014    0.554538     
0.3697       0.204969     0.0106944    0.554419     
0.372098     0.206254     0.0106873    0.554299     
0.374496     0.207538     0.0106802    0.554179     
0.376894     0.208821     0.010673     0.554058     
0.379292     0.210104     0.0106658    0.553937     
0.38169      0.211385     0.0106585    0.553814     
0.384088     0.212666     0.0106512    0.553691     
0.386486     0.213946     0.0106439    0.553567     
0.388884     0.215225     0.0106365    0.553443     
0.391282     0.216503     0.0106291    0.553317     
0.39368      0.21778      0.0106216    0.553191     
0.396078     0.219057     0.0106141    0.553064     
0.398476     0.220332     0.0106065    0.552936     
0.400874     0.221606     0.0105989    0.552808     
0.403272     0.22288      0.0105913    0.552679     
0.40567      0.224153     0.0105836    0.552549     
0.408068     0.225424     0.0105758    0.552418     
0.410466     0.226695     0.0105681    0.552287     
0.412864     0.227965     0.0105602    0.552155     
0.415262     0.229234     0.0105524    0.552022     
