# Mass = 0.0463958 Mev*(hbarc)^2/2 
# R = 3.78 fm 
# a = 0.662 fm 
# V0 = 56.9883 MeV 
# RSO = 3.48 fm 
# aSO = 0.662 fm 
# VSO = 29.9379 MeV fm^2
# Rc = 3.78 fm
# Zc = 12
# n = 0 
# l = 0 
# two_j = 1 
# two_t = 1 
# Energy = -34.5462 MeV
# r          u            Phi          u/r          
0.01         0.00562077   0.0173038    0.562077     
0.012398     0.00696861   0.0173035    0.562076     
0.014796     0.00831643   0.0173031    0.562073     
0.017194     0.00966422   0.0173026    0.562069     
0.019592     0.011012     0.017302     0.562064     
0.02199      0.0123597    0.0173014    0.562058     
0.024388     0.0137073    0.0173007    0.562051     
0.026786     0.0150549    0.0173       0.562044     
0.029184     0.0164024    0.0172991    0.562035     
0.031582     0.0177499    0.0172982    0.562026     
0.03398      0.0190973    0.0172973    0.562016     
0.036378     0.0204446    0.0172962    0.562005     
0.038776     0.0217918    0.0172951    0.561993     
0.041174     0.023139     0.0172939    0.56198      
0.043572     0.024486     0.0172927    0.561967     
0.04597      0.025833     0.0172913    0.561952     
0.048368     0.0271798    0.0172899    0.561937     
0.050766     0.0285265    0.0172885    0.561922     
0.053164     0.0298731    0.0172869    0.561905     
0.055562     0.0312196    0.0172853    0.561888     
0.05796      0.032566     0.0172836    0.56187      
0.060358     0.0339122    0.0172819    0.561851     
0.062756     0.0352583    0.0172801    0.561831     
0.065154     0.0366042    0.0172782    0.561811     
0.067552     0.03795      0.0172762    0.561789     
0.06995      0.0392956    0.0172742    0.561767     
0.072348     0.0406411    0.0172721    0.561745     
0.074746     0.0419864    0.0172699    0.561721     
0.077144     0.0433315    0.0172676    0.561697     
0.079542     0.0446765    0.0172653    0.561672     
0.08194      0.0460213    0.0172629    0.561646     
0.084338     0.0473659    0.0172605    0.561619     
0.086736     0.0487102    0.0172579    0.561592     
0.089134     0.0500544    0.0172553    0.561564     
0.091532     0.0513984    0.0172527    0.561535     
0.09393      0.0527422    0.0172499    0.561505     
0.096328     0.0540857    0.0172471    0.561475     
0.098726     0.0554291    0.0172442    0.561444     
0.101124     0.0567722    0.0172413    0.561412     
0.103522     0.0581151    0.0172383    0.561379     
0.10592      0.0594577    0.0172352    0.561345     
0.108318     0.0608001    0.017232     0.561311     
0.110716     0.0621422    0.0172288    0.561276     
0.113114     0.0634841    0.0172254    0.56124      
0.115512     0.0648257    0.0172221    0.561204     
0.11791      0.0661671    0.0172186    0.561166     
0.120308     0.0675082    0.0172151    0.561128     
0.122706     0.068849     0.0172115    0.561089     
0.125104     0.0701895    0.0172079    0.561049     
0.127502     0.0715298    0.0172041    0.561009     
0.1299       0.0728697    0.0172003    0.560968     
0.132298     0.0742094    0.0171964    0.560926     
0.134696     0.0755487    0.0171925    0.560883     
0.137094     0.0768878    0.0171885    0.56084      
0.139492     0.0782265    0.0171844    0.560795     
0.14189      0.0795649    0.0171803    0.56075      
0.144288     0.080903     0.017176     0.560705     
0.146686     0.0822407    0.0171717    0.560658     
0.149084     0.0835781    0.0171674    0.560611     
0.151482     0.0849152    0.017163     0.560563     
0.15388      0.0862519    0.0171584    0.560514     
0.156278     0.0875882    0.0171539    0.560464     
0.158676     0.0889242    0.0171492    0.560414     
0.161074     0.0902599    0.0171445    0.560363     
0.163472     0.0915951    0.0171397    0.560311     
0.16587      0.09293      0.0171349    0.560258     
0.168268     0.0942646    0.01713      0.560205     
0.170666     0.0955987    0.017125     0.560151     
0.173064     0.0969324    0.0171199    0.560096     
0.175462     0.0982657    0.0171148    0.56004      
0.17786      0.0995987    0.0171096    0.559984     
0.180258     0.100931     0.0171043    0.559926     
0.182656     0.102263     0.017099     0.559868     
0.185054     0.103595     0.0170935    0.55981      
0.187452     0.104926     0.0170881    0.55975      
0.18985      0.106257     0.0170825    0.55969      
0.192248     0.107588     0.0170769    0.559629     
0.194646     0.108917     0.0170712    0.559567     
0.197044     0.110247     0.0170654    0.559505     
0.199442     0.111576     0.0170596    0.559441     
0.20184      0.112905     0.0170537    0.559377     
0.204238     0.114233     0.0170477    0.559312     
0.206636     0.115561     0.0170417    0.559247     
0.209034     0.116888     0.0170356    0.55918      
0.211432     0.118214     0.0170294    0.559113     
0.21383      0.119541     0.0170232    0.559046     
0.216228     0.120866     0.0170168    0.558977     
0.218626     0.122192     0.0170105    0.558908     
0.221024     0.123516     0.017004     0.558837     
0.223422     0.124841     0.0169975    0.558767     
0.22582      0.126164     0.0169909    0.558695     
0.228218     0.127488     0.0169842    0.558622     
0.230616     0.12881      0.0169775    0.558549     
0.233014     0.130133     0.0169707    0.558475     
0.235412     0.131454     0.0169638    0.558401     
0.23781      0.132775     0.0169569    0.558325     
0.240208     0.134096     0.0169499    0.558249     
0.242606     0.135416     0.0169428    0.558172     
0.245004     0.136735     0.0169356    0.558095     
0.247402     0.138054     0.0169284    0.558016     
0.2498       0.139373     0.0169212    0.557937     
0.252198     0.14069      0.0169138    0.557857     
0.254596     0.142008     0.0169064    0.557776     
0.256994     0.143324     0.0168989    0.557695     
0.259392     0.14464      0.0168913    0.557613     
0.26179      0.145956     0.0168837    0.55753      
0.264188     0.147271     0.016876     0.557446     
0.266586     0.148585     0.0168682    0.557361     
0.268984     0.149898     0.0168604    0.557276     
0.271382     0.151211     0.0168525    0.55719      
0.27378      0.152524     0.0168445    0.557103     
0.276178     0.153836     0.0168365    0.557016     
0.278576     0.155147     0.0168284    0.556928     
0.280974     0.156457     0.0168202    0.556839     
0.283372     0.157767     0.016812     0.556749     
0.28577      0.159076     0.0168037    0.556659     
0.288168     0.160385     0.0167953    0.556567     
0.290566     0.161693     0.0167868    0.556475     
0.292964     0.163        0.0167783    0.556383     
0.295362     0.164307     0.0167697    0.556289     
0.29776      0.165613     0.0167611    0.556195     
0.300158     0.166918     0.0167523    0.5561       
0.302556     0.168222     0.0167436    0.556004     
0.304954     0.169526     0.0167347    0.555908     
0.307352     0.170829     0.0167258    0.55581      
0.30975      0.172132     0.0167168    0.555713     
0.312148     0.173434     0.0167077    0.555614     
0.314546     0.174735     0.0166986    0.555514     
0.316944     0.176035     0.0166894    0.555414     
0.319342     0.177335     0.0166801    0.555313     
0.32174      0.178634     0.0166708    0.555211     
0.324138     0.179932     0.0166614    0.555109     
0.326536     0.181229     0.0166519    0.555006     
0.328934     0.182526     0.0166424    0.554902     
0.331332     0.183822     0.0166328    0.554797     
0.33373      0.185117     0.0166231    0.554692     
0.336128     0.186412     0.0166134    0.554586     
0.338526     0.187705     0.0166036    0.554479     
0.340924     0.188998     0.0165937    0.554371     
0.343322     0.190291     0.0165838    0.554263     
0.34572      0.191582     0.0165738    0.554153     
0.348118     0.192873     0.0165637    0.554044     
0.350516     0.194162     0.0165536    0.553933     
0.352914     0.195451     0.0165434    0.553822     
0.355312     0.19674      0.0165331    0.553709     
0.35771      0.198027     0.0165228    0.553597     
0.360108     0.199314     0.0165124    0.553483     
0.362506     0.200599     0.0165019    0.553369     
0.364904     0.201884     0.0164913    0.553254     
0.367302     0.203169     0.0164807    0.553138     
0.3697       0.204452     0.0164701    0.553021     
0.372098     0.205734     0.0164593    0.552904     
0.374496     0.207016     0.0164485    0.552786     
0.376894     0.208297     0.0164376    0.552667     
0.379292     0.209577     0.0164267    0.552548     
0.38169      0.210856     0.0164157    0.552427     
0.384088     0.212134     0.0164046    0.552306     
0.386486     0.213412     0.0163935    0.552185     
0.388884     0.214688     0.0163823    0.552062     
0.391282     0.215964     0.016371     0.551939     
0.39368      0.217239     0.0163597    0.551815     
0.396078     0.218512     0.0163483    0.55169      
0.398476     0.219785     0.0163368    0.551565     
0.400874     0.221058     0.0163253    0.551439     
0.403272     0.222329     0.0163137    0.551312     
0.40567      0.223599     0.016302     0.551184     
0.408068     0.224868     0.0162903    0.551056     
0.410466     0.226137     0.0162785    0.550927     
0.412864     0.227404     0.0162666    0.550797     
0.415262     0.228671     0.0162547    0.550667     
0.41766      0.229937     0.0162427    0.550535     
0.420058     0.231201     0.0162306    0.550403     
0.422456     0.232465     0.0162185    0.550271     
0.424854     0.233728     0.0162063    0.550137     
0.427252     0.23499      0.0161941    0.550003     
0.42965      0.236251     0.0161818    0.549868     
0.432048     0.237511     0.0161694    0.549733     
0.434446     0.23877      0.0161569    0.549596     
0.436844     0.240028     0.0161444    0.549459     
0.439242     0.241285     0.0161318    0.549321     
0.44164      0.242541     0.0161192    0.549183     
0.444038     0.243796     0.0161065    0.549043     
0.446436     0.24505      0.0160937    0.548903     
0.448834     0.246303     0.0160809    0.548763     
