# Mass = 0.0441503 Mev*(hbarc)^2/2 
# R = 2.88468 fm 
# a = 0.662 fm 
# V0 = 60.3766 MeV 
# RSO = 2.65574 fm 
# aSO = 0.662 fm 
# VSO = 33.0606 MeV fm^2
# Rc = 2.88468 fm
# Zc = 5
# n = 0 
# l = 0 
# two_j = 1 
# two_t = 1 
# Energy = -31.1769 MeV
# r          u            Phi          u/r          
0.01         0.00723094   0.0481581    0.723094     
0.012398     0.0089649    0.0481567    0.723092     
0.014796     0.0106988    0.048155     0.723087     
0.017194     0.0124326    0.0481529    0.72308      
0.019592     0.0141664    0.0481506    0.72307      
0.02199      0.0159001    0.048148     0.723058     
0.024388     0.0176336    0.0481451    0.723045     
0.026786     0.0193671    0.0481419    0.72303      
0.029184     0.0211004    0.0481384    0.723013     
0.031582     0.0228336    0.0481345    0.722994     
0.03398      0.0245667    0.0481304    0.722974     
0.036378     0.0262996    0.048126     0.722953     
0.038776     0.0280323    0.0481213    0.72293      
0.041174     0.0297649    0.0481163    0.722905     
0.043572     0.0314973    0.0481109    0.722878     
0.04597      0.0332294    0.0481053    0.722851     
0.048368     0.0349614    0.0480994    0.722821     
0.050766     0.0366932    0.0480932    0.72279      
0.053164     0.0384247    0.0480866    0.722758     
0.055562     0.040156     0.0480798    0.722724     
0.05796      0.041887     0.0480727    0.722688     
0.060358     0.0436178    0.0480653    0.722651     
0.062756     0.0453483    0.0480575    0.722613     
0.065154     0.0470785    0.0480495    0.722573     
0.067552     0.0488084    0.0480412    0.722531     
0.06995      0.050538     0.0480326    0.722488     
0.072348     0.0522674    0.0480236    0.722444     
0.074746     0.0539963    0.0480144    0.722398     
0.077144     0.055725     0.0480049    0.72235      
0.079542     0.0574533    0.0479951    0.722301     
0.08194      0.0591812    0.047985     0.72225      
0.084338     0.0609087    0.0479746    0.722198     
0.086736     0.0626359    0.0479638    0.722144     
0.089134     0.0643627    0.0479528    0.722089     
0.091532     0.0660891    0.0479415    0.722033     
0.09393      0.0678151    0.0479299    0.721975     
0.096328     0.0695406    0.047918     0.721915     
0.098726     0.0712657    0.0479058    0.721854     
0.101124     0.0729904    0.0478933    0.721791     
0.103522     0.0747146    0.0478805    0.721727     
0.10592      0.0764384    0.0478674    0.721662     
0.108318     0.0781617    0.047854     0.721594     
0.110716     0.0798845    0.0478404    0.721526     
0.113114     0.0816067    0.0478264    0.721456     
0.115512     0.0833285    0.0478121    0.721384     
0.11791      0.0850498    0.0477975    0.721311     
0.120308     0.0867705    0.0477826    0.721236     
0.122706     0.0884907    0.0477675    0.72116      
0.125104     0.0902103    0.047752     0.721083     
0.127502     0.0919294    0.0477362    0.721004     
0.1299       0.0936479    0.0477202    0.720923     
0.132298     0.0953658    0.0477038    0.720841     
0.134696     0.0970832    0.0476872    0.720758     
0.137094     0.0987999    0.0476703    0.720673     
0.139492     0.100516     0.047653     0.720586     
0.14189      0.102231     0.0476355    0.720498     
0.144288     0.103946     0.0476177    0.720409     
0.146686     0.105661     0.0475996    0.720318     
0.149084     0.107374     0.0475811    0.720225     
