# Mass = 0.0473905 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 50.2779 MeV 
# RSO = 4.438 fm 
# aSO = 0.662 fm 
# VSO = 28.6942 MeV fm^2
# Rc = 4.82059 fm
# Zc = 0
# n = 0 
# l = 0 
# two_j = 1 
# two_t = -1 
# Energy = -40.1949 MeV
# r          u            Phi          u/r          
0.01         0.00427421   0.00240014   0.427421     
0.012398     0.00529915   0.00240011   0.42742      
0.014796     0.00632409   0.00240007   0.427419     
0.017194     0.007349     0.00240003   0.427417     
0.019592     0.0083739    0.00239998   0.427414     
0.02199      0.00939877   0.00239992   0.427411     
0.024388     0.0104236    0.00239986   0.427408     
0.026786     0.0114484    0.00239979   0.427404     
0.029184     0.0124732    0.00239971   0.427399     
0.031582     0.013498     0.00239963   0.427395     
0.03398      0.0145227    0.00239954   0.42739      
0.036378     0.0155474    0.00239944   0.427384     
0.038776     0.016572     0.00239934   0.427378     
0.041174     0.0175966    0.00239923   0.427372     
0.043572     0.0186211    0.00239911   0.427365     
0.04597      0.0196456    0.00239899   0.427358     
0.048368     0.0206701    0.00239886   0.42735      
0.050766     0.0216944    0.00239873   0.427342     
0.053164     0.0227188    0.00239858   0.427334     
0.055562     0.023743     0.00239843   0.427325     
0.05796      0.0247672    0.00239828   0.427316     
0.060358     0.0257913    0.00239812   0.427306     
0.062756     0.0268154    0.00239795   0.427296     
0.065154     0.0278394    0.00239777   0.427286     
0.067552     0.0288633    0.00239759   0.427275     
0.06995      0.0298871    0.0023974    0.427264     
0.072348     0.0309108    0.00239721   0.427252     
0.074746     0.0319345    0.00239701   0.42724      
0.077144     0.0329581    0.0023968    0.427228     
0.079542     0.0339816    0.00239658   0.427215     
0.08194      0.0350049    0.00239636   0.427202     
0.084338     0.0360282    0.00239614   0.427189     
0.086736     0.0370514    0.0023959    0.427175     
0.089134     0.0380745    0.00239566   0.427161     
0.091532     0.0390975    0.00239541   0.427146     
0.09393      0.0401204    0.00239516   0.427131     
0.096328     0.0411432    0.0023949    0.427115     
0.098726     0.0421658    0.00239463   0.4271       
0.101124     0.0431884    0.00239436   0.427083     
0.103522     0.0442108    0.00239408   0.427067     
0.10592      0.0452331    0.00239379   0.42705      
0.108318     0.0462553    0.0023935    0.427032     
0.110716     0.0472773    0.0023932    0.427014     
0.113114     0.0482993    0.00239289   0.426996     
0.115512     0.0493211    0.00239258   0.426978     
0.11791      0.0503427    0.00239226   0.426959     
0.120308     0.0513642    0.00239193   0.426939     
0.122706     0.0523856    0.0023916    0.42692      
0.125104     0.0534068    0.00239126   0.4269       
0.127502     0.0544279    0.00239092   0.426879     
0.1299       0.0554489    0.00239057   0.426858     
0.132298     0.0564697    0.00239021   0.426837     
0.134696     0.0574903    0.00238984   0.426815     
0.137094     0.0585108    0.00238947   0.426793     
0.139492     0.0595311    0.00238909   0.426771     
0.14189      0.0605512    0.00238871   0.426748     
0.144288     0.0615712    0.00238832   0.426725     
0.146686     0.0625911    0.00238792   0.426701     
0.149084     0.0636107    0.00238751   0.426677     
