# Mass = 0.0473265 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 56.2183 MeV 
# RSO = 4.438 fm 
# aSO = 0.662 fm 
# VSO = 28.772 MeV fm^2
# Rc = 4.82059 fm
# Zc = 25
# n = 0 
# l = 0 
# two_j = 1 
# two_t = 1 
# Energy = -35.6954 MeV
# r          u            Phi          u/r          
0.01         0.00414831   0.00554135   0.414831     
0.012398     0.00514307   0.00554129   0.414831     
0.014796     0.00613781   0.00554121   0.414829     
0.017194     0.00713255   0.00554111   0.414828     
0.019592     0.00812726   0.00554101   0.414825     
0.02199      0.00912195   0.00554089   0.414823     
0.024388     0.0101166    0.00554075   0.41482      
0.026786     0.0111113    0.0055406    0.414816     
0.029184     0.0121059    0.00554044   0.414812     
0.031582     0.0131005    0.00554026   0.414808     
0.03398      0.014095     0.00554007   0.414803     
0.036378     0.0150895    0.00553986   0.414798     
0.038776     0.016084     0.00553964   0.414793     
0.041174     0.0170784    0.00553941   0.414787     
0.043572     0.0180728    0.00553916   0.414781     
0.04597      0.0190672    0.0055389    0.414774     
0.048368     0.0200615    0.00553862   0.414768     
0.050766     0.0210557    0.00553833   0.414761     
0.053164     0.0220499    0.00553803   0.414753     
0.055562     0.0230441    0.00553771   0.414745     
0.05796      0.0240381    0.00553738   0.414737     
0.060358     0.0250322    0.00553703   0.414728     
0.062756     0.0260261    0.00553667   0.414719     
0.065154     0.02702      0.0055363    0.41471      
0.067552     0.0280138    0.00553591   0.4147       
0.06995      0.0290076    0.00553551   0.41469      
0.072348     0.0300013    0.0055351    0.41468      
0.074746     0.0309949    0.00553467   0.414669     
0.077144     0.0319884    0.00553422   0.414658     
0.079542     0.0329818    0.00553376   0.414647     
0.08194      0.0339752    0.00553329   0.414635     
0.084338     0.0349685    0.00553281   0.414623     
0.086736     0.0359617    0.00553231   0.414611     
0.089134     0.0369548    0.00553179   0.414598     
0.091532     0.0379478    0.00553127   0.414585     
0.09393      0.0389407    0.00553072   0.414571     
0.096328     0.0399335    0.00553017   0.414557     
0.098726     0.0409262    0.0055296    0.414543     
0.101124     0.0419188    0.00552902   0.414529     
0.103522     0.0429113    0.00552842   0.414514     
0.10592      0.0439037    0.00552781   0.414498     
0.108318     0.0448959    0.00552718   0.414483     
0.110716     0.0458881    0.00552654   0.414467     
0.113114     0.0468802    0.00552589   0.414451     
0.115512     0.0478721    0.00552522   0.414434     
0.11791      0.0488639    0.00552454   0.414417     
0.120308     0.0498556    0.00552384   0.414399     
0.122706     0.0508471    0.00552313   0.414382     
0.125104     0.0518386    0.00552241   0.414364     
0.127502     0.0528299    0.00552167   0.414345     
0.1299       0.053821     0.00552092   0.414327     
0.132298     0.0548121    0.00552016   0.414308     
0.134696     0.0558029    0.00551938   0.414288     
0.137094     0.0567937    0.00551859   0.414268     
0.139492     0.0577843    0.00551778   0.414248     
0.14189      0.0587748    0.00551696   0.414228     
0.144288     0.0597651    0.00551612   0.414207     
0.146686     0.0607552    0.00551527   0.414186     
0.149084     0.0617452    0.00551441   0.414164     
0.151482     0.0627351    0.00551353   0.414142     
0.15388      0.0637248    0.00551264   0.41412      
0.156278     0.0647143    0.00551174   0.414097     
0.158676     0.0657037    0.00551082   0.414074     
0.161074     0.0666929    0.00550989   0.414051     
0.163472     0.0676819    0.00550894   0.414027     
