# Mass = 0.0452189 Mev*(hbarc)^2/2 
# R = 3.175 fm 
# a = 0.662 fm 
# V0 = 58.2974 MeV 
# RSO = 2.92302 fm 
# aSO = 0.662 fm 
# VSO = 31.5165 MeV fm^2
# Rc = 3.175 fm
# Zc = 0
# n = 0 
# l = 1 
# two_j = 1 
# two_t = -1 
# Energy = -16.9303 MeV
# r          u            Phi          u/r          
0.01         3.40774e-05  0.000659934  0.00340774   
0.012398     5.23806e-05  0.00081819   0.00422493   
0.014796     7.46031e-05  0.000976443  0.00504211   
0.017194     0.000100745  0.00113469   0.00585929   
0.019592     0.000130805  0.00129293   0.00667646   
0.02199      0.000164785  0.00145116   0.00749362   
0.024388     0.000202683  0.00160939   0.00831075   
0.026786     0.000244499  0.00176759   0.00912786   
0.029184     0.000290233  0.00192579   0.00994493   
0.031582     0.000339884  0.00208396   0.010762     
0.03398      0.000393453  0.00224212   0.011579     
0.036378     0.000450938  0.00240026   0.0123959    
0.038776     0.00051234   0.00255837   0.0132128    
0.041174     0.000577657  0.00271646   0.0140296    
0.043572     0.000646888  0.00287452   0.0148464    
0.04597      0.000720034  0.00303256   0.0156631    
0.048368     0.000797093  0.00319056   0.0164798    
0.050766     0.000878065  0.00334853   0.0172963    
0.053164     0.000962949  0.00350647   0.0181128    
0.055562     0.00105174   0.00366437   0.0189292    
0.05796      0.00114445   0.00382223   0.0197455    
0.060358     0.00124106   0.00398005   0.0205617    
0.062756     0.00134158   0.00413783   0.0213778    
0.065154     0.00144601   0.00429556   0.0221937    
0.067552     0.00155435   0.00445325   0.0230096    
0.06995      0.00166658   0.00461089   0.0238254    
0.072348     0.00178273   0.00476848   0.024641     
0.074746     0.00190277   0.00492602   0.0254565    
0.077144     0.00202672   0.0050835    0.0262719    
0.079542     0.00215456   0.00524093   0.0270871    
0.08194      0.0022863    0.0053983    0.0279022    
0.084338     0.00242194   0.00555561   0.0287171    
0.086736     0.00256148   0.00571285   0.0295319    
0.089134     0.0027049    0.00587004   0.0303465    
0.091532     0.00285222   0.00602715   0.0311609    
0.09393      0.00300343   0.0061842    0.0319752    
0.096328     0.00315853   0.00634118   0.0327893    
0.098726     0.00331752   0.00649809   0.0336033    
0.101124     0.00348039   0.00665493   0.034417     
0.103522     0.00364714   0.00681169   0.0352306    
0.10592      0.00381778   0.00696837   0.036044     
0.108318     0.00399229   0.00712497   0.0368571    
0.110716     0.00417068   0.00728149   0.0376701    
0.113114     0.00435295   0.00743793   0.0384828    
0.115512     0.00453909   0.00759428   0.0392954    
0.11791      0.0047291    0.00775054   0.0401077    
0.120308     0.00492298   0.00790672   0.0409198    
0.122706     0.00512072   0.0080628    0.0417316    
0.125104     0.00532233   0.00821879   0.0425433    
0.127502     0.00552781   0.00837469   0.0433547    
0.1299       0.00573714   0.00853049   0.0441658    
0.132298     0.00595033   0.00868619   0.0449767    
0.134696     0.00616737   0.00884179   0.0457873    
0.137094     0.00638827   0.00899729   0.0465977    
0.139492     0.00661301   0.00915268   0.0474078    
0.14189      0.00684161   0.00930796   0.0482177    
0.144288     0.00707404   0.00946314   0.0490273    
0.146686     0.00731032   0.00961821   0.0498365    
0.149084     0.00755044   0.00977316   0.0506456    
0.151482     0.0077944    0.00992801   0.0514543    
0.15388      0.00804218   0.0100827    0.0522627    
0.156278     0.0082938    0.0102373    0.0530708    
0.158676     0.00854925   0.0103918    0.0538786    
0.161074     0.00880852   0.0105462    0.0546861    
0.163472     0.00907161   0.0107004    0.0554933    
0.16587      0.00933852   0.0108545    0.0563002    
0.168268     0.00960924   0.0110085    0.0571068    
0.170666     0.00988378   0.0111624    0.057913     
