# Mass = 0.0479598 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 59.5769 MeV 
# RSO = 6.87299 fm 
# aSO = 0.662 fm 
# VSO = 28.0171 MeV fm^2
# Rc = 7.46549 fm
# Zc = 81
# n = 0 
# l = 3 
# two_j = 7 
# two_t = 1 
# Energy = -21.4389 MeV
# r          u            Phi          u/r          
0.01         3.13038e-11  6.37166e-11  3.13038e-09  
0.012398     7.39609e-11  1.21424e-10  5.96555e-09  
0.014796     1.50028e-10  2.06387e-10  1.01398e-08  
0.017194     2.73591e-10  3.23875e-10  1.5912e-08   
0.019592     4.61219e-10  4.79161e-10  2.35412e-08  
0.02199      7.31967e-10  6.77514e-10  3.32863e-08  
0.024388     1.10737e-09  9.24204e-10  4.54064e-08  
0.026786     1.61145e-09  1.2245e-09   6.01603e-08  
0.029184     2.27072e-09  1.58368e-09  7.7807e-08   
0.031582     3.11415e-09  2.007e-09    9.86053e-08  
0.03398      4.17323e-09  2.49974e-09  1.22814e-07  
0.036378     5.4819e-09   3.06717e-09  1.50693e-07  
0.038776     7.0766e-09   3.71454e-09  1.825e-07    
0.041174     8.99626e-09  4.44714e-09  2.18494e-07  
0.043572     1.12823e-08  5.27022e-09  2.58934e-07  
0.04597      1.39785e-08  6.18905e-09  3.04079e-07  
0.048368     1.71313e-08  7.2089e-09   3.54187e-07  
0.050766     2.07896e-08  8.33504e-09  4.09518e-07  
0.053164     2.50047e-08  9.57272e-09  4.70331e-07  
0.055562     2.98303e-08  1.09272e-08  5.36883e-07  
0.05796      3.53228e-08  1.24038e-08  6.09433e-07  
0.060358     4.15409e-08  1.40077e-08  6.88241e-07  
0.062756     4.85459e-08  1.57442e-08  7.73565e-07  
0.065154     5.64015e-08  1.76185e-08  8.65664e-07  
0.067552     6.51739e-08  1.9636e-08   9.64795e-07  
0.06995      7.49317e-08  2.18018e-08  1.07122e-06  
0.072348     8.57463e-08  2.41213e-08  1.18519e-06  
0.074746     9.76911e-08  2.65996e-08  1.30697e-06  
0.077144     1.10842e-07  2.92421e-08  1.43682e-06  
0.079542     1.25278e-07  3.2054e-08   1.575e-06    
0.08194      1.41081e-07  3.50405e-08  1.72176e-06  
0.084338     1.58333e-07  3.82069e-08  1.87736e-06  
0.086736     1.7712e-07   4.15585e-08  2.04206e-06  
0.089134     1.97531e-07  4.51005e-08  2.21612e-06  
0.091532     2.19658e-07  4.88381e-08  2.3998e-06   
0.09393      2.43593e-07  5.27766e-08  2.59335e-06  
0.096328     2.69433e-07  5.69213e-08  2.79703e-06  
0.098726     2.97275e-07  6.12773e-08  3.01111e-06  
