# Mass = 0.0480256 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 45.1828 MeV 
# RSO = 6.87299 fm 
# aSO = 0.662 fm 
# VSO = 27.9403 MeV fm^2
# Rc = 7.46549 fm
# Zc = 0
# n = 1 
# l = 3 
# two_j = 7 
# two_t = -1 
# Energy = -10.7235 MeV
# r          u            Phi          u/r          
0.01         1.17666e-10  4.38819e-10  1.17666e-08  
0.012398     2.78008e-10  8.36251e-10  2.24236e-08  
0.014796     5.63931e-10  1.42138e-09  3.81137e-08  
0.017194     1.02838e-09  2.23051e-09  5.98103e-08  
0.019592     1.73363e-09  3.29992e-09  8.84868e-08  
0.02199      2.75131e-09  4.66592e-09  1.25116e-07  
0.024388     4.16235e-09  6.36478e-09  1.70672e-07  
0.026786     6.05704e-09  8.43279e-09  2.26127e-07  
0.029184     8.53498e-09  1.09062e-08  2.92454e-07  
0.031582     1.17051e-08  1.38213e-08  3.70626e-07  
0.03398      1.56857e-08  1.72144e-08  4.61616e-07  
0.036378     2.06044e-08  2.11216e-08  5.66397e-07  
0.038776     2.6598e-08   2.55793e-08  6.8594e-07   
0.041174     3.38128e-08  3.06237e-08  8.21218e-07  
0.043572     4.24044e-08  3.6291e-08   9.73204e-07  
0.04597      5.25377e-08  4.26174e-08  1.14287e-06  
0.048368     6.43867e-08  4.96392e-08  1.33118e-06  
0.050766     7.81351e-08  5.73924e-08  1.53912e-06  
0.053164     9.39756e-08  6.59134e-08  1.76765e-06  
0.055562     1.1211e-07   7.52383e-08  2.01775e-06  
0.05796      1.32751e-07  8.54032e-08  2.29038e-06  
0.060358     1.56117e-07  9.64443e-08  2.58652e-06  
0.062756     1.8244e-07   1.08398e-07  2.90714e-06  
0.065154     2.11959e-07  1.213e-07    3.2532e-06   
0.067552     2.44922e-07  1.35186e-07  3.62568e-06  
0.06995      2.81587e-07  1.50093e-07  4.02555e-06  
0.072348     3.22221e-07  1.66057e-07  4.45377e-06  
0.074746     3.67101e-07  1.83113e-07  4.91132e-06  
0.077144     4.16512e-07  2.01298e-07  5.39916e-06  
0.079542     4.7075e-07   2.20648e-07  5.91826e-06  
0.08194      5.30118e-07  2.41199e-07  6.46959e-06  
0.084338     5.9493e-07   2.62987e-07  7.05412e-06  
0.086736     6.65509e-07  2.86047e-07  7.67281e-06  
0.089134     7.42187e-07  3.10416e-07  8.32664e-06  
0.091532     8.25304e-07  3.3613e-07   9.01657e-06  
0.09393      9.15212e-07  3.63224e-07  9.74356e-06  
0.096328     1.01227e-06  3.91734e-07  1.05086e-05  
0.098726     1.11685e-06  4.21697e-07  1.13126e-05  
0.101124     1.22932e-06  4.53148e-07  1.21566e-05  
0.103522     1.35008e-06  4.86123e-07  1.30415e-05  
0.10592      1.47952e-06  5.20657e-07  1.39683e-05  
0.108318     1.61805e-06  5.56787e-07  1.49379e-05  
0.110716     1.76607e-06  5.94548e-07  1.59514e-05  
0.113114     1.92403e-06  6.33975e-07  1.70096e-05  
0.115512     2.09234e-06  6.75106e-07  1.81136e-05  
0.11791      2.27146e-06  7.17974e-07  1.92643e-05  
0.120308     2.46182e-06  7.62616e-07  2.04627e-05  
0.122706     2.6639e-06   8.09068e-07  2.17097e-05  
0.125104     2.87817e-06  8.57365e-07  2.30062e-05  
0.127502     3.1051e-06   9.07542e-07  2.43533e-05  
0.1299       3.34518e-06  9.59635e-07  2.5752e-05   
0.132298     3.59891e-06  1.01368e-06  2.7203e-05   
0.134696     3.86679e-06  1.06971e-06  2.87076e-05  
0.137094     4.14935e-06  1.12777e-06  3.02664e-05  
0.139492     4.4471e-06   1.18788e-06  3.18807e-05  
0.14189      4.76058e-06  1.25008e-06  3.35512e-05  
0.144288     5.09033e-06  1.31442e-06  3.5279e-05   
0.146686     5.43691e-06  1.38091e-06  3.70649e-05  
0.149084     5.80087e-06  1.44961e-06  3.89101e-05  
0.151482     6.18279e-06  1.52054e-06  4.08153e-05  
0.15388      6.58324e-06  1.59374e-06  4.27816e-05  
0.156278     7.00281e-06  1.66924e-06  4.481e-05    
0.158676     7.44211e-06  1.74709e-06  4.69013e-05  
0.161074     7.90173e-06  1.82731e-06  4.90565e-05  
0.163472     8.38229e-06  1.90993e-06  5.12766e-05  
0.16587      8.88442e-06  1.99501e-06  5.35625e-05  
0.168268     9.40875e-06  2.08256e-06  5.59152e-05  
0.170666     9.95592e-06  2.17263e-06  5.83357e-05  
0.173064     1.05266e-05  2.26524e-06  6.08248e-05  
0.175462     1.11214e-05  2.36044e-06  6.33835e-05  
0.17786      1.1741e-05   2.45826e-06  6.60127e-05  
0.180258     1.23862e-05  2.55874e-06  6.87135e-05  
0.182656     1.30575e-05  2.6619e-06   7.14868e-05  
0.185054     1.37557e-05  2.76778e-06  7.43334e-05  
0.187452     1.44815e-05  2.87643e-06  7.72544e-05  
0.18985      1.52356e-05  2.98786e-06  8.02506e-05  
0.192248     1.60187e-05  3.10213e-06  8.33231e-05  
0.194646     1.68316e-05  3.21925e-06  8.64728e-05  
0.197044     1.7675e-05   3.33927e-06  8.97006e-05  
0.199442     1.85496e-05  3.46222e-06  9.30074e-05  
0.20184      1.94562e-05  3.58814e-06  9.63942e-05  
0.204238     2.03956e-05  3.71705e-06  9.98619e-05  
0.206636     2.13685e-05  3.849e-06    0.000103411  
0.209034     2.23758e-05  3.98401e-06  0.000107044  
0.211432     2.34182e-05  4.12213e-06  0.00011076   
0.21383      2.44965e-05  4.26338e-06  0.000114561  
0.216228     2.56116e-05  4.4078e-06   0.000118447  
0.218626     2.67642e-05  4.55543e-06  0.00012242   
0.221024     2.79552e-05  4.70629e-06  0.00012648   
0.223422     2.91854e-05  4.86042e-06  0.000130629  
0.22582      3.04557e-05  5.01786e-06  0.000134867  
0.228218     3.17669e-05  5.17864e-06  0.000139196  
