10B(3+)		AV18+UX		20-Sep-13

    pair P = 0.00 momentum distribution calculated for  51 q values
    from 0.00 to  5.00 fm-1 with P not parallel to q
    using  48 gauss points in r out to 12.00 fm
    using  32 gauss points in R out to  8.00 fm

K2 = momentum in fm-1
RHOQNP = neutron-proton pair momentum distribution in fm**3
DRHOQNP = Monte Carlo error bar (1 sigma)
4*PI*TOTINT(RHOQNP*K2**2:K2)/(2*PI)**3 =  1274.7
RHOQPP = neutron-proton pair momentum distribution in fm**3
DRHOQPP = Monte Carlo error bar (1 sigma)
4*PI*TOTINT(RHOQPP*K2**2:K2)/(2*PI)**3 =  512.52
 
  K2     RHOQNP       DRHOQNP       RHOQPP      DRHOQPP
 ***  ************  ***********  ***********  ***********
 0    167980        8169.6       33850        3873.7
  .1  177300        7515.4       44948        3498.9
  .2  197010        5946         68930        2621.2
  .3  207950        4150.5       87040        1705.1
  .4  195660        2652.7       87700        1063.3
  .5  160750        1699.6       72660         714.34
  .6  115830        1169.3       51010         492.54
  .7   74050         824.18      31066         315.42
  .8   42599         554.14      16717         184.4
  .9   22412         344.3        8086         101.96
 1     10967         196.42       3578          55.905
 1.1    5090.7       104.56       1475.8        31.108
 1.2    2304.7        54.775       581.3        17.627
 1.3    1053.5        31.699       225          10.501
 1.4     513.14       21.873        88.42        7.0221
 1.5     276.55       17.023        35.725       5.3157
 1.6     167.72       14.048        14.727       4.3032
 1.7     116.29       11.913         5.961       3.5654
 1.8      86.419      10.185         1.744       2.9689
 1.9      69.031       8.6912         .24709     2.4709
 2        57.813       7.4044         .2052      2.052
 2.1      48.575       6.3017         .16984     1.6984
 2.2      42.836       5.3331         .13939     1.3939
 2.3      37.071       4.4734         .07608     1.1349
 2.4      32.54        3.7099         .6734       .91977
 2.5      29.68        3.0521        1.0998       .7476
 2.6      26.052       2.502         1.2972       .61118
 2.7      23.415       2.044         1.396        .49553
 2.8      20.456       1.6586        1.3456       .39529
 2.9      17.234       1.3404        1.2379       .31124
 3        15.244       1.0889        1.1693       .24561
 3.1      12.919        .88879       1.0865       .1972
 3.2      11.307        .73643       1.0424       .16222
 3.3      10.093        .6228         .98521      .13744
 3.4       8.4679       .53681        .89579      .12086
 3.5       7.6495       .47141        .83389      .10852
 3.6       6.587        .42175        .75068      .10041
 3.7       5.5861       .38279        .67586      .094559
 3.8       5.0666       .35002        .61001      .088778
 3.9       4.0873       .31785        .51803      .082586
 4         3.5603       .28904        .44802      .07637
 4.1       3.0675       .26361        .37656      .071119
 4.2       2.397        .23842        .31093      .06575
 4.3       2.2371       .21269        .27751      .058604
 4.4       1.804        .18687        .23962      .051494
 4.5       1.5364       .16594        .21759      .046186
 4.6       1.4535       .14813        .19616      .041852
 4.7       1.0348       .13012        .15537      .036944
 4.8        .9484       .10997        .1285       .030588
 4.9        .7575       .093268       .1007       .025788
 5          .54349      .08366        .08449      .023626
