#8Be(0+)		AV18+UX		12-Sep-13
#
#    pair P = 0.00 momentum distribution calculated for 101 q values
#    from 0.00 to 10.00 fm-1 with P not parallel to q
#    using  60 gauss points in r out to 12.00 fm
#    using  40 gauss points in R out to  8.00 fm
#
#K = momentum in fm-1
#RHOQNP = neutron-proton pair momentum distribution in fm**3
#DRHOQNP = Monte Carlo error bar (1 sigma)
#4*PI*TOTINT(RHOQNP(I)*K(I)**2:K(I))/(2*PI)**3 =  1135.3
#RHOQPP = neutron-proton pair momentum distribution in fm**3
#DRHOQPP = Monte Carlo error bar (1 sigma)
#4*PI*TOTINT(RHOQPP(I)*K(I)**2:K(I))/(2*PI)**3 =  360.07
# 
#   K       RHOQNP         DRHOQNP        RHOQPP        DRHOQPP
# ****  **************  ************  *************  ************
  0    298130          4061.9        70268          1970.8
   .1  290710          3683          73120          1731.4
   .2  268490          2781.7        77760          1174.3
   .3  232110          1804.4        76770           634.32
   .4  185390          1064.3        66650           348.46
   .5  135850           647.83       50210           251.7
   .6   91410           441.97       33030           173.55
   .7   56690           309.03       19241           101.17
   .8   32679           202.39       10127            54.917
   .9   17708           121.64        4935            30.864
  1      9151            67.918       2291.3          17.689
  1.1    4595.3          36.807       1039            10.309
  1.2    2296.5          21.505        467.41          6.5024
  1.3    1176.7          15.066        208.75          4.5557
  1.4     643.48         12.184         91.98          3.4397
  1.5     389            10.329         40.252         2.6675
  1.6     263.61          8.7821        18.408         2.1212
  1.7     199.03          7.4221         9.615         1.697
  1.8     161.75          6.2036         6.103         1.3526
  1.9     137.17          5.153          4.577         1.0952
  2       117.58          4.2666         3.8127         .88697
  2.1     100.56          3.557          3.4093         .72257
  2.2      86.612         2.9974         3.165          .60311
  2.3      74.265         2.5374         3.0165         .50288
  2.4      63.681         2.1232         2.8912         .41481
  2.5      55.037         1.7562         2.7252         .34272
  2.6      47.409         1.4408         2.5725         .28291
  2.7      41.06          1.1682         2.4377         .23123
  2.8      35.426          .94306        2.3046         .1882
  2.9      30.436          .77044        2.1586         .1542
  3        26.328          .64357        1.9816         .12827
  3.1      22.428          .55154        1.8004         .10924
  3.2      19.103          .48596        1.6147         .095453
  3.3      16.279          .43385        1.4243         .084828
  3.4      13.624          .38732        1.2447         .075296
  3.5      11.503          .3441         1.0657         .066178
  3.6       9.5872         .30403         .90515        .057784
  3.7       7.9701         .26696         .77003        .050218
  3.8       6.7477         .23307         .65431        .043449
  3.9       5.5784         .20159         .56582        .037367
  4         4.7097         .17307         .48947        .031965
  4.1       3.9668         .14849         .42082        .027676
  4.2       3.2608         .12796         .36364        .024528
  4.3       2.786          .11006         .30976        .021701
  4.4       2.2836         .094102        .26645        .018982
  4.5       1.8905         .080227        .22829        .016684
  4.6       1.6069         .068258        .19082        .014749
  4.7       1.2657         .057714        .16139        .01281
  4.8       1.0703         .048357        .13341        .010907
  4.9        .8693         .041182        .1105         .0096179
  5          .67916        .03567         .09348        .0086543
