6Li(1+)		AV18+UX		09-Sep-13

    pair P = 0.00 momentum distribution calculated for 101 q values
    from 0.00 to 10.00 fm-1 with P not parallel to q
    using  80 gauss points in r out to 20.00 fm
    using  60 gauss points in R out to 15.00 fm

K = momentum in fm-1
RHOQNP = neutron-proton pair momentum distribution in fm**3
DRHOQNP = Monte Carlo error bar (1 sigma)
4*PI*TOTINT(RHOQNP(I)*K(I)**2:K(I))/(2*PI)**3 =  2130.8
RHOQPP = neutron-proton pair momentum distribution in fm**3
DRHOQPP = Monte Carlo error bar (1 sigma)
4*PI*TOTINT(RHOQPP(I)*K(I)**2:K(I))/(2*PI)**3 =  257.98

H2M*TOTINT(RHOQNP(I)*K(I)**4:K(I))/TOTINT(RHOQNP(I)*K(I)**2:K... =  25.827
H2M*TOTINT(RHOQPP(I)*K(I)**4:K(I))/TOTINT(RHOQPP(I)*K(I)**2:K... =  12.814
 
 K(I)   RHOQNP(I)    DRHOQNP(I)     RHOQPP(I)     DRHOQPP(I)
 ****  ***********  ************  *************  ************
 0     920110       10405          82813         2242
  .1   895500        8408.7        92090         1602.4
  .2   805940        4931.3       103240          727.49
  .3   642790        2514.6        94180          383.19
  .4   446090        1268.3        67560          204.99
  .5   272550         752.03       39450          112.99
  .6   150990         467.94       19684           59.296
  .7    78471         290.05        8839           30.833
  .8    39580         176.71        3750           17.209
  .9    19914         106.7         1567.6          9.4413
 1      10261          65.933        673.2          5.8
 1.1     5544.4        43.613        304.15         4.2735
 1.2     3201.7        31.606        141.42         2.7724
 1.3     2000.1        25.673         65.88         1.9171
 1.4     1337.6        22.358         31.252        1.568
 1.5      939.28       19.765         14.997        1.1181
 1.6      692.04       17.323          7.139         .88904
 1.7      528.38       15.2            3.727         .6664
 1.8      412.25       13.038          2.424         .53047
 1.9      333.04       11.077          1.8456        .43724
 2        276.51        9.4828         1.538         .33953
 2.1      232.2         7.9137         1.4066        .27446
 2.2      198.34        6.4762         1.3342        .22605
 2.3      170.65        5.3345         1.2647        .18509
 2.4      146.45        4.331          1.2211        .14987
 2.5      125.89        3.4437         1.1687        .11939
 2.6      107.2         2.7503         1.0863        .095341
 2.7       90.43        2.2091         1.0055        .077173
 2.8       76.566       1.7509          .9362        .062694
 2.9       64.405       1.3947          .86787       .050822
 3         54.03        1.1256          .78892       .041612
 3.1       45.659        .9191          .69173       .034514
 3.2       38.335        .77352         .59317       .029085
 3.3       32.13         .67206         .51166       .025098
 3.4       27.209        .59541         .44752       .021943
 3.5       23.07         .53507         .39661       .019331
 3.6       19.637        .48784         .35252       .017313
 3.7       16.767        .44612         .31013       .015478
 3.8       14.208        .40709         .27023       .013794
 3.9       12.044        .37017         .23482       .012326
 4         10.167        .33385         .20584       .010994
 4.1        8.5258       .29853         .18092       .0097403
 4.2        7.1283       .26621         .15636       .0086223
 4.3        5.8701       .2359          .13306       .0077116
 4.4        4.8042       .20548         .11226       .0066298
 4.5        3.9227       .17958         .093333      .0060185
 4.6        3.1919       .15787         .077325      .0054012
 4.7        2.7048       .13345         .065507      .0045251
 4.8        2.2572       .11395         .057209      .0041529
 4.9        1.8412       .10855         .049752      .0039147
 5          1.6161       .096178        .042691      .0034079
