12C(0+) -- AV18+UX -- 15-Nov-13

VMC 1k samples using 120 gauss points in r out to 20.00 fm

K = momentum in fm**-1
RHOK_SxTy = S=x,T=y pair momentum distribution in fm**3
DRHOK_SxTy = Monte Carlo error bar (1 sigma)

4*PI*TOTINT(RHOK_S1T1*K**2:K)/(2*PI)**3 =  28.49
4*PI*TOTINT(RHOK_S0T1*K**2:K)/(2*PI)**3 =  16.51
4*PI*TOTINT(RHOK_S1T0*K**2:K)/(2*PI)**3 =  17.962
4*PI*TOTINT(RHOK_S0T0*K**2:K)/(2*PI)**3 =  3.0386
 
   K     RHOK_S1T1    DRHOK_S1T1    RHOK_S0T1   DRHOK_S0T1    RHOK_S1T0    DRHOK_S1T0   RHOK_S0T0   DRHOK_S0T0
 ****  ************  ***********  ************  **********  ************  ***********  ***********  **********
  0     341.1        221.07       5505          73.17       5604.3        108.11        36          36.237
   .1   755.4        198.87       5178          66.87       5272.2        100.21        83          33.816
   .2  1714.2        144.21       4332          51.57       4416.6         80.346      190          27.692
   .3  2605.2         83.76       3279          34.86       3350.6         56.962      290          20.312
   .4  2961           41.61       2305.8        22.041      2364           37.026      330.4        13.604
   .5  2717.7         25.587      1554          13.548      1600.1         22.777      302.4         8.3404
   .6  2114.4         20.22       1026.9         7.656      1064.2         13.269      234.1         4.5641
   .7  1447.2         14.133       670.5         3.705       700.6          7.3142     158.9         2.2343
   .8   901.8          8.586       430.8         2.0334      455.2          4.5678      97.7         1.3765
   .9   531.3          5.721       271.08        2.091       290.8          4.0889      56.34        1.3999
  1     309.3          4.914       167.43        2.1801      183.2          3.9961      31.83        1.4183
  1.1   186.81         4.338       102.81        1.9827      115.33         3.5883      18.61        1.2781
  1.2   121.8          3.483        63.96        1.6338       73.9          2.9363      11.82        1.0467
  1.3    86.49         2.5407       41.04        1.2603       48.9          2.2291       8.3          .79811
  1.4    65.31         1.7352       27.558        .9285       33.83         1.5993       6.284        .57593
  1.5    50.64         1.1511       19.431        .6573       24.49         1.102        4.903        .39795
  1.6    39.3           .7716       14.289        .4482       18.39          .74463      3.831        .26668
  1.7    30.15          .5454       10.8          .29781      14.16          .50534      2.952        .17705
  1.8    22.827         .4137        8.259        .19833      11.031         .35424      2.243        .12013
  1.9    17.115         .3282        6.321        .13749       8.625         .26031      1.688        .08572
  2      12.738         .26262       4.827        .10179       6.754         .19971      1.262        .065024
  2.1     9.429         .20907       3.681        .08019       5.292         .158         .939        .051774
  2.2     6.957         .16626       2.8077       .0657        4.157         .1273        .6971       .042343
  2.3     5.127         .13248       2.1444       .05463       3.275         .10358       .5172       .034932
  2.4     3.783         .10533       1.6428       .04557       2.588         .08439       .3837       .028759
  2.5     2.7879        .08259       1.2636       .03801       2.0547        .068432      .2841       .023498
  2.6     2.0517        .06312        .9756       .03159       1.6361        .055068      .2098       .019021
  2.7     1.5081        .04698        .7545       .026148      1.3053        .044085      .1545       .01528
  2.8     1.1106        .03447        .5829       .021498      1.0418        .035302      .1139       .012208
  2.9      .8217        .025212       .4503       .017544       .8321        .02844       .0842       .009744
  3        .6105        .018615       .3489       .01425        .6674        .023128      .0625       .0077969
  3.1      .4545        .013989       .27267      .011556       .5382        .018972      .04631      .0062643
  3.2      .3387        .010752       .21507      .009381       .4363        .015636      .03431      .0050489
  3.3      .25284       .008463       .17088      .007626       .35492       .012902      .02531      .0040735
  3.4      .18918       .006753       .13629      .006216       .28914       .010631      .01866      .0032896
  3.5      .14187       .005394       .10902      .005094       .23571       .0087634     .01376      .002665
  3.6      .10641       .004284       .08763      .00423        .19243       .007251      .01014      .0021795
  3.7      .07959       .003375       .07104      .003582       .15767       .0060574     .00744      .0018135
  3.8      .0594        .0026499      .0582       .00309        .1297        .0051296     .00543      .0015379
  3.9      .04437       .0020844      .04812      .002706       .10701       .0044051     .00396      .0013261
  4        .03339       .0016464      .04002      .0023883      .08839       .0038256     .00291      .0011566
  4.1      .025434      .0013008      .03336      .002112       .073042      .0033442     .00216      .0010142
  4.2      .019596      .0010254      .027783     .0018645      .060308      .002929      .001619    8.9032E-4
  4.3      .015225     8.133E-4       .02307      .0016434      .049715      .0025624     .001236    7.8224E-4
  4.4      .011868     6.564E-4       .019065     .0014466      .040884      .0022337    9.5E-4      6.8776E-4
  4.5      .009246     5.424E-4       .015675     .0012687      .033528      .0019365    7.34E-4     6.0397E-4
  4.6      .007191     4.662E-4       .012852     .0011058      .027443      .0016663    5.68E-4     5.2804E-4
  4.7      .005595     4.197E-4       .01053     9.555E-4       .022415      .0014219    4.38E-4     4.5806E-4
  4.8      .004371     3.837E-4       .008616    8.199E-4       .018283      .0012038    3.4E-4      3.9501E-4
  4.9      .003438     3.507E-4       .007029    7.017E-4       .014864      .0010128    2.67E-4     3.3996E-4
  5        .0027111    3.252E-4       .00573     6.021E-4       .012056     8.4925E-4    2.13E-4     2.931E-4
