8Be(0+)		AV18+UX		13-Nov-13

    pair nnS momentum distribution calculated for 101 q values
    from 0.00 to 10.00 fm-1
    using 200 gauss points in r out to 20.00 fm

Q = relative pair momentum in fm-1
RHOQNP = neutron-proton pair momentum distribution in fm**3
DRHOQNP = Monte Carlo error bar (1 sigma)
4*PI*TOTINT(RHOQNP*Q**2:Q)/(2*PI)**3 =  15.999
RHOQPP = proton-proton pair momentum distribution in fm**3
DRHOQPP = Monte Carlo error bar (1 sigma)
4*PI*TOTINT(RHOQPP*Q**2:Q)/(2*PI)**3 =  6.0001
 
   Q      RHOQNP       DRHOQNP      RHOQPP       DRHOQPP
 ****  ************  **********  ************  **********
  0    5079          18.655      1255.8        11.693
   .1  4836.9        16.464      1249.7        10.335
   .2  4192.9        11.16       1210.8         7.0121
   .3  3336.6         5.5657     1103           3.3975
   .4  2460.7         2.3215      916.33        1.1239
   .5  1697.2         2.0358      682.97        1.1257
   .6  1101.6         1.7719      456.23        1.1272
   .7   677.49        1.0584      276.27         .73315
   .8   398.89         .41444     155.47         .31191
   .9   228.36         .30511      84.633        .16742
  1     130.2          .39003      46.907        .22548
  1.1    76.151        .34495      27.73         .20985
  1.2    47.014        .23885      17.82         .14497
  1.3    31.124        .14918      12.323        .082584
  1.4    22.008        .1062        8.9607       .052906
  1.5    16.339        .086506      6.7063       .045879
  1.6    12.498        .065783      5.0933       .037682
  1.7     9.7033       .043308      3.8837       .025637
  1.8     7.5787       .025286      2.958        .014448
  1.9     5.9281       .015827      2.2457       .0081304
  2       4.6332       .013343      1.6983       .0072388
  2.1     3.6158       .012085      1.28         .0072155
  2.2     2.8184       .0098281      .9618       .0061215
  2.3     2.1959       .0071423      .72097      .0044444
  2.4     1.7106       .0051031      .53933      .0030442
  2.5     1.3332       .0040599      .40273      .0023128
  2.6     1.0403       .0034622      .30027      .0019318
  2.7      .81333      .0028848      .2236       .0015552
  2.8      .63794      .0023105      .16637      .0011499
  2.9      .50264      .0018277      .12397     7.894E-4
  3        .39846      .0014717      .092767    5.3442E-4
  3.1      .31799      .0012218      .0699      3.9922E-4
  3.2      .25537      .0010308      .053103    3.3515E-4
  3.3      .20654     8.663E-4       .04074     2.8414E-4
  3.4      .16819     7.2573E-4      .031627    2.316E-4
  3.5      .13774     6.1723E-4      .02487     1.8653E-4
  3.6      .1135      5.4107E-4      .01983     1.5522E-4
  3.7      .093989    4.8898E-4      .016007    1.3492E-4
  3.8      .078123    4.5076E-4      .01305     1.2035E-4
  3.9      .065096    4.1899E-4      .010734    1.0808E-4
  4        .05433     3.8937E-4      .0088883   9.6941E-5
  4.1      .045394    3.5978E-4      .0074103   8.6902E-5
  4.2      .03793     3.2944E-4      .0062077   7.8019E-5
  4.3      .031672    2.9826E-4      .0052157   6.9939E-5
  4.4      .026412    2.6654E-4      .0043847   6.2015E-5
  4.5      .021968    2.3512E-4      .003681    5.4498E-5
  4.6      .018229    2.0493E-4      .0030853   4.7611E-5
  4.7      .015085    1.7624E-4      .0025807   4.094E-5
  4.8      .012451    1.4971E-4      .0021523   3.4785E-5
  4.9      .010237    1.2575E-4      .001788    2.9592E-5
  5        .0083818   1.0422E-4      .0014776   2.4833E-5
