# Mass = 0.0442061 Mev*(hbarc)^2/2 
# R = 2.885 fm 
# a = 0.662 fm 
# V0 = 60.374 MeV 
# RSO = 2.651 fm 
# aSO = 0.662 fm 
# VSO = 32.876 MeV fm^2
# n = 0 
# l = 1 
# two_j = 3 
# two_t = -1 
# Energy = -18.8776 MeV
# r          u            Phi          u/r          
0.1          0.00373349   0.00711471   0.0373349    
0.10238      0.0039133    0.00728229   0.0382233    
0.10476      0.00409729   0.0074498    0.0391112    
0.10714      0.00428547   0.00761721   0.0399988    
0.10952      0.00447782   0.00778454   0.0408859    
0.1119       0.00467436   0.00795178   0.0417726    
0.11428      0.00487507   0.00811892   0.042659     
0.11666      0.00507995   0.00828597   0.0435449    
0.11904      0.00528901   0.00845292   0.0444305    
0.12142      0.00550223   0.00861977   0.0453157    
0.1238       0.00571962   0.00878651   0.0462005    
0.12618      0.00594118   0.00895314   0.0470849    
0.12856      0.00616689   0.00911966   0.047969     
0.13094      0.00639677   0.00928607   0.0488527    
0.13332      0.0066308    0.00945237   0.0497359    
0.1357       0.00686898   0.00961855   0.0506188    
0.13808      0.00711131   0.00978461   0.0515014    
0.14046      0.00735778   0.00995054   0.0523835    
0.14284      0.0076084    0.0101164    0.0532652    
0.14522      0.00786316   0.010282     0.0541466    
0.1476       0.00812206   0.0104476    0.0550275    
0.14998      0.00838509   0.010613     0.0559081    
0.15236      0.00865225   0.0107783    0.0567882    
0.15474      0.00892354   0.0109434    0.057668     
0.15712      0.00919895   0.0111085    0.0585473    
0.1595       0.00947848   0.0112733    0.0594262    
0.16188      0.00976213   0.0114381    0.0603047    
0.16426      0.0100499    0.0116027    0.0611828    
0.16664      0.0103418    0.0117671    0.0620605    
0.16902      0.0106377    0.0119314    0.0629377    
0.1714       0.0109378    0.0120955    0.0638145    
0.17378      0.011242     0.0122595    0.0646909    
0.17616      0.0115503    0.0124233    0.0655669    
0.17854      0.0118626    0.012587     0.0664423    
0.18092      0.0121791    0.0127505    0.0673174    
0.1833       0.0124996    0.0129138    0.068192     
0.18568      0.0128242    0.013077     0.0690661    
0.18806      0.0131529    0.0132401    0.0699398    
0.19044      0.0134856    0.0134029    0.070813     
0.19282      0.0138224    0.0135656    0.0716857    
0.1952       0.0141633    0.0137281    0.072558     
0.19758      0.0145083    0.0138904    0.0734298    
0.19996      0.0148572    0.0140526    0.074301     
0.20234      0.0152103    0.0142145    0.0751718    
0.20472      0.0155673    0.0143763    0.0760422    
