# Mass = 0.0473905 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 50.276 MeV 
# RSO = 4.43035 fm 
# aSO = 0.662 fm 
# VSO = 28.6062 MeV fm^2
# l = 1 
# two_j = 1 
# two_t = -1 
# Energy = -29.9686 MeV
# r 	 V_eff [2m/hbar/hbar]
0.1 	4170.64
0.10238 	3976.69
0.10476 	3795.81
0.10714 	3626.86
0.10952 	3468.79
0.1119 	3320.71
0.11428 	3181.77
0.11666 	3051.26
0.11904 	2928.49
0.12142 	2812.88
0.1238 	2703.86
0.12618 	2600.96
0.12856 	2503.72
0.13094 	2411.73
0.13332 	2324.62
0.1357 	2242.06
0.13808 	2163.73
0.14046 	2089.35
0.14284 	2018.65
0.14522 	1951.4
0.1476 	1887.38
0.14998 	1826.38
0.15236 	1768.22
0.15474 	1712.72
0.15712 	1659.72
0.1595 	1609.08
0.16188 	1560.66
0.16426 	1514.32
0.16664 	1469.96
0.16902 	1427.45
0.1714 	1386.71
0.17378 	1347.63
0.17616 	1310.12
0.17854 	1274.1
0.18092 	1239.49
0.1833 	1206.22
0.18568 	1174.23
0.18806 	1143.44
0.19044 	1113.79
0.19282 	1085.24
0.1952 	1057.73
0.19758 	1031.2
0.19996 	1005.62
0.20234 	980.931
0.20472 	957.1
0.2071 	934.086
0.20948 	911.852
0.21186 	890.363
0.21424 	869.586
0.21662 	849.49
0.219 	830.046
0.22138 	811.225
0.22376 	793.002
0.22614 	775.351
0.22852 	758.249
0.2309 	741.673
0.23328 	725.602
0.23566 	710.015
0.23804 	694.893
0.24042 	680.218
0.2428 	665.973
0.24518 	652.14
0.24756 	638.704
0.24994 	625.651
0.25232 	612.965
0.2547 	600.633
0.25708 	588.641
0.25946 	576.979
0.26184 	565.633
0.26422 	554.592
0.2666 	543.845
0.26898 	533.383
0.27136 	523.194
0.27374 	513.27
0.27612 	503.602
0.2785 	494.18
0.28088 	484.997
0.28326 	476.045
0.28564 	467.315
0.28802 	458.801
0.2904 	450.495
0.29278 	442.391
0.29516 	434.482
0.29754 	426.762
0.29992 	419.226
0.3023 	411.866
0.30468 	404.678
0.30706 	397.657
0.30944 	390.798
0.31182 	384.094
0.3142 	377.543
0.31658 	371.138
0.31896 	364.877
0.32134 	358.754
0.32372 	352.766
0.3261 	346.908
0.32848 	341.177
0.33086 	335.57
0.33324 	330.082
0.33562 	324.71
0.338 	319.452
0.34038 	314.303
0.34276 	309.261
0.34514 	304.324
0.34752 	299.487
0.3499 	294.749
0.35228 	290.106
0.35466 	285.557
0.35704 	281.098
0.35942 	276.728
0.3618 	272.443
0.36418 	268.242
0.36656 	264.123
0.36894 	260.083
0.37132 	256.121
0.3737 	252.234
0.37608 	248.421
0.37846 	244.68
0.38084 	241.008
0.38322 	237.404
0.3856 	233.868
0.38798 	230.396
0.39036 	226.987
0.39274 	223.64
0.39512 	220.353
0.3975 	217.126
0.39988 	213.955
0.40226 	210.841
0.40464 	207.782
0.40702 	204.776
0.4094 	201.822
0.41178 	198.92
0.41416 	196.067
0.41654 	193.264
0.41892 	190.507
0.4213 	187.798
0.42368 	185.134
0.42606 	182.514
0.42844 	179.938
0.43082 	177.405
0.4332 	174.913
0.43558 	172.462
0.43796 	170.051
0.44034 	167.679
0.44272 	165.344
0.4451 	163.048
0.44748 	160.788
0.44986 	158.563
0.45224 	156.374
0.45462 	154.219
0.457 	152.098
0.45938 	150.009
0.46176 	147.953
0.46414 	145.928
0.46652 	143.934
0.4689 	141.971
0.47128 	140.037
0.47366 	138.132
0.47604 	136.256
0.47842 	134.407
0.4808 	132.586
0.48318 	130.792
0.48556 	129.024
0.48794 	127.282
0.49032 	125.566
0.4927 	123.874
0.49508 	122.206
0.49746 	120.563
0.49984 	118.943
0.50222 	117.345
0.5046 	115.771
0.50698 	114.218
0.50936 	112.687
0.51174 	111.178
0.51412 	109.689
0.5165 	108.221
0.51888 	106.774
0.52126 	105.345
0.52364 	103.937
0.52602 	102.547
0.5284 	101.176
0.53078 	99.824
0.53316 	98.4897
0.53554 	97.1731
0.53792 	95.874
0.5403 	94.592
0.54268 	93.3268
0.54506 	92.0782
0.54744 	90.8459
0.54982 	89.6295
0.5522 	88.4288
0.55458 	87.2436
0.55696 	86.0735
0.55934 	84.9183
0.56172 	83.7778
0.5641 	82.6517
0.56648 	81.5398
0.56886 	80.4418
0.57124 	79.3575
0.57362 	78.2867
0.576 	77.2291
0.57838 	76.1846
0.58076 	75.1529
0.58314 	74.1338
0.58552 	73.1271
0.5879 	72.1326
0.59028 	71.1502
0.59266 	70.1795
0.59504 	69.2205
0.59742 	68.2729
0.5998 	67.3366
0.60218 	66.4114
0.60456 	65.4971
0.60694 	64.5936
0.60932 	63.7006
0.6117 	62.818
0.61408 	61.9457
0.61646 	61.0834
0.61884 	60.2311
0.62122 	59.3886
0.6236 	58.5557
0.62598 	57.7323
0.62836 	56.9183
0.63074 	56.1135
0.63312 	55.3177
0.6355 	54.5308
0.63788 	53.7528
0.64026 	52.9834
