# Mass = 0.0473265 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 56.2161 MeV 
# RSO = 4.43035 fm 
# aSO = 0.662 fm 
# VSO = 28.6838 MeV fm^2
# n = 0 
# l = 1 
# two_j = 3 
# two_t = 1 
# Energy = -37.2727 MeV
# r          u            Phi          u/r          
0.1          0.0017935    0.000170663  0.017935     
0.10238      0.00187988   0.000174706  0.0183618    
0.10476      0.00196829   0.000178748  0.0187886    
0.10714      0.00205871   0.000182789  0.0192152    
0.10952      0.00215116   0.000186829  0.0196417    
0.1119       0.00224563   0.000190868  0.0200682    
0.11428      0.00234212   0.000194906  0.0204945    
0.11666      0.00244062   0.000198943  0.0209208    
0.11904      0.00254115   0.000202979  0.021347     
0.12142      0.0026437    0.000207013  0.0217732    
0.1238       0.00274826   0.000211047  0.0221992    
0.12618      0.00285484   0.000215079  0.0226251    
0.12856      0.00296344   0.00021911   0.023051     
0.13094      0.00307405   0.000223139  0.0234768    
0.13332      0.00318668   0.000227168  0.0239025    
0.1357       0.00330132   0.000231195  0.0243281    
0.13808      0.00341798   0.00023522   0.0247536    
0.14046      0.00353665   0.000239245  0.025179     
0.14284      0.00365733   0.000243267  0.0256044    
0.14522      0.00378003   0.000247289  0.0260297    
0.1476       0.00390473   0.000251309  0.0264548    
0.14998      0.00403145   0.000255327  0.0268799    
0.15236      0.00416018   0.000259344  0.0273049    
0.15474      0.00429091   0.000263359  0.0277298    
0.15712      0.00442366   0.000267373  0.0281546    
0.1595       0.00455841   0.000271385  0.0285794    
0.16188      0.00469516   0.000275395  0.029004     
0.16426      0.00483393   0.000279404  0.0294285    
0.16664      0.0049747    0.000283411  0.029853     
0.16902      0.00511747   0.000287417  0.0302773    
0.1714       0.00526224   0.00029142   0.0307015    
0.17378      0.00540902   0.000295422  0.0311257    
0.17616      0.0055578    0.000299422  0.0315497    
0.17854      0.00570858   0.000303421  0.0319737    
0.18092      0.00586136   0.000307417  0.0323975    
0.1833       0.00601614   0.000311412  0.0328213    
0.18568      0.00617291   0.000315404  0.0332449    
0.18806      0.00633169   0.000319395  0.0336684    
0.19044      0.00649245   0.000323384  0.0340919    
0.19282      0.00665522   0.000327371  0.0345152    
0.1952       0.00681997   0.000331356  0.0349384    
0.19758      0.00698672   0.000335338  0.0353615    
0.19996      0.00715547   0.000339319  0.0357845    
0.20234      0.0073262    0.000343298  0.0362074    
0.20472      0.00749892   0.000347275  0.0366301    
0.2071       0.00767363   0.000351249  0.0370528    
0.20948      0.00785033   0.000355221  0.0374753    
0.21186      0.00802901   0.000359192  0.0378977    
0.21424      0.00820969   0.00036316   0.03832      
0.21662      0.00839234   0.000367126  0.0387422    
0.219        0.00857698   0.000371089  0.0391643    
0.22138      0.0087636    0.00037505   0.0395862    
0.22376      0.0089522    0.000379009  0.040008     
0.22614      0.00914278   0.000382966  0.0404297    
0.22852      0.00933534   0.000386921  0.0408513    
0.2309       0.00952988   0.000390873  0.0412728    
0.23328      0.00972639   0.000394822  0.0416941    
0.23566      0.00992488   0.000398769  0.0421153    
0.23804      0.0101253    0.000402714  0.0425363    
0.24042      0.0103278    0.000406657  0.0429572    
0.2428       0.0105322    0.000410596  0.043378     
0.24518      0.0107386    0.000414534  0.0437987    
0.24756      0.0109469    0.000418469  0.0442192    
0.24994      0.0111572    0.000422401  0.0446396    
0.25232      0.0113695    0.00042633   0.0450599    
0.2547       0.0115837    0.000430257  0.04548      
0.25708      0.0118       0.000434182  0.0458999    
0.25946      0.0120181    0.000438104  0.0463198    
0.26184      0.0122383    0.000442023  0.0467395    
0.26422      0.0124604    0.000445939  0.047159     
0.2666       0.0126844    0.000449853  0.0475784    
0.26898      0.0129104    0.000453764  0.0479977    
0.27136      0.0131384    0.000457672  0.0484168    
0.27374      0.0133683    0.000461577  0.0488357    
0.27612      0.0136002    0.00046548   0.0492545    
0.2785       0.013834     0.00046938   0.0496732    
0.28088      0.0140698    0.000473276  0.0500917    
0.28326      0.0143075    0.00047717   0.05051      
0.28564      0.0145471    0.000481061  0.0509282    
0.28802      0.0147888    0.000484949  0.0513463    
0.2904       0.0150323    0.000488835  0.0517642    
0.29278      0.0152778    0.000492717  0.0521819    
0.29516      0.0155253    0.000496596  0.0525995    
0.29754      0.0157746    0.000500472  0.0530169    
0.29992      0.016026     0.000504345  0.0534341    
0.3023       0.0162792    0.000508215  0.0538512    
0.30468      0.0165344    0.000512082  0.0542681    
0.30706      0.0167915    0.000515945  0.0546848    
0.30944      0.0170506    0.000519806  0.0551014    
0.31182      0.0173116    0.000523663  0.0555178    
0.3142       0.0175745    0.000527517  0.0559341    
0.31658      0.0178393    0.000531368  0.0563501    
0.31896      0.0181061    0.000535216  0.056766     
0.32134      0.0183748    0.00053906   0.0571818    
0.32372      0.0186454    0.000542902  0.0575973    
0.3261       0.0189179    0.000546739  0.0580127    
0.32848      0.0191924    0.000550574  0.0584279    
0.33086      0.0194688    0.000554405  0.0588429    
0.33324      0.019747     0.000558233  0.0592577    
0.33562      0.0200273    0.000562057  0.0596724    
0.338        0.0203094    0.000565878  0.0600869    
0.34038      0.0205934    0.000569695  0.0605012    
0.34276      0.0208793    0.000573509  0.0609153    
0.34514      0.0211672    0.00057732   0.0613292    
0.34752      0.0214569    0.000581126  0.0617429    
0.3499       0.0217485    0.00058493   0.0621565    
0.35228      0.0220421    0.000588729  0.0625698    
0.35466      0.0223375    0.000592526  0.062983     
0.35704      0.0226349    0.000596318  0.063396     
0.35942      0.0229341    0.000600107  0.0638087    
0.3618       0.0232353    0.000603892  0.0642213    
0.36418      0.0235383    0.000607674  0.0646337    
0.36656      0.0238432    0.000611451  0.0650459    
0.36894      0.02415      0.000615226  0.0654579    
0.37132      0.0244587    0.000618996  0.0658697    
0.3737       0.0247693    0.000622762  0.0662813    
0.37608      0.0250818    0.000626525  0.0666927    
0.37846      0.0253961    0.000630284  0.0671039    
0.38084      0.0257123    0.000634039  0.0675148    
0.38322      0.0260305    0.00063779   0.0679256    
0.3856       0.0263504    0.000641537  0.0683362    
0.38798      0.0266723    0.000645281  0.0687465    
0.39036      0.026996     0.00064902   0.0691567    
0.39274      0.0273216    0.000652755  0.0695666    
0.39512      0.0276491    0.000656487  0.0699764    
0.3975       0.0279784    0.000660214  0.0703859    
0.39988      0.0283096    0.000663937  0.0707952    
0.40226      0.0286426    0.000667657  0.0712043    
0.40464      0.0289775    0.000671372  0.0716131    
0.40702      0.0293143    0.000675083  0.0720218    
0.4094       0.0296529    0.00067879   0.0724302    
0.41178      0.0299934    0.000682493  0.0728384    
0.41416      0.0303357    0.000686191  0.0732464    
0.41654      0.0306799    0.000689886  0.0736542    
0.41892      0.0310259    0.000693576  0.0740617    
0.4213       0.0313738    0.000697262  0.074469     
0.42368      0.0317235    0.000700944  0.0748761    
0.42606      0.0320751    0.000704621  0.075283     
0.42844      0.0324285    0.000708294  0.0756896    
0.43082      0.0327837    0.000711963  0.076096     
0.4332       0.0331407    0.000715627  0.0765022    
0.43558      0.0334996    0.000719287  0.0769081    
0.43796      0.0338604    0.000722943  0.0773138    
0.44034      0.0342229    0.000726594  0.0777193    
0.44272      0.0345873    0.000730241  0.0781245    
0.4451       0.0349535    0.000733883  0.0785295    
0.44748      0.0353215    0.000737521  0.0789343    
0.44986      0.0356913    0.000741154  0.0793388    
