# Mass = 0.0473905 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 50.276 MeV 
# RSO = 4.43035 fm 
# aSO = 0.662 fm 
# VSO = 28.6062 MeV fm^2
# n = 0 
# l = 2 
# two_j = 3 
# two_t = -1 
# Energy = -18.883 MeV
# r          u            Phi          u/r          
0.1          6.4472e-05   5.22059e-05  0.00064472   
0.10238      6.91854e-05  5.47143e-05  0.000675771  
0.10476      7.41227e-05  5.72814e-05  0.000707547  
0.10714      7.92888e-05  5.99071e-05  0.000740049  
0.10952      8.46891e-05  6.25913e-05  0.000773275  
0.1119       9.03286e-05  6.53342e-05  0.000807226  
0.11428      9.62126e-05  6.81355e-05  0.000841902  
0.11666      0.000102346  7.09954e-05  0.000877303  
0.11904      0.000108734  7.39136e-05  0.000913428  
0.12142      0.000115383  7.68903e-05  0.000950277  
0.1238       0.000122296  7.99253e-05  0.000987851  
0.12618      0.000129479  8.30187e-05  0.00102615   
0.12856      0.000136938  8.61703e-05  0.00106517   
0.13094      0.000144677  8.93802e-05  0.00110491   
0.13332      0.000152702  9.26482e-05  0.00114538   
0.1357       0.000161018  9.59745e-05  0.00118657   
0.13808      0.000169629  9.93588e-05  0.00122848   
0.14046      0.000178541  0.000102801  0.00127112   
0.14284      0.00018776   0.000106302  0.00131448   
0.14522      0.00019729   0.00010986   0.00135856   
0.1476       0.000207136  0.000113477  0.00140336   
0.14998      0.000217303  0.000117151  0.00144888   
0.15236      0.000227797  0.000120883  0.00149512   
0.15474      0.000238623  0.000124673  0.00154209   
0.15712      0.000249785  0.000128521  0.00158977   
0.1595       0.000261289  0.000132426  0.00163818   
0.16188      0.00027314   0.000136389  0.0016873    
0.16426      0.000285343  0.00014041   0.00173714   
0.16664      0.000297904  0.000144488  0.00178771   
0.16902      0.000310826  0.000148624  0.00183899   
0.1714       0.000324115  0.000152818  0.00189099   
0.17378      0.000337777  0.000157068  0.00194371   
0.17616      0.000351816  0.000161376  0.00199714   
0.17854      0.000366238  0.000165742  0.00205129   
0.18092      0.000381047  0.000170165  0.00210616   
