# Mass = 0.0480256 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 45.1811 MeV 
# RSO = 6.86114 fm 
# aSO = 0.662 fm 
# VSO = 27.8547 MeV fm^2
# l = 1 
# two_j = 1 
# two_t = -1 
# Energy = -36.5917 MeV
# r 	 V_eff [2m/hbar/hbar]
0.1 	4119.28
0.10238 	3927.91
0.10476 	3749.43
0.10714 	3582.72
0.10952 	3426.76
0.1119 	3280.64
0.11428 	3143.55
0.11666 	3014.77
0.11904 	2893.64
0.12142 	2779.56
0.1238 	2672
0.12618 	2570.46
0.12856 	2474.51
0.13094 	2383.75
0.13332 	2297.8
0.1357 	2216.34
0.13808 	2139.05
0.14046 	2065.65
0.14284 	1995.9
0.14522 	1929.54
0.1476 	1866.37
0.14998 	1806.19
0.15236 	1748.8
0.15474 	1694.04
0.15712 	1641.75
0.1595 	1591.78
0.16188 	1544
0.16426 	1498.28
0.16664 	1454.51
0.16902 	1412.57
0.1714 	1372.37
0.17378 	1333.81
0.17616 	1296.8
0.17854 	1261.26
0.18092 	1227.11
0.1833 	1194.29
0.18568 	1162.72
0.18806 	1132.34
0.19044 	1103.09
0.19282 	1074.92
0.1952 	1047.77
0.19758 	1021.6
0.19996 	996.356
0.20234 	971.998
0.20472 	948.485
0.2071 	925.778
0.20948 	903.841
0.21186 	882.638
0.21424 	862.139
0.21662 	842.311
0.219 	823.126
0.22138 	804.557
0.22376 	786.577
0.22614 	769.161
0.22852 	752.287
0.2309 	735.932
0.23328 	720.075
0.23566 	704.696
0.23804 	689.777
0.24042 	675.298
0.2428 	661.242
0.24518 	647.594
0.24756 	634.338
0.24994 	621.458
0.25232 	608.942
0.2547 	596.774
0.25708 	584.943
0.25946 	573.436
0.26184 	562.242
0.26422 	551.348
0.2666 	540.745
0.26898 	530.422
0.27136 	520.37
0.27374 	510.578
0.27612 	501.039
0.2785 	491.743
0.28088 	482.683
0.28326 	473.85
0.28564 	465.237
0.28802 	456.836
0.2904 	448.641
0.29278 	440.645
