# Mass = 0.0480256 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 45.1811 MeV 
# RSO = 6.86114 fm 
# aSO = 0.662 fm 
# VSO = 27.8547 MeV fm^2
# n = 1 
# l = 2 
# two_j = 5 
# two_t = -1 
# Energy = -17.5451 MeV
# r          u            Phi          u/r          
0.1          4.73694e-05  3.03962e-06  0.000473694  
0.10238      5.08326e-05  3.1857e-06   0.000496509  
0.10476      5.44602e-05  3.33519e-06  0.000519856  
0.10714      5.8256e-05   3.4881e-06   0.000543737  
0.10952      6.22238e-05  3.64442e-06  0.00056815   
0.1119       6.63675e-05  3.80416e-06  0.000593097  
0.11428      7.06909e-05  3.96731e-06  0.000618576  
0.11666      7.51976e-05  4.13386e-06  0.000644588  
0.11904      7.98916e-05  4.30383e-06  0.000671132  
0.12142      8.47766e-05  4.47719e-06  0.000698209  
0.1238       8.98564e-05  4.65396e-06  0.000725819  
0.12618      9.51348e-05  4.83413e-06  0.000753961  
0.12856      0.000100615  5.01769e-06  0.000782635  
0.13094      0.000106302  5.20465e-06  0.00081184   
0.13332      0.000112199  5.39501e-06  0.000841578  
0.1357       0.00011831   5.58875e-06  0.000871847  
0.13808      0.000124638  5.78589e-06  0.000902648  
0.14046      0.000131187  5.98641e-06  0.00093398   
0.14284      0.000137961  6.19032e-06  0.000965843  
0.14522      0.000144964  6.39761e-06  0.000998237  
0.1476       0.000152199  6.60827e-06  0.00103116   
0.14998      0.000159671  6.82232e-06  0.00106462   
0.15236      0.000167383  7.03974e-06  0.0010986    
0.15474      0.000175339  7.26054e-06  0.00113312   
0.15712      0.000183542  7.48471e-06  0.00116816   
0.1595       0.000191996  7.71224e-06  0.00120374   
0.16188      0.000200706  7.94314e-06  0.00123984   
0.16426      0.000209674  8.1774e-06   0.00127648   
0.16664      0.000218905  8.41503e-06  0.00131364   
0.16902      0.000228402  8.65601e-06  0.00135133   
0.1714       0.000238169  8.90035e-06  0.00138955   
0.17378      0.00024821   9.14804e-06  0.0014283    
0.17616      0.000258529  9.39908e-06  0.00146758   
0.17854      0.000269128  9.65346e-06  0.00150738   
0.18092      0.000280013  9.91119e-06  0.00154772   
0.1833       0.000291186  1.01723e-05  0.00158858   
0.18568      0.000302651  1.04367e-05  0.00162996   
0.18806      0.000314413  1.07044e-05  0.00167187   
0.19044      0.000326474  1.09755e-05  0.00171431   
0.19282      0.000338839  1.12499e-05  0.00175728   
0.1952       0.000351511  1.15277e-05  0.00180077   
0.19758      0.000364494  1.18087e-05  0.00184479   
0.19996      0.000377791  1.20931e-05  0.00188933   
0.20234      0.000391407  1.23808e-05  0.0019344    
0.20472      0.000405345  1.26718e-05  0.00198      
0.2071       0.000419608  1.29662e-05  0.00202611   
0.20948      0.000434201  1.32638e-05  0.00207275   
0.21186      0.000449126  1.35647e-05  0.00211992   
0.21424      0.000464389  1.3869e-05   0.00216761   
0.21662      0.000479992  1.41765e-05  0.00221582   
0.219        0.000495939  1.44874e-05  0.00226456   
0.22138      0.000512233  1.48015e-05  0.00231382   
0.22376      0.000528879  1.51189e-05  0.0023636    
0.22614      0.00054588   1.54396e-05  0.0024139    
0.22852      0.00056324   1.57636e-05  0.00246473   
0.2309       0.000580961  1.60909e-05  0.00251607   
0.23328      0.000599049  1.64215e-05  0.00256794   
0.23566      0.000617507  1.67553e-05  0.00262033   
0.23804      0.000636338  1.70924e-05  0.00267324   
0.24042      0.000655545  1.74327e-05  0.00272667   
0.2428       0.000675134  1.77763e-05  0.00278062   
0.24518      0.000695106  1.81232e-05  0.00283508   
0.24756      0.000715466  1.84733e-05  0.00289007   
0.24994      0.000736218  1.88267e-05  0.00294558   
0.25232      0.000757364  1.91833e-05  0.0030016    
0.2547       0.000778909  1.95431e-05  0.00305814   
0.25708      0.000800856  1.99062e-05  0.0031152    
0.25946      0.00082321   2.02725e-05  0.00317278   
0.26184      0.000845972  2.06421e-05  0.00323087   
0.26422      0.000869148  2.10149e-05  0.00328948   
0.2666       0.00089274   2.13909e-05  0.00334861   
0.26898      0.000916752  2.17701e-05  0.00340825   
0.27136      0.000941188  2.21526e-05  0.00346841   
0.27374      0.000966051  2.25382e-05  0.00352908   
0.27612      0.000991346  2.2927e-05   0.00359027   
0.2785       0.00101707   2.33191e-05  0.00365197   
0.28088      0.00104324   2.37144e-05  0.00371419   
0.28326      0.00106985   2.41128e-05  0.00377692   
0.28564      0.0010969    2.45144e-05  0.00384016   
0.28802      0.0011244    2.49192e-05  0.00390391   
0.2904       0.00115236   2.53272e-05  0.00396818   
0.29278      0.00118077   2.57384e-05  0.00403296   
0.29516      0.00120964   2.61527e-05  0.00409825   
0.29754      0.00123897   2.65703e-05  0.00416405   
0.29992      0.00126877   2.69909e-05  0.00423036   
0.3023       0.00129904   2.74148e-05  0.00429718   
0.30468      0.00132978   2.78417e-05  0.00436451   
0.30706      0.001361     2.82719e-05  0.00443235   
0.30944      0.0013927    2.87051e-05  0.0045007    
0.31182      0.00142488   2.91415e-05  0.00456956   
0.3142       0.00145755   2.95811e-05  0.00463892   
0.31658      0.00149071   3.00238e-05  0.00470879   
0.31896      0.00152436   3.04696e-05  0.00477917   
0.32134      0.00155852   3.09185e-05  0.00485006   
0.32372      0.00159317   3.13705e-05  0.00492145   
0.3261       0.00162833   3.18257e-05  0.00499335   
0.32848      0.001664     3.22839e-05  0.00506575   
0.33086      0.00170018   3.27453e-05  0.00513866   
0.33324      0.00173687   3.32097e-05  0.00521207   
0.33562      0.00177408   3.36772e-05  0.00528598   
0.338        0.00181182   3.41479e-05  0.0053604    
0.34038      0.00185008   3.46216e-05  0.00543532   
0.34276      0.00188886   3.50983e-05  0.00551075   
0.34514      0.00192818   3.55782e-05  0.00558667   
0.34752      0.00196804   3.60611e-05  0.0056631    
0.3499       0.00200844   3.65471e-05  0.00574003   
0.35228      0.00204937   3.70361e-05  0.00581746   
0.35466      0.00209086   3.75281e-05  0.00589538   
0.35704      0.00213289   3.80233e-05  0.00597381   
0.35942      0.00217547   3.85214e-05  0.00605274   
0.3618       0.00221862   3.90226e-05  0.00613216   
0.36418      0.00226232   3.95268e-05  0.00621208   
0.36656      0.00230658   4.00341e-05  0.0062925    
0.36894      0.00235141   4.05443e-05  0.00637342   
0.37132      0.00239681   4.10576e-05  0.00645483   
0.3737       0.00244278   4.15738e-05  0.00653674   
0.37608      0.00248933   4.20931e-05  0.00661914   
0.37846      0.00253645   4.26154e-05  0.00670204   
0.38084      0.00258416   4.31406e-05  0.00678543   
0.38322      0.00263246   4.36688e-05  0.00686932   
0.3856       0.00268135   4.42001e-05  0.0069537    
0.38798      0.00273082   4.47342e-05  0.00703857   
0.39036      0.0027809    4.52714e-05  0.00712393   
0.39274      0.00283157   4.58115e-05  0.00720979   
0.39512      0.00288285   4.63545e-05  0.00729613   
0.3975       0.00293473   4.69006e-05  0.00738297   
0.39988      0.00298722   4.74495e-05  0.0074703    
0.40226      0.00304033   4.80014e-05  0.00755811   
0.40464      0.00309405   4.85562e-05  0.00764641   
0.40702      0.00314838   4.91139e-05  0.00773521   
0.4094       0.00320334   4.96746e-05  0.00782449   
0.41178      0.00325893   5.02382e-05  0.00791425   
0.41416      0.00331515   5.08046e-05  0.0080045    
0.41654      0.00337199   5.1374e-05   0.00809524   
0.41892      0.00342947   5.19463e-05  0.00818646   
0.4213       0.00348759   5.25214e-05  0.00827817   
0.42368      0.00354636   5.30995e-05  0.00837036   
0.42606      0.00360576   5.36804e-05  0.00846304   
0.42844      0.00366582   5.42642e-05  0.0085562    
0.43082      0.00372652   5.48508e-05  0.00864984   
0.4332       0.00378788   5.54403e-05  0.00874396   
0.43558      0.0038499    5.60327e-05  0.00883856   
0.43796      0.00391258   5.66279e-05  0.00893364   
