# Mass = 0.0479598 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 59.5746 MeV 
# RSO = 6.86114 fm 
# aSO = 0.662 fm 
# VSO = 27.9312 MeV fm^2
# n = 1 
# l = 2 
# two_j = 5 
# two_t = 1 
# Energy = -29.837 MeV
# r          u            Phi          u/r          
0.1          5.43242e-05  4.87221e-07  0.000543242  
0.10238      5.82957e-05  5.10631e-07  0.000569405  
0.10476      6.24558e-05  5.34589e-07  0.00059618   
0.10714      6.68089e-05  5.59095e-07  0.000623566  
0.10952      7.13592e-05  5.84147e-07  0.000651563  
0.1119       7.61111e-05  6.09746e-07  0.00068017   
0.11428      8.10689e-05  6.35891e-07  0.000709389  
0.11666      8.62371e-05  6.62582e-07  0.000739218  
0.11904      9.162e-05    6.89819e-07  0.000769657  
0.12142      9.72218e-05  7.17601e-07  0.000800707  
0.1238       0.000103047  7.45927e-07  0.000832367  
0.12618      0.0001091    7.74798e-07  0.000864637  
0.12856      0.000115385  8.04213e-07  0.000897517  
0.13094      0.000121906  8.34172e-07  0.000931006  
0.13332      0.000128668  8.64674e-07  0.000965105  
0.1357       0.000135675  8.95719e-07  0.000999813  
0.13808      0.000142931  9.27307e-07  0.00103513   
0.14046      0.000150441  9.59437e-07  0.00107106   
0.14284      0.000158208  9.92109e-07  0.00110759   
0.14522      0.000166238  1.02532e-06  0.00114473   
0.1476       0.000174535  1.05908e-06  0.00118249   
0.14998      0.000183102  1.09337e-06  0.00122084   
0.15236      0.000191945  1.12821e-06  0.00125981   
0.15474      0.000201067  1.16358e-06  0.00129939   
0.15712      0.000210473  1.1995e-06   0.00133957   
0.1595       0.000220167  1.23595e-06  0.00138036   
0.16188      0.000230153  1.27294e-06  0.00142175   
0.16426      0.000240436  1.31047e-06  0.00146375   
0.16664      0.000251019  1.34854e-06  0.00150636   
0.16902      0.000261908  1.38714e-06  0.00154957   
0.1714       0.000273107  1.42629e-06  0.00159339   
0.17378      0.000284619  1.46596e-06  0.00163781   
0.17616      0.000296449  1.50618e-06  0.00168284   
0.17854      0.000308602  1.54693e-06  0.00172847   
0.18092      0.000321081  1.58821e-06  0.00177471   
0.1833       0.000333891  1.63003e-06  0.00182155   
0.18568      0.000347035  1.67238e-06  0.001869     
0.18806      0.000360519  1.71527e-06  0.00191705   
0.19044      0.000374347  1.75869e-06  0.0019657    
0.19282      0.000388523  1.80264e-06  0.00201495   
0.1952       0.00040305   1.84712e-06  0.00206481   
0.19758      0.000417934  1.89214e-06  0.00211526   
0.19996      0.000433178  1.93768e-06  0.00216632   
0.20234      0.000448787  1.98376e-06  0.00221798   
0.20472      0.000464765  2.03037e-06  0.00227025   
0.2071       0.000481116  2.0775e-06   0.00232311   
0.20948      0.000497844  2.12517e-06  0.00237657   
0.21186      0.000514954  2.17336e-06  0.00243063   
0.21424      0.000532449  2.22208e-06  0.00248529   
0.21662      0.000550335  2.27132e-06  0.00254055   
0.219        0.000568615  2.3211e-06   0.00259641   
0.22138      0.000587293  2.3714e-06   0.00265287   
0.22376      0.000606373  2.42222e-06  0.00270993   
0.22614      0.00062586   2.47357e-06  0.00276758   
0.22852      0.000645759  2.52545e-06  0.00282583   
0.2309       0.000666072  2.57784e-06  0.00288468   
0.23328      0.000686804  2.63076e-06  0.00294412   
0.23566      0.00070796   2.68421e-06  0.00300416   
0.23804      0.000729543  2.73817e-06  0.00306479   
0.24042      0.000751558  2.79266e-06  0.00312602   
0.2428       0.000774009  2.84766e-06  0.00318785   
0.24518      0.0007969    2.90319e-06  0.00325026   
0.24756      0.000820235  2.95923e-06  0.00331328   
0.24994      0.000844018  3.0158e-06   0.00337688   
0.25232      0.000868254  3.07288e-06  0.00344108   
0.2547       0.000892946  3.13048e-06  0.00350587   
0.25708      0.000918098  3.18859e-06  0.00357125   
0.25946      0.000943715  3.24722e-06  0.00363723   
0.26184      0.000969802  3.30637e-06  0.00370379   
0.26422      0.000996361  3.36603e-06  0.00377095   
0.2666       0.0010234    3.4262e-06   0.0038387    
0.26898      0.00105091   3.48689e-06  0.00390703   
0.27136      0.00107892   3.54809e-06  0.00397596   
0.27374      0.00110741   3.6098e-06   0.00404547   
0.27612      0.00113639   3.67203e-06  0.00411557   
0.2785       0.00116587   3.73476e-06  0.00418626   
0.28088      0.00119586   3.798e-06    0.00425754   
0.28326      0.00122635   3.86175e-06  0.00432941   
0.28564      0.00125735   3.92601e-06  0.00440186   
0.28802      0.00128886   3.99078e-06  0.00447489   
0.2904       0.00132089   4.05605e-06  0.00454851   
0.29278      0.00135344   4.12183e-06  0.00462272   
0.29516      0.00138652   4.18812e-06  0.00469751   
0.29754      0.00142012   4.25491e-06  0.00477289   
0.29992      0.00145426   4.3222e-06   0.00484884   
0.3023       0.00148894   4.38999e-06  0.00492538   
0.30468      0.00152416   4.45829e-06  0.00500251   
0.30706      0.00155993   4.52709e-06  0.00508021   
0.30944      0.00159624   4.59639e-06  0.0051585    
0.31182      0.00163311   4.66618e-06  0.00523736   
