# Mass = 0.0441503 Mev*(hbarc)^2/2 
# R = 2.88468 fm 
# a = 0.662 fm 
# V0 = 60.3743 MeV 
# RSO = 2.65116 fm 
# aSO = 0.662 fm 
# VSO = 32.9592 MeV fm^2
# l = 0 
# two_j = 1 
# two_t = 1 
# Energy = -34.3375 MeV
# r 	 V_eff [2m/hbar/hbar]
0.1 	-59.488
0.10238 	-59.4848
0.10476 	-59.4817
0.10714 	-59.4785
0.10952 	-59.4753
0.1119 	-59.4721
0.11428 	-59.4689
0.11666 	-59.4657
0.11904 	-59.4625
0.12142 	-59.4593
0.1238 	-59.456
0.12618 	-59.4528
0.12856 	-59.4495
0.13094 	-59.4462
0.13332 	-59.4429
0.1357 	-59.4396
0.13808 	-59.4363
0.14046 	-59.433
0.14284 	-59.4296
0.14522 	-59.4263
0.1476 	-59.4229
0.14998 	-59.4196
0.15236 	-59.4162
0.15474 	-59.4128
0.15712 	-59.4094
0.1595 	-59.4059
0.16188 	-59.4025
0.16426 	-59.3991
0.16664 	-59.3956
0.16902 	-59.3921
0.1714 	-59.3887
0.17378 	-59.3852
0.17616 	-59.3817
0.17854 	-59.3782
0.18092 	-59.3746
0.1833 	-59.3711
0.18568 	-59.3675
0.18806 	-59.364
0.19044 	-59.3604
0.19282 	-59.3568
0.1952 	-59.3532
0.19758 	-59.3496
0.19996 	-59.346
0.20234 	-59.3423
0.20472 	-59.3387
0.2071 	-59.335
0.20948 	-59.3313
0.21186 	-59.3276
0.21424 	-59.3239
0.21662 	-59.3202
0.219 	-59.3165
0.22138 	-59.3127
0.22376 	-59.309
0.22614 	-59.3052
0.22852 	-59.3014
0.2309 	-59.2976
0.23328 	-59.2938
0.23566 	-59.29
0.23804 	-59.2862
0.24042 	-59.2823
0.2428 	-59.2785
0.24518 	-59.2746
0.24756 	-59.2707
0.24994 	-59.2668
0.25232 	-59.2629
0.2547 	-59.2589
0.25708 	-59.255
0.25946 	-59.2511
0.26184 	-59.2471
0.26422 	-59.2431
0.2666 	-59.2391
0.26898 	-59.2351
0.27136 	-59.2311
0.27374 	-59.227
0.27612 	-59.223
0.2785 	-59.2189
0.28088 	-59.2148
0.28326 	-59.2107
0.28564 	-59.2066
0.28802 	-59.2025
0.2904 	-59.1984
0.29278 	-59.1942
0.29516 	-59.19
0.29754 	-59.1859
0.29992 	-59.1817
0.3023 	-59.1774
0.30468 	-59.1732
0.30706 	-59.169
0.30944 	-59.1647
0.31182 	-59.1605
0.3142 	-59.1562
0.31658 	-59.1519
0.31896 	-59.1476
0.32134 	-59.1432
0.32372 	-59.1389
0.3261 	-59.1345
0.32848 	-59.1302
0.33086 	-59.1258
0.33324 	-59.1214
0.33562 	-59.117
0.338 	-59.1125
0.34038 	-59.1081
0.34276 	-59.1036
0.34514 	-59.0991
0.34752 	-59.0946
0.3499 	-59.0901
0.35228 	-59.0856
0.35466 	-59.0811
0.35704 	-59.0765
0.35942 	-59.0719
0.3618 	-59.0673
0.36418 	-59.0627
0.36656 	-59.0581
0.36894 	-59.0535
0.37132 	-59.0488
0.3737 	-59.0442
0.37608 	-59.0395
0.37846 	-59.0348
0.38084 	-59.03
0.38322 	-59.0253
0.3856 	-59.0206
0.38798 	-59.0158
0.39036 	-59.011
0.39274 	-59.0062
0.39512 	-59.0014
0.3975 	-58.9966
0.39988 	-58.9917
0.40226 	-58.9869
0.40464 	-58.982
0.40702 	-58.9771
0.4094 	-58.9722
0.41178 	-58.9672
0.41416 	-58.9623
0.41654 	-58.9573
0.41892 	-58.9523
0.4213 	-58.9473
0.42368 	-58.9423
0.42606 	-58.9373
0.42844 	-58.9322
0.43082 	-58.9272
0.4332 	-58.9221
0.43558 	-58.917
0.43796 	-58.9118
0.44034 	-58.9067
0.44272 	-58.9016
0.4451 	-58.8964
0.44748 	-58.8912
0.44986 	-58.886
0.45224 	-58.8807
0.45462 	-58.8755
0.457 	-58.8702
0.45938 	-58.865
0.46176 	-58.8597
0.46414 	-58.8543
0.46652 	-58.849
0.4689 	-58.8437
0.47128 	-58.8383
0.47366 	-58.8329
0.47604 	-58.8275
0.47842 	-58.8221
0.4808 	-58.8166
0.48318 	-58.8111
0.48556 	-58.8057
0.48794 	-58.8002
0.49032 	-58.7946
0.4927 	-58.7891
0.49508 	-58.7835
0.49746 	-58.778
0.49984 	-58.7724
0.50222 	-58.7667
0.5046 	-58.7611
0.50698 	-58.7555
0.50936 	-58.7498
0.51174 	-58.7441
0.51412 	-58.7384
0.5165 	-58.7326
0.51888 	-58.7269
0.52126 	-58.7211
0.52364 	-58.7153
0.52602 	-58.7095
0.5284 	-58.7037
0.53078 	-58.6978
0.53316 	-58.692
0.53554 	-58.6861
0.53792 	-58.6802
0.5403 	-58.6742
0.54268 	-58.6683
0.54506 	-58.6623
0.54744 	-58.6563
0.54982 	-58.6503
0.5522 	-58.6443
0.55458 	-58.6382
0.55696 	-58.6322
0.55934 	-58.6261
0.56172 	-58.62
0.5641 	-58.6138
0.56648 	-58.6077
0.56886 	-58.6015
0.57124 	-58.5953
0.57362 	-58.5891
0.576 	-58.5828
0.57838 	-58.5766
0.58076 	-58.5703
0.58314 	-58.564
0.58552 	-58.5577
0.5879 	-58.5513
0.59028 	-58.545
0.59266 	-58.5386
0.59504 	-58.5322
0.59742 	-58.5257
0.5998 	-58.5193
0.60218 	-58.5128
0.60456 	-58.5063
0.60694 	-58.4998
0.60932 	-58.4932
0.6117 	-58.4867
0.61408 	-58.4801
0.61646 	-58.4735
0.61884 	-58.4669
0.62122 	-58.4602
0.6236 	-58.4535
0.62598 	-58.4468
0.62836 	-58.4401
0.63074 	-58.4334
0.63312 	-58.4266
0.6355 	-58.4198
0.63788 	-58.413
0.64026 	-58.4062
0.64264 	-58.3993
0.64502 	-58.3924
0.6474 	-58.3855
0.64978 	-58.3786
0.65216 	-58.3717
0.65454 	-58.3647
0.65692 	-58.3577
0.6593 	-58.3507
0.66168 	-58.3436
0.66406 	-58.3366
0.66644 	-58.3295
0.66882 	-58.3224
0.6712 	-58.3152
0.67358 	-58.3081
0.67596 	-58.3009
0.67834 	-58.2937
0.68072 	-58.2864
0.6831 	-58.2792
0.68548 	-58.2719
0.68786 	-58.2646
0.69024 	-58.2573
0.69262 	-58.2499
0.695 	-58.2425
0.69738 	-58.2351
0.69976 	-58.2277
0.70214 	-58.2202
0.70452 	-58.2127
0.7069 	-58.2052
0.70928 	-58.1977
0.71166 	-58.1902
0.71404 	-58.1826
0.71642 	-58.175
0.7188 	-58.1673
0.72118 	-58.1597
0.72356 	-58.152
0.72594 	-58.1443
0.72832 	-58.1366
0.7307 	-58.1288
0.73308 	-58.121
0.73546 	-58.1132
0.73784 	-58.1054
0.74022 	-58.0975
0.7426 	-58.0896
0.74498 	-58.0817
0.74736 	-58.0737
0.74974 	-58.0658
0.75212 	-58.0578
0.7545 	-58.0498
0.75688 	-58.0417
0.75926 	-58.0336
0.76164 	-58.0255
0.76402 	-58.0174
0.7664 	-58.0093
0.76878 	-58.0011
0.77116 	-57.9929
0.77354 	-57.9846
0.77592 	-57.9764
0.7783 	-57.9681
0.78068 	-57.9597
0.78306 	-57.9514
0.78544 	-57.943
0.78782 	-57.9346
0.7902 	-57.9262
0.79258 	-57.9177
0.79496 	-57.9092
0.79734 	-57.9007
0.79972 	-57.8922
0.8021 	-57.8836
