# Mass = 0.0442061 Mev*(hbarc)^2/2 
# R = 2.885 fm 
# a = 0.662 fm 
# V0 = 60.374 MeV 
# RSO = 2.651 fm 
# aSO = 0.662 fm 
# VSO = 32.876 MeV fm^2
# n = 0 
# l = 0 
# two_j = 1 
# two_t = -1 
# Energy = -34.3578 MeV
# r          u            Phi          u/r          
0.1          0.0731095    0.0353265    0.731095     
0.10238      0.0748493    0.035317     0.731093     
0.10476      0.0765886    0.0353073    0.731086     
0.10714      0.0783274    0.0352974    0.731075     
0.10952      0.0800658    0.0352873    0.731061     
0.1119       0.0818036    0.035277     0.731042     
0.11428      0.0835409    0.0352664    0.731019     
0.11666      0.0852777    0.0352557    0.730993     
0.11904      0.0870139    0.0352447    0.730964     
0.12142      0.0887496    0.0352335    0.730931     
0.1238       0.0904848    0.035222     0.730895     
0.12618      0.0922193    0.0352104    0.730856     
0.12856      0.0939533    0.0351985    0.730813     
0.13094      0.0956868    0.0351864    0.730768     
0.13332      0.0974196    0.0351741    0.73072      
0.1357       0.0991518    0.0351615    0.730669     
0.13808      0.100883     0.0351488    0.730615     
0.14046      0.102614     0.0351358    0.730559     
0.14284      0.104345     0.0351226    0.7305       
0.14522      0.106074     0.0351092    0.730438     
0.1476       0.107803     0.0350956    0.730374     
0.14998      0.109531     0.0350817    0.730307     
0.15236      0.111259     0.0350677    0.730238     
0.15474      0.112986     0.0350534    0.730167     
0.15712      0.114712     0.0350389    0.730093     
0.1595       0.116438     0.0350242    0.730017     
0.16188      0.118162     0.0350092    0.729938     
0.16426      0.119886     0.0349941    0.729858     
0.16664      0.12161      0.0349787    0.729775     
0.16902      0.123332     0.0349631    0.72969      
0.1714       0.125054     0.0349473    0.729603     
0.17378      0.126775     0.0349313    0.729513     
0.17616      0.128495     0.0349151    0.729422     
0.17854      0.130214     0.0348986    0.729329     
0.18092      0.131933     0.0348819    0.729233     
0.1833       0.133651     0.0348651    0.729136     
0.18568      0.135367     0.034848     0.729036     
0.18806      0.137083     0.0348306    0.728934     
0.19044      0.138799     0.0348131    0.728831     
0.19282      0.140513     0.0347954    0.728726     
0.1952       0.142226     0.0347774    0.728618     
0.19758      0.143939     0.0347592    0.728509     
0.19996      0.14565      0.0347408    0.728398     
