# Mass = 0.0441503 Mev*(hbarc)^2/2 
# R = 2.88468 fm 
# a = 0.662 fm 
# V0 = 60.3743 MeV 
# RSO = 2.65116 fm 
# aSO = 0.662 fm 
# VSO = 32.9592 MeV fm^2
# n = 0 
# l = 0 
# two_j = 1 
# two_t = 1 
# Energy = -34.3375 MeV
# r          u            Phi          u/r          
0.1          0.0730811    0.0354247    0.730811     
0.10238      0.0748202    0.0354153    0.730809     
0.10476      0.0765589    0.0354056    0.730803     
0.10714      0.078297     0.0353957    0.730792     
0.10952      0.0800347    0.0353855    0.730777     
0.1119       0.0817718    0.0353752    0.730758     
0.11428      0.0835085    0.0353646    0.730736     
0.11666      0.0852446    0.0353538    0.73071      
0.11904      0.0869802    0.0353428    0.73068      
0.12142      0.0887152    0.0353315    0.730647     
0.1238       0.0904497    0.0353201    0.730611     
0.12618      0.0921836    0.0353084    0.730572     
0.12856      0.0939169    0.0352965    0.73053      
0.13094      0.0956496    0.0352843    0.730484     
0.13332      0.0973818    0.035272     0.730436     
0.1357       0.0991133    0.0352594    0.730385     
0.13808      0.100844     0.0352467    0.730332     
0.14046      0.102574     0.0352337    0.730275     
0.14284      0.104304     0.0352204    0.730216     
0.14522      0.106033     0.035207     0.730155     
0.1476       0.107761     0.0351933    0.730091     
0.14998      0.109489     0.0351795    0.730024     
0.15236      0.111216     0.0351654    0.729955     
0.15474      0.112942     0.035151     0.729884     
0.15712      0.114668     0.0351365    0.72981      
0.1595       0.116393     0.0351218    0.729734     
0.16188      0.118117     0.0351068    0.729656     
0.16426      0.11984      0.0350916    0.729575     
0.16664      0.121563     0.0350762    0.729492     
0.16902      0.123284     0.0350606    0.729407     
0.1714       0.125005     0.0350447    0.72932      
0.17378      0.126726     0.0350287    0.729231     
0.17616      0.128445     0.0350124    0.72914      
0.17854      0.130164     0.0349959    0.729046     
0.18092      0.131882     0.0349792    0.728951     
0.1833       0.133599     0.0349623    0.728853     
0.18568      0.135315     0.0349451    0.728754     
0.18806      0.13703      0.0349278    0.728653     
0.19044      0.138745     0.0349102    0.728549     
0.19282      0.140459     0.0348924    0.728444     
0.1952       0.142171     0.0348744    0.728336     
0.19758      0.143883     0.0348562    0.728227     
0.19996      0.145594     0.0348377    0.728116     
0.20234      0.147304     0.0348191    0.728003     
0.20472      0.149013     0.0348002    0.727888     
0.2071       0.150721     0.0347811    0.727772     
0.20948      0.152429     0.0347618    0.727653     
0.21186      0.154135     0.0347423    0.727533     
