# Mass = 0.0473905 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 50.276 MeV 
# RSO = 4.43035 fm 
# aSO = 0.662 fm 
# VSO = 28.6062 MeV fm^2
# l = 1 
# two_j = 3 
# two_t = -1 
# Energy = -32.0795 MeV
# r 	 V_eff [2m/hbar/hbar]
0.1 	4169.71
0.10238 	3975.78
0.10476 	3794.92
0.10714 	3625.98
0.10952 	3467.93
0.1119 	3319.86
0.11428 	3180.94
0.11666 	3050.44
0.11904 	2927.69
0.12142 	2812.08
0.1238 	2703.08
0.12618 	2600.19
0.12856 	2502.96
0.13094 	2410.98
0.13332 	2323.89
0.1357 	2241.34
0.13808 	2163.01
0.14046 	2088.64
0.14284 	2017.95
0.14522 	1950.72
0.1476 	1886.7
0.14998 	1825.71
0.15236 	1767.56
0.15474 	1712.07
0.15712 	1659.08
0.1595 	1608.44
0.16188 	1560.03
0.16426 	1513.7
0.16664 	1469.34
0.16902 	1426.84
0.1714 	1386.1
0.17378 	1347.03
0.17616 	1309.52
0.17854 	1273.51
0.18092 	1238.91
0.1833 	1205.65
0.18568 	1173.65
0.18806 	1142.87
0.19044 	1113.23
0.19282 	1084.69
0.1952 	1057.18
0.19758 	1030.66
0.19996 	1005.08
0.20234 	980.393
0.20472 	956.566
0.2071 	933.557
0.20948 	911.327
0.21186 	889.842
0.21424 	869.069
0.21662 	848.977
0.219 	829.537
0.22138 	810.72
0.22376 	792.5
0.22614 	774.853
0.22852 	757.754
0.2309 	741.181
0.23328 	725.113
0.23566 	709.529
0.23804 	694.411
0.24042 	679.739
0.2428 	665.497
0.24518 	651.667
0.24756 	638.234
0.24994 	625.183
0.25232 	612.5
0.2547 	600.171
0.25708 	588.182
0.25946 	576.522
0.26184 	565.178
0.26422 	554.14
0.2666 	543.396
0.26898 	532.936
0.27136 	522.749
0.27374 	512.828
0.27612 	503.162
0.2785 	493.742
0.28088 	484.561
0.28326 	475.611
0.28564 	466.883
0.28802 	458.371
0.2904 	450.067
0.29278 	441.965
0.29516 	434.058
0.29754 	426.34
0.29992 	418.805
0.3023 	411.448
0.30468 	404.262
0.30706 	397.243
0.30944 	390.385
0.31182 	383.683
0.3142 	377.133
0.31658 	370.73
0.31896 	364.47
0.32134 	358.349
0.32372 	352.362
0.3261 	346.506
0.32848 	340.777
0.33086 	335.171
0.33324 	329.684
0.33562 	324.314
0.338 	319.057
0.34038 	313.91
0.34276 	308.869
0.34514 	303.933
0.34752 	299.098
0.3499 	294.361
0.35228 	289.719
0.35466 	285.171
0.35704 	280.714
0.35942 	276.344
0.3618 	272.061
0.36418 	267.861
0.36656 	263.743
0.36894 	259.705
0.37132 	255.743
0.3737 	251.858
0.37608 	248.045
0.37846 	244.305
0.38084 	240.634
0.38322 	237.032
0.3856 	233.496
0.38798 	230.025
0.39036 	226.617
0.39274 	223.271
0.39512 	219.985
0.3975 	216.759
0.39988 	213.589
0.40226 	210.476
0.40464 	207.417
0.40702 	204.412
0.4094 	201.46
0.41178 	198.558
0.41416 	195.706
0.41654 	192.903
0.41892 	190.148
0.4213 	187.439
0.42368 	184.775
0.42606 	182.157
0.42844 	179.581
0.43082 	177.049
0.4332 	174.558
0.43558 	172.107
0.43796 	169.697
0.44034 	167.325
0.44272 	164.992
0.4451 	162.696
0.44748 	160.436
0.44986 	158.212
