# Mass = 0.0473265 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 56.2161 MeV 
# RSO = 4.43035 fm 
# aSO = 0.662 fm 
# VSO = 28.6838 MeV fm^2
# n = 0 
# l = 2 
# two_j = 3 
# two_t = 1 
# Energy = -23.691 MeV
# r          u            Phi          u/r          
0.1          6.91367e-05  3.31689e-05  0.000691367  
0.10238      7.41912e-05  3.47625e-05  0.000724665  
0.10476      7.94856e-05  3.63933e-05  0.00075874   
0.10714      8.50255e-05  3.80614e-05  0.000793593  
0.10952      9.08164e-05  3.97667e-05  0.000829222  
0.1119       9.68639e-05  4.15091e-05  0.000865629  
0.11428      0.000103173  4.32888e-05  0.000902813  
0.11666      0.000109751  4.51055e-05  0.000940773  
0.11904      0.000116601  4.69594e-05  0.000979511  
0.12142      0.00012373   4.88504e-05  0.00101902   
0.1238       0.000131143  5.07784e-05  0.00105931   
0.12618      0.000138846  5.27435e-05  0.00110038   
0.12856      0.000146844  5.47456e-05  0.00114222   
0.13094      0.000155143  5.67846e-05  0.00118484   
0.13332      0.000163748  5.88606e-05  0.00122823   
0.1357       0.000172664  6.09736e-05  0.0012724    
0.13808      0.000181898  6.31234e-05  0.00131734   
0.14046      0.000191455  6.53102e-05  0.00136306   
0.14284      0.00020134   6.75337e-05  0.00140955   
0.14522      0.000211558  6.97941e-05  0.00145681   
0.1476       0.000222116  7.20913e-05  0.00150485   
0.14998      0.000233018  7.44252e-05  0.00155366   
0.15236      0.00024427   7.67959e-05  0.00160324   
0.15474      0.000255878  7.92033e-05  0.0016536    
0.15712      0.000267847  8.16473e-05  0.00170473   
0.1595       0.000280182  8.4128e-05   0.00175663   
0.16188      0.000292889  8.66453e-05  0.0018093    
0.16426      0.000305974  8.91992e-05  0.00186274   
0.16664      0.000319441  9.17896e-05  0.00191695   
0.16902      0.000333297  9.44165e-05  0.00197194   
0.1714       0.000347546  9.708e-05    0.00202769   
0.17378      0.000362195  9.97798e-05  0.00208421   
0.17616      0.000377247  0.000102516  0.0021415    
0.17854      0.00039271   0.000105289  0.00219956   
0.18092      0.000408588  0.000108098  0.00225839   
0.1833       0.000424887  0.000110943  0.00231799   
0.18568      0.000441612  0.000113825  0.00237835   
