# Mass = 0.0473905 Mev*(hbarc)^2/2 
# R = 4.82059 fm 
# a = 0.662 fm 
# V0 = 50.276 MeV 
# RSO = 4.43035 fm 
# aSO = 0.662 fm 
# VSO = 28.6062 MeV fm^2
# n = 0 
# l = 3 
# two_j = 7 
# two_t = -1 
# Energy = -13.4543 MeV
# r          u            Phi          u/r          
0.1          1.61772e-06  3.63213e-06  1.61772e-05  
0.10238      1.7773e-06   3.89728e-06  1.73599e-05  
0.10476      1.94839e-06  4.17502e-06  1.85987e-05  
0.10714      2.13154e-06  4.46565e-06  1.98949e-05  
0.10952      2.32728e-06  4.76946e-06  2.12498e-05  
0.1119       2.53619e-06  5.08672e-06  2.26648e-05  
0.11428      2.75884e-06  5.41774e-06  2.41411e-05  
0.11666      2.99582e-06  5.76279e-06  2.568e-05    
0.11904      3.24774e-06  6.12217e-06  2.72828e-05  
0.12142      3.51521e-06  6.49616e-06  2.89508e-05  
0.1238       3.79884e-06  6.88506e-06  3.06853e-05  
0.12618      4.09929e-06  7.28914e-06  3.24876e-05  
0.12856      4.4172e-06   7.7087e-06   3.43591e-05  
0.13094      4.75323e-06  8.14402e-06  3.63008e-05  
0.13332      5.10806e-06  8.59539e-06  3.83143e-05  
0.1357       5.48237e-06  9.0631e-06   4.04007e-05  
0.13808      5.87687e-06  9.54743e-06  4.25613e-05  
0.14046      6.29226e-06  1.00487e-05  4.47975e-05  
0.14284      6.72926e-06  1.05671e-05  4.71105e-05  
0.14522      7.18862e-06  1.1103e-05   4.95016e-05  
0.1476       7.67108e-06  1.16567e-05  5.19721e-05  
0.14998      8.17739e-06  1.22284e-05  5.45232e-05  
0.15236      8.70833e-06  1.28185e-05  5.71563e-05  
0.15474      9.26469e-06  1.34271e-05  5.98726e-05  
0.15712      9.84726e-06  1.40547e-05  6.26735e-05  
0.1595       1.04568e-05  1.47015e-05  6.55601e-05  
0.16188      1.10943e-05  1.53677e-05  6.85338e-05  
0.16426      1.17603e-05  1.60537e-05  7.15958e-05  
0.16664      1.24559e-05  1.67597e-05  7.47475e-05  
0.16902      1.31819e-05  1.7486e-05   7.79901e-05  
0.1714       1.39391e-05  1.82329e-05  8.13248e-05  
0.17378      1.47284e-05  1.90008e-05  8.4753e-05   
0.17616      1.55507e-05  1.97897e-05  8.82759e-05  
0.17854      1.64069e-05  2.06001e-05  9.18948e-05  
0.18092      1.72979e-05  2.14323e-05  9.5611e-05   
0.1833       1.82247e-05  2.22864e-05  9.94256e-05  
0.18568      1.91882e-05  2.31628e-05  0.00010334   
0.18806      2.01893e-05  2.40618e-05  0.000107356  
0.19044      2.1229e-05   2.49837e-05  0.000111474  
0.19282      2.23083e-05  2.59286e-05  0.000115695  
0.1952       2.34282e-05  2.6897e-05   0.000120021  
0.19758      2.45896e-05  2.7889e-05   0.000124454  
0.19996      2.57936e-05  2.8905e-05   0.000128994  
0.20234      2.70411e-05  2.99452e-05  0.000133642  
0.20472      2.83333e-05  3.10099e-05  0.0001384    
0.2071       2.96712e-05  3.20994e-05  0.00014327   
