# Mass = 0.0480256 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 45.1811 MeV 
# RSO = 6.86114 fm 
# aSO = 0.662 fm 
# VSO = 27.8547 MeV fm^2
# l = 6 
# two_j = 13 
# two_t = -1 
# Energy = -9.34175 MeV
# r 	 V_eff [2m/hbar/hbar]
0.1 	87408.1
0.10238 	83389.3
0.10476 	79641.4
0.10714 	76140.4
0.10952 	72865.2
0.1119 	69796.7
0.11428 	66917.9
0.11666 	64213.5
0.11904 	61669.7
0.12142 	59274.1
0.1238 	57015.2
0.12618 	54883
0.12856 	52868
0.13094 	50962
0.13332 	49157.1
0.1357 	47446.4
0.13808 	45823.3
0.14046 	44282.1
0.14284 	42817.2
0.14522 	41423.8
0.1476 	40097.2
0.14998 	38833.3
0.15236 	37628.1
0.15474 	36478.2
0.15712 	35380.1
0.1595 	34330.8
0.16188 	33327.4
0.16426 	32367.3
0.16664 	31448.1
0.16902 	30567.4
0.1714 	29723.1
0.17378 	28913.3
0.17616 	28136.1
0.17854 	27389.8
0.18092 	26672.7
0.1833 	25983.4
0.18568 	25320.4
0.18806 	24682.5
0.19044 	24068.3
0.19282 	23476.7
0.1952 	22906.6
0.19758 	22357
0.19996 	21826.9
0.20234 	21315.4
0.20472 	20821.6
0.2071 	20344.7
0.20948 	19884.1
0.21186 	19438.8
0.21424 	19008.3
0.21662 	18591.9
0.219 	18189.1
0.22138 	17799.1
0.22376 	17421.5
0.22614 	17055.8
0.22852 	16701.4
0.2309 	16358
0.23328 	16025
0.23566 	15702
0.23804 	15388.7
0.24042 	15084.7
0.2428 	14789.5
0.24518 	14502.9
0.24756 	14224.5
0.24994 	13954
0.25232 	13691.2
0.2547 	13435.7
0.25708 	13187.2
0.25946 	12945.6
0.26184 	12710.5
0.26422 	12481.7
0.2666 	12259.1
0.26898 	12042.3
0.27136 	11831.2
0.27374 	11625.6
0.27612 	11425.3
0.2785 	11230
0.28088 	11039.8
0.28326 	10854.3
0.28564 	10673.4
0.28802 	10497
0.2904 	10324.9
0.29278 	10157
0.29516 	9993.12
0.29754 	9833.18
0.29992 	9677.02
0.3023 	9524.54
0.30468 	9375.61
0.30706 	9230.14
0.30944 	9088.01
0.31182 	8949.12
0.3142 	8813.38
0.31658 	8680.68
0.31896 	8550.95
0.32134 	8424.08
0.32372 	8300.01
0.3261 	8178.64
0.32848 	8059.9
0.33086 	7943.71
0.33324 	7830.01
0.33562 	7718.71
0.338 	7609.76
0.34038 	7503.08
0.34276 	7398.62
0.34514 	7296.32
0.34752 	7196.1
0.3499 	7097.93
0.35228 	7001.74
0.35466 	6907.47
0.35704 	6815.09
0.35942 	6724.54
0.3618 	6635.77
0.36418 	6548.73
0.36656 	6463.38
0.36894 	6379.68
0.37132 	6297.58
0.3737 	6217.05
0.37608 	6138.04
0.37846 	6060.51
0.38084 	5984.44
0.38322 	5909.78
0.3856 	5836.49
0.38798 	5764.55
0.39036 	5693.93
0.39274 	5624.58
0.39512 	5556.48
0.3975 	5489.6
0.39988 	5423.91
0.40226 	5359.39
0.40464 	5296
0.40702 	5233.72
0.4094 	5172.52
0.41178 	5112.38
0.41416 	5053.27
0.41654 	4995.18
0.41892 	4938.07
0.4213 	4881.92
0.42368 	4826.72
0.42606 	4772.45
0.42844 	4719.07
0.43082 	4666.58
0.4332 	4614.95
0.43558 	4564.16
0.43796 	4514.2
0.44034 	4465.05
0.44272 	4416.68
0.4451 	4369.09
0.44748 	4322.26
0.44986 	4276.17
0.45224 	4230.81
0.45462 	4186.16
0.457 	4142.2
0.45938 	4098.92
0.46176 	4056.31
0.46414 	4014.36
0.46652 	3973.04
0.4689 	3932.35
0.47128 	3892.28
0.47366 	3852.81
0.47604 	3813.93
0.47842 	3775.63
0.4808 	3737.9
0.48318 	3700.72
0.48556 	3664.09
0.48794 	3627.99
0.49032 	3592.42
0.4927 	3557.36
0.49508 	3522.81
0.49746 	3488.75
0.49984 	3455.18
0.50222 	3422.08
0.5046 	3389.45
0.50698 	3357.28
0.50936 	3325.55
0.51174 	3294.27
0.51412 	3263.43
0.5165 	3233
0.51888 	3203
0.52126 	3173.41
0.52364 	3144.22
0.52602 	3115.42
0.5284 	3087.01
0.53078 	3058.99
0.53316 	3031.33
0.53554 	3004.05
0.53792 	2977.13
0.5403 	2950.56
0.54268 	2924.34
0.54506 	2898.46
0.54744 	2872.92
0.54982 	2847.72
0.5522 	2822.83
0.55458 	2798.27
0.55696 	2774.02
0.55934 	2750.08
0.56172 	2726.44
0.5641 	2703.1
0.56648 	2680.06
0.56886 	2657.3
0.57124 	2634.83
0.57362 	2612.64
0.576 	2590.72
0.57838 	2569.07
0.58076 	2547.69
0.58314 	2526.56
0.58552 	2505.7
0.5879 	2485.09
0.59028 	2464.73
0.59266 	2444.61
0.59504 	2424.73
0.59742 	2405.09
0.5998 	2385.68
0.60218 	2366.51
