# Mass = 0.0479598 Mev*(hbarc)^2/2 
# R = 7.46549 fm 
# a = 0.662 fm 
# V0 = 59.5746 MeV 
# RSO = 6.86114 fm 
# aSO = 0.662 fm 
# VSO = 27.9312 MeV fm^2
# n = 0 
# l = 3 
# two_j = 5 
# two_t = 1 
# Energy = -38.4159 MeV
# r          u            Phi          u/r          
0.1          5.03212e-07  4.13902e-09  5.03212e-06  
0.10238      5.52854e-07  4.44137e-09  5.40002e-06  
0.10476      6.06078e-07  4.7581e-09   5.7854e-06   
0.10714      6.63053e-07  5.08954e-09  6.18866e-06  
0.10952      7.2395e-07   5.43601e-09  6.61021e-06  
0.1119       7.88947e-07  5.79785e-09  7.05046e-06  
0.11428      8.58222e-07  6.17539e-09  7.50982e-06  
0.11666      9.31959e-07  6.56896e-09  7.98867e-06  
0.11904      1.01035e-06  6.97889e-09  8.48745e-06  
0.12142      1.09357e-06  7.40552e-09  9.00653e-06  
0.1238       1.18184e-06  7.84916e-09  9.54634e-06  
0.12618      1.27534e-06  8.31017e-09  1.01073e-05  
0.12856      1.37427e-06  8.78886e-09  1.06897e-05  
0.13094      1.47885e-06  9.28556e-09  1.12941e-05  
0.13332      1.58929e-06  9.8006e-09   1.19209e-05  
0.1357       1.70579e-06  1.03343e-08  1.25703e-05  
0.13808      1.82858e-06  1.08871e-08  1.32429e-05  
0.14046      1.95788e-06  1.14591e-08  1.39391e-05  
0.14284      2.09392e-06  1.20508e-08  1.46592e-05  
0.14522      2.23692e-06  1.26626e-08  1.54037e-05  
0.1476       2.38712e-06  1.32946e-08  1.61729e-05  
0.14998      2.54475e-06  1.39473e-08  1.69672e-05  
0.15236      2.71005e-06  1.4621e-08   1.77872e-05  
0.15474      2.88328e-06  1.53159e-08  1.86331e-05  
0.15712      3.06468e-06  1.60326e-08  1.95053e-05  
0.1595       3.25449e-06  1.67711e-08  2.04043e-05  
0.16188      3.45299e-06  1.7532e-08   2.13305e-05  
0.16426      3.66042e-06  1.83155e-08  2.22843e-05  
0.16664      3.87705e-06  1.9122e-08   2.3266e-05   
0.16902      4.10315e-06  1.99517e-08  2.42761e-05  
0.1714       4.33899e-06  2.0805e-08   2.5315e-05   
0.17378      4.58484e-06  2.16822e-08  2.6383e-05   
0.17616      4.84099e-06  2.25838e-08  2.74807e-05  
0.17854      5.10772e-06  2.35098e-08  2.86082e-05  
0.18092      5.3853e-06   2.44608e-08  2.97662e-05  
0.1833       5.67404e-06  2.54371e-08  3.09549e-05  
0.18568      5.97423e-06  2.64389e-08  3.21749e-05  
0.18806      6.28616e-06  2.74665e-08  3.34263e-05  
0.19044      6.61013e-06  2.85204e-08  3.47098e-05  
0.19282      6.94646e-06  2.96009e-08  3.60256e-05  
0.1952       7.29545e-06  3.07081e-08  3.73742e-05  
0.19758      7.65741e-06  3.18426e-08  3.8756e-05   
0.19996      8.03266e-06  3.30046e-08  4.01713e-05  
0.20234      8.42152e-06  3.41944e-08  4.16206e-05  
0.20472      8.82431e-06  3.54124e-08  4.31043e-05  
0.2071       9.24137e-06  3.66588e-08  4.46227e-05  
0.20948      9.67302e-06  3.79341e-08  4.61763e-05  
0.21186      1.01196e-05  3.92384e-08  4.77655e-05  
0.21424      1.05814e-05  4.05723e-08  4.93906e-05  
0.21662      1.10589e-05  4.19359e-08  5.1052e-05   
0.219        1.15523e-05  4.33295e-08  5.27502e-05  
0.22138      1.2062e-05   4.47536e-08  5.44856e-05  
0.22376      1.25884e-05  4.62085e-08  5.62584e-05  
0.22614      1.31318e-05  4.76944e-08  5.80693e-05  
0.22852      1.36926e-05  4.92116e-08  5.99184e-05  
0.2309       1.42711e-05  5.07606e-08  6.18063e-05  
0.23328      1.48677e-05  5.23416e-08  6.37333e-05  
0.23566      1.54828e-05  5.39549e-08  6.56998e-05  
0.23804      1.61168e-05  5.56009e-08  6.77063e-05  
0.24042      1.677e-05    5.72798e-08  6.9753e-05   
0.2428       1.74429e-05  5.89921e-08  7.18405e-05  
0.24518      1.81357e-05  6.0738e-08   7.3969e-05   
0.24756      1.8849e-05   6.25178e-08  7.6139e-05   
0.24994      1.9583e-05   6.43318e-08  7.8351e-05   
0.25232      2.03383e-05  6.61804e-08  8.06051e-05  
0.2547       2.11151e-05  6.80639e-08  8.2902e-05   
0.25708      2.1914e-05   6.99826e-08  8.52419e-05  
0.25946      2.27353e-05  7.19369e-08  8.76253e-05  
0.26184      2.35794e-05  7.39269e-08  9.00525e-05  
0.26422      2.44467e-05  7.59531e-08  9.2524e-05   
0.2666       2.53377e-05  7.80158e-08  9.50401e-05  
0.26898      2.62528e-05  8.01153e-08  9.76012e-05  
0.27136      2.71924e-05  8.22518e-08  0.000100208  
0.27374      2.81569e-05  8.44258e-08  0.00010286   
0.27612      2.91468e-05  8.66375e-08  0.000105559  
0.2785       3.01626e-05  8.88872e-08  0.000108304  
0.28088      3.12046e-05  9.11753e-08  0.000111096  
0.28326      3.22733e-05  9.3502e-08   0.000113935  
0.28564      3.33691e-05  9.58678e-08  0.000116822  
0.28802      3.44926e-05  9.82728e-08  0.000119758  
0.2904       3.56441e-05  1.00717e-07  0.000122742  
0.29278      3.68242e-05  1.03202e-07  0.000125774  
0.29516      3.80333e-05  1.05727e-07  0.000128856  
0.29754      3.92718e-05  1.08292e-07  0.000131988  
0.29992      4.05402e-05  1.10898e-07  0.00013517   
0.3023       4.1839e-05   1.13545e-07  0.000138402  
0.30468      4.31688e-05  1.16234e-07  0.000141686  
0.30706      4.45298e-05  1.18965e-07  0.00014502   
0.30944      4.59228e-05  1.21737e-07  0.000148406  
0.31182      4.7348e-05   1.24552e-07  0.000151844  
0.3142       4.88061e-05  1.2741e-07   0.000155335  
0.31658      5.02975e-05  1.30311e-07  0.000158878  
0.31896      5.18228e-05  1.33255e-07  0.000162474  
0.32134      5.33823e-05  1.36243e-07  0.000166124  
0.32372      5.49767e-05  1.39274e-07  0.000169828  
0.3261       5.66065e-05  1.4235e-07   0.000173586  
0.32848      5.82721e-05  1.4547e-07   0.000177399  
0.33086      5.9974e-05   1.48636e-07  0.000181267  
0.33324      6.17129e-05  1.51846e-07  0.000185191  
0.33562      6.34892e-05  1.55102e-07  0.00018917   
0.338        6.53034e-05  1.58403e-07  0.000193205  
0.34038      6.71562e-05  1.61751e-07  0.000197298  
0.34276      6.90479e-05  1.65145e-07  0.000201447  
0.34514      7.09792e-05  1.68586e-07  0.000205653  
0.34752      7.29506e-05  1.72073e-07  0.000209918  
0.3499       7.49626e-05  1.75608e-07  0.00021424   
0.35228      7.70158e-05  1.79191e-07  0.000218621  
0.35466      7.91107e-05  1.82821e-07  0.000223061  
0.35704      8.1248e-05   1.865e-07    0.00022756   
0.35942      8.34281e-05  1.90227e-07  0.000232119  
0.3618       8.56516e-05  1.94002e-07  0.000236737  
0.36418      8.79191e-05  1.97827e-07  0.000241417  
0.36656      9.02312e-05  2.01701e-07  0.000246157  
0.36894      9.25884e-05  2.05625e-07  0.000250958  
0.37132      9.49913e-05  2.09599e-07  0.00025582   
0.3737       9.74404e-05  2.13623e-07  0.000260745  
0.37608      9.99365e-05  2.17698e-07  0.000265732  
0.37846      0.00010248   2.21823e-07  0.000270782  
0.38084      0.000105072  2.26e-07     0.000275894  
0.38322      0.000107712  2.30228e-07  0.00028107   
0.3856       0.000110401  2.34508e-07  0.00028631   
0.38798      0.00011314   2.3884e-07   0.000291614  
0.39036      0.00011593   2.43224e-07  0.000296982  
0.39274      0.000118771  2.47661e-07  0.000302416  
0.39512      0.000121663  2.5215e-07   0.000307915  
0.3975       0.000124608  2.56693e-07  0.000313479  
0.39988      0.000127605  2.6129e-07   0.000319109  
0.40226      0.000130657  2.6594e-07   0.000324806  
0.40464      0.000133762  2.70644e-07  0.00033057   
0.40702      0.000136922  2.75403e-07  0.0003364    
0.4094       0.000140137  2.80216e-07  0.000342299  
0.41178      0.000143408  2.85084e-07  0.000348265  
0.41416      0.000146737  2.90008e-07  0.000354299  
0.41654      0.000150122  2.94987e-07  0.000360402  
0.41892      0.000153565  3.00021e-07  0.000366574  
0.4213       0.000157067  3.05112e-07  0.000372815  
0.42368      0.000160628  3.10259e-07  0.000379126  
0.42606      0.000164249  3.15463e-07  0.000385508  
0.42844      0.000167931  3.20724e-07  0.000391959  
0.43082      0.000171674  3.26042e-07  0.000398481  
0.4332       0.000175479  3.31418e-07  0.000405075  
0.43558      0.000179346  3.36851e-07  0.00041174   
0.43796      0.000183276  3.42343e-07  0.000418477  
0.44034      0.000187271  3.47892e-07  0.000425287  
0.44272      0.00019133   3.53501e-07  0.000432169  
0.4451       0.000195454  3.59168e-07  0.000439124  
0.44748      0.000199644  3.64895e-07  0.000446152  
0.44986      0.000203901  3.70681e-07  0.000453254  
0.45224      0.000208225  3.76527e-07  0.00046043   
0.45462      0.000212617  3.82432e-07  0.000467681  
0.457        0.000217078  3.88399e-07  0.000475006  
0.45938      0.000221608  3.94425e-07  0.000482407  
0.46176      0.000226208  4.00513e-07  0.000489883  
0.46414      0.00023088   4.06662e-07  0.000497435  
0.46652      0.000235622  4.12872e-07  0.000505063  
0.4689       0.000240437  4.19144e-07  0.000512768  
0.47128      0.000245325  4.25478e-07  0.00052055   
0.47366      0.000250286  4.31874e-07  0.00052841   
0.47604      0.000255322  4.38333e-07  0.000536346  
0.47842      0.000260433  4.44854e-07  0.000544361  
0.4808       0.00026562   4.51439e-07  0.000552455  
0.48318      0.000270884  4.58087e-07  0.000560627  
0.48556      0.000276224  4.64799e-07  0.000568878  
0.48794      0.000281643  4.71574e-07  0.000577209  
0.49032      0.000287141  4.78413e-07  0.000585619  
0.4927       0.000292718  4.85317e-07  0.00059411   
0.49508      0.000298375  4.92286e-07  0.000602681  
0.49746      0.000304114  4.9932e-07   0.000611333  
0.49984      0.000309934  5.06419e-07  0.000620067  
0.50222      0.000315837  5.13583e-07  0.000628882  
0.5046       0.000321823  5.20813e-07  0.000637778  
0.50698      0.000327893  5.28109e-07  0.000646758  
0.50936      0.000334048  5.35472e-07  0.000655819  
0.51174      0.000340289  5.42901e-07  0.000664964  
0.51412      0.000346616  5.50396e-07  0.000674192  
0.5165       0.00035303   5.57959e-07  0.000683504  
0.51888      0.000359532  5.65589e-07  0.0006929    
0.52126      0.000366122  5.73287e-07  0.00070238   
0.52364      0.000372803  5.81053e-07  0.000711945  
0.52602      0.000379573  5.88887e-07  0.000721594  
0.5284       0.000386435  5.96789e-07  0.00073133   
0.53078      0.000393388  6.04759e-07  0.000741151  
0.53316      0.000400434  6.12799e-07  0.000751058  
0.53554      0.000407574  6.20908e-07  0.000761052  
0.53792      0.000414807  6.29086e-07  0.000771132  
0.5403       0.000422136  6.37334e-07  0.0007813    
0.54268      0.000429561  6.45652e-07  0.000791555  
0.54506      0.000437082  6.5404e-07   0.000801898  
0.54744      0.000444701  6.62498e-07  0.000812329  
0.54982      0.000452418  6.71027e-07  0.000822848  
0.5522       0.000460235  6.79628e-07  0.000833456  
0.55458      0.000468151  6.88299e-07  0.000844154  
0.55696      0.000476168  6.97041e-07  0.000854941  
0.55934      0.000484287  7.05856e-07  0.000865818  
0.56172      0.000492508  7.14742e-07  0.000876785  
0.5641       0.000500832  7.23701e-07  0.000887842  
0.56648      0.00050926   7.32732e-07  0.000898991  
0.56886      0.000517794  7.41835e-07  0.000910231  
0.57124      0.000526433  7.51012e-07  0.000921562  
0.57362      0.000535179  7.60261e-07  0.000932985  
0.576        0.000544032  7.69585e-07  0.0009445    
0.57838      0.000552994  7.78981e-07  0.000956108  
0.58076      0.000562064  7.88452e-07  0.000967808  
0.58314      0.000571245  7.97997e-07  0.000979602  
0.58552      0.000580537  8.07616e-07  0.00099149   
0.5879       0.000589941  8.1731e-07   0.00100347   
0.59028      0.000599457  8.27079e-07  0.00101555   
0.59266      0.000609086  8.36923e-07  0.00102772   
0.59504      0.00061883   8.46842e-07  0.00103998   
0.59742      0.00062869   8.56837e-07  0.00105234   
0.5998       0.000638665  8.66908e-07  0.0010648    
0.60218      0.000648757  8.77055e-07  0.00107735   
0.60456      0.000658968  8.87278e-07  0.00109      
0.60694      0.000669297  8.97577e-07  0.00110274   
0.60932      0.000679746  9.07954e-07  0.00111558   
0.6117       0.000690315  9.18407e-07  0.00112852   
0.61408      0.000701005  9.28938e-07  0.00114155   
0.61646      0.000711818  9.39546e-07  0.00115469   
0.61884      0.000722755  9.50232e-07  0.00116792   
0.62122      0.000733815  9.60996e-07  0.00118125   
0.6236       0.000745     9.71838e-07  0.00119468   
0.62598      0.000756312  9.82758e-07  0.0012082    
0.62836      0.00076775   9.93757e-07  0.00122183   
0.63074      0.000779316  1.00484e-06  0.00123556   
0.63312      0.000791011  1.01599e-06  0.00124938   
0.6355       0.000802835  1.02723e-06  0.00126331   
0.63788      0.00081479   1.03854e-06  0.00127734   
0.64026      0.000826876  1.04994e-06  0.00129147   
0.64264      0.000839094  1.06142e-06  0.0013057    
0.64502      0.000851446  1.07297e-06  0.00132003   
0.6474       0.000863932  1.08461e-06  0.00133446   
0.64978      0.000876553  1.09632e-06  0.001349     
0.65216      0.000889311  1.10812e-06  0.00136364   
0.65454      0.000902205  1.12e-06     0.00137838   
0.65692      0.000915237  1.13196e-06  0.00139322   
0.6593       0.000928408  1.144e-06    0.00140817   
0.66168      0.000941719  1.15613e-06  0.00142322   
0.66406      0.000955171  1.16833e-06  0.00143838   
0.66644      0.000968765  1.18062e-06  0.00145364   
0.66882      0.000982501  1.19299e-06  0.00146901   
0.6712       0.000996381  1.20544e-06  0.00148448   
0.67358      0.00101041   1.21798e-06  0.00150005   
0.67596      0.00102458   1.2306e-06   0.00151573   
0.67834      0.00103889   1.2433e-06   0.00153152   
0.68072      0.00105336   1.25609e-06  0.00154741   
0.6831       0.00106797   1.26895e-06  0.00156341   
0.68548      0.00108273   1.28191e-06  0.00157952   
0.68786      0.00109764   1.29494e-06  0.00159574   
0.69024      0.00111271   1.30807e-06  0.00161206   
0.69262      0.00112792   1.32127e-06  0.00162849   
0.695        0.00114329   1.33456e-06  0.00164502   
0.69738      0.00115882   1.34794e-06  0.00166167   
0.69976      0.0011745    1.3614e-06   0.00167843   
0.70214      0.00119033   1.37495e-06  0.00169529   
0.70452      0.00120632   1.38858e-06  0.00171226   
0.7069       0.00122247   1.40229e-06  0.00172935   
0.70928      0.00123878   1.4161e-06   0.00174654   
0.71166      0.00125525   1.42999e-06  0.00176384   
0.71404      0.00127189   1.44396e-06  0.00178125   
0.71642      0.00128868   1.45803e-06  0.00179878   
0.7188       0.00130564   1.47217e-06  0.00181641   
0.72118      0.00132276   1.48641e-06  0.00183416   
0.72356      0.00134005   1.50073e-06  0.00185202   
0.72594      0.0013575    1.51514e-06  0.00186999   
0.72832      0.00137512   1.52964e-06  0.00188807   
0.7307       0.00139291   1.54423e-06  0.00190627   
0.73308      0.00141087   1.5589e-06   0.00192457   
0.73546      0.00142899   1.57366e-06  0.00194299   
0.73784      0.00144729   1.58851e-06  0.00196153   
0.74022      0.00146577   1.60345e-06  0.00198018   
0.7426       0.00148441   1.61848e-06  0.00199894   
0.74498      0.00150323   1.6336e-06   0.00201782   
0.74736      0.00152223   1.6488e-06   0.00203681   
0.74974      0.0015414    1.6641e-06   0.00205591   
0.75212      0.00156075   1.67948e-06  0.00207513   
0.7545       0.00158028   1.69495e-06  0.00209447   
0.75688      0.00159998   1.71052e-06  0.00211392   
0.75926      0.00161987   1.72617e-06  0.00213349   
0.76164      0.00163994   1.74191e-06  0.00215317   
0.76402      0.0016602    1.75775e-06  0.00217297   
0.7664       0.00168063   1.77367e-06  0.00219289   
0.76878      0.00170125   1.78969e-06  0.00221293   
0.77116      0.00172206   1.80579e-06  0.00223308   
0.77354      0.00174306   1.82199e-06  0.00225335   
0.77592      0.00176424   1.83828e-06  0.00227374   
0.7783       0.00178561   1.85466e-06  0.00229424   
0.78068      0.00180717   1.87113e-06  0.00231487   
0.78306      0.00182892   1.88769e-06  0.00233561   
0.78544      0.00185087   1.90435e-06  0.00235647   
0.78782      0.00187301   1.92109e-06  0.00237745   
0.7902       0.00189534   1.93793e-06  0.00239855   
0.79258      0.00191787   1.95486e-06  0.00241978   
0.79496      0.00194059   1.97189e-06  0.00244112   
0.79734      0.00196351   1.98901e-06  0.00246258   
0.79972      0.00198663   2.00622e-06  0.00248416   
0.8021       0.00200995   2.02352e-06  0.00250586   
0.80448      0.00203347   2.04092e-06  0.00252769   
0.80686      0.0020572    2.05841e-06  0.00254963   
0.80924      0.00208112   2.07599e-06  0.0025717    
0.81162      0.00210525   2.09367e-06  0.00259389   
0.814        0.00212959   2.11144e-06  0.0026162    
0.81638      0.00215413   2.1293e-06   0.00263864   
0.81876      0.00217888   2.14726e-06  0.00266119   
0.82114      0.00220384   2.16532e-06  0.00268387   
0.82352      0.002229     2.18347e-06  0.00270668   
0.8259       0.00225438   2.20171e-06  0.0027296    
0.82828      0.00227997   2.22005e-06  0.00275266   
0.83066      0.00230577   2.23848e-06  0.00277583   
0.83304      0.00233179   2.25701e-06  0.00279913   
0.83542      0.00235802   2.27563e-06  0.00282255   
0.8378       0.00238446   2.29435e-06  0.0028461    
0.84018      0.00241113   2.31317e-06  0.00286978   
0.84256      0.00243801   2.33208e-06  0.00289358   
0.84494      0.00246511   2.35108e-06  0.0029175    
0.84732      0.00249244   2.37019e-06  0.00294155   
0.8497       0.00251998   2.38939e-06  0.00296573   
0.85208      0.00254775   2.40868e-06  0.00299003   
0.85446      0.00257574   2.42807e-06  0.00301446   
0.85684      0.00260395   2.44756e-06  0.00303902   
0.85922      0.00263239   2.46715e-06  0.0030637    
0.8616       0.00266106   2.48683e-06  0.00308851   
0.86398      0.00268996   2.50661e-06  0.00311345   
0.86636      0.00271909   2.52649e-06  0.00313852   
0.86874      0.00274844   2.54646e-06  0.00316371   
0.87112      0.00277803   2.56653e-06  0.00318904   
0.8735       0.00280786   2.5867e-06   0.00321449   
0.87588      0.00283791   2.60697e-06  0.00324007   
0.87826      0.0028682    2.62734e-06  0.00326578   
0.88064      0.00289873   2.6478e-06   0.00329162   
0.88302      0.0029295    2.66836e-06  0.00331759   
0.8854       0.0029605    2.68902e-06  0.00334369   
0.88778      0.00299174   2.70978e-06  0.00336992   
0.89016      0.00302323   2.73064e-06  0.00339627   
0.89254      0.00305495   2.75159e-06  0.00342276   
0.89492      0.00308692   2.77265e-06  0.00344938   
0.8973       0.00311914   2.7938e-06   0.00347614   
0.89968      0.00315159   2.81505e-06  0.00350302   
0.90206      0.0031843    2.83641e-06  0.00353003   
0.90444      0.00321725   2.85786e-06  0.00355718   
0.90682      0.00325046   2.87941e-06  0.00358446   
0.9092       0.00328391   2.90106e-06  0.00361186   
0.91158      0.00331761   2.92281e-06  0.00363941   
0.91396      0.00335157   2.94466e-06  0.00366708   
0.91634      0.00338578   2.96661e-06  0.00369489   
0.91872      0.00342024   2.98866e-06  0.00372283   
0.9211       0.00345496   3.01081e-06  0.0037509    
0.92348      0.00348993   3.03306e-06  0.00377911   
0.92586      0.00352517   3.05541e-06  0.00380745   
0.92824      0.00356066   3.07786e-06  0.00383593   
0.93062      0.00359642   3.10042e-06  0.00386454   
0.933        0.00363243   3.12307e-06  0.00389328   
0.93538      0.00366871   3.14582e-06  0.00392216   
0.93776      0.00370525   3.16868e-06  0.00395117   
0.94014      0.00374206   3.19163e-06  0.00398032   
0.94252      0.00377914   3.21469e-06  0.00400961   
0.9449       0.00381648   3.23785e-06  0.00403903   
0.94728      0.00385409   3.26111e-06  0.00406858   
0.94966      0.00389197   3.28447e-06  0.00409827   
0.95204      0.00393012   3.30794e-06  0.0041281    
0.95442      0.00396854   3.3315e-06   0.00415806   
0.9568       0.00400724   3.35517e-06  0.00418816   
0.95918      0.00404621   3.37894e-06  0.0042184    
0.96156      0.00408545   3.40281e-06  0.00424878   
0.96394      0.00412498   3.42678e-06  0.00427929   
0.96632      0.00416478   3.45086e-06  0.00430994   
0.9687       0.00420486   3.47504e-06  0.00434072   
0.97108      0.00424522   3.49932e-06  0.00437165   
0.97346      0.00428586   3.5237e-06   0.00440271   
0.97584      0.00432679   3.54818e-06  0.00443391   
0.97822      0.004368     3.57277e-06  0.00446525   
0.9806       0.00440949   3.59746e-06  0.00449673   
0.98298      0.00445127   3.62226e-06  0.00452835   
0.98536      0.00449334   3.64715e-06  0.0045601    
0.98774      0.0045357    3.67215e-06  0.004592     
0.99012      0.00457835   3.69726e-06  0.00462403   
0.9925       0.00462129   3.72246e-06  0.00465621   
0.99488      0.00466452   3.74777e-06  0.00468852   
0.99726      0.00470804   3.77319e-06  0.00472098   
0.99964      0.00475186   3.7987e-06   0.00475357   
1.00202      0.00479598   3.82432e-06  0.00478631   
1.0044       0.00484039   3.85005e-06  0.00481918   
1.00678      0.0048851    3.87588e-06  0.0048522    
1.00916      0.00493011   3.90181e-06  0.00488536   
1.01154      0.00497542   3.92784e-06  0.00491866   
1.01392      0.00502103   3.95398e-06  0.0049521    
1.0163       0.00506695   3.98023e-06  0.00498568   
1.01868      0.00511317   4.00658e-06  0.00501941   
1.02106      0.00515969   4.03303e-06  0.00505327   
1.02344      0.00520653   4.05958e-06  0.00508728   
1.02582      0.00525367   4.08624e-06  0.00512143   
1.0282       0.00530112   4.11301e-06  0.00515572   
1.03058      0.00534888   4.13988e-06  0.00519016   
1.03296      0.00539695   4.16685e-06  0.00522474   
1.03534      0.00544533   4.19393e-06  0.00525946   
1.03772      0.00549403   4.22112e-06  0.00529433   
1.0401       0.00554305   4.2484e-06   0.00532934   
1.04248      0.00559238   4.2758e-06   0.00536449   
1.04486      0.00564202   4.3033e-06   0.00539979   
1.04724      0.00569199   4.3309e-06   0.00543523   
1.04962      0.00574228   4.35861e-06  0.00547082   
1.052        0.00579289   4.38642e-06  0.00550654   
1.05438      0.00584382   4.41434e-06  0.00554242   
1.05676      0.00589507   4.44236e-06  0.00557844   
1.05914      0.00594665   4.47049e-06  0.0056146    
1.06152      0.00599856   4.49872e-06  0.00565091   
1.0639       0.00605079   4.52706e-06  0.00568737   
1.06628      0.00610335   4.55551e-06  0.00572397   
1.06866      0.00615624   4.58406e-06  0.00576071   
1.07104      0.00620946   4.61271e-06  0.0057976    
1.07342      0.00626302   4.64147e-06  0.00583464   
1.0758       0.00631691   4.67034e-06  0.00587182   
1.07818      0.00637113   4.69931e-06  0.00590915   
1.08056      0.00642569   4.72839e-06  0.00594663   
1.08294      0.00648058   4.75758e-06  0.00598425   
1.08532      0.00653582   4.78686e-06  0.00602202   
1.0877       0.00659139   4.81626e-06  0.00605994   
1.09008      0.00664731   4.84576e-06  0.006098     
1.09246      0.00670356   4.87537e-06  0.00613621   
1.09484      0.00676016   4.90508e-06  0.00617457   
1.09722      0.00681711   4.9349e-06   0.00621307   
1.0996       0.0068744    4.96483e-06  0.00625173   
1.10198      0.00693204   4.99486e-06  0.00629053   
1.10436      0.00699002   5.02499e-06  0.00632948   
1.10674      0.00704836   5.05524e-06  0.00636858   
1.10912      0.00710704   5.08559e-06  0.00640782   
1.1115       0.00716608   5.11604e-06  0.00644722   
1.11388      0.00722547   5.14661e-06  0.00648676   
1.11626      0.00728522   5.17727e-06  0.00652645   
1.11864      0.00734532   5.20805e-06  0.00656629   
1.12102      0.00740578   5.23893e-06  0.00660628   
1.1234       0.00746659   5.26992e-06  0.00664642   
1.12578      0.00752777   5.30101e-06  0.00668671   
1.12816      0.0075893    5.33221e-06  0.00672715   
1.13054      0.0076512    5.36352e-06  0.00676774   
1.13292      0.00771346   5.39493e-06  0.00680848   
1.1353       0.00777608   5.42645e-06  0.00684936   
1.13768      0.00783907   5.45807e-06  0.0068904    
1.14006      0.00790243   5.48981e-06  0.00693159   
1.14244      0.00796615   5.52164e-06  0.00697293   
1.14482      0.00803025   5.55359e-06  0.00701442   
1.1472       0.00809471   5.58564e-06  0.00705606   
1.14958      0.00815955   5.6178e-06   0.00709785   
1.15196      0.00822475   5.65006e-06  0.00713979   
1.15434      0.00829034   5.68244e-06  0.00718188   
1.15672      0.00835629   5.71491e-06  0.00722413   
1.1591       0.00842263   5.7475e-06   0.00726652   
1.16148      0.00848934   5.78019e-06  0.00730907   
1.16386      0.00855643   5.81299e-06  0.00735177   
1.16624      0.0086239    5.84589e-06  0.00739462   
1.16862      0.00869175   5.8789e-06   0.00743762   
1.171        0.00875999   5.91202e-06  0.00748078   
1.17338      0.00882861   5.94524e-06  0.00752408   
1.17576      0.00889761   5.97857e-06  0.00756754   
1.17814      0.008967     6.01201e-06  0.00761115   
1.18052      0.00903678   6.04556e-06  0.00765491   
1.1829       0.00910695   6.07921e-06  0.00769883   
1.18528      0.0091775    6.11296e-06  0.0077429    
1.18766      0.00924845   6.14683e-06  0.00778712   
1.19004      0.00931979   6.1808e-06   0.0078315    
1.19242      0.00939153   6.21487e-06  0.00787602   
1.1948       0.00946366   6.24906e-06  0.0079207    
1.19718      0.00953618   6.28335e-06  0.00796554   
1.19956      0.00960911   6.31774e-06  0.00801053   
1.20194      0.00968243   6.35225e-06  0.00805567   
1.20432      0.00975615   6.38686e-06  0.00810096   
1.2067       0.00983028   6.42157e-06  0.00814641   
1.20908      0.0099048    6.4564e-06   0.00819201   
