# Mass = 0.0480256 Mev*(hbarc)^2/2 
# R = 7.4655 fm 
# a = 0.662 fm 
# V0 = 45.181 MeV 
# RSO = 6.861 fm 
# aSO = 0.662 fm 
# VSO = 27.855 MeV fm^2
# n = 2 
# l = 1 
# two_j = 1 
# two_t = -1 
# Energy = -7.69522 MeV
# r          u            Phi          u/r          
0.1          0.00247801   0.000774903  0.0247801    
0.10238      0.00259735   0.000793175  0.0253697    
0.10476      0.00271948   0.00081144   0.0259591    
0.10714      0.00284438   0.000829696  0.0265483    
0.10952      0.00297207   0.000847942  0.0271372    
0.1119       0.00310252   0.00086618   0.0277259    
0.11428      0.00323576   0.000884408  0.0283143    
0.11666      0.00337177   0.000902626  0.0289025    
0.11904      0.00351055   0.000920834  0.0294905    
0.12142      0.0036521    0.000939032  0.0300782    
0.1238       0.00379642   0.000957218  0.0306658    
0.12618      0.00394351   0.000975394  0.031253     
0.12856      0.00409336   0.000993558  0.0318401    
0.13094      0.00424598   0.00101171   0.0324269    
0.13332      0.00440136   0.00102985   0.0330135    
0.1357       0.0045595    0.00104798   0.0335999    
0.13808      0.0047204    0.0010661    0.034186     
0.14046      0.00488406   0.0010842    0.0347719    
0.14284      0.00505047   0.00110229   0.0353575    
0.14522      0.00521963   0.00112037   0.0359429    
0.1476       0.00539155   0.00113843   0.0365281    
0.14998      0.00556621   0.00115649   0.037113     
0.15236      0.00574362   0.00117452   0.0376977    
0.15474      0.00592377   0.00119255   0.0382821    
0.15712      0.00610667   0.00121055   0.0388663    
0.1595       0.00629231   0.00122855   0.0394502    
0.16188      0.00648068   0.00124653   0.0400339    
0.16426      0.00667179   0.00126449   0.0406173    
0.16664      0.00686563   0.00128244   0.0412004    
0.16902      0.00706221   0.00130037   0.0417833    
0.1714       0.00726151   0.00131829   0.0423659    
0.17378      0.00746354   0.00133619   0.0429482    
0.17616      0.00766829   0.00135408   0.0435303    
0.17854      0.00787577   0.00137195   0.0441121    
0.18092      0.00808596   0.0013898    0.0446936    
0.1833       0.00829887   0.00140764   0.0452748    
0.18568      0.00851449   0.00142545   0.0458557    
0.18806      0.00873282   0.00144326   0.0464364    
0.19044      0.00895386   0.00146104   0.0470167    
0.19282      0.00917761   0.00147881   0.0475968    
0.1952       0.00940406   0.00149655   0.0481765    
0.19758      0.00963321   0.00151428   0.048756     
0.19996      0.00986506   0.00153199   0.0493352    
0.20234      0.0100996    0.00154969   0.049914     
0.20472      0.0103368    0.00156736   0.0504926    
0.2071       0.0105768    0.00158502   0.0510708    
0.20948      0.0108194    0.00160265   0.0516487    
0.21186      0.0110647    0.00162027   0.0522263    
0.21424      0.0113126    0.00163786   0.0528035    
0.21662      0.0115633    0.00165544   0.0533805    
0.219        0.0118166    0.00167299   0.0539571    
0.22138      0.0120726    0.00169053   0.0545333    
0.22376      0.0123313    0.00170804   0.0551093    
0.22614      0.0125926    0.00172554   0.0556849    
0.22852      0.0128566    0.00174301   0.0562601    
0.2309       0.0131232    0.00176046   0.056835     
0.23328      0.0133925    0.00177789   0.0574096    
0.23566      0.0136645    0.0017953    0.0579838    
0.23804      0.0139391    0.00181268   0.0585576    
0.24042      0.0142163    0.00183005   0.0591311    
0.2428       0.0144962    0.00184739   0.0597042    
