            A            Z      pp norm      nn norm   np(p) norm   np(n) norm       p norm       n norm   total norm
            2            1   1.0698e+00   1.0698e+00   1.0698e+00   1.0698e+00   1.0698e+00   1.0698e+00   1.0698e+00
            4            2   1.1093e+00   1.1093e+00   1.2008e+00   1.2008e+00   1.1703e+00   1.1703e+00   1.1703e+00
            9            4   1.1689e+00   1.1546e+00   1.2917e+00   1.2917e+00   1.2457e+00   1.2232e+00   1.2332e+00
           12            6   1.1907e+00   1.1907e+00   1.3409e+00   1.3409e+00   1.2726e+00   1.2726e+00   1.2726e+00
           16            8   1.2492e+00   1.2492e+00   1.4369e+00   1.4369e+00   1.3493e+00   1.3493e+00   1.3493e+00
           18            8   1.2744e+00   1.2398e+00   1.4460e+00   1.4460e+00   1.3753e+00   1.3368e+00   1.3539e+00
           27           13   1.2852e+00   1.2753e+00   1.4788e+00   1.4788e+00   1.3894e+00   1.3770e+00   1.3830e+00
           40           18   1.3559e+00   1.3264e+00   1.5656e+00   1.5656e+00   1.4742e+00   1.4368e+00   1.4536e+00
           40           20   1.3468e+00   1.3468e+00   1.5776e+00   1.5776e+00   1.4652e+00   1.4652e+00   1.4652e+00
           48           20   1.3933e+00   1.3213e+00   1.5899e+00   1.5899e+00   1.5104e+00   1.4356e+00   1.4668e+00
           56           26   1.3712e+00   1.3506e+00   1.5936e+00   1.5936e+00   1.4925e+00   1.4654e+00   1.4780e+00
           63           29   1.3818e+00   1.3671e+00   1.6120e+00   1.6120e+00   1.5081e+00   1.4816e+00   1.4938e+00
           84           36   1.4342e+00   1.3772e+00   1.6538e+00   1.6538e+00   1.5612e+00   1.4972e+00   1.5246e+00
          108           47   1.4468e+00   1.4002e+00   1.6807e+00   1.6807e+00   1.5801e+00   1.5234e+00   1.5481e+00
          124           54   1.4546e+00   1.4214e+00   1.7003e+00   1.7003e+00   1.5944e+00   1.5439e+00   1.5659e+00
          142           60   1.4748e+00   1.4132e+00   1.7077e+00   1.7077e+00   1.6102e+00   1.5385e+00   1.5688e+00
          184           74   1.5142e+00   1.4328e+00   1.7417e+00   1.7417e+00   1.6510e+00   1.5577e+00   1.5952e+00
          197           79   1.5132e+00   1.4334e+00   1.7417e+00   1.7417e+00   1.6508e+00   1.5577e+00   1.5950e+00
          208           82   1.5177e+00   1.4290e+00   1.7406e+00   1.7406e+00   1.6534e+00   1.5525e+00   1.5922e+00
