# mass number (A) = 108
# number of protons (Z) = 47
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.0
0.01	3.04500058657e-07
0.02	4.86474460358e-06
0.03	2.45666657742e-05
0.04	7.73732348556e-05
0.05	0.000188056717605
0.06	0.000387829048988
0.07	0.000713875451452
0.08	0.00120879775349
0.09	0.00191997510234
0.1	0.00289885088824
0.11	0.00420015569108
0.12	0.0058810769106
0.13	0.00800038643522
0.14	0.010617538234
0.15	0.0137917481141
0.16	0.0175810680688
0.17	0.0220414676462
0.18	0.0272259346001
0.19	0.0331836067426
0.2	0.0399589464175
0.21	0.0475909683484
0.22	0.0561125308192
0.23	0.0655496992085
0.24	0.0759211898545
0.25	0.0872379010834
0.26	0.0995025370101
0.27	0.112709328438
0.28	0.126843853861
0.29	0.141882962217
0.3	0.157794797722
0.31	0.174538925739
0.32	0.192066557409
0.33	0.21032086947
0.34	0.229237414576
0.35	0.248744616324
0.36	0.268764342228
0.37	0.289212547009
0.38	0.30999997783
0.39	0.331032932477
0.4	0.352214061024
0.41	0.373443201156
0.42	0.394618237117
0.43	0.415635972202
0.44	0.436393004752
0.45	0.456786597815
0.46	0.476715532952
0.47	0.496080939104
0.48	0.514787087965
0.49	0.532742147931
0.5	0.549858889425
0.51	0.566055335163
0.52	0.581255349766
0.53	0.595389164021
0.54	0.608393829972
0.55	0.620213603978
0.56	0.630800255788
0.57	0.640113302596
0.58	0.648120167951
0.59	0.654796266236
0.6	0.660125014276
0.61	0.664097772377
0.62	0.666713717807
0.63	0.667979654393
0.64	0.667909762429
0.65	0.66652529363
0.66	0.663854216227
0.67	0.659930815666
0.68	0.654795256597
0.69	0.648493112017
0.7	0.64107486551
0.71	0.632595392547
0.72	0.623113426744
0.73	0.612691016858
0.74	0.601392980091
0.75	0.589286357058
0.76	0.576439873451
0.77	0.562923413115
0.78	0.548807506864
0.79	0.534162840973
0.8	0.51905978885
0.81	0.503567968944
0.82	0.487755831523
0.83	0.471690276461
0.84	0.45543630376
0.85	0.439056698077
0.86	0.422611748094
0.87	0.406159001163
0.88	0.389753053277
0.89	0.373445374057
0.9	0.357284166079
0.91	0.341314257621
0.92	0.325577027567
0.93	0.310110361029
0.94	0.294948633998
0.95	0.280122725182
0.96	0.265660053057
0.97	0.251584636014
0.98	0.237917173466
0.99	0.224675145679
1.0	0.211872930105
1.01	0.199521931991
1.02	0.187630727073
1.03	0.176205214217
1.04	0.165248775935
1.05	0.154762444811
1.06	0.144745073939
1.07	0.135193509642
1.08	0.12610276481
1.09	0.117466191366
1.1	0.10927565049
1.11	0.101521679357
1.12	0.0941936533234
1.13	0.0872799425824
1.14	0.0807680624963
1.15	0.074644816908
1.16	0.068896433886
1.17	0.0635086934672
1.18	0.0584670470817
1.19	0.0537567284492
1.2	0.0493628558377
1.21	0.0452705256642
1.22	0.0414648975022
1.23	0.0379312706321
1.24	0.0346551523357
1.25	0.0316223181945
1.26	0.0288188646971
1.27	0.0262312545001
1.28	0.0238463547241
1.29	0.0216514686839
1.3	0.0196343614772
1.31	0.0177832798629
1.32	0.0160869668698
1.33	0.0145346715753
1.34	0.0131161544908
1.35	0.0118216889842
1.36	0.0106420591559
1.37	0.00956855457321
1.38	0.00859296225081
1.39	0.00770755624426
1.4	0.00690508520631
1.41	0.00617875823181
1.42	0.00552222929609
1.43	0.00492958056826
1.44	0.00439530485846
1.45	0.00391428743498
1.46	0.00348178742482
1.47	0.00309341898968
1.48	0.00274513244775
1.49	0.00243319549205
1.5	0.00215417463626
1.51	0.00190491700123
1.52	0.00168253253829
1.53	0.00148437676935
1.54	0.00130803410967
1.55	0.00115130182544
1.56	0.00101217466622
1.57	0.000888830201282
1.58	0.000779614879208
1.59	0.000683030820985
1.6	0.000597723349533
1.61	0.000522469251654
1.62	0.000456165762703
1.63	0.000397820259391
1.64	0.00034654064201
1.65	0.000301526384052
1.66	0.000262060224474
1.67	0.000227500475835
1.68	0.000197273919955
1.69	0.000170869261764
1.7	0.000147831111333
1.71	0.000127754463913
1.72	0.000110279647823
1.73	9.5087710443e-05
1.74	8.18962131322e-05
1.75	7.0455406682e-05
1.76	6.05447598619e-05
1.77	5.1969814667e-05
1.78	4.45593430384e-05
1.79	3.81627810487e-05
1.8	3.26479178085e-05
1.81	2.78988176451e-05
1.82	2.38139553972e-05
1.83	2.03045459622e-05
1.84	1.72930505007e-05
1.85	1.47118429422e-05
1.86	1.25020216374e-05
1.87	1.06123521558e-05
1.88	8.99832833556e-06
1.89	7.62133974259e-06
1.9	6.44793469069e-06
1.91	5.44916891517e-06
1.92	4.60003087008e-06
1.93	3.87893544276e-06
1.94	3.26727864438e-06
1.95	2.74904654497e-06
1.96	2.3104723775e-06
1.97	1.93973633977e-06
1.98	1.626703178e-06
1.99	1.36269314369e-06
2.0	1.14028237957e-06
2.01	9.53129212333e-07
2.02	7.95823213419e-07
2.03	6.63754236068e-07
2.04	5.52998950651e-07
2.05	4.60222682628e-07
2.06	3.82594611566e-07
2.07	3.1771461741e-07
2.08	2.63550263995e-07
2.09	2.18382591762e-07
2.1	1.80759553776e-07
2.11	1.49456073205e-07
2.12	1.23439828334e-07
2.13	1.01841984331e-07
2.14	8.39321910224e-08
2.15	6.90972541208e-08
2.16	5.68229649675e-08
2.17	4.66786420465e-08
2.18	3.83039973057e-08
2.19	3.13979926511e-08
