# mass number (A) = 108
# number of protons (Z) = 47
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.0
0.01	6.05145340509e-11
0.02	3.86716185554e-09
0.03	4.39400998858e-08
0.04	2.4602715814e-07
0.05	9.34331892346e-07
0.06	2.77469434522e-06
0.07	6.95169710236e-06
0.08	1.53746745427e-05
0.09	3.09067207962e-05
0.1	5.76100417053e-05
0.11	0.000101000395043
0.12	0.000168302925118
0.13	0.000268701432945
0.14	0.000413573037847
0.15	0.000616700283323
0.16	0.000894453017939
0.17	0.00126593283573
0.18	0.00175307348115
0.19	0.00238069139873
0.2	0.00317648152094
0.21	0.00417095442186
0.22	0.00539731209645
0.23	0.00689126083352
0.24	0.00869076091008
0.25	0.0108357141188
0.26	0.0133675914246
0.27	0.0163290043023
0.28	0.019763224513
0.29	0.0237136582035
0.3	0.0282232812424
0.31	0.0333340436149
0.32	0.0390862514718
0.33	0.0455179360438
0.34	0.0526642190885
0.35	0.0605566848184
0.36	0.0692227683582
0.37	0.0786851707055
0.38	0.0889613099082
0.39	0.100062817747
0.4	0.111995090618
0.41	0.124756902556
0.42	0.138340087472
0.43	0.152729296652
0.44	0.167901836468
0.45	0.183827590067
0.46	0.200469025526
0.47	0.217781291713
0.48	0.235712401751
0.49	0.25420350271
0.5	0.273189228879
0.51	0.292598134756
0.52	0.312353202743
0.53	0.332372419493
0.54	0.352569413898
0.55	0.372854148871
0.56	0.393133658386
0.57	0.413312820686
0.58	0.433295158134
0.59	0.452983653939
0.6	0.472281575871
0.61	0.4910932971
0.62	0.509325104505
0.63	0.526885985073
0.64	0.543688381506
0.65	0.559648908657
0.66	0.574689023163
0.67	0.588735639323
0.68	0.601721685186
0.69	0.613586593661
0.7	0.624276724448
0.71	0.633745713538
0.72	0.641954748057
0.73	0.648872765195
0.74	0.654476574946
0.75	0.658750907337
0.76	0.661688385715
0.77	0.663289428531
0.78	0.663562082803
0.79	0.662521793201
0.8	0.660191111274
0.81	0.65659934992
0.82	0.651782188629
0.83	0.645781235386
0.84	0.638643551402
0.85	0.630421145001
0.86	0.62117044106
0.87	0.610951732429
0.88	0.599828619631
0.89	0.587867444998
0.9	0.575136727159
0.91	0.561706601506
0.92	0.547648271882
0.93	0.533033478383
0.94	0.517933985668
0.95	0.502421095756
0.96	0.48656518875
0.97	0.470435294459
0.98	0.454098697351
0.99	0.437620576772
1.0	0.421063683857
1.01	0.404488056071
1.02	0.387950769857
1.03	0.37150573141
1.04	0.355203505197
1.05	0.339091179442
1.06	0.323212267484
1.07	0.307606643556
1.08	0.292310511314
1.09	0.277356403185
1.1	0.26277320842
1.11	0.248586227598
1.12	0.234817251185
1.13	0.221484659724
1.14	0.208603543131
1.15	0.196185836623
1.16	0.184240470775
1.17	0.172773533286
