# mass number (A) = 108
# number of protons (Z) = 47
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.0
0.01	0.00229738452455
0.02	0.00916491100686
0.03	0.0205289954755
0.04	0.0362679848773
0.05	0.0562136231057
0.06	0.0801530750325
0.07	0.107831480667
0.08	0.138955004354
0.09	0.173194337263
0.1	0.210188605382
0.11	0.249549629987
0.12	0.290866483036
0.13	0.333710276417
0.14	0.377639121251
0.15	0.422203191817
0.16	0.466949827889
0.17	0.511428609578
0.18	0.555196339936
0.19	0.597821872791
0.2	0.638890726241
0.21	0.678009426151
0.22	0.714809528558
0.23	0.748951275183
0.24	0.780126842083
0.25	0.808063147793
0.26	0.832524194002
0.27	0.853312918711
0.28	0.870272548942
0.29	0.883287447126
0.3	0.892283452367
0.31	0.897227724576
0.32	0.898128106051
0.33	0.895032021216
0.34	0.888024940962
0.35	0.877228443165
0.36	0.862797905516
0.37	0.844919870718
0.38	0.823809127254
0.39	0.799705551459
0.4	0.772870758324
0.41	0.743584609479
0.42	0.712141627044
0.43	0.678847361614
0.44	0.644014761508
0.45	0.607960588646
0.46	0.571001924098
0.47	0.533452803466
0.48	0.495621018921
0.49	0.457805121022
0.5	0.420291649384
0.51	0.383352616975
0.52	0.347243268383
0.53	0.31220012783
0.54	0.278439348165
0.55	0.246155367519
0.56	0.215519875935
0.57	0.186681090038
0.58	0.159763329833
0.59	0.134866888002
0.6	0.112068178671
0.61	0.0914201496208
0.62	0.0729529392275
0.63	0.0566747572129
0.64	0.0425729664364
0.65	0.030615341569
0.66	0.0207514794968
0.67	0.0129143357288
0.68	0.00702186089936
0.69	0.00297871165125
0.7	0.000678010725275
0.71	3.13194634876e-06
0.72	0.000829486945682
0.73	0.00302629186257
0.74	0.00645829388862
0.75	0.0109874393152
0.76	0.0164744666829
0.77	0.0227804106712
0.78	0.0297680044723
0.79	0.0373029705272
0.8	0.0452551916306
0.81	0.0534997565094
0.82	0.0619178760053
0.83	0.0703976679379
0.84	0.0788348105493
0.85	0.0871330661338
0.86	0.0952046780062
0.87	0.102970645355
0.88	0.110360881762
0.89	0.117314264205
0.9	0.123778580278
0.91	0.12971038202
0.92	0.135074755322
0.93	0.139845014242
0.94	0.144002329743
0.95	0.147535302489
0.96	0.15043948921
0.97	0.152716891991
0.98	0.154375419513
0.99	0.15542832889
1.0	0.155893656233
1.01	0.155793643558
1.02	0.155154169004
1.03	0.154004186711
1.04	0.152375182005
1.05	0.150300646865
1.06	0.147815579928
1.07	0.144956014617
1.08	0.14175857827
1.09	0.138260084543
1.1	0.134497160682
1.11	0.130505910714
1.12	0.126321615059
1.13	0.121978466536
1.14	0.117509342342
1.15	0.112945611117
1.16	0.108316973924
1.17	0.103651337623
1.18	0.0989747188985
1.19	0.0943111769962
1.2	0.0896827730531
1.21	0.0851095538182
1.22	0.0806095574738
1.23	0.0761988392422
1.24	0.071891514461
1.25	0.0676998168429
1.26	0.0636341696927
1.27	0.0597032679359
1.28	0.0559141689126
1.29	0.052272390006
1.3	0.0487820113044
1.31	0.0454457816305
1.32	0.0422652264179
1.33	0.0392407560602
1.34	0.0363717735067
1.35	0.0336567800265
1.36	0.0310934782066
1.37	0.0286788713878
1.38	0.0264093588795
1.39	0.0242808264148
1.4	0.0222887314322
1.41	0.0204281828748
1.42	0.0186940152996
1.43	0.0170808571831
1.44	0.0155831933851
1.45	0.014195421811
1.46	0.0129119043706
1.47	0.0117270123868
