# mass number (A) = 108
# number of protons (Z) = 47
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	1.38845251801
0.01	1.3868436904
0.02	1.38202656254
0.03	1.37402912128
0.04	1.36289775175
0.05	1.3486968509
0.06	1.33150829212
0.07	1.31143074663
0.08	1.2885788687
0.09	1.26308235336
0.1	1.23508487625
0.11	1.20474292663
0.12	1.17222454564
0.13	1.1377079826
0.14	1.10138028304
0.15	1.06343582258
0.16	1.02407480128
0.17	0.983501713229
0.18	0.941923806166
0.19	0.899549545878
0.2	0.856587099752
0.21	0.813242853425
0.22	0.769719973857
0.23	0.726217031416
0.24	0.682926692652
0.25	0.640034494475
0.26	0.597717709306
0.27	0.556144309632
0.28	0.5154720391
0.29	0.47584759602
0.3	0.437405933759
0.31	0.400269681221
0.32	0.364548685186
0.33	0.330339675005
0.34	0.297726048818
0.35	0.266777779219
0.36	0.237551435128
0.37	0.210090315494
0.38	0.18442468945
0.39	0.16057213663
0.4	0.13853798052
0.41	0.118315807026
0.42	0.0998880598598
0.43	0.0832267038693
0.44	0.0682939470934
0.45	0.0550430121041
0.46	0.0434189470867
0.47	0.0333594671148
0.48	0.0247958161984
0.49	0.0176536408971
0.5	0.0118538666117
0.51	0.00731356806639
0.52	0.00394682597528
0.53	0.00166556243782
0.54	0.000380348213702
0.55	1.17568344548e-06
0.56	0.000438191993505
0.57	0.00160238760308
0.58	0.00340623618506
0.59	0.00576428257457
0.6	0.00859367619612
0.61	0.0118146481256
0.62	0.0153509306479
0.63	0.0191301188463
0.64	0.0230839744012
0.65	0.0271486723765
0.66	0.0312649923225
0.67	0.0353784555323
0.68	0.0394394107357
0.69	0.0434030709122
0.7	0.0472295042398
0.71	0.0508835824815
0.72	0.0543348903316
0.73	0.0575575994136
0.74	0.0605303107353
0.75	0.0632358694688
0.76	0.0656611559337
0.77	0.0677968566336
0.78	0.0696372191151
0.79	0.0711797943121
0.8	0.0724251698858
0.81	0.0733766978986
0.82	0.0740402199584
0.83	0.0744237927452
0.84	0.0745374166
0.85	0.0743927695983
0.86	0.0740029492813
0.87	0.073382223948
0.88	0.0725457951558
0.89	0.0715095728124
0.9	0.0702899639926
0.91	0.0689036763647
0.92	0.0673675368797
0.93	0.0656983261531
0.94	0.0639126287641
0.95	0.0620266995028
0.96	0.0600563454253
0.97	0.0580168234159
0.98	0.05592275282
0.99	0.0537880425861
1.0	0.0516258322564
1.01	0.0494484460544
1.02	0.0472673592546
1.03	0.0450931759597
1.04	0.0429356173793
1.05	0.0408035196759
1.06	0.0387048404362
1.07	0.0366466728257
1.08	0.0346352664978
1.09	0.0326760543513
1.1	0.0307736842572
1.11	0.0289320549175
1.12	0.0271543550578
1.13	0.0254431052061
1.14	0.0238002013595
1.15	0.0222269598976
1.16	0.0207241631536
1.17	0.0192921051142
1.18	0.0179306367733
1.19	0.016639210722
1.2	0.0154169246116
1.21	0.0142625631791
1.22	0.0131746385748
1.23	0.0121514287794
1.24	0.0111910139438
1.25	0.0102913105247
1.26	0.0094501031291
1.27	0.00866507401422
1.28	0.00793383022221
1.29	0.00725392835514
1.3	0.00662289702226
1.31	0.00603825701132
1.32	0.00549753925471
1.33	0.0049983006758
1.34	0.00453813801349
1.35	0.00411469973242
1.36	0.0037256961336
1.37	0.00336890778521
1.38	0.00304219239631
1.39	0.00274349025752
1.4	0.00247082837215
1.41	0.00222232339982
1.42	0.00199618353135
1.43	0.00179070941025
1.44	0.00160429421088
1.45	0.00143542297847
1.46	0.00128267133013
1.47	0.0011447036096
1.48	0.00102027058243
1.49	0.000908206751316
1.5	0.000807427364838
1.51	0.000716925186487
1.52	0.000635767084078
1.53	0.000563090493736
1.54	0.000498099806479
1.55	0.000440062719762
1.56	0.00038830659095
1.57	0.000342214824608
1.58	0.00030122332079
1.59	0.000264817007134
1.6	0.000232526473592
1.61	0.000203924724959
1.62	0.000178624063077
1.63	0.000156273107635
1.64	0.00013655396186
1.65	0.000119179527055
1.66	0.00010389096795
1.67	9.04553290264e-05
1.68	7.86633005325e-05
1.69	6.83271315939e-05
1.7	5.927868681e-05
1.71	5.13676418535e-05
1.72	4.44598129185e-05
1.73	3.84356143416e-05
1.74	3.3188638339e-05
1.75	2.86243505445e-05
1.76	2.46588948817e-05
1.77	2.12180012458e-05
1.78	1.82359894886e-05
1.79	1.56548632879e-05
1.8	1.34234876209e-05
1.81	1.14968437503e-05
1.82	9.83535584712e-06
1.83	8.4042836272e-06
1.84	7.17317564196e-06
1.85	6.11537814798e-06
1.86	5.20759476783e-06
1.87	4.42949244809e-06
1.88	3.76334951309e-06
1.89	3.19374190122e-06
1.9	2.70726395324e-06
1.91	2.29228039551e-06
1.92	1.93870642426e-06
1.93	1.63781304869e-06
1.94	1.38205508982e-06
1.95	1.16491945769e-06
1.96	9.80791542012e-07
1.97	8.24837749932e-07
1.98	6.92902409842e-07
1.99	5.8141743171e-07
2.0	4.87323273347e-07
2.01	4.07999908151e-07
2.02	3.41206624096e-07
2.03	2.85029606502e-07
2.04	2.37836369067e-07
2.05	1.98236199473e-07
2.06	1.65045878122e-07
2.07	1.37260012057e-07
2.08	1.1402540129e-07
2.09	9.46189224779e-08
2.1	7.84284755513e-08
2.11	6.49365932243e-08
2.12	5.37063618015e-08
2.13	4.43693448897e-08
2.14	3.66152399998e-08
2.15	3.01830320547e-08
2.16	2.48534379318e-08
2.17	2.0442462752e-08
2.18	1.67959120529e-08
2.19	1.37847245771e-08
2.2	1.13010084854e-08
2.21	9.25467962909e-09
2.22	7.57061435742e-09
2.23	6.18624140611e-09
2.24	5.04950792711e-09
2.25	4.11716385857e-09
2.26	3.35331676247e-09
2.27	2.72821612552e-09
2.28	2.21723205586e-09
2.29	1.79999843252e-09
2.3	1.45969497993e-09
2.31	1.18244653648e-09
2.32	9.56821047286e-10
2.33	7.7341060595e-10
2.34	6.24482262218e-10
2.35	5.03687356115e-10
2.36	4.05819882407e-10
2.37	3.26615873922e-10
2.38	2.62587054664e-10
2.39	2.1088308536e-10
2.4	1.69177632481e-10
2.41	1.35574260581e-10
2.42	1.08528797395e-10
2.43	8.67853692726e-11
2.44	6.9323766236e-11
2.45	5.53161843499e-11
2.46	4.40917193154e-11
2.47	3.51072587802e-11
2.48	2.79236499626e-11
2.49	2.21862107666e-11
2.5	1.76088125274e-11
2.51	1.39608958989e-11
2.52	1.10568924343e-11
2.53	8.7476167315e-12
2.54	6.91327065221e-12
2.55	5.45776466304e-12
2.56	4.30411394447e-12
2.57	3.39071039705e-12
2.58	2.66830757128e-12
2.59	2.09758514017e-12
2.6	1.64718389695e-12
2.61	1.29212228877e-12
2.62	1.01252194182e-12
2.63	7.92583114817e-13
2.64	6.19762056776e-13
2.65	4.84111270733e-13
2.66	3.77751055362e-13
2.67	2.94446706613e-13
2.68	2.29270656072e-13
2.69	1.78332803495e-13
2.7	1.38565534249e-13
2.71	1.07552535026e-13
2.72	8.33926457787e-14
2.73	6.45917046681e-14
2.74	4.9976731541e-14
2.75	3.86279160856e-14
2.76	2.9824779865e-14
2.77	2.30036082405e-14
2.78	1.77238323992e-14
2.79	1.36415106713e-14
2.8	1.04884343131e-14
2.81	8.05568398733e-15
2.82	6.18070392434e-15
2.83	4.73715302656e-15
2.84	3.62694555548e-15
2.85	2.77401622507e-15
2.86	2.11944174378e-15
2.87	1.61762810122e-15
2.88	1.23333420858e-15
2.89	9.39351102374e-16
2.9	7.14694397274e-16
2.91	5.43198096217e-16
2.92	4.12421891137e-16
2.93	3.12803037075e-16
2.94	2.36998809993e-16
2.95	1.79377303525e-16
2.96	1.356235493e-16
2.97	1.02435189255e-16
2.98	7.72876068031e-17
2.99	5.82528695514e-17
3.0	4.38603129223e-17
3.01	3.2989309385e-17
3.02	2.47868862582e-17
3.03	1.86045054544e-17
3.04	1.3949602906e-17
3.05	1.04484837003e-17
3.06	7.81794395721e-18
3.07	5.84359141709e-18
3.08	4.3633021136e-18
3.09	3.25461051275e-18
3.1	2.42510865038e-18
3.11	1.80514444456e-18
3.12	1.34227480299e-18
3.13	9.97056513045e-19
3.14	7.39855841158e-19
3.15	5.48432987848e-19
3.16	4.06115248222e-19
3.17	3.00416940754e-19
3.18	2.21998004132e-19
3.19	1.63879027397e-19
3.2	1.20850227148e-19
3.21	8.90269462196e-20
3.22	6.55157202761e-20
3.23	4.81636870226e-20
3.24	3.53707457421e-20
3.25	2.59489096635e-20
