# mass number (A) = 27
# number of protons (Z) = 13
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.0
0.01	0.00141759216535
0.02	0.00566459958242
0.03	0.0127237443552
0.04	0.0225663276077
0.05	0.0351523752616
0.06	0.050430840833
0.07	0.0683398639694
0.08	0.0888070830962
0.09	0.111750000209
0.1	0.137076395526
0.11	0.164684789402
0.12	0.194464948641
0.13	0.22629843405
0.14	0.260059185873
0.15	0.295614143499
0.16	0.332823895663
0.17	0.371543357198
0.18	0.411622468275
0.19	0.452906911927
0.2	0.495238845644
0.21	0.538457642714
0.22	0.582400639036
0.23	0.6269038811
0.24	0.671802870913
0.25	0.716933303698
0.26	0.762131794323
0.27	0.807236588518
0.28	0.852088255133
0.29	0.896530355817
0.3	0.940410088758
0.31	0.983578903293
0.32	1.02589308247
0.33	1.06721429089
0.34	1.10741008539
0.35	1.1463543865
0.36	1.18392790879
0.37	1.22001854855
0.38	1.25452172761
0.39	1.2873406923
0.4	1.31838676699
0.41	1.34757956172
0.42	1.37484713405
0.43	1.40012610522
0.44	1.42336173121
0.45	1.44450792939
0.46	1.46352726197
0.47	1.48039087732
0.48	1.49507841074
0.49	1.50757784643
0.5	1.51788534254
0.51	1.52600502122
0.52	1.53194872615
0.53	1.5357357497
0.54	1.5373925322
0.55	1.53695233598
0.56	1.53445489673
0.57	1.52994605487
0.58	1.52347736959
0.59	1.5151057184
0.6	1.50489288478
0.61	1.49290513668
0.62	1.47921279851
0.63	1.46388981911
0.64	1.44701333845
0.65	1.42866325516
0.66	1.40892179745
0.67	1.38787309956
0.68	1.36560278574
0.69	1.3421975639
0.7	1.31774483048
0.71	1.29233228849
0.72	1.26604757996
0.73	1.23897793442
0.74	1.21120983436
0.75	1.18282869897
0.76	1.15391858679
0.77	1.12456191822
0.78	1.09483921831
0.79	1.06482888037
0.8	1.03460695059
0.81	1.0042469339
0.82	0.973819620931
0.83	0.943392936165
0.84	0.913031806823
0.85	0.88279805226
0.86	0.852750293368
0.87	0.82294388142
0.88	0.793430845738
0.89	0.764259859428
0.9	0.735476222422
0.91	0.70712186096
0.92	0.679235342603
0.93	0.651851905856
0.94	0.625003503393
0.95	0.598718857904
0.96	0.573023529533
0.97	0.547939993883
0.98	0.523487729546
0.99	0.499683314155
1.0	0.476540527909
1.01	0.454070463616
1.02	0.432281642238
1.03	0.411180133027
1.04	0.39076967732
1.05	0.371051815114
1.06	0.352026013605
1.07	0.333689796869
1.08	0.316038875954
1.09	0.299067278684
1.1	0.282767478504
1.11	0.267130521777
1.12	0.252146152975
1.13	0.237802937264
1.14	0.224088380018
1.15	0.210989042872
1.16	0.198490655954
1.17	0.186578225987
1.18	0.175236139996
1.19	0.16444826441
1.2	0.154198039388
1.21	0.144468568218
1.22	0.135242701712
1.23	0.126503117531
1.24	0.118232394409
1.25	0.110413081294
1.26	0.103027761433
1.27	0.0960591114599
1.28	0.0894899555849
1.29	0.0833033149782
1.3	0.077482452484
1.31	0.072010912804
1.32	0.0668725583093
1.33	0.0620516006522
1.34	0.057532628356
1.35	0.0533006305743
1.36	0.0493410172126
1.37	0.0456396356139
1.38	0.0421827840096
1.39	0.0389572219404
1.4	0.035950177851
1.41	0.0331493540611
1.42	0.0305429293131
1.43	0.0281195590928
1.44	0.0258683739144
1.45	0.0237789757582
1.46	0.0218414328388
1.47	0.0200462728811
1.48	0.0183844750671
1.49	0.0168474608158
1.5	0.0154270835451
1.51	0.0141156175607
1.52	0.012905746205
1.53	0.0117905493935
1.54	0.0107634906571
1.55	0.00981840379842
1.56	0.00894947926595
1.57	0.00815125033701
1.58	0.00741857919689
1.59	0.00674664299104
1.6	0.0061309199211
1.61	0.00556717544784
1.62	0.0050514486577
1.63	0.00458003884277
1.64	0.00414949233805
1.65	0.00375658965395
1.66	0.00339833293666
1.67	0.00307193378362
1.68	0.0027748014369
1.69	0.00250453137259
1.7	0.00225889430041
1.71	0.002035825584
1.72	0.00183341508874
1.73	0.00164989746124
1.74	0.00148364284137
1.75	0.00133314800569
1.76	0.00119702793852
1.77	0.00107400782505
1.78	0.000962915459398
1.79	0.000862674058678
1.8	0.000772295473059
1.81	0.000690873780815
1.82	0.000617579256282
1.83	0.000551652698099
1.84	0.000492400104464
1.85	0.000439187681772
1.86	0.000391437172726
1.87	0.000348621489817
1.88	0.000310260640063
1.89	0.000275917926895
1.9	0.000245196415218
1.91	0.000217735645867
1.92	0.000193208585917
1.93	0.000171318801639
1.94	0.000151797841209
