# mass number (A) = 27
# number of protons (Z) = 13
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	2.08965078286
0.01	2.08894186652
0.02	2.08681656015
0.03	2.08327918692
0.04	2.07833693576
0.05	2.07199983709
0.06	2.06428072887
0.07	2.05519521328
0.08	2.04476160415
0.09	2.03300086546
0.1	2.01993654117
0.11	2.00559467667
0.12	1.99000373229
0.13	1.9731944892
0.14	1.95519994821
0.15	1.93605522185
0.16	1.91579742028
0.17	1.89446553157
0.18	1.87210029682
0.19	1.84874408071
0.2	1.82444073811
0.21	1.79923547722
0.22	1.77317471999
0.23	1.74630596019
0.24	1.71867762008
0.25	1.69033890588
0.26	1.66133966295
0.27	1.63173023118
0.28	1.60156130105
0.29	1.57088377111
0.3	1.53974860732
0.31	1.50820670479
0.32	1.47630875254
0.33	1.44410510152
0.34	1.41164563666
0.35	1.37897965317
0.36	1.34615573753
0.37	1.31322165362
0.38	1.28022423425
0.39	1.24720927843
0.4	1.21422145467
0.41	1.18130421047
0.42	1.14849968833
0.43	1.11584864832
0.44	1.08339039744
0.45	1.05116272577
0.46	1.01920184958
0.47	0.987542361332
0.48	0.95621718664
0.49	0.925257548077
0.5	0.894692935841
0.51	0.864551085116
0.52	0.834857960043
0.53	0.805637744116
0.54	0.77691283685
0.55	0.748703856503
0.56	0.721029648635
0.57	0.693907300264
0.58	0.667352159358
0.59	0.641377859381
0.6	0.615996348614
0.61	0.591217923951
0.62	0.567051268855
0.63	0.543503495159
0.64	0.520580188399
0.65	0.498285456345
0.66	0.476621980402
0.67	0.455591069571
0.68	0.435192716625
0.69	0.415425656195
0.7	0.396287424445
0.71	0.377774420027
0.72	0.359881966017
0.73	0.342604372541
0.74	0.325934999809
0.75	0.309866321292
0.76	0.294389986768
0.77	0.27949688502
0.78	0.265177205932
0.79	0.251420501769
0.8	0.238215747461
0.81	0.225551399666
0.82	0.213415454479
0.83	0.201795503606
0.84	0.190678788863
0.85	0.180052254893
0.86	0.169902599962
0.87	0.160216324767
0.88	0.150979779148
0.89	0.142179206659
0.9	0.133800786927
0.91	0.125830675771
0.92	0.11825504305
0.93	0.111060108216
0.94	0.104232173583
0.95	0.0977576553069
0.96	0.0916231120979
0.97	0.0858152716892
0.98	0.0803210551008
0.99	0.0751275987375
