# mass number (A) = 40
# number of protons (Z) = 18
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.0
0.01	2.79827973435e-07
0.02	4.47219600063e-06
0.03	2.25979336989e-05
0.04	7.12327461561e-05
0.05	0.000173320086279
0.06	0.000357911937498
0.07	0.000659840230889
0.08	0.00111932234621
0.09	0.00178150483306
0.1	0.00269595012875
0.11	0.00391607163631
0.12	0.00549852305334
0.13	0.00750254830389
0.14	0.00998929881706
0.15	0.0130211252128
0.16	0.0166608506953
0.17	0.0209710336134
0.18	0.0260132267275
0.19	0.0318472407203
0.2	0.0385304194045
0.21	0.0461169339212
0.22	0.0546571029848
0.23	0.064196745917
0.24	0.0747765748373
0.25	0.0864316319297
0.26	0.0991907772086
0.27	0.113076231649
0.28	0.12810317995
0.29	0.144279436569
0.3	0.161605177983
0.31	0.180072743469
0.32	0.199666505951
0.33	0.220362813811
0.34	0.242130003777
0.35	0.264928484371
0.36	0.288710888666
0.37	0.313422294454
0.38	0.339000509324
0.39	0.365376417492
0.4	0.392474384752
0.41	0.420212717341
0.42	0.448504170097
0.43	0.477256498903
0.44	0.506373052014
0.45	0.53575339467
0.46	0.565293961101
0.47	0.594888727935
0.48	0.624429902919
0.49	0.653808622811
0.5	0.682915654379
0.51	0.711642092516
0.52	0.739880049621
0.53	0.767523330641
0.54	0.794468088388
0.55	0.820613454066
0.56	0.845862138283
0.57	0.870120998218
0.58	0.893301566984
0.59	0.915320541733
0.6	0.936100227438
0.61	0.955568933808
0.62	0.973661323272
0.63	0.990318708432
0.64	1.0054892979
0.65	1.01912838992
0.66	1.0311985136
0.67	1.04166951811
0.68	1.05051861063
0.69	1.05773034413
0.7	1.06329655664
0.71	1.06721626394
0.72	1.06949550779
0.73	1.07014716252
0.74	1.06919070246
0.75	1.06665193359
0.76	1.06256269233
0.77	1.05696051512
0.78	1.04988828204
0.79	1.04139383826
0.8	1.0315295967
0.81	1.02035212577
0.82	1.00792172548
0.83	0.994301995791
0.84	0.979559400274
0.85	0.963762828729
0.86	0.946983161747
0.87	0.929292840316
0.88	0.910765443305
0.89	0.891475275465
0.9	0.871496968403
0.91	0.850905096715
0.92	0.829773811288
0.93	0.808176491518
0.94	0.786185417939
0.95	0.76387146656
0.96	0.741303825923
0.97	0.718549737708
0.98	0.695674261437
0.99	0.672740063653
1.0	0.649807231708
1.01	0.626933112113
1.02	0.60417217321
1.03	0.581575891745
1.04	0.559192662784
1.05	0.537067732235
1.06	0.515243151139
1.07	0.493757750758
1.08	0.472647137408
1.09	0.451943705873
1.1	0.431676670194
1.11	0.411872110564
1.12	0.392553035004
1.13	0.3737394545
1.14	0.355448470236
1.15	0.337694371578
1.16	0.320488743468
1.17	0.303840581907
1.18	0.287756416224
1.19	0.272240436907
1.2	0.25729462776
1.21	0.242918901253
1.22	0.229111235972
1.23	0.21586781513
1.24	0.203183165175
1.25	0.191050293624
1.26	0.179460825274
1.27	0.168405136059
1.28	0.157872483886
1.29	0.147851135831
1.3	0.138328491185
1.31	0.129291199886
1.32	0.120725275951
1.33	0.112616205591
1.34	0.104949049751
1.35	0.0977085408732
1.36	0.0908791737592
1.37	0.0844452904318
1.38	0.0783911589694
1.39	0.0727010463219
1.4	0.0673592851593
1.41	0.0623503348447
1.42	0.0576588366549
1.43	0.0532696634019
1.44	0.0491679636358
1.45	0.0453392006304
1.46	0.0417691863718
1.47	0.0384441107861
1.48	0.0353505664541
1.49	0.0324755690682
1.5	0.0298065738952
1.51	0.0273314885113
1.52	0.025038682075
1.53	0.0229169914055
1.54	0.0209557241273
1.55	0.019144659142
1.56	0.0174740446755
1.57	0.0159345941474
1.58	0.0145174800954
1.59	0.0132143263816
1.6	0.0120171988948
1.61	0.0109185949519
1.62	0.00991143159144
1.63	0.00898903293847
1.64	0.00814511680961
1.65	0.00737378071385
1.66	0.00666948739328
1.67	0.0060270500359
1.68	0.00544161728111
1.69	0.00490865812702
1.7	0.00442394683793
1.71	0.00398354793992
1.72	0.00358380138215
1.73	0.00322130793235
1.74	0.00289291486558
1.75	0.00259570199729
1.76	0.00232696810348
1.77	0.0020842177635
1.78	0.00186514865452
1.79	0.00166763932005
1.8	0.00148973742941
1.81	0.00132964854002
1.82	0.00118572536942
1.83	0.00105645757996
1.84	0.000940462075348
1.85	0.000836473804965
1.86	0.000743337068966
1.87	0.00065999731482
1.88	0.00058549341373
1.89	0.000518950403696
1.9	0.000459572684481
1.91	0.000406637648593
1.92	0.000359489731492
1.93	0.000317534863541
1.94	0.000280235305767
1.95	0.00024710485123
1.96	0.00021770437368
1.97	0.000191637705242
1.98	0.000168547825008
1.99	0.000148113340731
2.0	0.000130045246177
2.01	0.000114083937122
2.02	9.99964695396e-05
2.03	8.75740440779e-05
2.04	7.66297015161e-05
2.05	6.6996214577e-05
2.06	5.85241621001e-05
2.07	5.10801722764e-05
2.08	4.45453223229e-05
2.09	3.88136826623e-05
2.1	3.37909943475e-05
2.11	2.93934691406e-05
2.12	2.55467023101e-05
2.13	2.21846888405e-05
2.14	1.92489343709e-05
2.15	1.66876527662e-05
2.16	1.4455042796e-05
2.17	1.25106369393e-05
2.18	1.08187158513e-05
2.19	9.34778251851e-06
2.2	8.07009059309e-06
2.21	6.96122183707e-06
2.22	5.9997080155e-06
2.23	5.16669296609e-06
2.24	4.44563093278e-06
2.25	3.82201758675e-06
2.26	3.28315047218e-06
2.27	2.81791590396e-06
2.28	2.4165996139e-06
2.29	2.07071869041e-06
2.3	1.77287258599e-06
2.31	1.51661117741e-06
2.32	1.2963180576e-06
2.33	1.10710741532e-06
2.34	9.44733021291e-07
2.35	8.05507987576e-07
2.36	6.86234102313e-07
2.37	5.84139664599e-07
2.38	4.96824856173e-07
2.39	4.22213787682e-07
2.4	3.58512449042e-07
2.41	3.04171876164e-07
2.42	2.57855921112e-07
2.43	2.18413080051e-07
2.44	1.84851893937e-07
2.45	1.56319491272e-07
2.46	1.32082891054e-07
2.47	1.1151272771e-07
2.48	9.40690988798e-08
2.49	7.92892717826e-08
2.5	6.67770150051e-08
2.51	5.61933502238e-08
2.52	4.72485430085e-08
2.53	3.96951737003e-08
2.54	3.33221487516e-08
2.55	2.79495300729e-08
2.56	2.34240751181e-08
2.57	1.96153938448e-08
2.58	1.64126405151e-08
2.59	1.37216687205e-08
2.6	1.14625871827e-08
2.61	9.56766193747e-09
2.62	7.9795175787e-09
2.63	6.64959643575e-09
2.64	5.53683998478e-09
2.65	4.60656153686e-09
2.66	3.82948338958e-09
2.67	3.18091524314e-09
2.68	2.6400538306e-09
2.69	2.18938645214e-09
2.7	1.81418348543e-09
2.71	1.50206701191e-09
2.72	1.24264449217e-09
2.73	1.02719797718e-09
2.74	8.48420685996e-10
2.75	7.00193942221e-10
2.76	5.77398464071e-10
2.77	4.75754867736e-10
2.78	3.91688988225e-10
2.79	3.22218262742e-10
2.8	2.6485597224e-10
2.81	2.17530609531e-10
2.82	1.78518047679e-10
2.83	1.46384529665e-10
2.84	1.19938797405e-10
2.85	9.81919321893e-11
2.86	8.0323695426e-11
2.87	6.56543435442e-11
2.88	5.3621048469e-11
2.89	4.37581892073e-11
2.9	3.56808941066e-11
2.91	2.90713101935e-11
2.92	2.36671581658e-11
2.93	1.92522012541e-11
2.94	1.56483151263e-11
2.95	1.27088958839e-11
2.96	1.03133853322e-11
2.97	8.36272827048e-12
2.98	6.77560654283e-12
2.99	5.48531984296e-12
3.0	4.43720452932e-12
3.01	3.58649957152e-12
3.02	2.89658375643e-12
3.03	2.33752087096e-12
3.04	1.88486012918e-12
3.05	1.5186479454e-12
3.06	1.22261454353e-12
3.07	9.83505066988e-13
3.08	7.90530007734e-13
3.09	6.34914070659e-13
3.1	5.0952617079e-13
3.11	4.08576240989e-13
3.12	3.27367006068e-13
3.13	2.62090937812e-13
3.14	2.09664313792e-13
3.15	1.67591719181e-13
3.16	1.33855503953e-13
3.17	1.06825678522e-13
3.18	8.51865333704e-14
3.19	6.78769309623e-14
3.2	5.40417650163e-14
3.21	4.29925329896e-14
3.22	3.41753387824e-14
3.23	2.71449480658e-14
3.24	2.15437696412e-14
3.25	1.70848423565e-14
3.26	1.35380762031e-14
3.27	1.07191348073e-14
3.28	8.48046002014e-15
3.29	6.70403214652e-15
3.3	5.29553523317e-15
3.31	4.1796587934e-15
3.32	3.296317889e-15
3.33	2.59761468405e-15
3.34	2.04539812707e-15
3.35	1.60930570516e-15
3.36	1.2651933903e-15
3.37	9.93877906156e-16
3.38	7.80130052058e-16
3.39	6.11869661249e-16
3.4	4.79522358019e-16
3.41	3.75506034869e-16
3.42	2.93821240092e-16
3.43	2.29724728732e-16
3.44	1.79469514318e-16
3.45	1.40098051003e-16
3.46	1.09277827012e-16
3.47	8.51707835196e-17
3.48	6.63296877991e-17
3.49	5.16159666665e-17
3.5	4.01346112631e-17
3.51	3.11826500847e-17
3.52	2.42083966954e-17
3.53	1.87792463456e-17
3.54	1.45562496557e-17
3.55	1.12740541319e-17
3.56	8.725093656e-18
3.57	6.74713683569e-18
3.58	5.2134889106e-18
3.59	4.02528821568e-18
3.6	3.1054545436e-18
3.61	2.39393918301e-18
3.62	1.84399978317e-18
3.63	1.41928138814e-18
3.64	1.09153109475e-18
3.65	8.3881029352e-19
3.66	6.44097327287e-19
3.67	4.94196221352e-19
3.68	3.78885157158e-19
3.69	2.90252575475e-19
3.7	2.2217999856e-19
3.71	1.69939483429e-19
3.72	1.29880560097e-19
3.73	9.91869656608e-20
3.74	7.5687771091e-20
3.75	5.7710861051e-20
3.76	4.39693641072e-20
3.77	3.34736964801e-20
3.78	2.54634993224e-20
3.79	1.93550138677e-20
3.8	1.47004266471e-20
3.81	1.11564881257e-20
3.82	8.4603095676e-21
3.83	6.41071164351e-21
3.84	4.85386322207e-21
3.85	3.67223267515e-21
3.86	2.77609467566e-21
3.87	2.09700681796e-21
3.88	1.58280334244e-21
3.89	1.19375631368e-21
3.9	8.99634434666e-22
3.91	6.77451460898e-22
3.92	5.09743950104e-22
3.93	3.83254989367e-22
3.94	2.8792902929e-22
3.95	2.16144925631e-22
3.96	1.62131218732e-22
3.97	1.21520715665e-22
3.98	9.10114667716e-23
3.99	6.81089347812e-23
4.0	5.09300727402e-23
4.01	3.80545677688e-23
4.02	2.8411988698e-23
4.03	2.11962420041e-23
4.04	1.58007810485e-23
4.05	1.1769573988e-23
4.06	8.76002784638e-24
4.07	6.51497625465e-24
4.08	4.841532444e-24
4.09	3.59513800421e-24
4.1	2.66754065289e-24
4.11	1.97774064632e-24
4.12	1.46517835316e-24
4.13	1.08461238692e-24
4.14	8.02271912302e-25
4.15	5.92968503818e-25
4.16	4.37930026499e-25
4.17	3.2317735981e-25
4.18	2.38308915193e-25
4.19	1.75591243452e-25
4.2	1.2927920414e-25
4.21	9.51081608144e-26
4.22	6.99149806467e-26
4.23	5.13553970459e-26
4.24	3.76934056171e-26
4.25	2.76444623313e-26
4.26	2.02588339879e-26
4.27	1.48348895461e-26
4.28	1.08546995464e-26
4.29	7.93624304265e-27
4.3	5.79796806221e-27
4.31	4.23253374051e-27
4.32	3.08737109105e-27
4.33	2.2503033941e-27
4.34	1.63891789659e-27
4.35	1.19271654366e-27
4.36	8.673237807e-28
4.37	6.30215779341e-28
4.38	4.57574001572e-28
4.39	3.31968976506e-28
4.4	2.40656607505e-28
4.41	1.74326035632e-28
4.42	1.26180118585e-28
4.43	9.12607140483e-29
4.44	6.59539920878e-29
4.45	4.76280331291e-29
4.46	3.4367550518e-29
4.47	2.47798643801e-29
4.48	1.78531034853e-29
4.49	1.28526597376e-29
4.5	9.24563675963e-30
4.51	6.64576853407e-30
4.52	4.77329417645e-30
4.53	3.42575131536e-30
4.54	2.45673405637e-30
4.55	1.76045600894e-30
4.56	1.26054096219e-30
4.57	9.0188993507e-31
4.58	6.44785029826e-31
4.59	4.60618329138e-31
4.6	3.28800436877e-31
4.61	2.34524647819e-31
4.62	1.67151227729e-31
4.63	1.19040750542e-31
4.64	8.47123606521e-32
4.65	6.02369521284e-32
4.66	4.28000529403e-32
4.67	3.03872059571e-32
4.68	2.15576994642e-32
4.69	1.52819674877e-32
4.7	1.08248373111e-32
4.71	7.66176392666e-33
4.72	5.41877938759e-33
4.73	3.82947750041e-33
4.74	2.70422582327e-33
4.75	1.9081468869e-33
4.76	1.3453835002e-33
4.77	9.47863653236e-34
4.78	6.67284679958e-34
4.79	4.69398806445e-34
4.8	3.2994259247e-34
4.81	2.3173967317e-34
4.82	1.62640250767e-34
4.83	1.14056843644e-34
4.84	7.99245798937e-35
4.85	5.59635306531e-35
4.86	3.91557556766e-35
4.87	2.73748599118e-35
4.88	1.9123792473e-35
4.89	1.3349407497e-35
4.9	9.31141835397e-36
4.91	6.48986405447e-36
4.92	4.5198216675e-36
4.93	3.14537890247e-36
4.94	2.18721077969e-36
4.95	1.51975763301e-36
4.96	1.05517400903e-36
4.97	7.32048612373e-37
4.98	5.07483435765e-37
4.99	3.51536126102e-37
5.0	2.43323594237e-37
5.01	1.68292468518e-37
5.02	1.16308475535e-37
5.03	8.03201107574e-38
5.04	5.54247207714e-38
5.05	3.82163350742e-38
5.06	2.63306083075e-38
5.07	1.81275499358e-38
5.08	1.24704956593e-38
5.09	8.57224816561e-39
5.1	5.88805958092e-39
5.11	4.04125377848e-39
5.12	2.77157442138e-39
5.13	1.89934336826e-39
5.14	1.30060964358e-39
5.15	8.89932414443e-40
5.16	6.08462303839e-40
5.17	4.15697058013e-40
5.18	2.83783323811e-40
5.19	1.93581327187e-40
5.2	1.31949197045e-40
5.21	8.98704180587e-41
5.22	6.11636674415e-41
5.23	4.15946089167e-41
5.24	2.82648944046e-41
5.25	1.91921888554e-41
5.26	1.30217242092e-41
5.27	8.82834598297e-42
5.28	5.9807698126e-42
5.29	4.0485708625e-42
5.3	2.73850375623e-42
5.31	1.85093811407e-42
5.32	1.25007894595e-42
5.33	8.43626068515e-43
5.34	5.68891667487e-43
5.35	3.83333000203e-43
5.36	2.58101138596e-43
5.37	1.73648378358e-43
5.38	1.16739724835e-43
5.39	7.84212468231e-44
5.4	5.26400128871e-44
5.41	3.53073741314e-44
5.42	2.36636679567e-44
5.43	1.58476889481e-44
5.44	1.06051561731e-44
5.45	7.09145700558e-45
5.46	4.7382849793e-45
5.47	3.16354633214e-45
5.48	2.11054473288e-45
5.49	1.40696173059e-45
5.5	9.37211028412e-46
5.51	6.23820868955e-46
5.52	4.14906111803e-46
5.53	2.75744723037e-46
5.54	1.83118428742e-46
5.55	1.21513458598e-46
5.56	8.05720136269e-47
5.57	5.33840574637e-47
5.58	3.53432504175e-47
5.59	2.3381316625e-47
5.6	1.54560681851e-47
5.61	1.02093171063e-47
5.62	6.73848068889e-48
5.63	4.44421364727e-48
5.64	2.92883924081e-48
5.65	1.92869620256e-48
5.66	1.26911161929e-48
5.67	8.3445618601e-49
5.68	5.48245403485e-49
5.69	3.59926829941e-49
5.7	2.36113720149e-49
5.71	1.54773293974e-49
5.72	1.01376815586e-49
5.73	6.63512488208e-50
5.74	4.33937729624e-50
5.75	2.83578693287e-50
5.76	1.85177268355e-50
5.77	1.20828576668e-50
5.78	7.87806525998e-51
5.79	5.13260017818e-51
5.8	3.34135992405e-51
5.81	2.173587191e-51
5.82	1.41285916292e-51
5.83	9.17674568631e-52
5.84	5.95588845037e-52
5.85	3.86253534333e-52
5.86	2.50303226284e-52
5.87	1.62079659546e-52
5.88	1.04871791844e-52
5.89	6.78042603287e-53
5.9	4.38049728422e-53
5.91	2.82786064374e-53
5.92	1.82415091111e-53
5.93	1.17579528513e-53
5.94	7.57305080161e-54
5.95	4.87391833973e-54
5.96	3.13439601061e-54
5.97	2.01417749326e-54
5.98	1.29333158429e-54
5.99	8.29832264446e-55
6.0	5.32033591717e-55
#normalisation = 0.45
#eerste moment n(k)k**2 = 0.418810735249
#2e moment n(k)k**2 = 0.418543938983
#3e moment n(k)k**2 = 0.445182717002
#4e moment n(k)k**2 = 0.500511511026
#sigma**2 n(k)k**2 = 0.243141507023
#kurtosis n(k)k**2 = -1.25930549943
#skewness n(k)k**2 = 0.552428116303
