# mass number (A) = 40
# number of protons (Z) = 18
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	0.0
0.01	3.34287451534e-12
0.02	2.13702580976e-10
0.03	2.42963025321e-09
0.04	1.36153439621e-08
0.05	5.17628109429e-08
0.06	1.53924457504e-07
0.07	3.86245843055e-07
0.08	8.55783867417e-07
0.09	1.72385594483e-06
0.1	3.2206297567e-06
0.11	5.66063229998e-06
0.12	9.45883151008e-06
0.13	1.51469241968e-05
0.14	2.33894507337e-05
0.15	3.49993501281e-05
0.16	5.09525689032e-05
0.17	7.24013436796e-05
0.18	0.000100685790364
0.19	0.000137343452255
0.2	0.00018411648487
0.21	0.000242956186496
0.22	0.000316024619888
0.23	0.000405693111608
0.24	0.000514537460642
0.25	0.000645329736316
0.26	0.000801026596586
0.27	0.000984754110551
0.28	0.00119978912279
0.29	0.00144953725108
0.3	0.00173750766214
0.31	0.00206728482192
0.32	0.00244249746623
0.33	0.00286678508382
0.34	0.00334376224688
0.35	0.00387698116169
0.36	0.0044698928459
0.37	0.00512580736626
0.38	0.00584785359278
0.39	0.00663893894098
0.4	0.00750170958311
0.41	0.00843851161202
0.42	0.00945135363774
0.43	0.0105418712862
0.44	0.0117112940529
0.45	0.0129604149429
0.46	0.0142895632965
0.47	0.0156985811717
0.48	0.0171868036104
0.49	0.0187530430758
0.5	0.0203955783005
0.51	0.0221121477369
0.52	0.0238999477455
0.53	0.0257556356091
0.54	0.0276753374015
0.55	0.0296546606861
0.56	0.0316887119678
0.57	0.0337721187658
0.58	0.0358990561258
0.59	0.0380632773409
0.6	0.0402581486064
0.61	0.0424766872905
0.62	0.0447116034669
0.63	0.046955344322
0.64	0.0492001410201
0.65	0.0514380575894
0.66	0.0536610413729
0.67	0.0558609745748
0.68	0.0580297264291
0.69	0.0601592055142
0.7	0.0622414117407
0.71	0.0642684875522
0.72	0.066232767889
0.73	0.0681268284868
0.74	0.0699435321044
0.75	0.071676072302
0.76	0.0733180144217
0.77	0.0748633334575
0.78	0.0763064485353
0.79	0.0776422537664
0.8	0.078866145272
0.81	0.0799740442237
0.82	0.0809624157815
0.83	0.0818282838554
0.84	0.0825692416563
0.85	0.0831834580437
0.86	0.0836696797152
0.87	0.0840272293209
0.88	0.0842559996221
0.89	0.0843564438434
0.9	0.0843295624018
0.91	0.0841768862192
0.92	0.083900456853
0.93	0.0835028036976
0.94	0.0829869185275
0.95	0.0823562276694
0.96	0.0816145620973
0.97	0.0807661257565
0.98	0.0798154624229
0.99	0.0787674214073
1.0	0.0776271224101
1.01	0.0763999198293
1.02	0.075091366815
1.03	0.0737071793527
1.04	0.0722532006481
1.05	0.0707353660679
1.06	0.0691596688781
1.07	0.0675321269992
1.08	0.0658587509848
1.09	0.0641455134021
1.1	0.0623983197803
1.11	0.0606229812645
1.12	0.0588251890956
1.13	0.0570104910146
1.14	0.0551842696661
1.15	0.0533517230588
1.16	0.0515178471177
1.17	0.0496874203439
1.18	0.047864990582
1.19	0.0460548638742
1.2	0.0442610953672
1.21	0.0424874822209
1.22	0.0407375584568
1.23	0.0390145916703
1.24	0.0373215815205
1.25	0.0356612599042
1.26	0.0340360927095
1.27	0.0324482830416
1.28	0.0308997758069
1.29	0.029392263538
1.3	0.0279271933397
1.31	0.0265057748373
1.32	0.0251289890051
1.33	0.0237975977569
1.34	0.0225121541828
1.35	0.0212730133154
