# mass number (A) = 40
# number of protons (Z) = 18
#units k = 1/fm , units n_1(k) = fm^3
# k (1/fm)	tot
0.0	1.64738196197
0.01	1.64676216122
0.02	1.64490415776
0.03	1.6418121427
0.04	1.63749308372
0.05	1.63195669888
0.06	1.62521542023
0.07	1.61728434727
0.08	1.6081811906
0.09	1.59792620602
0.1	1.58654211945
0.11	1.57405404301
0.12	1.56048938274
0.13	1.54587773843
0.14	1.53025079602
0.15	1.5136422132
0.16	1.49608749874
0.17	1.47762388612
0.18	1.45829020218
0.19	1.43812673135
0.2	1.41717507618
0.21	1.39547801481
0.22	1.37307935609
0.23	1.35002379299
0.24	1.32635675503
0.25	1.30212426039
0.26	1.27737276834
0.27	1.25214903269
0.28	1.22649995686
0.29	1.2004724512
0.3	1.17411329316
0.31	1.14746899087
0.32	1.12058565066
0.33	1.09350884903
0.34	1.06628350956
0.35	1.03895378514
0.36	1.01156294597
0.37	0.984153273683
0.38	0.956765961846
0.39	0.929441023204
0.4	0.902217203812
0.41	0.875131904304
0.42	0.848221108419
0.43	0.821519318888
0.44	0.795059500767
0.45	0.76887303221
0.46	0.742989662692
0.47	0.717437478609
0.48	0.692242876178
0.49	0.667430541503
0.5	0.643023437652
0.51	0.619042798558
0.52	0.595508129523
0.53	0.572437214081
0.54	0.549846126964
0.55	0.527749252856
0.56	0.506159310663
0.57	0.485087382939
0.58	0.46454295016
0.59	0.44453392947
0.6	0.425066717569
0.61	0.406146237355
0.62	0.387775987963
0.63	0.369958097835
0.64	0.352693380442
0.65	0.335981392299
0.66	0.319820492914
0.67	0.30420790631
0.68	0.289139783776
0.69	0.274611267523
0.7	0.260616554897
0.71	0.247148962866
0.72	0.234200992463
0.73	0.221764392917
0.74	0.209830225194
0.75	0.198388924715
0.76	0.187430363006
0.77	0.176943908074
0.78	0.166918483309
0.79	0.15734262474
0.8	0.148204536484
0.81	0.139492144245
0.82	0.13119314674
0.83	0.123295064958
0.84	0.115785289143
0.85	0.108651123453
0.86	0.101879828225
0.87	0.0954586598103
0.88	0.0893749079593
0.89	0.0836159307396
0.9	0.0781691869949
0.91	0.0730222663571
0.92	0.0681629168388
0.93	0.0635790700435
0.94	0.0592588640403
0.95	0.0551906639584
0.96	0.0513630803654
0.97	0.0477649854996
0.98	0.0443855274332
0.99	0.0412141422471
1.0	0.0382405643055
1.01	0.0354548347178
1.02	0.0328473080822
1.03	0.0304086576048
1.04	0.0281298786901
1.05	0.0260022911004
1.06	0.02401753978
1.07	0.0221675944421
1.08	0.0204447480115
1.09	0.0188416140194
1.1	0.0173511230411
1.11	0.0159665182664
1.12	0.0146813502907
1.13	0.0134894712094
1.14	0.0123850280988
1.15	0.0113624559594
1.16	0.0104164701965
1.17	0.00954205870848
1.18	0.00873447364899
1.19	0.00798922292636
1.2	0.00730206149835
1.21	0.00666898251768
1.22	0.00608620837896
1.23	0.00555018171432
1.24	0.00505755638088
1.25	0.00460518847978
1.26	0.00419012744261
1.27	0.00380960721762
1.28	0.00346103758492
1.29	0.00314199562626
1.3	0.00285021737218
1.31	0.00258358964621
1.32	0.00234014212302
1.33	0.00211803961485
1.34	0.00191557459797
1.35	0.00173115998871
1.36	0.00156332217634
1.37	0.00141069431831
1.38	0.00127200990112
1.39	0.00114609656902
1.4	0.00103187022054
1.41	0.000928329372105
1.42	0.000834549786254
1.43	0.000749679361261
1.44	0.000672933277712
1.45	0.000603589396916
1.46	0.000540983905229
1.47	0.000484507197743
1.48	0.000433599994295
1.49	0.000387749680294
1.5	0.000346486864547
1.51	0.000309382145994
1.52	0.000276043081058
1.53	0.000246111343227
1.54	0.000219260066398
1.55	0.000195191363517
1.56	0.000173634012089
1.57	0.000154341298239
1.58	0.000137089011074
1.59	0.000121673579335
1.6	0.000107910342426
1.61	9.56319481924e-05
1.62	8.46868699978e-05
1.63	7.49380359195e-05
1.64	6.6261563138e-05
1.65	5.85455908607e-05
1.66	5.16892053968e-05
1.67	4.56014512835e-05
1.68	4.02004226416e-05
1.69	3.54124292235e-05
1.7	3.11712318962e-05
1.71	2.74173425794e-05
1.72	2.40973839315e-05
1.73	2.11635043422e-05
1.74	1.85728440509e-05
1.75	1.62870484634e-05
1.76	1.42718249798e-05
1.77	1.24965398855e-05
1.78	1.09338520798e-05
1.79	9.55938063525e-06
1.8	8.35140338367e-06
1.81	7.29058392505e-06
1.82	6.35972463955e-06
1.83	5.5435434603e-06
1.84	4.82847233185e-06
1.85	4.20247543622e-06
1.86	3.65488541718e-06
1.87	3.17625597184e-06
1.88	2.75822930961e-06
1.89	2.39341709993e-06
1.9	2.07529364428e-06
1.91	1.79810011367e-06
1.92	1.55675879136e-06
1.93	1.34679635217e-06
1.94	1.16427529422e-06
1.95	1.00573271736e-06
1.96	8.68125715039e-07
1.97	7.48782712776e-07
1.98	6.45360148241e-07
1.99	5.558039439e-07
2.0	4.78315275324e-07
2.01	4.11320185529e-07
2.02	3.53442639194e-07
2.03	3.03480650227e-07
2.04	2.60385152358e-07
2.05	2.23241315361e-07
2.06	1.9125203952e-07
2.07	1.63723388188e-07
2.08	1.40051742958e-07
2.09	1.19712488429e-07
2.1	1.02250053724e-07
2.11	8.72691562921e-08
2.12	7.44271099996e-08
2.13	6.34270744365e-08
2.14	5.40121357489e-08
2.15	4.59601213715e-08
2.16	3.90790618504e-08
2.17	3.32032226533e-08
2.18	2.81896375599e-08
2.19	2.39150830002e-08
2.2	2.02734396629e-08
2.21	1.71733938985e-08
2.22	1.45364369736e-08
2.23	1.22951251588e-08
2.24	1.03915680124e-08
2.25	8.77611611705e-09
2.26	7.40622297787e-09
2.27	6.245458854e-09
2.28	5.26265700725e-09
2.29	4.43117524806e-09
2.3	3.72825777822e-09
2.31	3.13448419943e-09
2.32	2.63329420443e-09
2.33	2.21057791914e-09
2.34	1.85432314053e-09
2.35	1.55431183673e-09
2.36	1.3018592605e-09
2.37	1.08958989037e-09
2.38	9.11245169988e-10
2.39	7.61518677709e-10
2.4	6.35914936706e-10
2.41	5.3062858087e-10
2.42	4.42441032045e-10
2.43	3.68632227913e-10
2.44	3.06905273811e-10
2.45	2.55322182222e-10
2.46	2.1224911593e-10
2.47	1.76309769757e-10
2.48	1.46345715599e-10
2.49	1.21382699812e-10
2.5	1.00602024205e-10
2.51	8.33162647822e-11
2.52	6.89486885165e-11
2.53	5.70158199199e-11
2.54	4.71126880992e-11
2.55	3.89003528525e-11
2.56	3.20953667718e-11
2.57	2.6460880487e-11
2.58	2.17991412545e-11
2.59	1.79451720218e-11
2.6	1.47614497374e-11
2.61	1.21334287544e-11
2.62	9.96577832457e-12
2.63	8.17922295978e-12
2.64	6.70789131292e-12
2.65	5.49709362023e-12
2.66	4.50146000355e-12
2.67	3.68338236046e-12
2.68	3.01171143711e-12
2.69	2.4606682096e-12
2.7	2.00893509032e-12
2.71	1.63889789321e-12
2.72	1.33601408026e-12
2.73	1.0882866944e-12
2.74	8.8582666596e-13
2.75	7.20488952318e-13
2.76	5.8557030924e-13
2.77	4.75558464773e-13
2.78	3.85924127162e-13
2.79	3.12948656043e-13
2.8	2.53581401066e-13
2.81	2.05321698973e-13
2.82	1.6612134835e-13
2.83	1.34304075503e-13
2.84	1.08499086551e-13
2.85	8.7586287441e-14
2.86	7.0651160571e-14
2.87	5.69476265679e-14
2.88	4.58675034925e-14
2.89	3.69154122638e-14
2.9	2.96881741625e-14
2.91	2.3857910293e-14
2.92	1.91581892694e-14
2.93	1.53726827154e-14
2.94	1.23258822291e-14
2.95	9.87550947486e-15
2.96	7.90631570747e-15
2.97	6.32502054253e-15
2.98	5.05618405266e-15
2.99	4.03884284488e-15
3.0	3.22377097525e-15
3.01	2.5712514702e-15
3.02	2.04926475704e-15
3.03	1.63201721437e-15
3.04	1.29874696445e-15
3.05	1.03275546464e-15
3.06	8.20622846585e-16
3.07	6.51572658384e-16
3.08	5.16957982855e-16
3.09	4.09846080581e-16
3.1	3.24682941879e-16
3.11	2.57022595243e-16
